query_table,query_column
csvData22418917__1.csv,AST%
csvData22418917__1.csv,Date
csvData22418917__1.csv,ORB%
csvData22418917__1.csv,USG%
csvData23141915__6.csv,GmSc
csvData23141915__6.csv,ORtg
csvData23141915__6.csv,Opp
csvData23141915__6.csv,TRB%
csvData7222492__9.csv,3PA
csvData7222492__9.csv,BPG
csvData7222492__9.csv,FGA
csvData7222492__9.csv,FGM
csvData7222492__9.csv,FTM
csvData7222492__9.csv,PPG
csvData4676916__2.csv,OPS
csvData4676916__2.csv,Team
csvData18784108__2.csv,AVG
csvData18784108__2.csv,GIDP
csvData18784108__2.csv,POS
csvData18784108__2.csv,Player
csvData26150573__3.csv,DRtg
csvData26150573__3.csv,ORB%
csvData3284798__5.csv,3FGA
csvData3284798__5.csv,3FGM
csvData3284798__5.csv,DEF
csvData3284798__5.csv,FG%
csvData3284798__5.csv,Split
csvData13434912__2.csv,POS
csvData13434912__2.csv,RBI
csvData13434912__2.csv,Team
csvData1644016__0.csv,BLK%
csvData1644016__0.csv,Date
csvData1644016__0.csv,ORB%
csvData29230622__0.csv,TEAM
csvData29230622__0.csv,VORP
csvData29230622__0.csv,YEAR
csvData29230622__0.csv,oppSLG
csvData26162088__2.csv,AST%
csvData26162088__2.csv,BLK%
csvData26162088__2.csv,GmSc
csvData26162088__2.csv,TRB%
csvData9205349__0.csv,G/60
csvData9205349__0.csv,Shots
csvData9205349__0.csv,Team
csvData9205349__0.csv,iCorsi/60
csvData26672678__2.csv,Player
csvData26672678__2.csv,RBI
csvData13336059__12.csv,AVG
csvData13336059__12.csv,SLG
csvData15933779__4.csv,AST%
csvData15933779__4.csv,DRB%
csvData15933779__4.csv,Date
csvData15933779__4.csv,ORtg
csvData15933779__4.csv,TOV%
csvData15933779__4.csv,TS%
csvData8620997__2.csv,GIDP
csvData8620997__2.csv,POS
csvData9475480__8.csv,GIDP
csvData1444875__7.csv,Player
csvData1549285__1.csv,AST%
csvData1549285__1.csv,BLK%
csvData1549285__1.csv,DRtg
csvData1549285__1.csv,GmSc
csvData1549285__1.csv,Opp
csvData2798756__5.csv,AST%
csvData2798756__5.csv,Age
csvData2798756__5.csv,DRB%
csvData2798756__5.csv,STL%
csvData2798756__5.csv,TOV%
csvData2798756__5.csv,TRB%
csvData2798756__5.csv,TS%
csvData11573229__2.csv,Acquired
csvData11573229__2.csv,Age
csvData11573229__2.csv,Pos Summary
csvData11573229__2.csv,RAA
csvData11573229__2.csv,RAR
csvData11573229__2.csv,Rbat
csvData11573229__2.csv,WAA
csvData23967202__3.csv,AST%
csvData23967202__3.csv,DRB%
csvData23967202__3.csv,GmSc
csvData23967202__3.csv,ORB%
csvData23967202__3.csv,ORtg
csvData23967202__3.csv,TOV%
csvData23967202__3.csv,eFG%
csvData13891302__14.csv,Team
csvData9768769__2.csv,GIDP
csvData9768769__2.csv,OPS
csvData9768769__2.csv,POS
csvData9768769__2.csv,SLG
csvData14248779__0.csv,AST%
csvData14248779__0.csv,DRB%
csvData14248779__0.csv,GmSc
csvData14248779__0.csv,ORB%
csvData14248779__0.csv,STL%
csvData14248779__0.csv,TOV%
csvData2879490__15.csv,AVG
csvData2879490__15.csv,OPS
csvData2879490__15.csv,POS
csvData2879490__15.csv,Player
csvData2879490__15.csv,RBI
csvData2879490__15.csv,Team
csvData14690251__3.csv,AVG
csvData14690251__3.csv,GIDP
csvData14690251__3.csv,OBP
csvData14690251__3.csv,OPS
csvData14690251__3.csv,POS
csvData14690251__3.csv,Player
csvData14690251__3.csv,Team
csvData2879490__3.csv,AVG
csvData2879490__3.csv,Player
csvData2879490__3.csv,RBI
csvData29402006__4.csv,OBP
csvData29402006__4.csv,OPS
csvData29402006__4.csv,Player
csvData17302070__12.csv,OPS
csvData17302070__12.csv,Team
csvData13726780__1.csv,DRB%
csvData13726780__1.csv,DRtg
csvData13726780__1.csv,ORB%
csvData13726780__1.csv,ORtg
csvData13726780__1.csv,USG%
csvData13726780__1.csv,eFG%
csvData786002__1.csv,DRB%
csvData786002__1.csv,DRtg
csvData786002__1.csv,GmSc
csvData786002__1.csv,ORB%
csvData786002__1.csv,TS%
csvData919002__2.csv,BLK%
csvData919002__2.csv,DRB%
csvData919002__2.csv,DRtg
csvData919002__2.csv,ORB%
csvData919002__2.csv,ORtg
csvData919002__2.csv,USG%
csvData14585065__2.csv,BPG
csvData14585065__2.csv,FG%
csvData14585065__2.csv,FGA
csvData14585065__2.csv,Player
csvData14585065__2.csv,TOV
csvData14585065__2.csv,Team
csvData4823585__8.csv,GIDP
csvData4823585__8.csv,POS
csvData4823585__8.csv,RBI
csvData23141915__8.csv,GmSc
csvData23141915__8.csv,ORtg
csvData23141915__8.csv,TRB%
csvData23141915__8.csv,USG%
csvData10001964__3.csv,AST%
csvData10001964__3.csv,Date
csvData10001964__3.csv,ORB%
csvData10001964__3.csv,Opp
csvData21084464__4.csv,Player
csvData11585188__3.csv,AST%
csvData11585188__3.csv,BLK%
csvData11585188__3.csv,DRB%
csvData11585188__3.csv,GmSc
csvData11585188__3.csv,STL%
csvData1902536__4.csv,OBP
csvData1902536__4.csv,Player
csvData2879490__5.csv,AVG
csvData2879490__5.csv,GIDP
csvData2879490__5.csv,POS
csvData17302070__5.csv,OBP
csvData17302070__5.csv,OPS
csvData17302070__5.csv,Player
csvData17302070__5.csv,SLG
csvData17302070__5.csv,Team
csvData25437325__8.csv,AVG
csvData25437325__8.csv,POS
csvData25437325__8.csv,Player
csvData25437325__8.csv,Team
csvData3178438__17.csv,DRB
csvData3178438__17.csv,SPG
csvData3178438__17.csv,TOV
csvData432880__5.csv,AST%
csvData432880__5.csv,BLK%
csvData432880__5.csv,Date
csvData432880__5.csv,ORB%
csvData432880__5.csv,Opp
csvData432880__5.csv,STL%
csvData22678292__1.csv,DRB%
csvData22678292__1.csv,STL%
csvData22678292__1.csv,TOV%
csvData24341501__4.csv,LVL
csvData24341501__4.csv,TEAM
csvData24341501__4.csv,YEAR
csvData24341501__4.csv,oppOBP
csvData24341501__4.csv,oppOPS
csvData6592205__2.csv,GIDP
csvData6592205__2.csv,POS
csvData6592205__2.csv,Player
csvData6592205__2.csv,SLG
csvData6592205__2.csv,Team
csvData14780613__2.csv,DRB%
csvData14780613__2.csv,Date
csvData14780613__2.csv,GmSc
csvData14780613__2.csv,ORB%
csvData14780613__2.csv,TRB%
csvData14780613__2.csv,USG%
csvData2798756__3.csv,AST%
csvData2798756__3.csv,Age
csvData2798756__3.csv,DRB%
csvData2798756__3.csv,STL%
csvData2798756__3.csv,TOV%
csvData2798756__3.csv,TRB%
csvData2798756__3.csv,TS%
csvData21947308__2.csv,IBB
csvData21947308__2.csv,RBI
csvData21947308__2.csv,Result
csvData9739809__1.csv,GIDP
csvData9739809__1.csv,OBP
csvData9739809__1.csv,Team
csvData7434868__3.csv,APG
csvData7434868__3.csv,FTM
csvData7434868__3.csv,MPG
csvData7434868__3.csv,ORB
csvData7104405__9.csv,Player
csvData7104405__9.csv,SLG
csvData19621512__16.csv,AGE
csvData19621512__16.csv,AVG
csvData19621512__16.csv,PPF
csvData19621512__16.csv,VORP
csvData19621512__16.csv,oppOBP
csvData19621512__16.csv,oppRPA+
csvData15745723__17.csv,OBP
csvData15745723__17.csv,POS
csvData15745723__17.csv,Player
csvData15745723__17.csv,Team
csvData14297814__0.csv,Arch-Thru
csvData14297814__0.csv,Frame (Except Culverts)
csvData14297814__0.csv,Segmental Box Girder
csvData14297814__0.csv,Stayed Girder
csvData14297814__0.csv,Truss-Deck
csvData14297814__0.csv,Tunnel
csvData21286196__2.csv,AVG
csvData21286196__2.csv,Player
csvData21286196__2.csv,Team
csvData21084464__10.csv,OBP
csvData21084464__10.csv,POS
csvData21084464__10.csv,Player
csvData7104405__6.csv,Player
csvData7104405__6.csv,SLG
csvData23967202__2.csv,AST%
csvData23967202__2.csv,DRB%
csvData23967202__2.csv,GmSc
csvData23967202__2.csv,ORB%
csvData23967202__2.csv,ORtg
csvData23967202__2.csv,TOV%
csvData23967202__2.csv,eFG%
csvData4460__3.csv,DRB%
csvData4460__3.csv,DRtg
csvData4460__3.csv,GmSc
csvData4460__3.csv,TS%
csvData22709338__0.csv,Date
csvData1068737__2.csv,3PA
csvData1068737__2.csv,3PM
csvData1068737__2.csv,FGA
csvData1068737__2.csv,FTA
csvData1068737__2.csv,FTM
csvData1068737__2.csv,TOV
csvData2852713__12.csv,Acquired
csvData2852713__12.csv,Age
csvData2852713__12.csv,RAR
csvData2852713__12.csv,Rbaser
csvData2852713__12.csv,Rbat
csvData2852713__12.csv,Rdp
csvData2852713__12.csv,Rpos
csvData2852713__12.csv,WAA
csvData2852713__12.csv,dWAR
csvData2852713__12.csv,oWAR
csvData9079863__8.csv,Date
csvData9079863__8.csv,GmSc
csvData9079863__8.csv,ORB%
csvData9079863__8.csv,ORtg
csvData9079863__8.csv,Opp
csvData10074535__14.csv,AVG
csvData10074535__14.csv,OPS
csvData10074535__14.csv,POS
csvData10074535__14.csv,SLG
csvData29387459__3.csv,AST%
csvData29387459__3.csv,Age
csvData29387459__3.csv,DRtg
csvData29387459__3.csv,ORB%
csvData29387459__3.csv,STL%
csvData29387459__3.csv,USG%
csvData17302070__11.csv,GIDP
csvData17302070__11.csv,POS
csvData17302070__11.csv,Team
csvData14780613__0.csv,DRB%
csvData14780613__0.csv,GmSc
csvData14780613__0.csv,ORB%
csvData14780613__0.csv,TRB%
csvData14780613__0.csv,USG%
csvData10602310__2.csv,AST%
csvData10602310__2.csv,BLK%
csvData10602310__2.csv,DRB%
csvData10602310__2.csv,Date
csvData10602310__2.csv,GmSc
csvData10602310__2.csv,TS%
csvData18562133__2.csv,OBP
csvData18562133__2.csv,POS
csvData18562133__2.csv,Player
csvData18562133__2.csv,SLG
csvData19621512__17.csv,AGE
csvData19621512__17.csv,PPF
csvData19621512__17.csv,TEAM
csvData19621512__17.csv,VORP
csvData19621512__17.csv,oppOBP
csvData19621512__17.csv,oppRPA+
csvData14518660__12.csv,Rbaser
csvData14518660__12.csv,Rbat
csvData14518660__12.csv,Rpos
csvData4676916__9.csv,AVG
csvData4676916__9.csv,OPS
csvData4676916__9.csv,Team
csvData15745723__7.csv,AVG
csvData15745723__7.csv,GIDP
csvData15745723__7.csv,OBP
csvData15745723__7.csv,OPS
csvData15745723__7.csv,SLG
csvData4269776__2.csv,Age
csvData4269776__2.csv,BLK%
csvData4269776__2.csv,DRtg
csvData4269776__2.csv,ORB%
csvData4269776__2.csv,ORtg
csvData4269776__2.csv,STL%
csvData4269776__2.csv,eFG%
csvData17377633__3.csv,BLK%
csvData17377633__3.csv,DRtg
csvData17377633__3.csv,GmSc
csvData17377633__3.csv,TRB%
csvData29453038__18.csv,Team
csvData24131822__5.csv,PPF
csvData24131822__5.csv,oppOBP
csvData24131822__5.csv,oppRPA+
csvData24131822__5.csv,oppSLG
csvData24131822__5.csv,oppTAv
csvData9371268__3.csv,DRtg
csvData9371268__3.csv,Date
csvData9371268__3.csv,GmSc
csvData9371268__3.csv,USG%
csvData9371268__3.csv,eFG%
csvData26651945__9.csv,GIDP
csvData26651945__9.csv,Player
csvData26651945__9.csv,Team
csvData7615166__6.csv,Player
csvData22475593__0.csv,AST%
csvData22475593__0.csv,DRB%
csvData22475593__0.csv,DRtg
csvData22475593__0.csv,Opp
csvData22475593__0.csv,TRB%
csvData22475593__0.csv,TS%
csvData22475593__0.csv,USG%
csvData25437325__3.csv,AVG
csvData25437325__3.csv,OBP
csvData25437325__3.csv,POS
csvData25437325__3.csv,Player
csvData25437325__3.csv,Team
csvData9768769__0.csv,GIDP
csvData9768769__0.csv,OBP
csvData9768769__0.csv,OPS
csvData9768769__0.csv,POS
csvData9768769__0.csv,SLG
csvData17302070__4.csv,OBP
csvData17302070__4.csv,OPS
csvData17302070__4.csv,Player
csvData17302070__4.csv,SLG
csvData17302070__4.csv,Team
csvData29383799__16.csv,GIDP
csvData29383799__16.csv,POS
csvData29383799__16.csv,Player
csvData29383799__16.csv,Team
csvData1431383__0.csv,Age
csvData1431383__0.csv,DRtg
csvData1431383__0.csv,Date
csvData1431383__0.csv,GmSc
csvData1431383__0.csv,TRB%
csvData23003743__3.csv,GIDP
csvData23003743__3.csv,OPS
csvData23003743__3.csv,Team
csvData1761445__4.csv,Date
csvData1761445__4.csv,Opponent
csvData1761445__4.csv,hbp
csvData15965777__12.csv,OBP
csvData15965777__12.csv,POS
csvData7104405__2.csv,Team
csvData25794067__0.csv,AST%
csvData25794067__0.csv,Age
csvData25794067__0.csv,TRB%
csvData25794067__0.csv,TS%
csvData20535739__12.csv,OBP
csvData20535739__12.csv,OPS
csvData20535739__12.csv,Player
csvData20535739__12.csv,Team
csvData18661263__14.csv,OPS
csvData18661263__14.csv,POS
csvData18661263__14.csv,Player
csvData18661263__14.csv,Team
csvData6027794__15.csv,AGE
csvData6027794__15.csv,AVG
csvData6027794__15.csv,oppOPS
csvData6027794__15.csv,oppSLG
csvData6027794__15.csv,oppTAv
csvData22060727__0.csv,DRB%
csvData22060727__0.csv,GmSc
csvData22060727__0.csv,ORB%
csvData22060727__0.csv,TRB%
csvData22060727__0.csv,TS%
csvData23033509__3.csv,GIDP
csvData23033509__3.csv,OPS
csvData23033509__3.csv,Player
csvData20075499__8.csv,OBP
csvData20075499__8.csv,RBI
csvData20075499__8.csv,SLG
csvData20075499__8.csv,Team
csvData2485779__4.csv,OPS
csvData2485779__4.csv,RBI
csvData2485779__4.csv,Team
csvData20535739__9.csv,SLG
csvData15894443__10.csv,AVG
csvData15894443__10.csv,OBP
csvData15894443__10.csv,SLG
csvData15894443__10.csv,oppOBP
csvData5124506__0.csv,AVG
csvData5124506__0.csv,Player
csvData5124506__0.csv,Team
csvData21873021__8.csv,AVG
csvData21873021__8.csv,GIDP
csvData21873021__8.csv,Player
csvData21873021__8.csv,SLG
csvData2877720__10.csv,AVG
csvData2877720__10.csv,Team
csvData27987124__13.csv,GIDP
csvData27987124__13.csv,Player
csvData27987124__13.csv,RBI
csvData23141915__1.csv,AST%
csvData23141915__1.csv,Age
csvData23141915__1.csv,BLK%
csvData23141915__1.csv,DRB%
csvData23141915__1.csv,DRtg
csvData23141915__1.csv,ORB%
csvData23141915__1.csv,ORtg
csvData23141915__1.csv,TOV%
csvData2761087__0.csv,RBI
csvData2761087__0.csv,Team
csvData27987124__0.csv,AVG
csvData27987124__0.csv,GIDP
csvData27987124__0.csv,OPS
csvData27987124__0.csv,POS
csvData27987124__0.csv,Player
csvData27987124__0.csv,SLG
csvData6444295__7.csv,BPG
csvData6444295__7.csv,MPG
csvData6444295__7.csv,ORB
csvData19688700__5.csv,GIDP
csvData19688700__5.csv,OPS
csvData19688700__5.csv,Player
csvData19688700__5.csv,RBI
csvData10508770__4.csv,GIDP
csvData10508770__4.csv,OBP
csvData10508770__4.csv,OPS
csvData10508770__4.csv,Player
csvData25019043__1.csv,DRtg
csvData25019043__1.csv,GmSc
csvData25019043__1.csv,ORB%
csvData25019043__1.csv,TRB%
csvData25019043__1.csv,USG%
csvData25019043__1.csv,eFG%
csvData4676916__10.csv,OPS
csvData4676916__10.csv,Team
csvData11284975__0.csv,AST%
csvData11284975__0.csv,DRtg
csvData11284975__0.csv,Opp
csvData11284975__0.csv,STL%
csvData11284975__0.csv,TRB%
csvData11284975__0.csv,eFG%
csvData1644016__5.csv,AST%
csvData1644016__5.csv,BLK%
csvData1644016__5.csv,DRB%
csvData1644016__5.csv,ORB%
csvData18562133__3.csv,OBP
csvData18562133__3.csv,POS
csvData18562133__3.csv,Player
csvData18562133__3.csv,SLG
csvData13336059__19.csv,Player
csvData5376485__14.csv,OPS
csvData5376485__14.csv,POS
csvData3726343__7.csv,AVG
csvData3726343__7.csv,GIDP
csvData3726343__7.csv,Team
csvData19130941__0.csv,GIDP
csvData19130941__0.csv,OPS
csvData19130941__0.csv,Player
csvData19130941__0.csv,RBI
csvData19130941__0.csv,SLG
csvData16461238__2.csv,Opponent
csvData26655046__1.csv,ORB%
csvData26655046__1.csv,ORtg
csvData26655046__1.csv,TRB%
csvData26655046__1.csv,TS%
csvData26655046__1.csv,USG%
csvData6468042__1.csv,BLK
csvData6468042__1.csv,STL
csvData21084464__3.csv,Player
csvData5376485__12.csv,OPS
csvData25283220__1.csv,Team
csvData13997791__2.csv,SLG
csvData13726780__2.csv,BLK%
csvData13726780__2.csv,DRtg
csvData13726780__2.csv,Date
csvData13726780__2.csv,ORB%
csvData13726780__2.csv,TS%
csvData13726780__2.csv,USG%
