G,oppAVG,PA,oppOPS,TEAM,SLG,AB,GS,VORP,IP
42,0.249,200,0.718,BOS,0.293,188,0,7.7,51.3
32,0.255,131,0.735,PHI,0.327,107,0,4.1,27.3
30,0.25,461,0.72,NYA,0.455,415,17,6.1,107.3
18,0.252,457,0.711,HOU,0.48,408,18,4.1,104.3
45,0.257,163,0.715,ARI,0.463,136,0,1.4,37.3
11,0.259,50,0.734,SDN,0.364,44,0,0.2,11.7
18,0.25,134,0.699,CHA,0.586,128,1,-6.7,30.0
42,0.254,306,0.716,CHA,0.348,256,4,3.4,70.3
11,0.284,26,0.786,LAN,0.136,22,0,0.8,6.7
33,0.259,944,0.747,TBA,0.383,869,33,19.2,227.7
33,0.256,858,0.722,CIN,0.39,777,33,21.2,209.3
8,0.257,156,0.739,TBA,0.312,141,8,6.1,38.0
13,0.255,73,0.718,KCA,0.4,60,0,0.4,13.3
70,0.251,303,0.706,MIL,0.447,275,0,1.6,68.3
17,0.259,119,0.713,CHN,0.547,106,1,-3.9,24.3
76,0.256,344,0.729,KCA,0.342,316,0,15.4,84.3
5,0.253,66,0.73,BAL,0.482,56,2,-0.2,15.3
1,0.244,22,0.663,SDN,0.526,19,1,-0.0,5.0
31,0.254,791,0.718,OAK,0.424,745,31,21.4,190.0
31,0.25,788,0.705,SFN,0.379,707,31,17.7,189.7
23,0.259,416,0.729,DET,0.423,376,18,14.5,99.3
9,0.254,102,0.736,TOR,0.562,89,2,-3.1,21.3
11,0.238,51,0.677,WAS,0.564,39,0,-0.1,9.3
1,0.293,3,0.844,OAK,0.333,3,0,0.1,0.7
4,0.228,45,0.658,SFN,0.548,42,1,1.0,9.7
3,0.24,14,0.687,ANA,0.3,10,0,-1.0,2.3
19,0.258,456,0.74,MIN,0.584,421,19,-14.5,98.7
1,0.265,24,0.773,BOS,0.273,22,0,2.8,5.7
11,0.26,268,0.743,MIN,0.508,256,11,-0.4,63.0
23,0.258,81,0.74,BOS,0.279,68,0,3.6,20.0
22,0.26,84,0.731,SLN,0.397,73,0,-0.6,19.3
44,0.257,177,0.71,SFN,0.331,163,0,3.9,43.7
31,0.25,759,0.72,TBA,0.38,663,31,24.3,177.3
65,0.26,301,0.729,CHA,0.351,262,0,7.1,71.7
33,0.259,196,0.728,SDN,0.366,172,5,3.4,46.3
32,0.258,882,0.727,CHA,0.387,816,32,24.7,219.0
29,0.263,97,0.743,SLN,0.323,93,0,2.9,26.3
18,0.258,434,0.735,BAL,0.389,391,15,10.7,105.3
33,0.258,939,0.739,SEA,0.333,867,33,35.8,232.0
29,0.254,730,0.72,TEX,0.446,666,27,-1.0,175.3
45,0.251,216,0.702,NYN,0.395,185,0,-5.9,47.3
13,0.257,93,0.738,DET,0.41,83,0,0.7,22.3
4,0.254,85,0.707,CHN,0.526,76,4,0.2,18.7
12,0.257,253,0.724,CHA,0.405,215,11,3.9,56.7
14,0.26,50,0.741,CHN,0.3,40,0,1.8,12.0
31,0.253,142,0.707,ATL,0.273,128,0,6.5,36.0
2,0.269,34,0.776,BOS,1.03,33,2,-3.0,5.7
50,0.26,226,0.73,DET,0.296,189,0,9.8,54.7
65,0.256,224,0.737,PHI,0.358,193,0,7.4,52.0
3,0.267,21,0.784,TBA,0.813,16,0,-0.4,3.3
72,0.259,278,0.737,ARI,0.282,252,0,16.5,68.3
67,0.256,280,0.719,SDN,0.369,241,0,-2.7,66.7
32,0.26,112,0.727,CHA,0.426,101,0,-4.9,26.7
43,0.253,162,0.713,PIT,0.407,135,0,2.4,35.7
30,0.255,747,0.729,ANA,0.463,691,30,13.6,176.7
48,0.256,237,0.725,CIN,0.327,208,0,9.3,57.3
3,0.251,20,0.728,ANA,0.579,19,0,-2.0,3.7
6,0.257,54,0.726,SLN,0.204,49,1,4.3,13.7
15,0.261,347,0.736,MIN,0.392,286,15,-5.4,79.0
12,0.258,285,0.729,MIA,0.418,251,12,1.2,63.0
10,0.241,36,0.713,TOR,0.7,30,0,-2.3,8.0
17,0.257,375,0.74,MIN,0.438,349,16,4.9,87.7
75,0.259,289,0.736,OAK,0.253,257,0,6.3,74.7
37,0.252,325,0.724,BOS,0.378,286,9,7.8,76.3
6,0.258,138,0.731,PHI,0.488,127,6,-0.2,33.0
1,0.255,4,0.73,PHI,0.5,4,0,0.7,0.7
40,0.249,180,0.703,ARI,0.38,163,0,3.1,43.3
1,0.261,6,0.783,BOS,1.5,4,0,-0.6,1.0
25,0.258,87,0.733,CIN,0.361,83,0,5.2,22.3
14,0.256,72,0.735,MIL,0.385,65,0,2.2,16.7
18,0.258,198,0.733,KCA,0.405,173,6,3.2,44.0
41,0.256,161,0.731,MIA,0.407,150,0,-4.0,39.0
5,0.254,49,0.726,ANA,0.467,45,0,1.2,10.3
1,0.258,6,0.728,ARI,0.5,4,0,-0.1,1.0
3,0.252,72,0.725,SLN,0.424,66,3,1.5,17.0
73,0.257,272,0.738,SFN,0.363,245,0,-2.5,63.3
2,0.242,24,0.717,ATL,0.217,23,1,1.2,6.3
22,0.258,106,0.725,PHI,0.398,88,1,-1.8,25.0
31,0.259,807,0.746,TOR,0.473,744,31,-11.5,187.3
64,0.263,244,0.751,PIT,0.35,217,0,13.2,58.7
9,0.255,202,0.726,ARI,0.54,187,9,-1.3,45.3
76,0.255,257,0.721,ATL,0.396,225,0,-2.3,61.0
7,0.269,183,0.741,LAN,0.395,167,7,2.7,43.0
8,0.255,202,0.716,LAN,0.299,177,8,1.9,48.7
6,0.26,34,0.751,PHI,0.839,31,0,-5.0,6.3
6,0.256,33,0.721,TOR,0.75,28,0,0.0,6.3
64,0.257,230,0.737,ATL,0.302,205,0,3.5,57.3
12,0.255,57,0.712,PIT,0.388,49,0,0.5,12.0
18,0.252,69,0.696,KCA,0.292,65,0,2.1,17.3
28,0.247,123,0.703,CIN,0.264,106,0,4.5,30.7
5,0.25,116,0.719,CHN,0.548,104,5,-5.5,24.3
11,0.252,48,0.703,SDN,0.395,43,0,1.2,10.3
20,0.258,395,0.727,CLE,0.471,348,17,-5.6,90.7
10,0.261,245,0.732,NYN,0.338,210,10,11.3,59.3
5,0.258,130,0.706,SDN,0.333,120,5,3.0,31.0
1,0.242,4,0.653,CHA,0.333,3,0,3.3,1.0
54,0.251,224,0.719,BAL,0.335,209,0,9.4,55.7
6,0.258,47,0.736,BAL,0.488,41,0,-0.1,10.3
30,0.259,709,0.737,KCA,0.411,632,25,7.1,166.0
14,0.265,366,0.755,KCA,0.36,339,14,8.4,91.0
23,0.244,459,0.681,COL,0.48,396,20,-0.0,98.0
12,0.248,57,0.709,SFN,0.491,53,0,2.1,12.3
11,0.257,227,0.721,ATL,0.544,206,10,-3.5,48.3
59,0.254,194,0.72,NYA,0.358,173,0,6.6,46.0
35,0.258,134,0.729,HOU,0.439,123,0,-0.6,30.7
37,0.253,674,0.716,PHI,0.416,606,25,10.2,159.3
51,0.256,168,0.734,KCA,0.379,145,0,4.6,38.7
6,0.259,137,0.716,OAK,0.295,129,6,5.5,35.0
8,0.26,99,0.723,NYN,0.663,86,4,-0.9,21.3
34,0.255,107,0.726,NYN,0.398,93,0,-1.7,25.7
31,0.26,832,0.727,MIA,0.423,751,31,14.7,191.0
14,0.255,145,0.724,BAL,0.376,125,2,-1.9,32.3
10,0.25,158,0.714,WAS,0.586,133,5,-5.3,32.3
21,0.251,560,0.706,PHI,0.458,530,20,10.0,133.3
4,0.24,32,0.687,SLN,0.633,30,0,-0.4,6.3
10,0.256,170,0.749,TOR,0.385,148,6,13.2,40.3
7,0.258,160,0.737,MIN,0.629,140,7,-6.8,34.0
48,0.256,197,0.722,LAN,0.431,174,0,-1.3,47.7
31,0.25,798,0.703,MIA,0.363,713,31,18.9,191.3
26,0.252,462,0.714,CHA,0.496,409,16,0.3,102.0
66,0.256,257,0.73,TEX,0.357,238,0,13.0,64.3
75,0.258,295,0.736,COL,0.386,251,0,11.9,67.7
21,0.253,504,0.707,MIL,0.357,473,21,34.3,123.0
30,0.257,143,0.718,HOU,0.484,126,0,2.3,29.7
34,0.259,827,0.735,KCA,0.486,764,34,19.3,191.7
24,0.253,457,0.718,SLN,0.407,413,16,1.9,107.0
11,0.239,257,0.671,COL,0.487,230,11,7.8,58.0
35,0.256,140,0.721,PHI,0.535,129,0,-5.1,31.3
13,0.26,364,0.741,ANA,0.379,330,13,6.7,89.3
32,0.245,822,0.698,WAS,0.299,725,32,37.0,199.3
2,0.247,9,0.671,SLN,0.571,7,0,-0.1,1.7
73,0.257,288,0.734,DET,0.432,259,0,7.9,71.0
11,0.256,66,0.725,MIA,0.525,59,0,-2.0,14.7
12,0.257,67,0.738,CHN,0.339,56,0,-0.9,14.7
10,0.257,48,0.736,PIT,0.341,44,0,2.9,11.3
6,0.247,29,0.711,PHI,0.44,25,0,0.7,5.7
6,0.243,40,0.717,TOR,0.588,34,0,-2.0,9.0
33,0.252,123,0.738,SEA,0.324,111,0,4.8,29.7
2,0.272,10,0.78,SEA,1.333,9,0,-2.6,1.3
35,0.25,744,0.706,SLN,0.401,663,29,28.4,176.0
27,0.25,105,0.704,SDN,0.292,96,0,1.8,26.3
34,0.253,166,0.713,MIL,0.45,149,0,5.7,37.0
24,0.248,86,0.707,SLN,0.324,74,0,0.8,20.0
25,0.26,568,0.727,CHA,0.422,517,22,10.2,136.3
35,0.254,591,0.715,MIA,0.358,491,20,-1.9,132.3
52,0.262,253,0.739,HOU,0.489,219,0,-2.6,55.0
20,0.256,102,0.726,NYN,0.444,81,0,0.6,21.3
65,0.259,252,0.729,LAN,0.274,226,0,12.2,65.0
28,0.251,375,0.696,ARI,0.434,348,11,9.1,90.3
63,0.254,254,0.72,PIT,0.341,214,0,5.3,59.7
5,0.249,22,0.69,TBA,0.75,20,0,-2.2,5.0
28,0.246,653,0.692,WAS,0.359,591,28,43.4,159.3
3,0.273,37,0.766,KCA,0.5,34,0,0.8,8.0
44,0.258,191,0.73,OAK,0.341,176,0,13.5,47.3
28,0.253,748,0.732,NYA,0.511,673,28,10.4,170.3
13,0.251,233,0.702,SDN,0.505,204,9,1.5,48.7
70,0.257,196,0.733,SLN,0.408,179,0,-4.5,46.7
31,0.249,790,0.708,WAS,0.421,713,31,13.4,189.7
8,0.258,33,0.732,NYA,0.448,29,0,0.0,7.3
18,0.259,469,0.726,OAK,0.393,430,18,12.0,111.0
18,0.257,109,0.738,SEA,0.333,96,0,6.5,25.0
53,0.251,169,0.743,BOS,0.292,144,0,5.7,40.3
72,0.257,278,0.723,CLE,0.305,249,0,3.8,67.0
33,0.246,860,0.699,MIL,0.392,762,33,25.5,204.0
21,0.25,94,0.723,CHN,0.365,74,0,1.1,20.7
70,0.257,284,0.727,PHI,0.344,259,0,12.5,70.0
22,0.25,434,0.704,COL,0.43,372,22,12.8,96.7
6,0.247,28,0.705,BAL,0.6,25,0,-1.3,6.0
9,0.254,33,0.693,CLE,0.643,28,0,-1.3,6.0
24,0.254,49,0.73,CHA,0.178,45,0,3.6,13.0
40,0.262,160,0.733,LAN,0.375,136,0,-0.8,37.7
32,0.254,839,0.705,ARI,0.38,736,32,4.6,200.0
33,0.255,891,0.725,NYA,0.406,822,33,19.5,219.7
15,0.262,336,0.745,OAK,0.35,314,15,8.9,82.3
10,0.263,42,0.762,CHN,0.433,30,0,-3.4,8.7
21,0.25,527,0.695,MIL,0.411,474,21,11.3,124.0
32,0.256,800,0.736,KCA,0.471,719,32,6.0,185.3
18,0.254,136,0.715,ATL,0.496,121,0,0.3,31.0
26,0.266,68,0.757,SDN,0.197,61,0,3.3,16.7
7,0.25,169,0.705,SDN,0.462,145,7,-3.1,37.3
3,0.232,20,0.706,TOR,0.824,17,0,-0.9,2.7
38,0.258,521,0.739,TOR,0.446,466,16,12.1,125.3
8,0.249,175,0.709,TEX,0.32,150,7,0.6,42.7
12,0.254,57,0.714,HOU,0.348,46,0,1.7,12.0
19,0.252,89,0.72,SLN,0.263,80,0,4.0,22.7
13,0.249,88,0.707,CHN,0.471,70,0,-3.3,16.0
6,0.253,121,0.737,KCA,0.408,103,6,3.8,27.7
60,0.257,236,0.724,COL,0.377,220,0,12.7,57.7
50,0.258,198,0.733,ANA,0.423,175,0,-3.1,45.7
22,0.26,97,0.722,COL,0.517,87,0,-0.7,22.3
7,0.256,135,0.722,CHN,0.496,121,7,3.4,29.7
67,0.259,309,0.733,MIN,0.341,276,0,4.7,71.7
66,0.259,267,0.729,WAS,0.409,237,0,-2.0,66.3
10,0.243,107,0.697,PIT,0.371,97,3,2.1,26.3
24,0.256,411,0.715,SDN,0.403,367,15,-1.0,97.0
59,0.251,370,0.71,WAS,0.34,326,0,11.7,88.3
73,0.26,256,0.736,CIN,0.308,237,0,14.1,61.0
5,0.247,65,0.712,TEX,0.55,60,2,3.0,14.0
65,0.248,248,0.715,NYA,0.348,227,0,14.2,60.7
8,0.264,52,0.735,NYN,0.279,43,1,0.6,12.3
4,0.273,29,0.798,ANA,0.632,19,0,-3.2,5.0
30,0.254,728,0.721,ATL,0.407,651,30,3.9,179.3
29,0.254,802,0.73,BOS,0.426,711,29,0.9,189.3
33,0.257,887,0.734,SEA,0.421,820,33,-4.1,217.3
7,0.261,21,0.742,LAN,0.368,19,0,-0.4,5.7
21,0.251,547,0.724,BOS,0.432,493,21,4.9,127.3
3,0.256,62,0.733,CLE,0.625,56,3,-3.3,14.3
55,0.25,203,0.723,TBA,0.383,175,0,-1.0,50.3
63,0.256,261,0.728,OAK,0.344,224,0,2.3,65.3
4,0.265,24,0.719,NYA,0.524,21,0,-0.7,4.7
32,0.251,829,0.723,TOR,0.44,703,32,-6.8,181.0
73,0.258,233,0.727,NYN,0.367,215,0,3.0,57.7
66,0.253,316,0.71,PIT,0.385,288,0,-4.8,75.7
36,0.256,269,0.717,CIN,0.398,236,0,10.0,61.0
23,0.252,131,0.7,COL,0.477,111,0,4.6,25.7
14,0.255,43,0.726,CIN,0.519,27,0,-4.7,8.7
12,0.26,281,0.741,CLE,0.484,258,12,3.2,63.0
27,0.256,714,0.726,MIN,0.423,671,27,8.6,173.0
27,0.248,126,0.721,TOR,0.389,108,0,7.2,29.3
9,0.255,238,0.726,CHA,0.445,209,9,-0.4,53.7
5,0.25,119,0.706,SDN,0.481,106,5,-0.9,27.7
2,0.257,33,0.744,COL,0.731,26,2,-1.3,5.7
6,0.268,26,0.752,SLN,0.5,20,0,-0.8,5.0
32,0.253,807,0.704,ARI,0.395,757,29,28.2,194.7
63,0.259,231,0.746,ATL,0.172,215,0,20.8,62.7
68,0.269,286,0.759,LAN,0.278,252,0,2.9,71.0
70,0.256,286,0.738,CLE,0.348,256,0,9.6,70.0
57,0.259,218,0.723,ARI,0.332,202,0,10.7,54.3
70,0.255,239,0.727,WAS,0.367,221,0,9.2,56.7
40,0.263,144,0.738,SDN,0.229,131,0,6.9,39.0
33,0.255,573,0.723,BAL,0.527,533,20,-11.0,133.7
25,0.254,284,0.714,MIA,0.403,258,9,5.0,68.7
8,0.261,95,0.735,MIL,0.581,86,3,-0.1,22.0
26,0.25,152,0.712,CLE,0.462,132,0,2.1,35.3
12,0.25,143,0.704,CHN,0.464,112,4,1.4,28.7
4,0.226,18,0.645,NYN,0.824,17,0,-2.0,3.7
11,0.258,256,0.738,TOR,0.43,230,11,0.2,58.7
77,0.261,263,0.734,ARI,0.287,237,0,2.2,68.7
2,0.276,10,0.766,TOR,0.75,8,0,0.5,1.0
3,0.228,22,0.639,CIN,0.35,20,0,1.1,5.0
19,0.239,97,0.677,HOU,0.558,86,0,0.6,19.0
66,0.259,307,0.717,LAN,0.326,267,0,0.6,67.7
8,0.257,21,0.715,ATL,0.333,18,0,-1.1,5.0
33,0.253,817,0.713,LAN,0.41,741,33,14.1,198.3
6,0.255,143,0.717,WAS,0.361,122,6,5.6,32.7
30,0.253,739,0.723,ANA,0.34,686,30,14.9,188.7
45,0.255,196,0.722,LAN,0.331,166,0,4.3,45.0
3,0.262,10,0.75,TEX,0.0,6,0,-0.8,2.0
1,0.239,18,0.694,ANA,0.222,18,1,2.4,5.0
62,0.256,238,0.726,CHA,0.43,214,0,7.3,55.0
4,0.248,25,0.682,SFN,0.524,21,0,-1.0,5.0
70,0.253,155,0.73,NYA,0.296,135,0,3.9,38.3
64,0.261,252,0.719,ARI,0.4,220,0,-0.4,59.3
33,0.253,414,0.717,NYA,0.377,363,11,7.5,99.7
29,0.264,751,0.751,OAK,0.358,670,29,25.0,181.3
12,0.248,27,0.754,ANA,0.304,23,0,0.9,6.0
37,0.251,208,0.708,HOU,0.508,183,6,6.1,46.0
6,0.249,15,0.728,SFN,0.1,10,0,-0.0,3.7
8,0.244,31,0.701,CLE,0.37,27,0,-1.7,7.7
26,0.265,91,0.738,SFN,0.538,80,0,0.7,20.7
19,0.247,108,0.697,PHI,0.474,95,0,-1.3,25.0
58,0.256,265,0.737,TEX,0.321,237,0,6.5,65.0
77,0.26,294,0.73,SDN,0.332,265,0,7.3,71.7
2,0.227,11,0.648,CHA,0.25,8,0,-0.3,2.7
69,0.255,263,0.723,BAL,0.36,242,0,12.2,67.0
26,0.259,107,0.732,PHI,0.404,89,0,-1.6,23.3
17,0.259,57,0.74,NYN,0.44,50,0,-1.4,13.3
12,0.26,316,0.727,DET,0.4,295,12,10.3,74.7
1,0.252,7,0.715,MIN,0.333,6,0,0.2,1.7
55,0.256,141,0.714,SDN,0.342,120,0,4.7,31.7
40,0.256,111,0.74,MIN,0.372,94,0,-2.0,25.0
19,0.254,112,0.725,SFN,0.51,102,0,-3.5,25.3
14,0.248,72,0.717,TOR,0.53,66,0,0.3,15.7
9,0.259,52,0.749,MIN,0.673,49,0,-0.1,11.0
50,0.253,520,0.709,ATL,0.286,496,12,26.4,138.0
8,0.262,177,0.738,SDN,0.468,158,8,2.0,40.3
28,0.254,723,0.712,CHN,0.396,654,28,19.6,174.7
1,0.277,4,0.702,LAN,0.0,2,0,-0.6,0.7
65,0.259,256,0.732,SLN,0.386,223,0,5.4,58.7
3,0.26,59,0.756,DET,0.563,48,3,-3.6,12.3
2,0.256,11,0.77,BOS,0.5,10,0,-0.1,3.0
31,0.259,805,0.736,CLE,0.452,697,31,7.0,176.7
26,0.259,638,0.741,SEA,0.473,598,26,-0.1,152.3
68,0.264,275,0.748,MIA,0.336,235,0,7.1,63.7
37,0.252,130,0.719,TEX,0.288,125,0,5.4,36.0
16,0.259,56,0.749,LAN,0.391,46,0,-2.9,14.0
3,0.26,85,0.711,NYN,0.35,80,3,6.6,19.7
27,0.247,113,0.706,PHI,0.262,107,1,6.3,31.0
37,0.256,172,0.739,BOS,0.301,163,0,10.7,44.0
34,0.255,155,0.733,BAL,0.326,138,0,3.8,36.3
