IP,oppRPA+,GS,YEAR,AVG,PA,oppOBP,TEAM
16.0,100,0,2012,0.302,72,0.317,DET
39.0,94,0,2012,0.286,171,0.309,NYA
0.7,107,0,2012,0.667,8,0.321,TOR
13.7,108,0,2012,0.212,56,0.324,WAS
77.7,104,0,2012,0.261,327,0.322,CHN
159.3,93,28,2012,0.23,653,0.308,WAS
1.7,94,1,2012,0.615,15,0.295,KCA
2.0,100,0,2012,0.167,7,0.321,CHA
30.0,91,1,2012,0.32,134,0.309,CHA
45.7,103,0,2012,0.251,198,0.322,ANA
120.3,99,20,2012,0.256,503,0.313,CHN
42.3,103,0,2012,0.269,197,0.321,NYN
15.7,105,0,2012,0.328,72,0.323,COL
25.7,100,0,2012,0.204,107,0.322,NYN
64.0,100,12,2012,0.309,296,0.314,CHN
130.7,95,21,2012,0.26,558,0.31,HOU
9.3,91,0,2012,0.308,51,0.307,WAS
39.3,109,7,2012,0.237,172,0.324,OAK
13.3,99,0,2012,0.317,73,0.315,KCA
29.3,100,0,2012,0.241,120,0.315,MIN
3.7,104,0,2012,0.1,15,0.327,SFN
43.7,100,0,2012,0.209,177,0.316,SFN
199.3,94,32,2012,0.206,822,0.307,WAS
14.0,92,0,2012,0.345,69,0.313,MIL
58.7,99,0,2012,0.265,273,0.318,MIL
74.7,101,12,2012,0.275,316,0.322,DET
7.7,95,0,2012,0.185,31,0.307,CLE
57.3,105,0,2012,0.229,230,0.323,ATL
219.7,101,33,2012,0.249,891,0.318,NYA
7.3,102,0,2012,0.345,33,0.312,NYA
14.3,104,0,2012,0.157,58,0.323,CHA
1.7,78,0,2012,0.429,9,0.286,SLN
13.3,104,1,2012,0.278,56,0.317,MIA
190.3,95,30,2012,0.241,788,0.308,NYN
6.7,118,0,2012,0.136,26,0.348,LAN
5.0,97,0,2012,0.125,20,0.313,PIT
202.3,96,31,2012,0.246,851,0.312,PIT
34.7,97,0,2012,0.238,138,0.312,CHA
69.7,102,0,2012,0.216,295,0.321,KCA
29.7,98,7,2012,0.314,135,0.311,CHN
5.7,115,2,2012,0.515,34,0.33,BOS
73.7,98,0,2012,0.276,330,0.314,PIT
16.3,95,4,2012,0.23,77,0.309,ARI
79.0,101,0,2012,0.253,339,0.316,COL
54.7,105,0,2012,0.246,243,0.326,CIN
114.7,107,18,2012,0.272,496,0.323,BAL
189.7,97,31,2012,0.243,790,0.312,WAS
6.0,98,0,2012,0.28,28,0.308,BAL
9.3,104,0,2012,0.306,42,0.33,KCA
46.7,97,5,2012,0.29,220,0.311,NYN
59.0,106,9,2012,0.32,264,0.328,TEX
57.7,103,0,2012,0.248,235,0.321,SDN
39.0,94,7,2012,0.243,165,0.305,MIL
35.3,104,0,2012,0.182,151,0.325,TEX
2.0,110,0,2012,0.444,10,0.331,OAK
27.0,102,0,2012,0.216,120,0.316,TBA
1.0,100,0,2012,0.4,5,0.317,ARI
63.0,102,12,2012,0.279,285,0.321,MIA
70.3,98,4,2012,0.211,306,0.318,CHA
89.7,101,16,2012,0.313,396,0.316,KCA
174.7,99,28,2012,0.24,723,0.314,CHN
14.7,105,0,2012,0.214,67,0.329,CHN
12.3,112,3,2012,0.321,61,0.334,DET
3.7,108,0,2012,0.368,20,0.313,ANA
51.3,98,0,2012,0.223,200,0.315,BOS
1.0,98,0,2012,0.5,7,0.311,TEX
79.3,105,0,2012,0.202,326,0.321,SEA
35.3,97,0,2012,0.288,152,0.314,CLE
30.3,105,0,2012,0.237,127,0.32,HOU
8.7,101,0,2012,0.222,43,0.324,CIN
30.7,109,0,2012,0.23,131,0.326,MIL
62.7,106,0,2012,0.126,231,0.327,ATL
54.3,105,0,2012,0.14,219,0.322,ANA
2.0,66,0,2012,0.429,9,0.268,COL
73.3,107,13,2012,0.327,342,0.324,OAK
61.3,97,5,2012,0.285,263,0.315,KCA
97.0,97,15,2012,0.243,411,0.314,SDN
6.3,97,0,2012,0.357,33,0.316,TOR
30.7,101,6,2012,0.281,137,0.316,SDN
70.3,96,0,2012,0.189,284,0.311,TBA
56.3,101,10,2012,0.289,241,0.315,LAN
20.7,99,0,2012,0.237,86,0.319,DET
29.0,100,6,2012,0.322,136,0.32,SDN
11.3,101,3,2012,0.37,57,0.314,COL
56.7,99,11,2012,0.251,253,0.319,CHA
9.7,89,1,2012,0.333,45,0.299,SFN
63.3,103,0,2012,0.224,272,0.322,SFN
133.3,97,20,2012,0.266,560,0.311,PHI
93.7,98,13,2012,0.287,408,0.31,NYN
152.3,104,26,2012,0.279,638,0.322,SEA
107.0,97,17,2012,0.28,454,0.309,ARI
21.0,101,4,2012,0.317,98,0.316,OAK
15.7,98,0,2012,0.318,72,0.313,TOR
73.7,100,0,2012,0.277,313,0.316,ATL
6.0,88,0,2012,0.464,33,0.305,CLE
