AVG,POS,SB,RBI,R,BB,HR,AB
.172,1B,0,7,3,7,0,64
.279,RF,1,21,19,17,1,147
.273,3B,0,0,0,4,0,11
.216,RF,1,8,15,10,1,88
.200,RF,0,4,5,5,0,40
.284,C,7,19,22,11,2,116
.179,RF,2,8,9,3,0,145
.294,LF,2,3,2,5,1,17
.235,C,2,3,12,4,0,51
.330,LF,3,24,18,8,3,88
.257,C,0,21,16,11,0,179
.174,LF,0,3,3,1,0,23
.273,LF,0,4,5,1,1,22
.200,SS,0,0,0,1,0,5
.297,RF,5,10,23,21,0,111
.282,C,0,3,4,1,0,39
.230,CF,11,10,19,10,0,161
.175,RF,1,0,7,9,0,40
.103,3B,0,0,1,3,0,29
.500,OF,0,0,4,1,0,10
.261,SS,14,19,26,8,1,188
.333,OF,0,1,2,2,0,6
.246,LF,12,14,21,13,0,118
.169,1B,2,10,9,5,1,59
.188,1B,0,0,3,3,0,16
.226,CF,11,15,21,13,3,159
.197,1B,1,7,7,4,0,76
.165,LF,1,5,3,6,0,85
.243,SS,16,14,21,8,0,148
.194,1B,4,2,7,10,0,93
.136,DH,1,2,4,1,0,22
.286,LF,0,5,5,1,3,14
.336,2B,8,12,9,7,0,107
.167,2B,0,0,0,2,0,18
.174,2B,1,0,0,1,0,23
.265,2B,1,5,7,11,0,68
.246,CF,6,10,13,13,1,118
.195,1B,3,15,29,27,4,149
.201,3B,0,15,13,7,2,149
.238,SS,4,12,26,13,0,193
.208,SS,1,1,1,1,0,24
.158,DH,0,2,1,0,0,19
.226,3B,3,30,28,24,6,190
.257,RF,2,15,13,7,3,148
.143,C,0,2,3,6,0,28
.204,SS,3,9,20,15,0,167
.271,RF,5,9,10,3,0,96
.288,LF,13,19,23,28,0,163
.222,1B,0,7,9,9,3,99
.167,2B,0,2,1,3,0,6
.273,LF,1,4,3,4,0,44
.200,RF,1,0,1,2,0,5
.316,C,0,4,7,5,2,38
.169,3B,1,8,9,6,4,77
.196,LF,7,14,14,22,0,158
.000,2B,0,0,0,2,0,7
.000,C,0,0,0,1,0,7
.111,SS,0,0,1,0,0,9
.308,2B,4,17,18,7,5,143
.237,1B,0,3,5,8,0,38
.260,RF,5,7,5,5,0,73
.241,LF,2,21,21,23,5,137
.188,C,0,9,3,6,0,69
.133,DH,0,0,0,3,0,15
.219,CF,7,14,17,13,1,178
.143,C,0,4,0,3,0,28
.205,C,0,6,7,6,0,44
.167,1B,0,6,4,7,0,66
.244,C,2,7,12,10,0,82
.154,LF,8,2,8,5,0,39
.286,SS,0,0,1,2,0,14
.286,LF,0,1,4,3,0,21
.246,3B,2,23,22,7,3,118
.246,C,1,12,14,9,1,61
.271,1B,0,35,28,36,4,181
.244,OF,3,6,7,6,1,41
.289,1B,0,7,8,12,0,97
.229,SS,1,12,15,7,1,105
.210,1B,3,16,13,18,0,138
.230,CF,2,19,9,10,2,139
.262,1B,0,14,21,19,1,103
.214,1B,0,3,3,3,1,28
.179,3B,4,7,3,6,0,78
.141,SS,2,7,6,6,0,71
.139,LF,5,6,10,11,2,101
.222,2B,0,2,6,3,0,36
.195,2B,4,8,8,10,1,82
.210,RF,6,12,18,14,4,157
.267,OF,2,3,2,4,1,15
.429,SS,1,5,2,0,0,14
.282,CF,26,10,26,20,1,142
.226,C,0,7,9,8,0,53
.667,1B,0,0,1,0,0,3
.242,DH,0,3,4,2,0,33
.500,2B,1,0,1,2,0,4
.333,P,0,0,0,0,0,3
.291,C,2,21,17,16,1,141
.267,DH,0,8,6,2,1,60
.212,C,0,13,4,8,0,66
