PTS,GP,Team,ESG,SDS,%FO,№,TOI/G,PIM
28,48,TOR,11,1,47.8,18,14:26,42
16,33,VIT,1,0,48.9,9,15:52,28
0,6,CSK,0,0,34.0,93,11:10,0
0,6,NKH,0,0,0.0,80,11:04,4
2,16,TOR,1,0,50.0,23,6:33,6
8,43,BAR,1,0,47.3,18,11:39,18
0,4,MNK,0,0,-,74,7:16,0
38,53,AKB,13,0,62.8,26,15:28,30
6,41,MMG,2,0,-,42,7:35,43
56,53,AKB,13,1,100.0,95,18:05,24
6,30,AVT,3,0,42.1,32,12:57,8
23,47,BAR,6,0,49.9,33,15:47,36
10,49,ATL SPR,6,0,25.0,15,10:32,74
19,51,SPR TRK,5,0,37.6,50,14:34,28
17,51,SKA,10,0,35.3,39,14:34,33
8,40,SAL,1,0,57.7,22,11:45,24
20,50,DRG,6,0,46.9,75,16:20,36
2,11,NKH,1,0,47.1,30,10:38,2
3,28,LOK,2,0,33.3,24,8:15,10
18,42,AKB,7,0,54.2,27,14:46,16
15,32,SAL,3,0,50.0,28,12:44,16
1,2,SEV,0,0,-,25,5:44,0
36,53,SKA,10,1,29.6,10,14:43,28
19,49,AKB UGR,5,2,16.7,9,14:48,20
9,48,VIT,3,0,52.5,52,14:34,42
17,54,ATL,3,0,59.4,23,14:04,34
4,20,DRG,1,0,38.7,37,11:03,8
18,45,MNK,7,0,45.7,79,16:36,8
29,54,UGR,9,1,40.3,11,16:35,30
32,53,LOK,10,0,25.0,11,14:54,31
33,49,CSK,9,2,33.3,27,19:14,32
8,13,BAR,2,0,56.2,19,13:24,16
1,18,CSK,1,0,0.0,97,7:33,2
0,4,SAL,0,0,-,98,8:16,0
12,31,SPR,1,1,42.9,13,11:06,8
0,8,MMG,0,0,44.7,99,6:05,2
29,46,VIT DYN,9,1,41.9,45,15:03,111
39,53,MMG,9,0,49.6,55,18:17,12
14,54,SEV,4,0,44.7,6,17:46,26
17,47,AMR,6,0,55.1,19,15:26,8
0,2,MNK,0,0,-,15,5:13,0
14,47,MNK,3,0,47.0,34,14:58,39
9,36,TRK,4,0,33.3,39,11:23,14
29,43,DMN,7,0,50.0,8,18:57,20
20,52,AVT UGR,8,0,35.9,25,18:18,51
0,3,SAL,0,0,-,9,9:33,0
23,53,SAL,9,0,48.3,24,13:22,14
22,52,SEV SKA,4,1,46.2,10,16:56,50
1,15,MNK NKH,0,0,75.0,48,11:15,10
50,53,TOR,11,0,57.8,83,22:09,28
16,49,AMR TRK,9,0,30.6,10,12:21,18
0,2,LOK,0,0,-,61,4:34,0
21,49,AVG TRK,5,0,42.9,16,15:46,58
4,37,BAR,0,0,-,88,9:26,12
4,10,NKH,2,0,26.7,15,9:00,0
11,44,AMR,2,0,42.8,13,13:19,44
30,40,ATL MMG NKH,9,3,53.7,19,12:38,105
1,9,BAR,1,0,50.0,11,15:08,16
17,47,AMR TRK,3,0,51.9,14,14:54,12
12,50,AMR,5,0,52.7,34,13:58,16
4,29,VIT SEV,1,0,33.3,10,13:08,18
44,54,AVT LOK,10,0,37.5,16,17:22,26
23,50,BAR,12,0,50.0,62,15:46,18
25,54,SIB,5,2,44.6,18,17:56,30
48,54,MMG,6,1,54.2,47,17:04,36
8,19,AVG,3,0,-,14,12:41,14
6,46,AVG,3,0,-,74,6:42,26
1,6,SAL,0,0,0.0,71,6:17,0
2,16,LOK,1,0,48.1,91,6:27,4
15,51,DMN,7,0,52.2,10,14:57,22
18,52,UGR,5,0,47.3,18,16:21,24
8,21,NKH,4,0,45.1,60,11:58,16
0,5,AKB,0,0,40.0,28,2:27,0
11,39,ATL SIB,5,0,42.2,28,12:26,6
29,54,MMG,10,0,50.2,60,16:46,26
2,8,CSK,0,0,0.0,86,9:03,0
19,39,SAL,7,0,58.8,15,14:28,44
21,40,VIT,2,1,66.7,72,12:52,8
37,53,LOK,10,0,54.8,12,15:32,38
17,47,NKH,7,0,33.3,91,11:15,10
38,53,AKB,5,0,53.5,39,17:31,24
39,50,SKA,11,3,16.7,33,17:47,48
3,6,DYN,0,0,-,80,17:16,4
5,23,AVG,2,0,0.0,44,8:58,21
0,1,MMG,0,0,-,51,12:39,0
19,49,SPR CSK,7,0,50.0,17,15:13,24
5,34,TOR,3,0,43.5,58,11:50,18
33,54,DMN,15,2,53.9,16,17:40,46
5,25,SKA,0,0,48.9,7,11:37,14
9,25,DYN,5,0,0.0,40,11:38,10
2,8,NKH,1,0,55.0,19,15:39,8
31,54,NKH,10,0,30.8,28,16:00,20
21,49,SPR,5,0,50.0,88,11:55,38
3,32,ATL,1,1,55.7,18,15:19,10
6,52,UGR,3,0,46.5,27,12:01,30
3,16,TRK,1,0,29.1,8,9:07,14
7,18,AMR,1,0,57.1,18,15:23,14
19,53,AMR,2,0,35.0,80,15:28,67
9,45,DRG SPR,5,0,48.6,38,12:51,26
29,53,VIT,9,0,49.7,36,17:38,69
19,47,UGR,5,1,22.5,21,14:53,12
25,54,LOK,9,0,49.2,83,13:31,22
28,45,DMN,8,0,57.1,15,18:52,14
33,51,SKA,9,0,22.2,61,15:30,50
0,0,SEV,0,0,-,79,-,0
4,16,TOR,1,0,16.7,25,7:50,2
25,43,SAL,4,0,50.8,42,16:01,52
2,17,TRK,1,1,71.4,94,11:01,6
22,51,VIT,8,0,49.9,38,16:07,30
18,53,TOR,4,0,0.0,17,13:42,18
28,53,TRK,8,0,25.0,15,14:28,12
29,54,MMG,10,3,66.7,23,14:18,20
7,25,BAR TRK,2,0,46.2,17,12:12,14
5,37,AVG SAL,2,0,50.0,23,12:05,8
37,51,NKH,6,1,50.0,33,17:01,31
7,53,CSK,5,0,28.9,16,10:41,14
0,7,CSK,0,0,-,73,3:52,0
17,24,ATL NKH,3,0,49.6,9,16:26,24
0,5,ATL,0,0,-,91,3:20,2
15,52,AKB,8,0,46.4,30,12:15,32
5,36,MMG,2,0,65.7,8,9:09,24
13,45,AMR,2,0,27.9,61,12:52,36
8,30,MMG,2,0,0.0,88,10:07,18
38,51,SEV,7,0,49.9,87,17:44,22
21,54,SIB,7,0,58.3,37,16:27,27
17,43,DYN,3,0,53.7,32,15:35,24
8,37,DYN SIB SAL,3,0,47.0,58,13:44,14
6,23,VIT,4,0,66.7,25,8:54,2
4,39,AVT,2,0,0.0,14,8:39,6
16,43,TRK,3,0,37.1,43,16:18,16
6,32,DMN TOR,4,0,0.0,27,11:22,6
3,26,VIT,2,0,33.3,61,9:49,4
0,9,AMR,0,0,-,93,5:33,0
9,36,ATL SPR,3,0,45.0,29,11:37,16
20,47,NKH,6,0,54.2,71,15:26,31
1,6,TOR,1,0,0.0,80,8:25,14
19,49,UGR,6,0,42.6,14,13:14,34
20,49,SEV,5,0,47.1,13,13:34,26
7,25,AVT,2,0,33.3,29,8:22,20
