Player,Pos,Team,Opp,Rush Yards,Rush TDs,Catches,Receive Yards,Receive TDs,Total Yards,Total TDs,FF Pts
Tony Gonzalez,TE,FA,@PHI,0,0,4,40,0,40,0,4.0
Anthony Armstrong,WR,FA,IND,0,0,3,40,0,40,0,4.0
Mike Sims-Walker,WR,FA,TEN,0,0,2,40,0,40,0,4.0
Louis Murphy,WR,TBB,@SF,0,0,3,40,0,40,0,4.0
Michael Jenkins,WR,FA,@PHI,0,0,3,30,0,30,0,3.0
Robert Meachem,WR,FA*,@TB,0,0,2,30,0,30,0,3.0
Deon Butler,WR,FA,@CHI,0,0,3,30,0,30,0,3.0
Greg Camarillo,WR,FA,DAL,0,0,3,30,0,30,0,3.0
Devin Aromashodu,WR,FA,SEA,0,0,2,30,0,30,0,3.0
Deion Branch,WR,IND,BAL,0,0,2,30,0,30,0,3.0
Chris Chambers,WR,FA,@HOU,0,0,2,30,0,30,0,3.0
Jordy Nelson,WR,GBP,MIA,0,0,2,30,0,30,0,3.0
Mardy Gilyard,WR,FA,SD,0,0,4,30,0,30,0,3.0
John Carlson,TE,FA,@CHI,0,0,3,30,0,30,0,3.0
Ben Watson,TE,NOS,@PIT,0,0,4,30,0,30,0,3.0
Ted Ginn Jr.,WR,CAR,OAK,0,0,1,20,0,20,0,2.0
Visanthe Shiancoe,TE,FA,DAL,0,0,2,20,0,20,0,2.0
Darrius Heyward-Bey,WR,PIT,@SF,0,0,2,20,0,20,0,2.0
Jason Avant,WR,KCC,ATL,0,0,2,20,0,20,0,2.0
Bryant Johnson,WR,FA,@NYG,0,0,2,20,0,20,0,2.0
Devin Hester,WR,ATL,SEA,0,0,1,20,0,20,0,2.0
Antwaan Randle El,WR,FA,CLE,0,0,2,20,0,20,0,2.0
Anthony Fasano,TE,TEN,@GB,0,0,2,20,0,20,0,2.0
Josh Morgan,WR,NOS,OAK,0,0,2,20,0,20,0,2.0
Mario Manningham,WR,FA,DET,0,0,1,20,0,20,0,2.0
Golden Tate,WR,DET,@CHI,0,0,1,20,0,20,0,2.0
Dez Bryant,WR,DAL,@MIN,0,0,2,20,0,20,0,2.0
Joey Galloway,WR,FA,IND,0,0,1,20,0,20,0,2.0
Kevin Boss,TE,FA,DET,0,0,2,20,0,20,0,2.0
Sammie Stroughter,WR,FA,NO,0,0,2,20,0,20,0,2.0
Julian Edelman,WR,NEP,BAL,0,0,1,20,0,20,0,2.0
Bernard Berrian,WR,FA,DAL,0,0,1,20,0,20,0,2.0
Chansi Stuckey,WR,FA,@PIT,0,0,2,20,0,20,0,2.0
Mohamed Massaquoi,WR,FA,@PIT,0,0,1,10,0,10,0,1.0
