MPG,FGA,3PM,FTM,Team,FTA,#,FG%,BPG
39.8,68.6,8.0,11.0,Cajasol Seville Junior Team,18.6,785,0.376,4.4
40.5,63.1,5.3,14.5,Dnipro Dnipropetrovsk,20.7,168,0.435,3.7
39.9,68.5,8.4,16.9,SC Rasta Vechta,23.4,754,0.463,2.6
40.2,62.2,6.7,16.2,Yourgoody Dukes Klosterneuburg,22.8,395,0.466,2.0
40.1,66.2,5.3,14.6,Astrum Levice,22.9,604,0.454,3.8
40.3,75.2,6.2,10.6,Anibal Zahle,16.2,330,0.412,3.1
40.1,62.5,5.7,16.3,Juventus,22.7,585,0.493,2.5
40.1,63.5,6.6,14.0,Eco Orebro,19.6,500,0.433,2.1
40.3,58.5,7.7,16.7,SAV Vacallo Basket,20.1,362,0.475,0.9
40.3,63.8,5.6,12.6,Tundja Yambol,18.5,304,0.463,2.1
40.3,67.8,5.8,14.7,BSC Raiffeisen Panthers Furstenfeld,19.7,321,0.438,2.8
40.1,65.4,8.1,12.6,Gigantes,19.2,532,0.457,2.5
40.3,60.3,6.7,14.9,Virtus Roma,21.0,340,0.457,2.9
40.6,57.3,6.7,17.1,Amics Castello,22.3,133,0.441,1.6
40.0,62.3,7.0,17.1,Turi Svitavy,23.3,715,0.446,1.9
40.2,64.3,10.1,13.3,Nova Hut Ostrava,19.0,440,0.445,1.2
40.2,58.3,7.2,14.8,magnofit Gussinger Knights,20.0,393,0.446,2.1
40.0,56.6,7.5,13.5,LSU Atletas,19.9,641,0.429,2.6
40.5,62.1,8.4,15.7,SAP Vaucluse,22.0,161,0.46,1.3
40.1,62.6,7.4,15.8,Les Lions de Geneve,20.5,529,0.5,2.9
40.0,66.2,4.8,11.5,Union Olimpija Junior Team,16.8,631,0.438,2.2
0.0,78.8,8.4,15.6,Indiana Diesels,25.2,810,0.66,3.6
40.1,62.6,5.1,12.9,Naglis Palanga,20.9,530,0.419,1.8
40.0,61.6,6.1,14.6,KK Osjecki Sokol Osijek,20.0,718,0.461,1.6
39.8,61.9,7.7,15.4,Chernomorets Burgas,24.3,787,0.465,3.9
40.3,59.3,5.7,15.4,Belgacom Spirou Basket,21.9,310,0.456,1.9
40.4,59.2,8.8,14.9,La Bruixa d'Or Manresa,19.8,196,0.439,3.4
47.7,99.6,9.9,18.9,Vancouver,26.9,37,0.475,6.7
40.3,60.1,9.6,12.4,JSF Nanterre,16.9,372,0.479,1.1
40.9,62.6,3.5,11.5,SC Lusitania,16.4,77,0.42,4.2
40.3,63.8,7.7,12.7,KK Zagreb,17.2,316,0.473,1.4
48.3,78.0,8.9,18.9,Barako Bull Energy Boosters,27.4,15,0.391,2.9
48.3,84.0,9.4,19.8,Zhejiang Chouzhou,27.9,10,0.473,2.7
40.0,62.7,7.7,14.5,Tuenti Movil Estudiantes Madrid,19.0,724,0.454,3.5
45.5,66.2,7.1,15.1,Lokomotiv Kuban,21.9,48,0.49,3.2
40.2,64.2,7.4,11.6,Union Financiera Baloncesto Oviedo,16.1,392,0.458,2.1
40.0,57.9,6.1,14.4,Leyma Basquet Coruna,19.3,630,0.445,2.4
40.1,65.5,6.6,19.8,Gansos Salvajes,28.8,550,0.44,2.0
40.5,59.8,7.9,14.6,Sidigas Avellino,19.9,157,0.463,2.1
40.4,61.4,6.2,15.3,Vestelspor Manisa,24.0,199,0.438,2.8
40.2,65.0,5.5,9.6,Link Tochigi Brex,13.8,405,0.435,1.8
40.3,60.1,7.5,13.9,Torku Konyaspor,21.5,354,0.478,2.0
0.0,70.0,6.0,24.0,Kankakee County Soldiers,28.0,811,0.65,1.0
34.0,62.0,3.3,10.5,Killester,16.6,808,0.425,2.0
40.1,62.1,6.4,17.1,BK JIP Pardubice,23.7,599,0.459,2.2
40.0,59.8,5.6,11.6,Kedainiai Nevezis,16.3,685,0.448,3.2
40.0,59.5,7.8,17.2,SCM CSU Craiova,25.2,730,0.474,3.3
40.1,56.8,6.7,12.1,HKK Capljina-Lasta,18.3,538,0.469,1.3
40.2,71.4,7.2,12.0,Horsens IC,17.1,475,0.462,2.8
40.4,64.2,6.1,14.9,Bnei Herzelia,21.6,186,0.474,2.3
40.4,62.7,5.1,13.4,SK Dnipro Azot,18.9,229,0.444,5.2
40.3,59.7,7.7,14.8,Artland Dragons,19.1,270,0.457,2.3
48.1,82.4,8.4,16.2,Jilin Northeast,22.5,26,0.466,2.7
40.0,70.2,3.5,13.8,Zemsania CB L'Hospitalet,20.0,696,0.342,2.2
40.2,58.3,7.5,13.9,KK Smederevo 1953,18.3,449,0.463,1.7
40.0,58.8,5.5,11.9,TTU KK,17.7,714,0.445,2.2
40.0,60.0,4.3,13.3,Team China Junior Team,18.7,695,0.378,3.0
40.4,70.8,8.1,11.3,Fuerza Guinda de Nogales,17.0,245,0.459,3.6
40.0,60.4,6.6,10.4,Wonju Dongbu Promy,14.7,719,0.461,3.9
40.7,64.4,7.6,16.5,BK Valmiera,22.7,104,0.413,2.6
40.1,65.6,7.4,16.1,Panteras de Aguascalientes,22.6,583,0.514,1.6
40.5,61.5,6.3,15.1,Sammic ISB,21.2,177,0.437,1.8
40.5,61.2,6.1,14.2,BC Timba Timisoara,20.2,151,0.441,2.1
40.0,55.1,5.8,14.8,Almaty Alma-Ata,21.1,717,0.448,1.5
40.0,67.0,5.3,14.5,One Health Sharks Sheffield,19.0,713,0.428,2.2
40.2,64.5,6.1,13.2,Melbourne,17.7,452,0.429,3.2
40.5,60.1,6.6,12.7,Tofas SC,18.3,139,0.457,2.8
40.1,63.6,8.5,17.4,Flamengo,23.8,592,0.505,1.4
40.3,64.6,6.4,18.0,Panteras de Miranda,23.9,312,0.461,2.3
40.3,63.9,6.2,12.2,Sakalai,19.3,359,0.408,2.9
40.0,57.5,5.5,14.9,KK Radnik Bijeljina,23.8,666,0.445,1.5
40.8,62.3,9.3,8.5,Turk Telekom,12.6,81,0.437,1.6
40.0,53.8,3.8,10.5,ALBA Berlin Junior Team,18.8,632,0.372,2.5
39.9,60.6,4.9,14.4,Walter Tigers Tubingen,20.4,778,0.484,2.6
40.1,62.8,5.5,15.3,Joinville,22.0,580,0.441,3.1
40.2,59.2,7.5,13.6,KK Cedevita,18.0,421,0.48,1.7
48.5,85.4,9.9,20.8,Saint John Mill Rats,29.0,3,0.43,3.6
40.2,61.0,6.6,14.0,KK Teodo Tivat,18.7,413,0.454,1.8
40.7,63.4,6.9,14.5,Gimle BBK,20.0,102,0.438,4.1
40.0,67.3,6.3,16.1,Guerreros,22.7,709,0.467,2.5
40.5,62.5,6.6,11.8,KK Sutjeska,17.3,175,0.452,3.7
40.4,65.1,6.9,17.2,Cuxhaven Bascats,23.5,258,0.459,2.3
48.1,83.1,7.2,17.5,Fujian,25.8,22,0.462,1.8
40.2,60.2,9.8,12.2,Royal Hali Gaziantep,18.2,484,0.454,1.9
40.0,63.8,6.1,10.5,Tezenis Verona,15.5,656,0.44,3.0
40.6,61.9,7.8,15.6,Antibes Sharks,21.0,119,0.49,3.3
40.5,66.2,4.5,14.7,Sydney,20.5,167,0.425,2.6
40.0,60.9,5.3,15.4,Stella Artois Leuven Bears,21.5,651,0.44,2.1
40.5,57.8,7.1,15.2,BC Siroki,19.7,159,0.451,1.8
40.2,63.4,5.9,15.6,Siauliai,22.9,463,0.488,2.5
40.3,63.3,4.9,13.1,KK Vardar,20.6,385,0.413,0.9
40.1,61.1,4.5,15.4,Pertevniyal Istanbul,23.4,505,0.44,2.8
40.3,62.0,7.1,14.5,Energa Czarni Slupsk,19.7,378,0.455,3.4
39.6,60.3,7.3,13.5,Suzano,19.7,793,0.436,2.2
40.3,60.4,6.8,15.3,Saint-Vallier,21.9,342,0.474,2.2
40.2,60.9,8.0,14.7,Saint Chamond Basket,20.1,482,0.434,2.4
40.4,59.7,6.2,18.0,Mogi das Cruzes,23.9,217,0.424,1.3
40.2,70.6,10.3,11.9,Worcester Wolves,18.6,464,0.452,3.1
40.4,58.2,4.4,14.4,Hapoel Tel Aviv,21.1,252,0.465,3.1
40.0,61.8,7.1,12.4,Grissin Bon Reggio Emilia,17.3,652,0.456,2.6
40.3,63.0,8.1,17.0,BC VEF Riga,22.3,325,0.491,2.4
40.1,60.0,7.2,13.2,Academica Coimbra,18.7,524,0.442,2.3
40.3,59.6,6.9,14.7,Gladiators Trier,20.5,338,0.452,2.5
40.3,59.1,8.3,14.8,Mitteldeutscher BC,20.4,346,0.434,3.4
40.4,64.5,6.9,14.7,Bucaneros,20.5,209,0.474,2.4
40.4,60.4,7.8,15.1,CSS Bega Timisoara,20.0,180,0.486,2.5
40.1,58.8,7.3,16.6,KK Metalac Valjevo,22.1,539,0.444,2.5
40.0,58.1,7.8,14.1,BK Ventspils,19.1,737,0.51,1.8
40.7,61.0,6.7,14.6,Giorgio Tesi Pistoia,19.6,96,0.447,1.5
47.7,99.5,11.5,12.6,Nippon,17.6,36,0.393,2.1
39.8,60.0,5.9,11.7,Voo Wolves Verviers-Pepinster,17.0,788,0.446,2.3
40.1,57.1,5.7,13.6,BC Souffelweyersheim,20.3,570,0.463,3.6
40.3,63.8,7.8,15.8,Finke Baskets Paderborn,21.6,277,0.451,2.5
39.8,61.6,6.2,15.2,BK Inter Bratislava,21.2,786,0.505,2.6
40.2,61.5,8.0,14.1,BC Zepter Vienna,19.5,428,0.477,2.0
40.7,65.4,6.4,13.8,FC Barcelona Regal Junior Team,20.1,112,0.394,3.9
40.2,69.3,7.1,14.7,Bakken Bears,22.8,408,0.471,3.0
40.2,59.2,7.8,13.4,BC Anwil,19.3,418,0.451,2.3
40.0,58.6,7.3,13.1,Studentski Centar,20.4,675,0.447,1.7
40.2,61.2,7.3,15.0,Lietuvos Rytas,20.7,456,0.456,2.1
40.7,60.0,7.1,12.8,Erdemirspor,19.6,108,0.452,2.3
48.4,83.1,8.0,21.2,Windsor Express,27.9,8,0.421,4.9
40.3,63.3,4.7,12.6,Stepco BS Weert,18.3,386,0.456,1.7
40.3,62.7,6.8,13.2,Gaz Metan Medias,18.5,289,0.477,1.7
41.5,66.3,5.3,16.3,Centauros de Apure,27.7,60,0.477,1.3
40.0,67.5,6.5,7.2,KK Split Junior Team,10.2,672,0.459,3.2
39.9,70.4,8.5,13.8,BK Jelgava,19.0,765,0.436,2.0
47.9,79.9,5.4,17.8,Barangay Ginebra Kings,27.6,30,0.418,3.0
40.5,59.7,9.0,17.2,Brose Baskets,22.4,149,0.465,3.2
40.2,72.1,7.0,14.1,Mineros de Caborca,20.0,432,0.471,3.7
40.2,61.5,6.0,15.1,ece bulls Kapfenberg,19.1,396,0.483,2.5
39.8,62.0,4.8,10.6,Real Madrid Junior Team,19.4,783,0.442,3.0
40.2,61.6,6.1,15.0,KK Feni Industries,21.4,461,0.499,2.2
40.1,63.6,6.2,14.7,Osos,21.4,514,0.481,2.2
48.4,84.9,8.2,21.4,London Lightning,28.3,7,0.459,4.9
40.2,61.6,6.2,10.3,Hitachi Sun Rockers,15.1,419,0.416,2.3
40.8,61.3,8.5,16.1,BC Orchies,21.7,83,0.473,1.9
40.2,63.5,8.3,13.2,Naturtex-SZTE-Szedeak,18.6,458,0.487,1.2
40.4,60.7,7.3,15.6,ADA Blois Basket,22.1,213,0.447,4.1
40.3,65.2,4.8,13.2,Horsholm 79ers,18.9,282,0.466,4.3
40.0,66.2,5.9,13.4,BBC Nyon,18.9,611,0.416,2.0
40.3,60.8,7.4,11.6,Namika Lahti,16.9,279,0.461,1.6
48.1,74.7,7.1,19.0,Zenit Saint Petersburg,25.0,27,0.44,2.6
40.3,59.4,6.7,17.5,Omonia Nicosia,24.0,379,0.415,2.4
40.3,61.8,7.3,14.1,Akhisar Belediye,22.1,380,0.435,2.1
40.0,61.5,8.2,6.8,Treviso Basket Junior Team,10.8,640,0.378,1.8
0.0,74.0,8.0,25.0,Kenosha Ballers,35.0,812,0.514,0.0
40.1,74.4,5.3,15.8,Super City Rangers,24.5,537,0.396,3.2
40.3,63.5,6.8,11.8,Latvijas U18,16.9,390,0.368,1.6
48.3,81.3,7.0,16.2,San Miguel Beerman,24.0,12,0.425,4.1
40.3,59.5,3.6,9.4,DCU Saints,14.0,275,0.483,3.5
40.3,63.0,6.8,16.0,Weber Bahia Estudiantes,22.7,329,0.471,2.0
40.1,61.4,7.2,13.9,Panevezys Lietkabelis,20.8,519,0.457,3.0
40.4,64.8,7.5,13.4,Barons Kvartals Riga,19.7,244,0.447,2.9
40.1,57.3,5.1,11.1,Centre Federal Du Basket-Ball,17.8,513,0.403,2.8
40.0,58.7,7.4,18.1,KK Rabotnicki AD Skipje,23.5,683,0.5,2.3
41.1,62.1,6.0,14.9,Hopsi Polzela,19.7,65,0.445,3.9
40.1,58.8,6.4,14.9,Tijuca,20.2,567,0.431,2.3
40.3,60.5,6.8,12.5,Istanbulspor,18.5,350,0.383,1.8
39.9,63.6,6.9,18.5,Science City Jena,24.6,773,0.472,1.9
40.1,59.8,7.0,10.4,BC Apollo Amsterdam,16.5,518,0.445,3.2
48.2,79.1,7.7,19.5,Talk N Text Tropang Texters,27.0,21,0.42,2.8
39.9,72.0,6.7,10.7,Amistad,18.0,755,0.352,1.0
40.5,69.9,8.4,16.3,Mets de Guaynabo,22.5,164,0.449,2.6
40.1,72.7,10.0,14.9,Halcones UV Xalapa,20.5,605,0.506,4.0
40.4,57.9,6.8,16.7,Union Olimpija,22.8,223,0.443,1.7
48.1,97.8,9.0,12.0,Kitsap,19.4,24,0.452,1.0
40.4,60.2,7.5,13.8,Chalons-Reims CB,19.4,248,0.485,2.7
40.2,70.5,7.2,12.0,UMF Tindastoll,18.3,424,0.438,2.2
40.1,57.5,2.8,10.8,Fenerbahce Ulker Junior Team,15.2,525,0.452,2.2
40.0,55.8,5.6,15.6,KK Kvarner 2010,21.9,712,0.472,0.9
40.4,61.4,6.1,13.8,Barcelos Hotel Terco,20.0,253,0.445,0.9
0.0,91.3,7.0,18.3,St. Louis Hawks,27.3,822,0.464,5.7
40.7,56.9,7.5,12.2,Geoplin Slovan,18.5,105,0.474,1.9
40.4,69.3,7.5,14.9,Leones de Ponce,20.7,266,0.451,2.7
40.3,61.2,6.9,17.2,Sportivo 9 de Julio,22.6,276,0.453,1.5
40.3,70.8,7.8,13.6,Perth,18.1,322,0.404,3.5
40.0,62.5,4.6,11.8,Ulsan Mobis Phoebus,16.3,720,0.486,3.0
40.0,59.1,5.8,14.6,Chin Min Dragons St. Polten,19.8,620,0.45,1.1
40.3,58.6,7.4,14.9,JSA Bordeaux Basket,20.6,348,0.483,2.0
40.2,61.6,7.6,11.9,Bulgaria U20,18.7,459,0.381,1.4
40.3,68.3,6.9,13.1,Tobol Kostanay,18.4,375,0.416,1.3
40.4,58.9,6.9,16.7,Minas,21.0,242,0.47,2.6
39.9,61.4,6.8,15.3,PBC Lukoil Academic,21.2,760,0.53,2.6
40.0,58.6,6.6,12.1,STB Le Havre,17.2,650,0.495,2.6
40.2,65.4,8.4,13.4,BA Turiba,18.6,479,0.429,1.6
40.8,63.4,5.9,14.1,Gigantes,20.1,92,0.435,2.4
40.0,57.1,8.1,9.1,Ourense Termal,13.0,648,0.486,1.7
48.1,81.3,8.2,19.3,Mississauga Power,26.1,25,0.465,2.5
40.0,60.0,6.8,15.7,Liga Sorocabana,21.0,612,0.45,1.4
40.4,63.8,6.8,16.8,Hapoel Unet Holon,22.9,208,0.428,3.2
40.7,67.9,7.9,15.1,Byblos,24.1,103,0.439,2.9
48.2,75.4,6.9,19.1,Alaska Aces,27.5,18,0.419,4.5
44.0,65.4,8.6,14.7,Khimki BC,18.8,54,0.498,4.1
0.0,80.0,2.0,23.0,Sauk Valley Predators,29.0,816,0.463,5.0
40.4,60.7,8.3,15.3,Valencia Basket,19.1,184,0.483,2.8
39.3,70.5,7.7,13.5,T71 Dudelange,20.1,799,0.465,2.1
40.0,57.5,3.2,13.8,Virtus Siena Junior Team,19.5,687,0.378,2.2
40.2,60.1,6.9,11.5,Herbalife Gran Canaria,16.2,407,0.451,2.0
48.2,78.1,7.7,18.9,Zhejiang Guangsha,26.5,19,0.48,2.5
40.4,64.4,8.4,12.8,Lille Metropole Basket Clubs,17.8,240,0.443,2.8
40.1,64.9,7.1,11.2,Korihait,15.8,590,0.457,1.8
40.2,69.9,8.2,12.0,UMF Skallagrimur Borganes,17.4,443,0.436,2.5
40.2,69.1,5.5,10.3,TSU,18.3,446,0.39,2.6
40.0,61.6,7.5,13.2,Wakayama Trians,19.0,679,0.445,3.8
47.1,79.8,9.4,20.8,Qingdao,28.1,43,0.459,3.3
39.9,63.8,5.2,12.9,Izmir Buyuksehir Belediyesi,20.9,757,0.387,1.5
40.4,71.8,6.3,14.7,Plymouth University Raiders,20.1,216,0.467,2.7
40.2,57.7,7.4,13.6,KK Jagodina,19.0,448,0.448,2.4
40.8,62.4,5.0,12.9,BC Donetsk,17.7,90,0.486,3.4
40.3,59.3,6.4,13.7,BBC Monthey,18.6,298,0.467,1.9
40.0,62.7,5.5,14.8,BC Odessa,21.6,644,0.45,3.5
40.0,56.5,6.0,14.8,Fraport Skyliners,21.1,699,0.448,1.7
40.5,62.6,6.0,13.5,Araberri Basket Club,19.4,148,0.441,1.6
40.3,67.3,6.0,16.7,VfL Kirchheim Knights,22.8,292,0.454,2.1
40.3,62.6,8.3,14.0,Jaszberenyi KSE,21.0,280,0.479,1.6
40.2,58.8,7.0,13.4,Borac Nektar,19.0,406,0.436,0.7
40.2,65.0,6.4,14.3,Jelson Homes DMU Leicester Riders,21.9,492,0.456,2.5
40.4,60.6,6.2,14.0,HKK Zrinjski,20.4,256,0.474,0.7
40.1,66.9,6.4,16.0,Fuerza Regia,23.3,542,0.482,1.6
40.5,58.8,7.9,14.3,Belfius Mons-Hainaut,19.5,169,0.471,2.3
40.3,58.4,6.5,16.2,ZZ Leiden,24.4,297,0.462,2.1
40.1,59.0,7.3,13.7,s.Oliver Baskets,20.6,536,0.434,2.5
39.9,66.0,6.4,12.3,FIATC Mutua Joventut Junior Team,19.8,769,0.444,3.1
37.8,60.9,6.9,13.8,Barsy Atyrau,19.7,807,0.443,1.9
40.0,61.7,7.2,12.5,Best Balikesir Basketbol Kulubu,20.6,613,0.4,2.2
40.4,60.9,8.5,12.7,Dolomiti Energia Trento,16.6,205,0.486,2.4
39.6,58.5,8.5,23.0,Ural Ekaterinburg,28.5,792,0.419,2.5
48.0,86.8,8.8,22.5,The Island Storm,30.9,29,0.441,4.7
40.8,65.9,7.4,18.0,SO Maritime Boulogne,23.5,82,0.484,2.5
40.6,76.0,7.6,10.1,Rustavi,16.3,117,0.438,2.0
40.3,67.0,7.5,15.6,BK Spisska Nova Ves,20.0,283,0.456,1.6
40.2,64.9,4.7,16.3,Guaros,22.9,439,0.482,2.3
40.0,61.4,7.2,13.7,CB Prat Juventud,20.0,637,0.4,3.4
39.7,64.2,4.2,12.4,Bord Gais Neptune,20.9,790,0.459,6.0
40.7,62.6,7.8,14.5,Paulistano,22.8,100,0.46,2.0
0.0,78.0,0.0,23.0,Rochester RazorSharks,29.0,815,0.449,5.0
40.1,69.4,7.7,17.9,BK Lions Jindrichuv Hradec,24.1,562,0.418,1.8
47.7,76.9,8.7,15.9,Shandong,24.0,35,0.496,3.1
40.1,60.4,5.7,13.6,Franca,20.1,563,0.483,3.7
49.6,71.5,9.1,15.4,BC Nizhny Novgorod,21.3,2,0.445,3.2
40.3,60.2,7.9,15.3,CSS Giurgiu,23.3,288,0.462,1.5
40.2,59.8,5.9,15.5,Liege Basket,22.8,467,0.444,2.4
40.3,64.0,6.9,12.0,KK Jolly Jadranska Banka,17.2,345,0.466,2.3
41.0,69.5,5.5,9.6,Moycullen,15.9,72,0.409,1.9
40.3,64.2,5.8,15.3,Maccabi Ashdod,22.5,318,0.471,2.7
40.8,60.1,8.1,11.9,KK Djuro Slavonski Brod,18.7,93,0.462,2.5
