Year,Lowest Temperature (F),Highest Temperature (F),Warmest Minimum Temperature (F),Coldest Maximum Temperature (F),Average Minimum Temperature (F),Average Maximum Temperature (F),Mean Temperature (F),Total Precipitation (In),Total Snowfall (In),Max 24hr Precipitation (In),Max 24hr Snowfall (In)
1945,13,69,42,24,25.1,44.3,34.7,1.31,14.4,1.1,11.0
1944,-3,75,46,19,25.1,48.4,36.8,0.85,3.6,0.4,1.4
1943,10,72,42,27,26.0,53.1,39.6,1.15,0.5,0.84,0.4
1942,6,63,43,22,23.4,42.0,32.7,0.93,2.7,0.31,2.5
1941,12,61,47,22,23.2,43.0,33.1,0.28,2.4,0.1,1.1
1940,6,68,35,26,23.7,39.5,31.6,1.47,8.1,0.42,4.5
1939,-7,62,35,20,16.7,42.8,29.8,0.9,5.8,0.37,3.0
1938,6,73,57,18,25.9,48.0,37.0,0.75,1.4,0.31,1.2
1937,5,56,40,22,21.0,40.2,30.6,0.91,9.9,0.8,8.0
1936,-11,70,46,4,8.0,30.7,19.4,0.3,2.8,0.15,1.5
1935,-1,73,43,25,27.3,48.6,37.9,1.12,1.1,0.53,0.5
1934,-16,76,36,14,20.1,48.3,34.2,0.94,8.2,0.33,4.0
1933,-19,73,39,4,15.8,46.4,31.1,0.08,1.2,0.05,0.7
1932,2,81,47,23,27.7,52.1,39.9,0.83,1.7,0.55,1.0
1931,8,68,42,39,28.6,53.6,41.1,1.18,0.0,0.58,0.0
1930,9,82,56,36,34.9,59.4,47.1,0.37,0.4,0.31,0.4
1929,-14,55,36,11,14.5,33.3,23.9,0.82,6.2,0.3,2.0
1928,9,70,55,25,25.5,48.0,36.7,1.58,0.0,1.23,0.0
1927,5,67,41,26,27.8,48.2,38.0,1.39,1.0,0.54,1.0
1926,10,69,42,31,29.5,51.1,40.3,1.02,8.0,0.98,8.0
1925,5,68,40,26,25.8,52.0,38.9,0.29,0.8,0.17,0.6
1924,0,76,39,18,23.6,46.7,35.2,1.01,2.8,0.72,2.0
1923,-2,61,46,21,18.9,42.6,30.7,0.36,2.5,0.24,2.5
1922,4,74,40,13,21.3,45.4,33.3,1.3,1.0,1.12,1.0
1921,19,78,55,28,28.3,53.3,40.8,0.36,0.0,0.2,0.0
1920,6,64,38,32,24.9,45.1,35.0,0.57,0.2,0.35,0.2
1919,1,62,42,25,24.0,43.9,34.0,1.24,4.5,0.6,2.0
1918,-14,80,37,19,18.9,50.3,34.6,0.52,0.0,0.38,0.0
1917,-12,74,30,10,16.8,45.0,30.9,0.05,0.5,0.05,0.5
1916,-10,71,35,14,17.6,39.3,28.5,0.25,2.5,0.1,1.0
1915,15,64,44,28,29.8,44.9,37.4,4.3,12.0,1.0,7.0
1914,-6,63,31,20,16.0,38.4,27.2,1.41,11.1,0.8,8.0
1913,-15,76,43,20,14.3,39.1,26.7,2.25,16.0,0.6,5.0
1912,-3,56,35,21,18.8,38.3,28.6,2.47,15.3,1.8,9.5
1911,2,71,45,25,24.2,46.4,35.3,5.78,9.0,1.91,6.0
1910,-1,64,35,20,17.3,41.0,29.1,0.3,0.0,0.3,0.0
1909,-2,71,38,18,20.7,50.4,35.6,1.27,2.0,0.75,1.0
1908,-1,64,41,18,24.1,45.6,34.8,1.61,0.5,0.43,0.5
1907,-4,66,32,8,18.7,44.4,31.5,1.61,4.0,0.65,2.0
1906,0,74,47,20,21.8,49.5,35.7,1.6,0.0,0.75,0.0
1905,-26,70,33,0,8.8,32.3,20.5,1.73,10.1,0.45,3.5
1904,1,73,45,23,17.9,42.3,30.1,0.1,0.0,0.1,0.0
1903,-16,68,35,16,17.6,39.5,28.6,2.05,9.0,0.75,5.0
1902,-8,61,42,15,13.4,33.8,23.6,0.48,4.9,0.39,4.0
1901,-13,53,34,28,15.2,38.6,26.6,1.98,20.8,0.75,7.5
1900,-1,55,31,9,14.3,36.9,25.6,3.07,24.8,1.8,18.0
