SB,OBP,SLG,AVG,OPS,GIDP,G,2B,CS
6,.351,.239,.191,0.59,3,64,8,1
17,.405,.422,.317,0.827,6,55,8,8
2,.398,.500,.319,0.898,2,44,13,0
7,.326,.353,.221,0.678,2,57,7,3
1,.267,.288,.248,0.555,0,39,5,2
0,.333,.304,.217,0.638,0,16,2,0
9,.341,.245,.194,0.586,0,34,3,7
15,.344,.309,.235,0.653,7,59,11,11
5,.304,.235,.204,0.538,1,29,3,6
30,.376,.392,.308,0.769,2,63,9,9
2,.385,.298,.253,0.682,3,60,8,5
1,.111,.088,.059,0.199,0,17,1,3
11,.288,.283,.219,0.571,5,68,9,4
11,.361,.355,.256,0.716,2,57,5,8
8,.306,.246,.206,0.552,4,34,1,6
0,.369,.286,.224,0.655,2,62,7,1
0,.380,.241,.184,0.622,2,38,3,3
1,.324,.241,.207,0.565,0,31,2,4
2,.256,.286,.238,0.542,0,12,2,2
4,.278,.160,.137,0.439,2,41,3,2
5,.253,.224,.187,0.477,2,46,3,6
0,.357,.182,.182,0.539,0,6,0,0
6,.417,.467,.303,0.884,7,51,8,7
1,.231,.214,.184,0.445,2,32,3,0
3,.290,.310,.207,0.6,0,37,4,3
9,.359,.252,.235,0.611,4,39,2,4
3,.304,.247,.213,0.551,5,35,3,2
3,.297,.294,.235,0.591,1,8,2,0
4,.364,.330,.257,0.695,1,37,8,6
3,.347,.412,.288,0.76,3,53,10,3
1,.403,.364,.301,0.766,5,52,8,0
1,.474,.091,.091,0.565,0,9,0,0
4,.284,.292,.188,0.577,4,60,4,10
2,.279,.261,.193,0.54,1,44,4,3
4,.311,.284,.216,0.595,2,34,3,2
17,.393,.341,.250,0.734,5,61,9,6
7,.407,.357,.286,0.765,4,37,4,2
21,.364,.341,.272,0.705,1,72,11,8
2,.280,.150,.125,0.43,1,27,1,0
1,.240,.173,.135,0.413,1,33,4,2
0,.303,.284,.255,0.587,3,37,3,1
0,--,--,--,0.0,0,1,0,0
5,.286,.345,.172,0.631,0,13,2,0
3,.266,.296,.183,0.562,2,25,2,2
17,.310,.280,.233,0.589,5,68,9,10
0,--,--,--,0.0,0,1,0,0
0,.125,.000,.000,0.125,0,5,0,0
0,.333,.250,.250,0.583,0,5,0,0
0,.262,.288,.184,0.55,1,48,5,3
6,.304,.324,.241,0.628,5,62,12,1
5,.323,.394,.288,0.717,6,58,10,2
0,.333,.000,.000,0.333,0,2,0,0
3,.283,.233,.188,0.516,3,51,3,4
0,.221,.279,.131,0.499,2,29,1,1
0,.278,.376,.235,0.654,2,26,3,1
6,.353,.335,.278,0.688,4,63,9,6
5,.329,.221,.150,0.55,4,45,6,3
4,.369,.219,.172,0.588,0,26,3,3
1,.241,.232,.162,0.473,2,31,3,2
6,.443,.369,.338,0.812,6,56,4,3
27,.418,.378,.303,0.796,2,67,11,3
0,.172,.232,.161,0.405,0,28,4,0
7,.321,.217,.217,0.538,3,15,0,1
0,.095,.143,.095,0.238,0,8,1,2
5,.450,.327,.257,0.777,2,29,3,4
5,.319,.286,.229,0.605,1,45,3,3
0,.374,.379,.310,0.753,2,36,5,0
22,.392,.356,.220,0.748,6,62,10,8
4,.363,.283,.244,0.646,3,64,6,9
5,.405,.419,.323,0.825,0,11,0,2
3,.380,.310,.241,0.691,1,18,2,0
13,.370,.351,.255,0.721,6,63,5,10
8,.379,.382,.264,0.761,1,46,3,4
14,.332,.305,.266,0.637,1,52,7,7
2,.335,.338,.246,0.673,3,44,10,1
0,.265,.227,.182,0.493,4,15,2,1
9,.299,.328,.191,0.627,3,60,6,6
13,.437,.328,.231,0.766,1,47,7,6
17,.396,.507,.274,0.903,1,67,7,11
8,.322,.377,.264,0.699,3,60,13,4
0,.312,.339,.209,0.651,3,38,6,1
7,.330,.312,.215,0.642,1,35,4,0
0,.333,.167,.167,0.5,0,5,0,0
13,.394,.381,.274,0.775,0,38,5,3
3,.459,.438,.313,0.896,0,38,5,2
7,.266,.307,.193,0.574,3,54,8,1
4,.328,.379,.224,0.708,0,18,2,1
3,.252,.237,.168,0.488,0,41,5,5
1,.462,.316,.263,0.777,0,8,1,0
2,.408,.253,.240,0.662,3,62,2,5
4,.287,.182,.139,0.47,2,52,6,2
2,.371,.420,.256,0.791,6,50,11,0
21,.399,.369,.258,0.768,4,61,3,9
1,.333,.195,.146,0.528,2,32,2,3
19,.396,.363,.292,0.759,0,57,6,9
4,.299,.279,.206,0.578,3,28,0,1
9,.396,.357,.286,0.753,2,40,6,1
7,.293,.322,.246,0.615,4,54,7,5
0,.339,.260,.260,0.599,3,20,0,1
0,.265,.241,.172,0.506,3,20,2,0
17,.377,.359,.297,0.736,2,47,6,5
1,.424,.500,.321,0.924,0,8,3,0
1,.200,.293,.157,0.493,4,42,5,1
2,.398,.295,.248,0.694,1,42,5,6
0,.625,.000,.000,0.625,0,3,0,1
2,.271,.123,.105,0.394,1,22,1,2
20,.336,.288,.245,0.623,1,65,4,5
1,--,--,--,0.0,0,2,0,0
0,.326,.254,.211,0.579,1,29,1,3
2,.379,.407,.241,0.786,0,22,2,0
5,.365,.272,.247,0.636,0,41,2,3
1,.330,.364,.208,0.693,3,24,6,1
18,.388,.304,.283,0.691,3,53,4,10
31,.418,.374,.315,0.792,2,61,7,10
1,.330,.304,.223,0.635,7,54,6,1
1,.349,.245,.231,0.593,3,46,2,2
4,.293,.276,.236,0.568,2,37,5,2
5,.321,.440,.252,0.761,1,58,15,4
1,.322,.304,.240,0.626,2,43,4,2
0,.273,.200,.200,0.473,0,6,0,0
2,.360,.279,.256,0.639,3,21,1,4
0,--,--,--,0.0,0,1,0,0
0,.230,.222,.148,0.452,0,22,2,0
9,.295,.305,.219,0.6,1,58,14,3
0,.252,.171,.133,0.423,3,36,2,1
0,.256,.254,.197,0.51,2,24,4,0
3,.238,.174,.130,0.411,1,37,3,4
0,.316,.400,.256,0.716,2,28,4,0
0,.300,.237,.169,0.537,4,24,4,1
0,.183,.172,.126,0.355,2,30,1,0
9,.350,.363,.274,0.713,3,68,11,3
0,.333,.265,.204,0.599,5,45,7,0
0,.253,.306,.194,0.559,1,28,3,0
8,.412,.358,.297,0.771,4,52,9,6
4,.374,.310,.202,0.683,0,31,3,1
4,.359,.420,.283,0.779,3,42,9,1
0,.261,.210,.160,0.471,3,29,4,2
4,.281,.313,.199,0.594,4,53,6,3
8,.289,.300,.222,0.589,3,48,9,4
1,.256,.203,.186,0.459,6,36,2,2
0,.000,.000,.000,0.0,0,1,0,0
5,.265,.261,.183,0.526,3,54,7,3
11,.304,.226,.201,0.531,2,55,2,13
3,.317,.271,.196,0.588,5,37,6,3
0,.400,.286,.286,0.686,1,8,0,0
6,.397,.311,.244,0.708,4,53,8,1
15,.350,.343,.262,0.693,6,61,9,2
2,.356,.360,.281,0.716,1,29,7,2
4,.341,.277,.228,0.619,4,37,3,2
0,.291,.292,.181,0.582,2,27,8,1
1,.345,.250,.208,0.595,0,9,1,0
0,.355,.422,.261,0.777,2,46,15,0
8,.333,.324,.257,0.658,4,43,8,2
1,.286,.186,.145,0.472,4,51,1,0
1,.389,.354,.313,0.743,0,21,2,0
4,.371,.339,.250,0.711,0,16,5,0
2,.385,.355,.269,0.74,2,57,11,3
29,.404,.345,.282,0.748,5,61,2,9
33,.389,.400,.321,0.789,8,73,19,12
13,.405,.594,.321,0.998,6,66,21,5
0,--,--,--,0.0,0,1,0,0
3,.321,.213,.150,0.533,1,45,3,5
0,.311,.390,.244,0.701,1,12,3,0
12,.344,.352,.291,0.696,2,51,7,3
8,.366,.305,.219,0.671,1,42,3,5
4,.343,.226,.205,0.569,8,50,3,5
5,.294,.315,.185,0.609,1,50,4,0
28,.396,.426,.296,0.822,3,66,4,8
5,.340,.317,.203,0.657,3,44,4,5
0,.500,.500,.500,1.0,0,1,0,0
7,.365,.413,.258,0.778,5,65,12,4
10,.310,.284,.184,0.593,1,55,8,5
1,.390,.528,.323,0.918,2,40,16,1
1,.389,.214,.214,0.603,0,14,0,0
0,.389,.340,.245,0.729,6,50,10,3
16,.364,.398,.285,0.761,3,58,7,8
4,.348,.345,.230,0.693,4,43,5,3
15,.387,.511,.350,0.898,5,68,20,3
5,.338,.220,.186,0.558,1,44,2,6
2,.306,.368,.265,0.673,4,21,4,0
6,.324,.282,.237,0.607,1,42,3,2
5,.368,.304,.272,0.672,2,35,1,9
20,.410,.280,.256,0.69,3,52,2,10
3,.382,.352,.269,0.734,2,35,9,2
2,.365,.340,.200,0.705,0,17,4,1
1,.293,.279,.221,0.572,2,29,5,0
10,.344,.301,.245,0.645,3,55,5,7
3,.281,.259,.196,0.54,6,54,4,0
3,.339,.354,.253,0.693,1,41,7,3
6,.261,.121,.121,0.382,1,34,0,3
17,.384,.330,.242,0.714,0,61,7,6
24,.361,.313,.221,0.674,4,58,5,13
22,.340,.326,.236,0.666,0,56,8,5
0,--,--,--,0.0,0,1,0,0
11,.323,.282,.233,0.605,5,50,4,5
0,.222,.125,.125,0.347,0,4,0,0
1,.297,.393,.215,0.689,2,44,9,1
3,.343,.360,.221,0.703,2,32,6,1
3,.366,.283,.205,0.65,3,44,8,7
0,.289,.256,.145,0.545,2,45,7,1
6,.281,.308,.217,0.59,4,39,7,2
3,.390,.372,.286,0.762,3,58,13,7
0,1.000,1.000,1.000,2.0,0,1,0,0
0,.326,.321,.222,0.647,0,29,5,1
7,.331,.353,.273,0.684,2,37,5,0
2,.281,.300,.180,0.581,0,25,3,1
6,.339,.221,.199,0.56,1,46,1,7
0,.000,.000,.000,0.0,0,1,0,0
7,.417,.476,.343,0.893,1,34,11,1
0,.319,.184,.138,0.502,1,36,2,3
0,.000,.000,.000,0.0,0,2,0,0
1,.319,.421,.221,0.74,4,50,3,2
0,.281,.231,.115,0.512,1,12,0,0
9,.413,.409,.333,0.822,0,25,3,3
5,.316,.351,.234,0.667,8,58,10,3
13,.445,.392,.286,0.836,1,59,9,4
8,.284,.213,.170,0.497,0,49,2,3
3,.353,.246,.205,0.599,5,44,5,1
0,--,--,--,0.0,0,1,0,0
13,.373,.414,.271,0.786,0,46,9,1
1,.301,.407,.268,0.708,7,53,12,2
3,.337,.244,.225,0.581,2,54,3,2
3,.319,.208,.198,0.527,4,35,1,1
4,.326,.368,.292,0.695,7,58,7,4
9,.364,.283,.236,0.647,2,34,6,2
4,.295,.206,.191,0.501,0,25,1,4
2,.338,.279,.213,0.617,6,49,5,1
0,.323,.200,.175,0.523,1,32,2,0
11,.350,.262,.214,0.612,1,59,4,10
8,.298,.206,.167,0.503,0,32,4,5
1,.365,.333,.250,0.698,3,31,6,2
0,.306,.313,.125,0.619,0,22,3,1
5,.325,.379,.197,0.704,1,49,7,0
4,.297,.311,.239,0.609,5,53,11,1
1,.335,.341,.251,0.676,7,48,4,0
1,.337,.343,.200,0.68,0,26,5,2
12,.402,.335,.234,0.737,4,54,5,5
3,.348,.276,.217,0.624,4,48,5,8
6,.335,.337,.221,0.672,4,57,7,2
2,.262,.245,.170,0.507,2,49,6,2
2,.342,.293,.241,0.635,6,38,7,1
0,.000,.000,.000,0.0,0,3,0,0
0,.231,.208,.167,0.439,0,11,1,2
20,.391,.377,.279,0.768,6,51,7,5
7,.330,.332,.219,0.662,3,62,7,5
10,.304,.290,.220,0.594,0,40,3,2
5,.335,.380,.267,0.715,5,54,4,8
7,.321,.349,.233,0.671,2,56,11,2
1,.261,.227,.227,0.488,3,11,0,0
2,.273,.188,.167,0.46,1,21,1,2
1,.353,.239,.225,0.592,0,27,1,2
14,.346,.345,.265,0.692,2,60,10,7
0,.333,.392,.262,0.726,2,42,6,2
1,.357,.367,.252,0.724,2,49,6,0
1,.368,.226,.208,0.594,2,19,1,0
2,.259,.089,.067,0.348,0,20,1,3
3,.253,.216,.203,0.469,1,29,1,0
1,.325,.279,.206,0.604,0,35,5,3
11,.367,.297,.244,0.664,3,50,7,4
1,.283,.229,.125,0.513,0,30,2,0
5,.456,.464,.339,0.92,1,18,5,0
3,.296,.273,.189,0.569,2,43,9,0
1,.299,.363,.226,0.662,6,57,8,4
0,.500,.333,.333,0.833,0,3,0,0
0,--,--,--,0.0,0,2,0,0
3,.377,.394,.257,0.771,2,45,9,1
13,.337,.343,.225,0.681,3,62,10,9
1,.391,.500,.300,0.891,1,7,4,0
0,.342,.226,.194,0.568,0,11,1,0
4,.364,.309,.245,0.673,1,41,7,2
4,.282,.247,.208,0.529,1,31,3,3
