HBP,SO,SB,OBP,Team,SLG,CS,BB,OPS,R
2,43,2,0.236,PIT,0.314,0,3,0.55,13
1,37,1,0.254,CLE,0.363,1,9,0.617,22
1,64,2,0.358,TOR,0.496,0,16,0.854,40
0,7,0,0.307,LAA,0.315,0,2,0.622,9
0,20,4,0.297,MIN,0.415,3,7,0.712,13
0,14,0,0.305,LAA,0.312,2,5,0.617,9
1,7,0,0.341,NYY,0.513,0,1,0.854,5
1,12,0,0.234,CHC,0.349,0,3,0.583,5
2,3,1,0.48,TOR,0.6,0,3,1.08,8
1,74,2,0.314,MIN,0.456,0,32,0.77,50
0,48,0,0.277,MIN,0.365,0,7,0.642,17
2,52,3,0.316,NYY,0.483,1,18,0.799,40
0,6,0,0.273,LAA,0.238,0,1,0.511,5
0,75,12,0.314,CLE,0.295,5,29,0.609,29
3,39,2,0.369,SD,0.376,5,36,0.745,34
0,10,0,0.178,SF,0.311,0,0,0.489,3
0,15,0,0.208,STL,0.203,0,3,0.411,0
2,17,0,0.237,BOS,0.192,0,5,0.429,5
5,70,7,0.328,MIL,0.423,6,23,0.751,42
5,35,10,0.36,DET,0.403,6,18,0.763,33
2,17,0,0.26,BOS,0.182,0,8,0.442,6
0,1,0,0.125,WAS,0.125,0,0,0.25,0
1,53,0,0.315,DET,0.427,0,11,0.742,22
0,24,1,0.205,TB,0.25,0,6,0.455,8
6,70,2,0.373,NYY,0.585,0,55,0.958,53
0,5,2,0.357,ATL,0.425,0,2,0.782,2
5,44,2,0.409,STL,0.42,1,39,0.829,23
0,15,1,0.231,MIN,0.27,2,2,0.501,5
2,109,17,0.32,SD,0.43,1,40,0.75,53
2,39,3,0.298,TB,0.452,1,10,0.75,15
1,24,8,0.247,CLE,0.231,1,15,0.478,21
1,31,3,0.327,SD,0.459,2,10,0.786,30
0,4,0,0.091,PIT,0.0,0,1,0.091,1
0,1,1,0.417,MIN,0.3,0,2,0.717,1
1,27,1,0.2,CWS,0.195,4,2,0.395,5
0,26,0,0.327,NYY,0.398,0,7,0.725,13
0,69,0,0.286,PHI,0.367,2,15,0.653,25
1,61,5,0.341,COL,0.462,5,17,0.803,39
3,61,6,0.298,SEA,0.366,2,35,0.664,34
2,59,10,0.339,CHC,0.425,2,39,0.764,37
0,31,0,0.26,WAS,0.364,0,10,0.624,9
2,25,5,0.27,NYM,0.279,1,4,0.549,5
9,79,10,0.346,CWS,0.422,4,37,0.768,64
0,12,0,0.273,ARI,0.211,0,3,0.484,3
0,11,1,0.088,DET,0.061,0,1,0.149,1
0,3,0,0.143,BOS,0.143,0,0,0.286,1
2,55,0,0.276,MIA,0.313,0,12,0.589,8
2,94,16,0.334,CHC,0.382,6,52,0.716,66
0,35,0,0.346,COL,0.507,1,7,0.853,16
4,89,15,0.338,MIL,0.492,2,35,0.83,61
0,36,0,0.292,BAL,0.441,0,6,0.733,12
0,7,0,0.143,CLE,0.077,0,1,0.22,1
1,47,0,0.346,COL,0.505,2,16,0.851,26
6,26,0,0.342,MIA,0.49,0,9,0.832,17
1,38,1,0.308,MIL,0.34,0,22,0.648,31
5,49,2,0.319,NYM,0.339,1,21,0.658,24
2,31,0,0.282,WAS,0.276,0,13,0.558,18
2,102,5,0.353,SF,0.485,2,39,0.838,49
0,4,0,0.44,SEA,0.636,0,3,1.076,3
1,50,0,0.268,NYY,0.39,2,27,0.658,29
0,36,1,0.345,SF,0.497,1,13,0.842,23
0,12,0,0.182,MIA,0.207,0,4,0.389,3
1,1,0,0.5,LAA,0.333,0,1,0.833,0
1,21,3,0.292,PHI,0.341,1,8,0.633,14
2,39,1,0.319,SD,0.418,0,23,0.737,34
1,19,0,0.246,PIT,0.352,0,1,0.598,3
1,20,1,0.27,TEX,0.2,0,11,0.47,12
0,60,0,0.311,LAA,0.343,0,35,0.654,22
1,22,2,0.274,CLE,0.307,0,14,0.581,24
0,6,0,0.259,NYM,0.36,0,2,0.619,4
0,2,0,0.308,BAL,0.273,0,2,0.581,3
0,36,1,0.298,CHC,0.286,0,16,0.584,3
0,48,0,0.309,DET,0.26,1,25,0.569,17
8,128,2,0.345,LAD,0.454,6,59,0.799,51
2,14,2,0.299,ATL,0.296,1,4,0.595,9
3,85,4,0.454,WAS,0.667,4,74,1.121,69
0,19,0,0.324,LAD,0.286,0,11,0.61,7
2,31,2,0.256,BAL,0.336,4,5,0.592,14
0,1,0,0.333,BOS,0.2,0,1,0.533,1
3,80,9,0.327,ATL,0.357,9,40,0.684,38
2,54,1,0.318,BAL,0.344,0,22,0.662,23
1,50,3,0.343,ARI,0.443,1,16,0.786,21
2,20,0,0.322,PIT,0.349,0,5,0.671,8
3,60,5,0.307,BOS,0.455,3,20,0.762,56
5,17,12,0.374,SF,0.38,5,24,0.754,34
0,8,0,0.111,PIT,0.08,0,2,0.191,1
1,46,14,0.264,CWS,0.348,4,15,0.612,31
2,18,0,0.359,WAS,0.376,2,12,0.735,10
1,55,17,0.368,TEX,0.387,3,34,0.755,46
1,44,2,0.293,COL,0.426,1,4,0.719,19
2,29,0,0.35,WAS,0.405,0,22,0.755,31
0,16,1,0.321,HOU,0.318,0,8,0.639,4
6,52,1,0.358,WAS,0.414,2,21,0.772,49
4,59,0,0.316,TEX,0.425,0,26,0.741,28
5,50,0,0.306,BOS,0.378,0,18,0.684,31
4,32,3,0.257,PHI,0.275,0,21,0.532,18
1,41,15,0.316,DET,0.418,5,17,0.734,36
2,60,15,0.303,TOR,0.383,3,19,0.686,52
6,68,0,0.305,OAK,0.368,0,29,0.673,42
3,97,2,0.385,SEA,0.59,2,39,0.975,56
0,2,0,0.2,ATL,0.267,0,0,0.467,0
2,90,2,0.305,STL,0.384,1,30,0.689,22
6,29,1,0.317,ATL,0.33,2,28,0.647,48
5,83,3,0.346,TB,0.424,1,39,0.77,45
0,52,0,0.312,TOR,0.446,0,20,0.758,25
3,87,14,0.365,HOU,0.457,3,42,0.822,43
0,4,0,0.2,CHC,0.2,0,0,0.4,0
1,31,0,0.273,CLE,0.333,1,7,0.606,13
0,10,0,0.219,ARI,0.2,0,2,0.419,0
2,55,1,0.456,DET,0.578,1,53,1.034,43
1,13,1,0.194,SEA,0.174,1,2,0.368,2
0,2,0,0.333,BOS,0.333,0,0,0.666,1
0,6,1,0.216,CIN,0.194,0,1,0.41,1
0,17,3,0.229,ATL,0.273,0,6,0.502,7
2,34,2,0.349,LAD,0.431,1,17,0.78,15
1,5,0,0.3,CLE,0.222,0,0,0.522,0
4,40,0,0.375,ARI,0.598,0,13,0.973,22
1,64,23,0.36,ARI,0.464,6,35,0.824,68
1,66,18,0.33,ATL,0.377,4,32,0.707,45
1,21,0,0.239,MIN,0.281,0,6,0.52,10
3,70,5,0.34,TB,0.419,2,16,0.759,27
5,78,4,0.32,WAS,0.411,2,27,0.731,45
2,36,2,0.327,TOR,0.374,1,9,0.701,23
2,50,15,0.354,PHI,0.359,4,29,0.713,40
1,4,0,0.389,LAD,0.333,0,2,0.722,2
2,26,1,0.322,NYM,0.397,2,23,0.719,25
0,7,0,0.226,SF,0.179,1,3,0.405,3
0,27,6,0.33,DET,0.379,5,7,0.709,15
2,73,5,0.335,LAD,0.413,2,26,0.748,50
0,2,0,0.345,TOR,0.346,0,3,0.691,4
0,12,0,0.145,MIA,0.137,0,2,0.282,2
3,79,6,0.432,CIN,0.532,2,77,0.964,58
0,12,2,0.306,KC,0.295,1,7,0.601,5
0,21,2,0.29,CWS,0.36,2,6,0.65,15
3,80,4,0.338,STL,0.564,1,16,0.902,37
2,86,0,0.277,HOU,0.454,1,15,0.731,45
1,87,3,0.323,DET,0.506,4,19,0.829,62
3,41,0,0.31,SD,0.405,1,7,0.715,19
6,79,3,0.328,PIT,0.422,0,26,0.75,49
2,29,0,0.323,LAD,0.462,1,7,0.785,17
0,31,0,0.228,TEX,0.429,0,2,0.657,10
1,21,5,0.289,MIN,0.318,1,8,0.607,22
1,2,0,0.25,BOS,0.143,0,0,0.393,1
13,41,10,0.349,TB,0.377,2,20,0.726,25
13,65,11,0.333,STL,0.419,6,24,0.752,54
5,121,1,0.297,HOU,0.382,1,48,0.679,39
3,23,2,0.24,CIN,0.163,0,9,0.403,5
2,67,5,0.309,MIA,0.372,2,17,0.681,44
0,15,0,0.263,LAA,0.2,0,3,0.463,6
1,10,0,0.317,COL,0.45,0,3,0.767,10
2,12,0,0.194,MIA,0.219,0,1,0.413,5
0,7,0,0.13,MIL,0.095,0,2,0.225,0
0,1,0,0.2,TEX,0.4,0,0,0.6,0
4,65,4,0.36,TOR,0.497,2,69,0.857,66
3,102,9,0.351,NYM,0.445,4,54,0.796,57
0,27,4,0.317,HOU,0.368,2,8,0.685,12
0,9,0,0.4,CLE,0.5,0,4,0.9,3
0,5,0,0.351,ATL,0.424,0,4,0.775,4
2,68,6,0.316,PHI,0.367,1,19,0.683,39
5,45,5,0.321,STL,0.345,6,19,0.666,26
7,26,0,0.311,STL,0.265,2,15,0.576,19
4,64,0,0.274,LAA,0.298,3,29,0.572,17
2,69,11,0.275,TB,0.401,2,14,0.676,40
0,42,0,0.262,MIL,0.259,1,16,0.521,14
0,48,0,0.278,SEA,0.331,0,9,0.609,13
0,0,0,0.083,TOR,0.0,0,1,0.083,0
0,10,0,0.245,NYM,0.222,0,4,0.467,5
0,10,0,0.275,ATL,0.553,0,2,0.828,6
0,3,0,0.286,PIT,0.429,0,0,0.715,1
0,19,1,0.25,COL,0.27,0,3,0.52,10
2,40,0,0.214,MIL,0.325,0,3,0.539,15
0,38,16,0.322,TOR,0.385,2,17,0.707,36
1,6,0,0.188,CHC,0.333,0,0,0.521,1
1,57,4,0.289,ARI,0.348,5,24,0.637,36
2,55,0,0.316,NYY,0.432,0,22,0.748,26
1,22,1,0.422,CHC,0.556,1,10,0.978,15
2,132,0,0.325,BAL,0.508,1,45,0.833,55
2,49,0,0.331,MIA,0.441,0,23,0.772,19
2,96,2,0.315,CHC,0.382,1,21,0.697,29
0,1,0,0.25,DET,0.143,0,1,0.393,0
1,50,1,0.27,WAS,0.367,0,20,0.637,24
1,37,1,0.353,ATL,0.464,0,15,0.817,17
