oppTAv,NAME,OBP,oppAVG,oppSLG,LG,VORP
0.259,Paul Maholm,0.319,0.254,0.401,NL,3.0
0.261,Ryan Webb,0.356,0.253,0.4,NL,7.9
0.256,Jake Westbrook,0.338,0.251,0.398,NL,-0.0
0.263,Brad Ziegler,0.291,0.261,0.413,NL,2.2
0.264,Edgmer Escalona,0.323,0.26,0.4,NL,-0.7
0.266,Casey Crosby,0.441,0.26,0.419,AL,-3.6
0.264,Josh Beckett,0.315,0.269,0.414,NL,2.7
0.261,P.j. Walters,0.356,0.262,0.416,AL,-1.1
0.261,Josh Roenicke,0.345,0.256,0.404,NL,-2.7
0.262,Aroldis Chapman,0.225,0.253,0.416,NL,23.0
0.257,Mike Fiers,0.305,0.251,0.396,NL,31.2
0.271,Michael Bowden,0.273,0.256,0.446,AL,-0.1
0.26,Luke Putkonen,0.38,0.256,0.414,AL,1.2
0.261,Sam Demel,0.6,0.258,0.415,NL,-0.1
0.262,Adam Ottavino,0.33,0.251,0.395,NL,8.7
0.259,Matt Capps,0.267,0.254,0.408,AL,0.7
0.262,Manny Corpas,0.348,0.259,0.417,NL,-1.4
0.262,Anthony Varvaro,0.36,0.255,0.416,NL,1.9
0.261,Josh Stinson,0.316,0.247,0.379,NL,0.3
0.269,Matt Albers,0.289,0.267,0.422,NL,-1.1
0.261,Michael Bowden,0.311,0.256,0.411,NL,1.4
0.259,Ryan Perry,0.4,0.25,0.393,NL,-1.9
0.261,Tyler Cloyd,0.309,0.258,0.416,NL,-0.2
0.26,Chad Qualls,0.348,0.256,0.405,NL,-5.1
0.262,Clay Rapada,0.305,0.253,0.41,AL,3.9
0.25,Joe Saunders,0.322,0.247,0.386,NL,10.9
0.262,Scott Maine,0.355,0.25,0.405,NL,1.1
0.248,Travis Blackley,0.391,0.248,0.376,NL,-1.0
0.258,Javier Lopez,0.336,0.252,0.402,NL,3.5
0.265,Nick Blackburn,0.374,0.258,0.418,AL,-14.5
0.255,Josh Johnson,0.315,0.25,0.391,NL,18.9
0.262,Franklin Morales,0.308,0.252,0.405,AL,7.8
0.247,Chris Schwinden,0.4,0.257,0.399,NL,-4.0
0.265,Aaron Loup,0.243,0.251,0.416,AL,7.2
0.255,Chien-ming Wang,0.442,0.25,0.406,NL,-5.3
0.257,Drew Pomeranz,0.345,0.25,0.393,NL,12.8
0.255,Wandy Rodriguez,0.304,0.249,0.399,NL,4.1
0.248,Eric Hacker,0.378,0.228,0.359,NL,1.0
0.269,Francisco Cordero,0.563,0.266,0.433,NL,-1.5
0.266,Martin Perez,0.364,0.252,0.411,AL,4.1
0.258,David Robertson,0.29,0.248,0.402,AL,14.2
0.254,Trevor Bauer,0.368,0.243,0.376,NL,-1.4
0.265,Eric O'flaherty,0.3,0.257,0.415,NL,3.5
0.256,James Mcdonald,0.311,0.252,0.395,NL,15.5
0.26,Sam Lecure,0.3,0.256,0.406,NL,9.3
0.26,Jose Veras,0.344,0.255,0.399,NL,9.5
0.257,Fernando Abad,0.383,0.251,0.398,NL,6.1
0.261,Garrett Richards,0.361,0.256,0.405,AL,-0.4
0.253,Chad Gaudin,0.344,0.245,0.386,NL,1.7
0.26,Aaron Harang,0.329,0.255,0.403,NL,2.4
0.264,Dana Eveland,0.345,0.255,0.403,AL,-1.9
0.247,Rob Johnson,0.0,0.235,0.406,NL,0.8
0.262,Jeff Manship,0.381,0.255,0.406,AL,-3.0
0.248,Juan Nicasio,0.374,0.239,0.368,NL,7.8
0.263,Justin Masterson,0.348,0.257,0.415,AL,0.7
0.265,Grant Balfour,0.242,0.259,0.414,AL,6.3
0.256,Luis Avilan,0.273,0.253,0.395,NL,6.5
0.266,Joe Paterson,0.692,0.251,0.41,NL,-3.1
0.261,David Huff,0.316,0.269,0.413,AL,1.1
0.255,Esmerling Vasquez,0.371,0.256,0.402,AL,-1.0
0.26,Brandon Lyon,0.282,0.255,0.404,AL,4.7
0.278,Zach Stewart,0.529,0.269,0.446,AL,-3.0
0.26,Aaron Laffey,0.333,0.254,0.411,AL,-6.7
0.261,Jered Weaver,0.265,0.253,0.407,AL,14.9
0.255,Jeremy Guthrie,0.384,0.247,0.389,NL,-5.6
0.261,Derek Holland,0.299,0.254,0.404,AL,-1.0
0.267,Rubby De La Rosa,0.5,0.277,0.377,NL,-0.6
0.255,Craig Breslow,0.292,0.249,0.391,NL,3.1
0.259,Jordan Lyles,0.332,0.256,0.407,NL,5.7
0.258,Jose Mijares,0.301,0.251,0.402,NL,3.9
0.264,Miguel Gonzalez,0.305,0.258,0.413,AL,10.7
0.261,Lucas Harrell,0.322,0.256,0.406,NL,0.3
0.263,Casey Fien,0.25,0.256,0.413,AL,4.1
0.257,Chad Jenkins,0.326,0.249,0.401,AL,0.3
0.266,Sean Marshall,0.289,0.26,0.41,NL,14.1
0.259,John Lannan,0.364,0.255,0.401,NL,5.6
0.259,Charlie Morton,0.344,0.256,0.403,NL,-3.6
0.263,Cole Devries,0.296,0.257,0.42,AL,4.9
0.263,Felix Doubront,0.337,0.254,0.416,AL,13.6
0.255,A.j. Burnett,0.307,0.25,0.394,NL,25.4
0.264,Zach Mcallister,0.318,0.258,0.416,AL,6.6
0.26,Tony Sipp,0.307,0.255,0.406,AL,-1.8
0.255,Chris Davis,0.375,0.248,0.397,AL,18.7
0.253,Francisley Bueno,0.275,0.252,0.382,AL,2.1
0.272,Shawn Hill,0.182,0.278,0.432,AL,-0.5
0.253,Cory Luebke,0.281,0.258,0.396,NL,3.0
0.261,Jeanmar Gomez,0.338,0.258,0.408,AL,-5.6
0.251,Jason Berken,0.357,0.254,0.404,NL,0.2
0.258,David Herndon,0.355,0.254,0.401,NL,0.8
0.26,Joe Martinez,0.4,0.262,0.376,NL,0.4
0.263,Luke Hochevar,0.347,0.256,0.414,AL,6.0
0.267,Christian Garcia,0.255,0.264,0.412,NL,-0.1
0.257,Steve Edlefsen,0.377,0.25,0.401,NL,-2.0
0.266,Jim Miller,0.327,0.26,0.417,AL,4.6
0.261,Chris Leroux,0.298,0.257,0.423,NL,2.9
0.266,Jonny Venters,0.363,0.256,0.41,NL,5.1
0.268,J.a. Happ,0.315,0.256,0.425,AL,13.2
0.259,Jeff Karstens,0.288,0.258,0.407,NL,9.5
0.263,Kevin Gregg,0.385,0.255,0.402,AL,-3.7
0.255,Eric Stults,0.294,0.252,0.391,NL,10.6
0.272,Wilmer Font,0.4,0.262,0.432,AL,-0.8
0.255,Wade Miley,0.29,0.253,0.395,NL,28.2
0.247,Chris Carpenter,0.531,0.231,0.374,AL,-1.9
0.266,Matt Belisle,0.326,0.26,0.411,NL,13.4
0.261,Jonathan Papelbon,0.278,0.257,0.405,NL,12.5
0.258,Brian Bruney,0.4,0.221,0.404,AL,0.1
0.255,Cliff Lee,0.278,0.25,0.398,NL,37.4
0.259,Manny Parra,0.366,0.254,0.395,NL,10.0
0.265,Rhiner Cruz,0.381,0.262,0.416,NL,-2.6
0.267,Robbie Ross,0.303,0.256,0.412,AL,6.5
0.265,Chris Seddon,0.327,0.265,0.422,AL,3.2
0.258,Livan Hernandez,0.366,0.254,0.402,NL,0.3
0.234,Tony Cingrani,0.273,0.228,0.347,NL,1.1
0.25,Brad Lidge,0.46,0.238,0.37,NL,-0.1
0.27,Jim Henderson,0.308,0.265,0.425,NL,7.8
0.264,Edwar Cabrera,0.485,0.257,0.425,NL,-1.3
0.259,Jeff Samardzija,0.302,0.254,0.398,NL,19.6
0.265,Huston Street,0.196,0.263,0.415,NL,6.9
0.263,Josh Kinney,0.311,0.259,0.419,AL,2.0
0.255,Kyle Lohse,0.274,0.251,0.4,NL,21.1
0.261,Jake Odorizzi,0.353,0.258,0.386,AL,-0.3
0.269,Scott Richmond,0.333,0.266,0.406,AL,-0.4
0.275,Roberto Hernandez,0.339,0.256,0.412,AL,-3.3
0.258,Ian Kennedy,0.322,0.257,0.401,NL,23.0
0.268,Mike Dunn,0.379,0.263,0.417,NL,4.2
0.264,Frank Francisco,0.345,0.258,0.422,NL,4.3
0.264,Kyle Drabek,0.363,0.259,0.421,AL,-4.0
0.256,Joe Blanton,0.292,0.251,0.395,NL,10.0
0.261,Ricky Nolasco,0.331,0.26,0.41,NL,14.7
0.263,Jenrry Mejia,0.397,0.25,0.411,NL,-0.2
0.263,Clay Buchholz,0.33,0.254,0.411,AL,0.9
0.26,Scott Diamond,0.308,0.256,0.409,AL,8.6
0.258,Chad Beck,0.361,0.248,0.404,AL,0.3
0.259,Evan Crawford,0.429,0.241,0.401,AL,-2.3
0.253,Nick Vincent,0.26,0.25,0.391,NL,1.8
0.261,Josh Beckett,0.32,0.251,0.407,AL,4.9
0.262,Alex Burnett,0.326,0.259,0.415,AL,4.7
0.258,David Pauley,0.396,0.254,0.409,AL,1.2
0.253,Yovani Gallardo,0.313,0.246,0.39,NL,25.5
0.274,Nick Maronde,0.333,0.248,0.438,AL,0.9
0.264,Kevin Millwood,0.332,0.259,0.418,AL,6.7
0.256,Ross Detwiler,0.304,0.248,0.394,NL,6.5
0.233,Jhan Marinez,0.4,0.227,0.358,AL,-0.3
0.264,Matt Thornton,0.313,0.257,0.412,AL,5.1
0.261,Freddy Garcia,0.328,0.25,0.404,AL,6.1
0.262,Jaye Chapman,0.36,0.26,0.421,NL,1.8
0.268,Ryan Dempster,0.337,0.261,0.415,AL,7.3
0.256,Raul Valdes,0.205,0.247,0.395,NL,6.3
0.264,Sergio Santos,0.417,0.26,0.403,AL,-0.2
0.266,Andrew Miller,0.296,0.251,0.419,AL,5.7
0.265,Matt Lindstrom,0.289,0.266,0.401,NL,1.4
0.261,Trevor Rosenthal,0.25,0.252,0.407,NL,4.0
0.256,Travis Wood,0.305,0.251,0.397,NL,6.7
0.259,Darin Downs,0.326,0.252,0.398,AL,4.2
0.258,Ben Sheets,0.325,0.252,0.386,NL,4.4
0.263,Darren O'day,0.254,0.255,0.406,AL,12.2
0.255,Dan Otero,0.404,0.248,0.395,NL,2.1
0.261,Josh Outman,0.366,0.257,0.403,NL,1.7
0.264,Shawn Tolleson,0.323,0.262,0.412,NL,-0.8
0.26,B.j. Rosenberg,0.327,0.258,0.409,NL,-1.8
0.256,Miles Mikolas,0.345,0.255,0.393,NL,-5.5
0.259,Matt Harrison,0.309,0.252,0.4,AL,15.5
0.263,Tanner Scheppers,0.389,0.257,0.416,AL,2.8
0.264,Carlos Marmol,0.352,0.256,0.403,NL,4.3
0.256,Tom Gorzelanny,0.32,0.251,0.399,NL,5.1
0.264,Joel Peralta,0.254,0.256,0.42,AL,8.3
0.264,Jason Marquis,0.434,0.258,0.416,AL,-6.8
0.246,Rich Thompson,0.462,0.251,0.369,AL,-0.4
0.259,A.j. Ramos,0.325,0.256,0.397,NL,-0.3
0.277,Justin Germano,0.292,0.265,0.441,AL,2.8
0.261,Will Ohman,0.304,0.26,0.401,AL,-4.9
0.258,Bud Norris,0.329,0.255,0.401,NL,15.7
0.264,Jeff Niemann,0.282,0.257,0.416,AL,6.1
0.299,Daniel Mccutchen,1.0,0.286,0.498,NL,-1.7
0.271,Pedro Figueroa,0.348,0.262,0.421,AL,-1.8
0.268,Randy Choate,0.381,0.263,0.403,NL,-2.0
0.257,Joe Wieland,0.305,0.25,0.396,NL,-0.9
0.259,Matt Albers,0.293,0.25,0.41,AL,-2.9
0.256,Andrew Carignan,0.419,0.257,0.399,AL,-1.3
0.26,C.j. Wilson,0.323,0.253,0.404,AL,16.4
0.259,Andrew Bailey,0.392,0.255,0.412,AL,0.1
0.257,Miguel Batista,0.392,0.253,0.402,NL,-3.9
0.244,Dane De La Rosa,0.409,0.249,0.392,AL,-2.2
0.264,Luis Marte,0.312,0.257,0.416,AL,0.7
0.26,Elvin Ramirez,0.431,0.256,0.41,NL,0.6
0.268,Jake Arrieta,0.329,0.259,0.424,AL,9.0
0.251,Justin Thomas,0.52,0.246,0.4,AL,0.6
0.257,Matt Garza,0.301,0.252,0.399,NL,-1.1
0.253,Andy Pettitte,0.286,0.248,0.394,AL,12.1
0.263,Vin Mazzaro,0.391,0.258,0.415,AL,3.2
0.268,Tyson Ross,0.407,0.262,0.417,AL,-0.7
0.257,Brandon Gomes,0.361,0.249,0.401,AL,-0.5
0.263,Rich Hill,0.337,0.252,0.41,AL,3.1
0.266,Ryan Cook,0.256,0.259,0.419,AL,10.9
0.261,Jonathan Broxton,0.349,0.253,0.407,AL,0.5
0.272,Kerry Wood,0.452,0.263,0.429,NL,-3.4
0.254,Mike Leake,0.326,0.247,0.386,NL,13.5
0.263,David Carpenter,0.347,0.253,0.405,AL,-2.0
0.258,Mariano Rivera,0.25,0.252,0.41,AL,2.3
0.26,John Danks,0.345,0.255,0.407,AL,-0.4
0.264,Vinnie Pestano,0.283,0.256,0.416,AL,9.6
0.271,Ronald Belisario,0.281,0.269,0.428,NL,2.9
0.258,Joe Blanton,0.336,0.258,0.402,NL,2.9
0.265,Miguel Socolovich,0.362,0.258,0.413,AL,-0.1
0.262,Bill Bray,0.465,0.255,0.402,NL,-4.7
0.265,Tyler Thornburg,0.34,0.261,0.414,NL,-0.1
0.261,Anibal Sanchez,0.314,0.26,0.405,AL,10.3
0.262,Luis Ayala,0.311,0.257,0.412,AL,9.9
0.262,Fernando Salas,0.335,0.259,0.412,NL,5.4
0.263,Nathan Eovaldi,0.352,0.258,0.407,NL,1.2
0.267,Takashi Saito,0.39,0.268,0.428,NL,-3.0
0.259,Edinson Volquez,0.344,0.256,0.402,NL,2.4
0.255,Madison Bumgarner,0.284,0.251,0.4,NL,20.1
0.256,Steve Johnson,0.273,0.247,0.396,AL,3.1
0.259,Collin Mchugh,0.381,0.26,0.406,NL,-0.9
0.247,Drew Butera,0.25,0.25,0.374,AL,-1.5
0.272,Brandon League,0.296,0.266,0.422,NL,4.0
0.263,Marc Rzepczynski,0.321,0.257,0.411,NL,-4.5
0.264,Sean Doolittle,0.27,0.258,0.411,AL,13.5
0.235,Chuckie Fick,0.5,0.247,0.385,NL,-0.1
0.258,Juan Perez,0.429,0.26,0.391,NL,-1.6
0.253,J.j. Hoover,0.248,0.247,0.392,NL,4.5
0.255,Dillon Gee,0.311,0.251,0.396,NL,13.6
0.253,Alex White,0.374,0.244,0.375,NL,-0.0
0.262,Kyle Weiland,0.392,0.252,0.397,NL,-3.6
0.258,Jose Valdez,0.37,0.254,0.397,NL,1.7
0.259,Daisuke Matsuzaka,0.377,0.252,0.408,AL,-3.7
0.264,Shawn Camp,0.307,0.258,0.414,NL,4.9
0.255,Clayton Richard,0.304,0.249,0.39,NL,-18.8
0.273,David Pauley,0.455,0.272,0.435,AL,-1.4
0.259,Chad Durbin,0.314,0.255,0.406,NL,-2.3
0.259,Jon Lester,0.331,0.252,0.406,AL,12.9
0.253,Brad Hand,0.522,0.234,0.358,NL,-1.7
0.265,Jerome Williams,0.313,0.255,0.413,AL,-0.3
0.259,Scott Elbert,0.308,0.254,0.401,NL,-0.1
0.261,Jair Jurrjens,0.404,0.257,0.406,NL,-3.5
0.256,Jared Hughes,0.292,0.253,0.395,NL,-4.8
0.273,Tom Layne,0.224,0.266,0.42,NL,3.3
0.259,Phil Hughes,0.305,0.256,0.412,AL,19.5
0.264,Joe Nathan,0.273,0.256,0.409,AL,13.0
0.256,Tyson Brummett,0.5,0.255,0.421,NL,0.7
0.253,Aneury Rodriguez,0.19,0.247,0.404,NL,-0.4
0.255,Jaime Garcia,0.327,0.25,0.399,NL,21.1
0.267,Edward Mujica,0.24,0.263,0.416,NL,2.9
0.26,Josh Wall,0.238,0.261,0.418,NL,-0.4
0.262,Kenley Jansen,0.23,0.259,0.408,NL,12.2
0.258,David Carpenter,0.411,0.257,0.404,NL,2.3
0.263,Joaquin Benoit,0.288,0.257,0.411,AL,7.9
0.261,Jesse Crain,0.273,0.257,0.408,AL,8.5
0.265,Jesse Chavez,0.524,0.267,0.412,AL,-1.1
0.255,Chad Billingsley,0.315,0.252,0.394,NL,19.3
0.258,Mark Lowe,0.296,0.249,0.4,AL,1.6
0.255,Neftali Feliz,0.303,0.249,0.397,AL,0.6
0.258,Jacob Turner,0.249,0.251,0.4,NL,0.1
0.267,Rex Brothers,0.346,0.258,0.412,NL,11.9
0.262,Ervin Santana,0.308,0.254,0.407,AL,-13.6
0.253,Erik Bedard,0.341,0.252,0.396,NL,9.1
0.261,Mitchell Boggs,0.279,0.258,0.412,NL,6.7
0.261,Todd Coffey,0.337,0.255,0.408,NL,0.6
0.265,Antonio Bastardo,0.305,0.256,0.413,NL,7.4
0.26,Daniel Bard,0.404,0.253,0.407,AL,-5.5
0.257,Louis Coleman,0.318,0.254,0.401,AL,-1.4
0.258,Cody Eppley,0.332,0.254,0.407,AL,6.6
0.256,Roy Halladay,0.306,0.249,0.39,NL,12.9
0.264,Stephen Pryor,0.343,0.258,0.41,AL,-3.1
0.261,David Price,0.284,0.253,0.413,AL,29.2
0.27,Dan Straily,0.316,0.268,0.432,AL,-0.4
0.258,Brandon League,0.353,0.254,0.4,AL,3.9
0.26,Andrew Cashner,0.321,0.259,0.407,NL,3.4
0.262,Kyle Farnsworth,0.314,0.259,0.413,AL,1.4
0.261,Yoshinori Tateyama,0.316,0.247,0.407,AL,-2.4
0.256,Patrick Corbin,0.323,0.254,0.398,NL,10.3
0.258,Collin Balester,0.337,0.252,0.402,AL,-7.2
0.256,Fautino De Los Santos,0.5,0.236,0.381,AL,0.1
0.255,Sandy Rosario,0.471,0.246,0.379,NL,0.6
0.259,Jordan Norberto,0.284,0.251,0.393,AL,5.8
0.262,Tim Collins,0.312,0.254,0.406,AL,10.0
0.258,Juan Cruz,0.381,0.253,0.395,NL,2.4
0.266,Ernesto Frieri,0.261,0.259,0.419,AL,8.4
0.251,Doug Slaten,0.315,0.25,0.41,NL,-1.6
0.258,Kris Medlen,0.243,0.253,0.395,NL,26.4
0.256,Joe Saunders,0.313,0.245,0.402,AL,4.6
0.251,Eric Stults,0.367,0.241,0.369,AL,0.6
0.26,Joba Chamberlain,0.358,0.255,0.414,AL,3.5
