oppOPS,LG,AGE,YEAR,AVG,GS
0.703,AL,29,2012,0.286,0
0.741,AL,26,2012,0.295,12
0.735,AL,28,2012,0.235,15
0.758,AL,27,2012,0.28,0
0.715,AL,27,2012,0.317,4
0.726,AL,28,2012,0.267,18
0.749,AL,28,2012,0.347,0
0.736,AL,28,2012,0.241,15
0.726,AL,29,2012,0.216,0
0.698,NL,24,2012,0.212,1
0.735,AL,28,2012,0.179,0
0.74,AL,25,2012,0.294,9
0.717,NL,28,2012,0.236,32
0.738,NL,25,2012,0.285,8
0.709,NL,29,2012,0.385,0
0.73,AL,37,2012,0.231,0
0.728,AL,25,2012,0.284,16
0.712,NL,25,2012,0.357,2
0.72,AL,24,2012,0.207,15
0.663,NL,27,2012,0.37,0
0.718,AL,31,2012,0.147,0
0.708,NL,30,2012,0.259,32
0.599,AL,19,2012,0.2,0
0.729,NL,22,2012,0.279,12
0.704,NL,25,2012,0.255,29
0.74,AL,30,2012,0.34,19
0.716,NL,27,2012,0.215,0
0.729,NL,31,2012,0.248,0
0.761,NL,37,2012,0.481,0
0.73,NL,27,2012,0.342,0
0.731,NL,29,2012,0.229,0
0.739,AL,25,2012,0.166,0
0.747,AL,26,2012,0.216,0
0.713,NL,29,2012,0.276,0
0.738,AL,31,2012,0.186,0
0.725,NL,28,2012,0.221,0
0.739,AL,26,2012,0.284,5
0.728,AL,26,2012,0.259,32
0.866,NL,29,2012,0.8,0
0.732,AL,25,2012,0.288,28
0.773,AL,29,2012,0.227,0
0.719,NL,26,2012,0.207,0
0.731,NL,28,2012,0.24,0
0.712,AL,30,2012,0.288,0
0.71,NL,33,2012,0.258,15
0.702,NL,31,2012,0.259,0
0.726,NL,24,2012,0.296,0
0.723,NL,35,2012,0.223,0
0.738,NL,28,2012,0.13,0
0.717,NL,31,2012,0.267,28
0.749,AL,31,2012,0.248,16
0.751,AL,23,2012,0.248,29
0.719,NL,27,2012,0.222,32
0.716,AL,29,2012,0.281,0
0.725,NL,37,2012,0.242,3
0.707,NL,34,2012,0.282,28
0.731,NL,27,2012,0.412,1
0.727,AL,22,2012,0.216,0
0.721,AL,27,2012,0.214,21
0.748,NL,26,2012,0.23,0
0.741,AL,28,2012,0.242,13
0.713,AL,26,2012,0.209,0
0.721,AL,27,2012,0.357,0
0.705,NL,28,2012,0.237,31
0.768,NL,30,2012,0.4,0
0.717,AL,36,2012,0.368,0
0.724,AL,24,2012,0.26,11
0.724,AL,28,2012,0.256,2
0.752,NL,23,2012,0.189,0
0.718,NL,24,2012,0.179,0
0.735,AL,28,2012,0.195,0
0.697,NL,26,2012,0.243,7
0.659,NL,24,2012,0.0,0
0.746,AL,22,2012,0.29,31
0.721,NL,26,2012,0.35,10
0.714,NL,30,2012,0.25,0
0.698,NL,33,2012,0.275,9
0.747,AL,30,2012,0.306,0
0.742,AL,30,2012,0.217,0
0.766,AL,32,2012,0.353,0
0.742,NL,23,2012,0.205,0
0.722,AL,38,2012,0.23,0
0.743,AL,24,2012,0.254,13
0.722,AL,28,2012,0.238,0
0.733,AL,31,2012,0.304,3
0.713,NL,33,2012,0.254,33
0.694,NL,29,2012,0.274,0
0.724,AL,28,2012,0.273,0
0.729,AL,31,2012,0.275,30
0.739,AL,26,2012,0.241,33
0.727,AL,23,2012,0.275,22
0.736,AL,28,2012,0.273,31
0.742,AL,25,2012,0.231,0
0.701,AL,30,2012,0.185,0
0.778,NL,26,2012,0.462,0
0.733,AL,24,2012,0.257,0
0.727,AL,29,2012,0.239,30
0.703,NL,31,2012,0.233,0
0.723,AL,28,2012,0.213,0
0.696,NL,25,2012,0.181,0
0.736,AL,25,2012,0.182,0
0.648,NL,29,2012,0.5,0
0.739,AL,28,2012,0.242,16
0.722,NL,27,2012,0.253,32
0.715,NL,24,2012,0.243,15
0.727,AL,34,2012,0.228,0
0.755,AL,41,2012,0.214,0
0.709,AL,24,2012,0.187,7
0.735,AL,24,2012,0.259,29
0.713,NL,24,2012,0.349,1
0.719,AL,22,2012,0.267,2
0.717,NL,26,2012,0.333,0
0.7,NL,33,2012,0.269,20
0.745,AL,23,2012,0.305,16
0.746,AL,28,2012,0.256,0
0.709,NL,26,2012,0.208,12
0.716,NL,36,2012,0.203,8
0.736,NL,28,2012,0.25,0
0.702,AL,40,2012,0.232,12
0.707,NL,23,2012,0.343,0
0.726,AL,27,2012,0.244,0
0.712,NL,24,2012,0.296,23
0.754,NL,42,2012,0.321,0
0.723,AL,24,2012,0.28,9
0.728,AL,34,2012,0.298,0
0.717,NL,21,2012,0.217,1
0.706,NL,31,2012,0.266,20
0.759,AL,26,2012,0.28,1
0.724,AL,29,2012,0.222,0
0.733,AL,25,2012,0.318,6
0.739,NL,25,2012,0.297,0
0.724,NL,31,2012,0.239,0
0.74,AL,27,2012,0.252,16
0.718,AL,25,2012,0.278,31
0.74,AL,31,2012,0.206,0
0.725,AL,37,2012,0.249,33
0.742,AL,27,2012,0.212,0
0.734,AL,25,2012,0.168,0
0.763,AL,29,2012,0.393,0
0.73,AL,29,2012,0.254,0
0.739,AL,29,2012,0.302,12
0.763,AL,31,2012,0.0,0
0.727,NL,29,2012,0.262,0
0.71,NL,33,2012,0.231,0
0.737,NL,27,2012,0.19,0
0.784,AL,27,2012,0.563,0
0.745,AL,28,2012,0.265,2
0.723,NL,29,2012,0.309,12
0.73,NL,28,2012,0.211,0
0.745,AL,24,2012,0.236,15
0.705,NL,25,2012,0.289,20
0.735,NL,22,2012,0.233,1
0.717,AL,22,2012,0.313,16
0.746,NL,24,2012,0.126,0
0.729,AL,24,2012,0.667,0
0.74,NL,27,2012,0.226,0
0.684,AL,32,2012,0.24,1
0.707,NL,22,2012,0.28,17
0.768,AL,30,2012,0.444,0
0.692,NL,23,2012,0.23,28
0.712,NL,26,2012,0.253,0
0.738,AL,30,2012,0.243,0
0.669,NL,33,2012,0.386,0
0.696,AL,31,2012,0.246,0
0.748,NL,28,2012,0.206,0
0.735,AL,26,2012,0.234,0
0.711,NL,25,2012,0.229,0
0.725,NL,29,2012,0.229,0
0.736,AL,24,2012,0.232,0
0.737,AL,26,2012,0.174,0
0.712,AL,31,2012,0.238,28
0.707,NL,28,2012,0.254,21
0.704,NL,33,2012,0.258,31
0.724,AL,27,2012,0.271,10
0.729,AL,26,2012,0.263,0
0.737,AL,23,2012,0.232,0
0.743,AL,27,2012,0.194,0
0.717,NL,34,2012,0.344,0
0.734,AL,29,2012,0.245,33
0.726,NL,25,2012,0.204,0
0.723,AL,29,2012,0.202,0
0.744,NL,34,2012,0.282,0
0.739,AL,29,2012,0.213,8
0.667,AL,27,2012,0.455,0
0.705,NL,34,2012,0.242,31
0.719,AL,25,2012,0.333,0
0.73,AL,25,2012,0.201,0
0.717,NL,31,2012,0.239,0
0.737,AL,33,2012,0.371,7
0.679,AL,26,2012,0.412,0
0.73,NL,36,2012,0.368,0
0.7,NL,22,2012,0.256,17
0.708,NL,28,2012,0.243,31
0.714,NL,25,2012,0.306,21
0.733,NL,28,2012,0.241,0
0.71,NL,27,2012,0.209,0
0.704,AL,24,2012,0.174,4
0.716,AL,24,2012,0.225,6
0.714,AL,30,2012,0.333,0
0.716,AL,36,2012,0.257,0
0.687,AL,25,2012,0.3,0
0.687,NL,28,2012,0.429,0
0.706,NL,34,2012,0.168,1
0.73,AL,27,2012,0.111,0
0.705,NL,35,2012,0.283,7
0.72,AL,31,2012,0.239,34
0.743,NL,26,2012,0.237,0
0.734,NL,26,2012,0.205,0
0.686,NL,24,2012,0.267,6
0.729,AL,36,2012,0.216,0
0.73,AL,29,2012,0.279,21
0.7,NL,22,2012,0.29,12
0.682,AL,27,2012,0.417,0
0.734,AL,34,2012,0.228,0
0.69,NL,36,2012,0.32,0
0.746,AL,26,2012,0.272,18
0.736,NL,24,2012,0.251,0
0.715,AL,24,2012,0.167,0
0.703,NL,24,2012,0.302,0
0.729,NL,28,2012,0.241,0
0.693,AL,27,2012,0.464,0
0.707,NL,33,2012,0.255,30
0.73,AL,34,2012,0.229,0
0.717,NL,32,2012,0.196,0
0.723,NL,25,2012,0.314,4
0.774,AL,21,2012,0.321,3
0.733,AL,32,2012,0.254,0
0.733,NL,26,2012,0.186,0
0.71,NL,24,2012,0.21,33
0.721,AL,28,2012,0.273,33
0.695,NL,30,2012,0.245,21
0.718,NL,37,2012,0.294,0
0.726,AL,29,2012,0.356,0
0.723,NL,28,2012,0.305,9
0.725,AL,27,2012,0.326,0
0.72,NL,27,2012,0.29,7
0.714,NL,32,2012,0.376,5
0.724,AL,26,2012,0.224,9
0.717,AL,23,2012,0.235,29
0.715,NL,37,2012,0.331,0
0.726,AL,23,2012,0.266,0
0.71,NL,33,2012,0.239,33
0.743,AL,36,2012,0.246,0
0.71,NL,26,2012,0.226,0
0.702,NL,29,2012,0.304,9
0.776,AL,25,2012,0.515,2
0.707,NL,22,2012,0.211,0
0.697,NL,26,2012,0.274,0
0.707,NL,28,2012,0.303,4
0.698,NL,31,2012,0.305,0
0.726,AL,23,2012,0.215,4
0.713,AL,25,2012,0.333,0
0.718,NL,30,2012,0.333,1
0.677,NL,26,2012,0.395,0
0.708,NL,27,2012,0.233,29
0.697,NL,24,2012,0.247,3
0.721,NL,21,2012,0.279,25
0.73,NL,30,2012,0.191,0
0.729,AL,32,2012,0.217,0
0.736,AL,28,2012,0.182,0
0.717,AL,25,2012,0.223,11
0.727,AL,24,2012,0.273,17
0.67,AL,25,2012,0.615,1
0.707,NL,27,2012,0.254,22
0.729,NL,37,2012,0.281,6
0.716,NL,27,2012,0.254,25
0.708,NL,24,2012,0.303,16
0.744,NL,24,2012,0.346,2
0.726,AL,27,2012,0.273,9
0.7,NL,26,2012,0.324,0
