AVG,POS,SB,RBI,R,BB,HR,AB
.351,1B,3,15,12,18,0,97
.198,3B,0,7,11,9,0,116
.143,1B,0,4,6,9,0,63
.500,OF,0,0,4,1,0,10
.239,3B,4,12,17,8,1,138
.197,LF,1,10,12,11,1,142
.333,DH,0,3,1,0,0,9
.260,RF,5,7,5,5,0,73
.000,2B,0,0,1,0,0,7
.438,SS,1,0,1,1,0,16
.178,1B,0,15,8,17,3,101
.202,RF,5,2,11,9,1,94
.250,LF,2,24,16,11,6,136
.200,SS,0,0,0,1,0,5
.214,SS,5,16,21,15,2,168
.206,RF,2,15,13,9,0,131
.200,C,0,0,0,0,0,5
.257,RF,2,15,13,7,3,148
.274,CF,5,2,9,10,0,84
.333,2B,0,1,1,1,0,9
.141,SS,2,7,6,6,0,71
.246,3B,3,5,13,3,0,65
.238,2B,13,9,24,21,1,160
.194,LF,0,10,11,8,0,124
.182,C,1,7,8,2,0,55
.333,C,0,1,4,0,0,12
.240,1B,1,0,2,1,0,25
.208,SS,1,1,1,1,0,24
.282,C,0,3,4,1,0,39
.257,1B,2,18,12,17,3,109
.361,1B,0,7,4,2,2,36
.158,DH,0,2,1,0,0,19
.167,C,0,0,1,1,0,6
.202,1B,1,9,15,10,1,94
.333,OF,0,1,2,2,0,6
.250,2B,2,5,8,6,0,88
.291,C,2,21,17,16,1,141
.174,DH,0,1,6,5,0,23
.188,1B,0,0,3,3,0,16
.246,3B,2,23,22,7,3,118
.324,C,0,2,4,5,0,37
.182,CF,3,8,9,13,0,77
.246,LF,12,14,21,13,0,118
.259,3B,7,19,19,10,0,139
.279,RF,1,21,19,17,1,147
.225,2B,13,16,17,15,3,142
.250,RF,0,3,1,3,0,8
.245,2B,3,8,8,9,0,102
.210,1B,3,16,13,18,0,138
.136,DH,1,2,4,1,0,22
.198,1B,0,5,3,5,1,81
.000,C,0,0,0,1,0,7
.087,CF,1,4,2,5,0,23
.244,OF,3,6,7,6,1,41
.261,RF,4,10,20,8,2,142
.385,2B,0,1,2,2,0,13
.205,SS,14,11,19,11,0,166
.100,3B,0,3,2,3,0,30
.189,1B,1,7,5,13,0,74
.172,1B,0,7,3,7,0,64
.143,C,0,4,0,3,0,28
.000,1B,0,0,0,1,0,1
.333,C,0,7,4,3,1,33
.165,LF,1,5,3,6,0,85
.250,CF,0,0,0,0,0,4
.293,C,1,7,8,7,1,41
.290,1B,1,12,12,18,2,100
.156,2B,3,2,11,15,0,45
.278,C,0,7,5,4,0,36
.179,DH,0,4,4,5,0,28
.278,RF,1,2,1,0,0,18
.214,3B,3,9,11,9,1,70
.500,2B,1,0,1,2,0,4
.205,C,0,6,7,6,0,44
.268,2B,2,5,4,2,0,41
.226,RF,5,16,25,20,2,155
.214,SS,1,6,4,3,2,28
.240,2B,9,3,17,13,0,75
.101,1B,0,2,2,8,0,69
.175,RF,1,0,7,9,0,40
.267,2B,13,18,21,17,0,150
.197,1B,1,7,7,4,0,76
.229,SS,1,12,15,7,1,105
.273,C,0,1,0,1,0,11
.224,RF,2,8,8,9,0,85
.133,RF,1,3,5,3,0,60
.311,OF,0,7,7,3,0,45
.216,RF,1,8,15,10,1,88
.254,C,0,10,11,1,4,63
.188,C,0,9,3,6,0,69
.139,LF,5,6,10,11,2,101
.150,2B,0,4,7,5,0,20
.261,SS,14,19,26,8,1,188
.191,C,0,3,11,13,0,89
.273,3B,0,0,0,4,0,11
--,SS,0,0,0,1,0,0
.204,SS,3,9,20,15,0,167
.273,LF,0,4,5,1,1,22
.265,RF,7,29,28,24,6,166
.277,SS,11,14,14,13,0,94
.190,SS,1,12,12,9,0,153
.187,1B,0,4,4,4,0,75
.281,DH,3,14,8,6,1,96
.174,2B,1,0,0,1,0,23
.182,C,0,1,0,2,0,11
.193,CF,4,20,18,11,1,145
.287,LF,5,9,16,13,0,101
.253,RF,3,24,19,18,1,158
.242,LF,5,13,11,8,1,91
.271,RF,5,9,10,3,0,96
.333,2B,12,25,39,28,1,162
.288,RF,3,28,17,15,6,118
.111,SS,0,0,1,0,0,9
