OBP,R,3B,Player,OPS,H,SF,SLG,Team,CS
.264,13,0,M Head,0.527,29,1,.264,MID,1
.120,2,0,T Tartamella,0.25,2,1,.130,SPR,0
.322,14,0,L Montanez,0.779,23,1,.457,ARK,1
--,0,0,R Buch,0.0,0,0,--,TUL,0
.295,31,0,C Stanley,0.636,68,2,.342,SPR,0
--,0,0,C Zavada,0.0,0,0,--,SA,0
.340,34,1,T Ladendorf,0.738,70,2,.398,MID,0
.293,18,3,J Benson,0.687,27,1,.394,FRI,1
.289,40,3,A Buschini,0.664,68,2,.375,SA,6
.299,58,3,T Witherspoon,0.641,96,4,.342,ARK,10
.223,37,1,Y Prades,0.51,59,4,.288,NWA,3
.291,36,1,J Swift,0.658,77,4,.367,ARK,1
.320,75,3,D Myers,0.707,138,2,.388,MID,10
.301,17,0,C Ramirez,0.701,32,0,.400,ARK,0
.323,55,0,K Roling,0.823,107,7,.500,TUL,0
.000,0,0,J Geer,0.0,0,0,.000,SA,0
.300,1,0,N Longmire,0.425,1,0,.125,SPR,0
.333,40,1,M Stassi,0.863,80,5,.529,CC,1
.310,9,0,L Orr,0.649,14,1,.339,SA,2
--,0,0,A Mavare,0.0,0,0,--,FRI,0
.331,45,6,A Nina,0.753,125,2,.422,TUL,9
.290,5,0,D Tarleton,0.58,13,0,.290,TUL,0
.250,1,0,N Pritchard,0.457,5,0,.207,SPR,1
.182,0,0,B Tanos,0.282,1,0,.100,TUL,0
.250,0,0,J Rodriguez,0.583,3,0,.333,SA,0
.305,55,12,C Oberacker,0.694,106,6,.388,MID,1
.323,20,2,R Hernandez,0.655,71,1,.332,NWA,6
.312,59,4,O Calixte,0.68,121,3,.368,NWA,11
.280,20,1,E Rodriguez,0.645,48,2,.365,SA,1
.000,0,0,C Riordan,0.0,0,0,.000,TUL,0
1.000,0,0,R Mejia,2.0,1,0,1.000,SA,0
.000,0,0,J Gonzalez,0.0,0,0,.000,TUL,0
.313,2,0,T Gustafson,0.598,3,0,.286,TUL,0
.298,25,3,Y Asencio,0.652,76,2,.354,SA,2
--,0,0,J Miller,0.0,0,0,--,FRI,0
.376,67,1,X Scruggs,0.863,111,3,.487,SPR,7
.396,56,2,R Fuentes,0.837,109,2,.441,SA,10
.310,19,2,R Torreyes,0.654,42,0,.344,CC,1
--,0,0,R Delgado,0.0,0,0,--,SPR,0
--,0,0,D Miranda,0.0,0,0,--,SPR,0
.182,0,0,J Baker,0.364,2,0,.182,FRI,0
.289,6,0,J Crousset,0.67,11,1,.381,TUL,1
.381,21,1,D Heid,0.78,60,0,.399,ARK,3
.345,70,3,K Parker,0.836,138,4,.492,TUL,6
.323,42,2,A Melker,0.722,82,3,.399,SPR,7
.167,0,0,A Pierzynski,0.333,1,0,.167,FRI,0
.320,7,0,C Rasmus,0.633,14,0,.313,SPR,0
--,0,0,J Ibarra,0.0,0,0,--,SA,0
.338,27,3,A Franco,0.742,83,1,.404,NWA,7
.333,30,1,L Adams,0.731,38,0,.397,NWA,0
--,0,0,I Froneberger,0.0,0,0,--,TUL,0
.276,48,0,L Mateo,0.594,82,1,.318,SPR,7
.295,11,0,M Duffy,0.755,22,0,.461,CC,1
.300,1,0,J Martinez,0.85,6,0,.550,CC,0
1.000,0,0,J Gyorko,2.0,1,0,1.000,SA,0
.337,37,1,A Buchholz,0.809,84,1,.472,FRI,1
--,0,0,M Solbach,0.0,0,0,--,TUL,0
--,0,0,S Hensley,0.0,0,0,--,TUL,0
--,0,0,D Hooker,0.0,0,0,--,SPR,0
.368,62,0,E Castro,0.848,115,1,.480,CC,4
.200,1,0,D Lopez,0.311,1,0,.111,MID,0
.360,41,4,M Canham,0.741,76,2,.381,NWA,7
.282,21,0,B Taylor,0.548,51,3,.266,MID,0
.293,44,0,J Mier,0.558,69,1,.265,CC,8
.399,56,0,G Springer,0.978,81,1,.579,CC,5
.452,49,0,A Aliotti,0.993,119,3,.541,MID,2
.286,12,0,L Sardinas,0.597,35,0,.311,FRI,2
.200,4,0,R Lipkin,0.403,7,0,.203,MID,0
.345,72,2,D Santana,0.842,105,1,.498,CC,5
.250,0,0,R Castillo,0.45,3,0,.200,SPR,0
.388,27,6,T Pham,0.91,49,1,.521,SPR,3
--,0,0,B Rowen,0.0,0,0,--,FRI,0
.278,4,1,M Fleury,0.559,6,0,.281,ARK,0
.250,1,0,M Adams,0.583,3,0,.333,SPR,0
.305,23,1,J Shepherd,0.596,47,1,.291,TUL,2
.250,23,1,A Selen,0.573,42,0,.323,FRI,1
.354,20,2,R Odor,0.884,41,0,.530,FRI,2
.286,50,5,R Strausborger,0.633,100,1,.347,FRI,9
.338,9,0,T Murphy,0.831,20,0,.493,TUL,0
.000,0,0,R Oswalt,0.0,0,0,.000,TUL,0
.253,37,4,H Alberto,0.54,76,6,.287,FRI,5
.349,33,1,J Marte,0.729,68,4,.380,MID,1
--,0,0,J Almarante,0.0,0,0,--,SPR,0
.250,1,0,B Whiting,0.5,1,0,.250,SPR,0
.170,3,0,E Rincon,0.343,8,0,.173,NWA,0
.111,0,0,I Kinsler,0.111,0,0,.000,FRI,0
.309,25,2,S Rodriguez,0.7,63,3,.391,SPR,2
1.000,0,0,N Greenwood,2.0,1,0,1.000,SPR,0
.356,6,0,C Perez,0.771,15,0,.415,CC,0
.000,0,0,C McHugh,0.0,0,0,.000,TUL,0
--,0,0,M Blazek,0.0,0,0,--,SPR,0
.348,36,1,R Garcia,0.767,92,1,.419,CC,2
--,0,0,C White,0.0,0,0,--,TUL,0
.000,0,0,J Oramas,0.0,0,0,.000,SA,0
.348,74,5,R Noel,0.681,132,5,.333,SA,19
--,0,0,Z Russell,0.0,0,0,--,SPR,0
.000,0,0,K Roberts,0.0,0,0,.000,TUL,0
