OBP,Player,AB,Team,R,SB,CS,3B,AVG
--,J Castillo,0,MXO,0,0,0,0,--
.401,R Mendez,312,VRA,51,5,6,1,.260
.303,C Zazueta,354,MIN,40,9,6,4,.254
.391,F Romero,328,QR,52,18,18,2,.256
.303,L Martinez,338,LAR,39,6,3,0,.287
.214,M Patino,54,OAX,6,0,2,0,.185
.345,S Guerrero,257,LAR,25,3,0,1,.245
.387,V Bojorquez,415,MXO,75,5,7,6,.364
.447,E Durazo,173,MTY,29,0,0,0,.341
.416,J Galarraga,368,MIN,50,10,7,5,.318
.248,N Becerra,122,OAX,11,1,1,0,.156
.313,B Lopez,214,MTY,32,1,2,0,.266
.412,D Cesar,433,VAQ,94,24,8,2,.330
--,A Osuna,0,QR,0,0,0,0,--
.382,J Hernandez,396,YUC,66,10,5,6,.298
.371,J Arredondo,241,PUE,29,0,2,1,.257
.281,O Bramasco,58,MIN,9,3,0,0,.224
.385,J Espinoza,396,TIJ,63,10,8,0,.295
.377,M Martinez,356,TAB,59,14,8,2,.289
.171,M Rivera,34,MIN,3,0,0,0,.147
.301,M Lopez,164,CAM,15,3,7,0,.256
.315,E Wilson,163,LAR,17,2,1,0,.252
.357,H Garanzuay,368,MVA,52,13,5,1,.277
--,A Zazueta,0,OAX,0,0,0,0,--
.393,J Castillo,343,YUC,53,5,3,2,.324
.217,K Harvey,21,OAX,0,0,0,0,.143
.349,H Leal,231,OAX,31,1,3,3,.299
--,D Sinohui,0,MIN,0,0,0,0,--
.302,J Nieves,42,OAX,7,0,0,0,.286
.364,R Aguirre,99,OAX,15,0,1,2,.313
.388,L Figueroa,262,PUE,27,0,0,0,.332
.369,L Buelna,397,VRA,56,5,4,2,.280
.413,E Guzman,234,QR,31,1,3,0,.308
.000,C Garibaldi,1,QR,0,0,0,0,.000
.376,A Nunez,109,VAQ,19,1,2,0,.257
.278,R Mateo,98,VAQ,14,1,0,0,.224
.379,F Acosta,26,CAM,4,0,0,0,.308
.363,I Araujo,253,VAQ,39,10,3,5,.308
.371,G Gil,326,MXO,53,1,0,2,.298
.286,E Vega,127,TIJ,18,1,1,1,.252
.317,T Robles,205,TAB,27,0,1,0,.244
.416,C Sievers,309,TAB,38,3,4,0,.301
.295,H Salas,181,SLT,22,0,3,0,.238
.219,F Lopez,91,OAX,15,3,1,1,.176
.282,D Hinojosa,73,MTY,17,6,0,0,.164
.200,C Gonzalez,17,CHI,1,0,0,0,.118
--,C Gutierrez,0,VAQ,0,0,0,0,--
.352,J Acuna,261,TAB,49,8,2,1,.253
--,M Castro,0,MVA,0,0,0,0,--
.297,H Hernandez,232,VRA,26,4,2,2,.263
.340,J Sandoval,291,MXO,34,1,0,0,.271
.253,O Higuera,76,PUE,6,2,1,0,.197
.390,L Borges,378,YUC,52,2,2,2,.325
.222,J Aguilar,18,MVA,5,1,0,0,.222
.344,J Castaneda,269,VAQ,40,0,2,0,.275
.380,M Valdez,258,VAQ,41,1,0,0,.283
.411,F Mendez,365,CHI,52,0,0,0,.301
.255,J Duran,50,MTY,8,1,1,0,.180
.267,C Gonzalez,14,SLT,1,0,0,0,.214
.000,R Pacheco,13,TIJ,0,0,0,0,.000
.000,J Crespo,3,PUE,0,0,0,0,.000
.278,A Munoz,262,TIJ,24,4,0,0,.214
.272,E Gutierrez,196,CAM,31,2,2,3,.199
.393,H Castaneda,227,VAQ,27,3,1,0,.291
.318,I Cervantes,318,PUE,39,0,2,0,.283
.404,J Munoz,287,SLT,48,9,6,2,.314
.430,J Offerman,278,VRA,50,5,1,3,.317
.347,F Seguignol,178,TAB,16,0,0,0,.270
--,A Mercado,0,OAX,0,0,0,0,--
.445,D White,264,TIJ,50,1,0,0,.356
.376,S Gutierrez,206,YUC,28,1,1,0,.320
.459,K Pellow,374,SLT,91,3,2,0,.385
.294,I Bellazetin,113,MIN,25,8,1,1,.257
--,D Arguelles,0,QR,0,0,0,0,--
.345,J Rivera,338,CAM,46,4,2,2,.272
.398,I Salas,112,MVA,13,3,2,2,.366
.000,O Roman,1,PUE,0,0,0,0,.000
.387,R Reyes,276,PUE,59,13,2,0,.337
.410,M Carrillo Sr.,183,QR,34,2,7,1,.328
.262,S Langaigne,55,MTY,6,2,0,0,.200
.411,C Presichi,382,SLT,70,18,0,1,.351
.326,C Valle,274,CHI,27,1,0,0,.285
.248,K Flores,105,QR,12,2,0,0,.190
.222,J Laurean,17,TIJ,1,0,0,0,.176
.283,J Esqueda,141,CAM,20,1,4,1,.199
.311,O Castaneda,119,MVA,19,0,1,0,.244
.292,D Castro,338,MVA,48,8,3,1,.269
.350,R Gonzalez,162,VAQ,24,1,4,0,.278
.250,L Torres,4,QR,0,0,0,0,.250
.379,M Bobadilla,217,CHI,36,1,1,3,.258
.333,A Rodriguez,5,MVA,1,0,0,0,.200
.290,J Vega,304,VRA,44,1,1,1,.227
.382,R Saucedo,295,MXO,54,0,0,0,.315
--,D Heredia,0,YUC,0,0,0,0,--
.390,L Garcia,115,VAQ,16,1,0,1,.348
.316,J Brena,234,OAX,29,2,0,1,.239
.556,C Resendez,7,TAB,0,0,0,0,.429
.347,E Rodriguez,324,OAX,28,1,1,0,.302
.335,O Sandoval,238,QR,30,1,2,1,.294
.356,J Franco,128,QR,17,3,1,1,.250
.387,A Contreras,137,QR,22,1,3,0,.307
--,Y Hernandez,0,VAQ,0,0,0,0,--
.390,M Flores,294,MTY,48,9,2,1,.316
.342,H Arredondo,348,TAB,51,4,2,0,.293
.308,E Salcedo,274,CHI,36,4,2,2,.266
.364,R Gastelum,202,CHI,20,1,4,2,.312
.431,J Cruz,146,TIJ,19,0,0,0,.308
.250,I Pina,4,MTY,0,0,0,0,.250
.232,J Arevalo,117,LAR,11,1,2,0,.188
.267,B Valdez,80,YUC,7,0,0,0,.238
.286,R Ramirez,14,VAQ,1,1,0,0,.286
.309,D Urias,228,MIN,27,5,3,1,.259
.292,L Bustillos,104,CHI,15,1,1,0,.250
.374,L Arredondo,369,YUC,67,15,6,2,.314
.152,R Yan,30,VRA,2,1,1,0,.067
.000,E Haro,1,QR,0,0,0,0,.000
.396,J Macias,301,MXO,56,6,5,8,.349
.284,G Angulo,94,YUC,12,4,1,0,.223
.235,O Lemus,17,MTY,3,0,0,0,.235
.369,D Leon,345,VAQ,42,2,1,0,.267
--,L Navarro,0,YUC,0,0,0,0,--
.488,R Petagine,129,MXO,25,0,1,1,.372
.313,C Virgen,111,OAX,11,0,1,0,.198
.304,R Gonzalez,226,LAR,29,7,5,0,.274
.364,R Soriano,98,VRA,21,0,1,0,.235
.380,E Barragan,84,VAQ,17,1,4,1,.274
.332,J Romo,168,LAR,14,6,0,3,.244
.313,C Rodriguez,159,MTY,15,0,0,0,.245
.000,L Gonzalez,1,TIJ,0,0,0,0,.000
.354,F Rios,288,MTY,39,7,9,0,.257
.246,M Nettles,52,OAX,5,3,2,0,.192
.143,G Ruiz,7,VRA,1,0,0,0,.143
--,E Salgado,0,LAR,0,0,0,0,--
