Name,Height w/o Shoes,Height w/shoes,Weight,Wingspan,Reach,Hand Length,Hand Width,No Step Vert,No Step Vert Reach,Max Vert,Max Vert Reach,Bench,Agility,Sprint,Rank,Drafted
Dylan Page,"6' 7.5""","6' 8.75""",239,"6' 7""","8' 9""",0,0,26.0,"10' 11""",30.0,"11' 3""",17.0,10.99,3.4,32,No
Chris Garnett,"6' 8.25""","6' 9.75""",260,"7' 1""","9' 0""",0,0,27.0,"11' 3""",31.5,"11' 7.5""",22.0,11.75,3.36,26,No
Deng Gai,"6' 7.5""","6' 9""",218,"7' 4""","9' 2.5""",0,0,28.5,"11' 7""",33.0,"11' 11.5""",12.0,12.99,3.35,55,No
Desmon Farmer,"6' 4.5""","6' 5.75""",214,"6' 8.5""","8' 7""",0,0,24.0,"10' 7""",31.0,"11' 2""",12.0,10.89,3.2,30,No
John Edwards,"6' 11.25""","7' 1""",264,"7' 4.5""","9' 5""",0,0, , , , ,15.0, , ,75,No
Erik Daniels,"6' 6.25""","6' 7.5""",223,"6' 11""","8' 10""",0,0,31.0,"11' 5""",32.0,"11' 6""",4.0,11.38,3.19,41,No
TJ Cummings,"6' 7.5""","6' 8.75""",215,"6' 9.5""","8' 10.5""",0,0,27.0,"11' 1.5""",31.0,"11' 5.5""",6.0,11.58,3.12,40,No
Ales Chan,"7' 0""","7' 2""",255,"7' 3""","9' 5""",0,0,21.0,"11' 2""",29.0,"11' 10""",2.0,12.9,3.62,74,No
Jackie Butler,"6' 8""","6' 9.5""",263,"7' 1.5""","9' 1""",0,0,23.0,"11' 0""",25.0,"11' 2""",14.0,13.32,3.4,67,No
Andre Brown,"6' 8""","6' 9.5""",236,"6' 11""","8' 11""",0,0,32.0,"11' 7""",35.5,"11' 10.5""",18.0,11.7,3.22,11,No
Timmy Bowers,"6' 0.5""","6' 1.75""",181,"6' 9""","8' 2""",0,0,37.0,"11' 3""",43.5,"11' 9.5""",13.0,11.24,3.21,5,No
Brian Boddicker,"6' 7.5""","6' 8.75""",230,"6' 10""","8' 9.5""",0,0,28.0,"11' 1.5""",30.0,"11' 3.5""",16.0,10.93,3.25,23,No
Tony Bobbitt,"6' 2.75""","6' 4""",185,"6' 7""","8' 4""",0,0, , , , ,1.0, , ,78,No
Rolando Howell,"6' 7.5""","6' 8.5""",229,"7' 0.5""","8' 11""",0,0,28.5,"11' 3.5""",34.5,"11' 9.5""", ,11.91,3.28,62,No
Martin Iti,"6' 8.5""","6' 9.75""",233,"7' 5""","9' 3.5""",0,0,26.5,"11' 6""",32.5,"12' 0""",13.0,12.28,3.41,49,No
Randall Orr,"6' 9""","6' 10.75""",193,"6' 10.5""","8' 11.5""",0,0,26.5,"11' 2""",33.0,"11' 8.5""",6.0,11.18,3.27,43,No
Misan Nikagbatse,"6' 3.5""","6' 4.75""",223,"6' 10""","8' 6""",0,0,27.5,"10' 9.5""",32.5,"11' 2.5""",11.0,11.27,3.32,39,No
Michel Morandais,"6' 3.75""","6' 4.75""",205,"6' 11.5""","8' 6""",0,0,30.5,"11' 0.5""",33.5,"11' 3.5""",16.0,11.45,3.22,20,No
Marcus Moore,"6' 4""","6' 5.25""",202,"6' 9""","8' 5.5""",0,0,25.0,"10' 6.5""",30.0,"10' 11.5""", ,11.31,3.34,64,No
James Moore,"6' 6.5""","6' 8""",198,"7' 0.5""","8' 11""",0,0,28.5,"11' 3.5""",32.5,"11' 7.5""", ,11.01,3.21,48,No
Rich Melzer,"6' 7.5""","6' 8.75""",229,"7' 2""","8' 11""",0,0,24.5,"10' 11.5""",28.5,"11' 3.5""",8.0,11.74,3.39,61,No
Marcus Melvin,"6' 6.75""","6' 8.5""",241,"7' 0""","8' 9.5""",0,0,25.0,"10' 10.5""",30.5,"11' 4""",11.0,11.81,3.33,47,No
Bryant Matthews,"6' 5.75""","6' 6.75""",206,"7' 0.5""","8' 9.5""",0,0,29.0,"11' 2.5""",34.5,"11' 8""",13.0,11.08,3.13,14,No
Jaime Lloreda,"6' 6.75""","6' 8.5""",247,"6' 9.5""","8' 11""",0,0,25.5,"11' 0.5""",29.5,"11' 4.5""",6.0,12.93,3.23,65,No
Herve Lamizana,"6' 7.5""","6' 8.5""",210,"7' 1.5""","8' 11""",0,0, , , , , , , ,81,No
Ivan Koljevic,"6' 1""","6' 2""",172,"6' 2.5""","7' 11""",0,0,26.0,"10' 1""",28.5,"10' 3.5""",4.0,11.07,3.28,51,No
Arthur Johnson,"6' 7""","6' 8.5""",262,"7' 3""","9' 1""",0,0,26.5,"11' 3.5""",28.5,"11' 5.5""",14.0,11.81,3.38,45,No
Andre Barrett,"5' 8.75""","5' 9.75""",171,"6' 1""","7' 8""",0,0,29.0,"10' 1""",34.5,"10' 6.5""",13.0,10.63,3.08,7,No
