FOW,FO,S/G,Player,TOI/G,№,PPG
14,22,0.3,Verot Darcy,7:21,7,0
0,0,0.5,Larin Ivan,1:57,43,0
5,10,1.1,Koltsov Konstantin,12:44,28,1
3,10,2.9,Ketov Evgeny,15:46,40,0
0,2,0.7,Shitikov Dmitry,8:03,23,0
121,241,2.4,Rolinek Tomas,16:46,60,3
0,2,1.0,Pushkaryov Konstantin,9:49,81,0
115,214,2.1,Fedorov Fedor,12:38,19,2
29,55,2.0,Nurtdinov Ruslan,13:58,34,2
0,0,-,Bocharov Stanislav,2:11,71,0
14,26,1.8,Kopeikin Alexei,14:43,25,2
431,774,0.8,Yemeleyev Igor,15:39,24,2
39,134,1.0,Dugin Yegor,9:07,8,0
3,4,0.7,Vishnyakov Albert,11:15,48,0
316,648,2.5,Enlund Jonas,17:24,26,4
257,543,1.1,Yunkov Mikhail,15:35,79,2
2,3,0.9,Belousov Georgy,8:54,25,0
2,6,2.7,Linglet Charles,18:47,7,8
460,901,1.9,Martensson Tony,17:38,9,2
17,46,1.1,Prucha Petr,14:39,11,0
272,682,2.2,Popov Andrei,14:41,9,1
114,224,1.1,Viinanen Mika,14:46,19,1
5,7,2.5,Ivanov Andrei,14:45,78,6
