County,Total Vote,Republican,Democratic,Plurality,Winner,Socialist,Prohibition,Labor,Single Tax,Scattering,Pct Rep,Pct Dem,Pct Other
Lebanon,12124.0,7614,2952,4662.0,R,222,961,365,10,0.0,62.8,24.35,12.85
Lehigh,29595.0,16121,10287,5834.0,R,606,861,1700,18,2.0,54.47,34.76,10.77
Luzerne,72247.0,41083,22184,18899.0,R,2120,6045,713,102,0.0,56.86,30.71,12.43
Lycoming,17426.0,8199,4940,3259.0,R,642,3427,201,17,0.0,47.05,28.35,24.6
McKean,10821.0,6391,2195,4196.0,R,291,1825,108,11,0.0,59.06,20.28,20.65
Mercer,17683.0,8120,4253,3867.0,R,862,4236,190,22,0.0,45.92,24.05,30.03
Mifflin,6372.0,3330,2425,905.0,R,158,412,43,4,0.0,52.26,38.06,9.68
Monroe,6660.0,2845,3088,-243.0,D,37,645,36,9,0.0,42.72,46.37,10.92
Montgomery,44153.0,29353,11733,17620.0,R,1113,1695,153,97,9.0,66.48,26.57,6.95
Montour,4052.0,1955,1763,192.0,R,23,268,40,3,0.0,48.25,43.51,8.24
Northampton,23710.0,12256,8960,3296.0,R,454,1609,387,44,0.0,51.69,37.79,10.52
Northumberland,28718.0,14922,9518,5404.0,R,1555,2514,193,15,1.0,51.96,33.14,14.9
Perry,6172.0,3475,2279,1196.0,R,18,312,81,5,2.0,56.3,36.92,6.77
Philadelphia,411439.0,292868,88169,204699.0,R,17349,10385,2164,488,16.0,71.18,21.43,7.39
Pike,2132.0,1077,826,251.0,R,33,183,10,3,0.0,50.52,38.74,10.74
Potter,5538.0,3191,890,2301.0,R,231,1185,38,3,0.0,57.62,16.07,26.31
Schuylkill,47751.0,26188,17119,9069.0,R,1186,2313,910,35,0.0,54.84,35.85,9.31
Snyder,3616.0,2444,918,1526.0,R,61,173,19,1,0.0,67.59,25.39,7.02
Somerset,16158.0,11202,2875,8327.0,R,481,1491,101,8,0.0,69.33,17.79,12.88
Sullivan,2607.0,1404,962,442.0,R,9,225,7,0,0.0,53.86,36.9,9.24
Susquehanna,9614.0,5463,2754,2709.0,R,79,1262,47,9,0.0,56.82,28.65,14.53
Tioga,11307.0,8254,1074,7180.0,R,53,1878,44,4,0.0,73.0,9.5,17.5
Union,4415.0,2812,1196,1616.0,R,45,346,12,4,0.0,63.69,27.09,9.22
Venango,10848.0,5572,2212,3360.0,R,250,2609,170,35,0.0,51.36,20.39,28.24
Warren,11166.0,5676,1896,3780.0,R,279,3260,43,11,1.0,50.83,16.98,32.19
Washington,28471.0,15658,9078,6580.0,R,1114,2429,164,28,0.0,55.0,31.89,13.12
Wayne,6742.0,4110,1579,2531.0,R,67,953,30,3,0.0,60.96,23.42,15.62
Westmoreland,43636.0,22370,13061,9309.0,R,3440,4379,352,34,0.0,51.27,29.93,18.8
Wyoming,4487.0,2664,1153,1511.0,R,28,628,10,4,0.0,59.37,25.7,14.93
York,34545.0,17773,14332,3441.0,R,593,1751,79,14,3.0,51.45,41.49,7.06
