Age,Tm,PO,Name,G,RsbP,DP,GS,CG,RF/9
26,NYY,1,Chad Gaudin,11,1,1,6,0,2.36
22,BAL,0,Brian Matusz,8,-1,0,8,0,1.01
29,DET,0,Brandon Lyon,65,0,2,0,0,2.97
33,LAA,0,Scot Shields,20,0,2,0,0,2.55
38,TOT,0,Ron Mahay,57,0,0,0,0,1.61
29,OAK,0,Kevin Cameron,11,0,0,0,0,0.98
33,LAA,1,Brian Fuentes,65,1,0,0,0,1.15
27,LAA,0,Dustin Moseley,3,0,0,3,0,3.07
26,BOS,0,Enrique Gonzalez,2,0,0,0,0,4.91
25,CLE,0,Scott Lewis,1,0,0,1,0,0.00
24,DET,0,Joel Zumaya,29,0,0,0,0,1.16
25,KCR,1,Zack Greinke,33,3,4,33,6,1.81
22,TOR,0,Brett Cecil,18,1,0,17,0,0.96
30,DET,0,Juan Rincon,7,0,0,0,0,1.74
26,MIN,2,Brian Duensing,24,1,2,9,0,2.46
27,MIN,1,Scott Baker,33,0,0,33,1,1.17
31,TOR,2,Brian Tallet,37,1,0,25,0,1.18
26,NYY,1,Jonathan Albaladejo,32,0,0,0,0,2.10
28,MIN,2,Craig Breslow,17,1,0,0,0,1.88
25,MIN,0,Kevin Slowey,16,-1,0,16,0,0.99
26,TOR,0,Josh Roenicke,13,-1,0,0,0,1.02
26,TBR,1,J.P. Howell,69,0,0,0,0,1.48
22,TEX,3,Derek Holland,33,1,2,21,1,1.17
26,CHW,0,Carlos Torres,8,0,0,5,0,1.59
25,LAA,2,Scott Kazmir,6,1,0,6,0,0.99
23,NYY,0,Joba Chamberlain,32,-2,4,31,0,2.06
36,TOT,0,Brett Tomko,21,0,1,6,1,0.78
28,NYY,0,Edwar Ramirez,20,0,0,0,0,1.23
26,CHW,0,Jack Egbert,2,0,0,0,0,13.50
24,LAA,0,Robert Mosebach,3,0,0,0,0,3.86
32,CLE,0,Kerry Wood,58,-2,0,0,0,1.31
32,CHW,0,Mike MacDougal,5,0,1,0,0,4.15
28,BOS,0,Daisuke Matsuzaka,12,-1,2,12,0,1.06
25,LAA,0,Fernando Rodriguez,1,0,0,0,0,0.00
23,CLE,0,Chris Perez,32,-1,0,0,0,0.27
26,BAL,0,Chris Lambert,4,0,0,0,0,3.18
29,BOS,0,Jonathan Van Every,1, ,0,0,0,0.00
36,KCR,0,Yasuhiko Yabuta,12,0,0,0,0,0.64
32,NYY,0,Josh Towers,2,0,0,0,0,0.00
38,TEX,0,Eddie Guardado,48,0,0,0,0,0.94
26,OAK,0,Brad Kilby,11,0,0,1,0,0.53
21,LAA,0,Sean O'Sullivan,12,-1,0,10,0,1.22
22,DET,0,Ryan Perry,53,-1,0,0,0,0.88
27,BAL,0,Chris Ray,46,-1,2,0,0,1.45
31,TBR,0,Dan Wheeler,69,-1,1,0,0,1.25
34,BAL,1,Koji Uehara,12,0,1,12,0,0.68
27,BOS,0,Manny Delcarmen,64,-1,0,0,0,0.91
29,TOR,1,Scott Richmond,27,1,1,24,1,2.01
24,BOS,0,Clay Buchholz,16,-1,0,16,0,1.57
23,DET,0,Luke French,7,0,0,5,0,1.23
34,TBR,0,Joe Nelson,42,-1,0,0,0,0.89
30,MIN,0,Matt Guerrier,79,0,1,0,0,2.36
26,DET,3,Justin Verlander,35,4,4,35,3,1.27
33,MIN,0,Carl Pavano,12,-2,0,12,0,1.95
27,MIN,3,Nick Blackburn,33,0,2,33,3,2.10
35,CLE,0,Masahide Kobayashi,10,0,1,0,0,2.79
20,DET,1,Rick Porcello,31,0,1,31,0,1.90
36,NYY,0,Brett Tomko,15,0,0,0,0,1.31
28,BOS,0,Jonathan Papelbon,66,-1,0,0,0,0.66
28,CLE,0,Jose Veras,22,0,0,0,0,1.82
24,KCR,0,Carlos Rosa,7,0,0,0,0,0.00
33,CHW,2,Randy Williams,25,0,0,0,0,4.58
40,TOT,0,Russ Springer,74,0,0,0,0,0.16
30,LAA,0,Jason Bulger,64,0,2,0,0,1.78
32,NYY,4,A.J. Burnett,33,1,0,33,1,1.09
34,TOT,0,Jarrod Washburn,28,1,0,28,1,1.33
27,MIN,1,Bobby Keppel,37,1,0,0,0,1.83
24,NYY,0,Anthony Claggett,2,0,0,0,0,0.00
29,KCR,0,Horacio Ramirez,19,0,0,1,0,2.38
33,LAA,0,Kelvim Escobar,1,0,0,1,0,3.60
25,BAL,0,Jason Berken,24,-1,3,24,0,1.50
28,CHW,0,Jake Peavy,3,0,1,3,0,1.35
38,LAA,2,Darren Oliver,63,0,1,1,0,1.11
28,TOR,0,Dirk Hayhurst,15,0,0,0,0,0.40
23,OAK,2,Gio Gonzalez,20,1,1,17,0,1.37
28,NYY,0,Jose Veras,25,0,0,0,0,1.40
30,KCR,0,Juan Cruz,46,1,1,0,0,1.07
39,CLE,0,Matt Herges,21,0,0,0,0,2.13
26,NYY,0,Alfredo Aceves,43,-1,1,1,0,1.18
29,SEA,0,Roy Corcoran,16,0,1,0,0,0.95
30,TEX,0,Willie Eyre,17,0,0,0,0,1.00
25,OAK,0,Andrew Bailey,68,0,0,0,0,1.73
27,SEA,0,David Aardsma,73,0,1,0,0,0.88
25,CLE,0,Tony Sipp,46,0,0,0,0,1.35
28,OAK,0,Santiago Casilla,46,0,1,0,0,1.30
21,BAL,0,Chris Tillman,12,1,0,12,0,0.83
25,BOS,0,Dustin Richardson,3,0,0,0,0,2.70
34,CLE,0,Luis Vizcaino,11,-1,0,0,0,1.54
24,BAL,0,David Hernandez,20,0,0,19,0,1.24
27,DET,0,Dontrelle Willis,7,-1,1,7,0,2.94
26,NYY,0,Phil Coke,72,0,0,0,0,1.80
27,SEA,0,Ian Snell,12,0,1,12,0,2.52
24,NYY,1,David Robertson,45,0,0,0,0,0.62
26,KCR,0,Anthony Lerew,3,0,1,2,0,2.70
31,MIN,1,Luis Ayala,28,0,0,0,0,1.67
25,BOS,0,Hunter Jones,11,0,0,0,0,0.71
29,TEX,0,Frank Francisco,51,-1,0,0,0,0.18
28,NYY,3,CC Sabathia,34,1,0,34,2,1.21
27,OAK,0,Jeff Gray,24,0,1,0,0,1.37
32,CLE,0,Winston Abreu,3,0,0,0,0,3.86
30,BOS,0,Nick Green,1,0,0,0,0,9.00
25,TBR,0,Matt Garza,32,1,1,32,0,0.93
27,TOR,0,David Purcey,9,0,1,9,0,1.31
25,LAA,0,Jose Arredondo,43,0,0,0,0,1.60
26,DET,0,Freddy Dolsi,6,0,0,0,0,0.00
28,TOR,0,Brian Burres,2,0,0,2,0,5.68
22,OAK,1,Vin Mazzaro,17,0,0,17,0,0.59
32,CHW,0,Freddy Garcia,9,-1,1,9,0,1.61
35,KCR,0,John Bale,43,-1,1,0,0,2.54
40,TBR,0,Russ Springer,26,0,0,0,0,0.00
36,OAK,0,Brett Tomko,6,0,1,6,1,0.49
24,CLE,0,David Huff,23,0,0,23,0,1.19
32,KCR,0,Sidney Ponson,14,0,1,9,0,3.07
35,LAA,0,Justin Speier,41,0,0,0,0,0.22
34,MIN,1,R.A. Dickey,35,0,0,1,0,1.96
29,OAK,1,Brad Ziegler,69,0,3,0,0,2.82
38,KCR,0,Ron Mahay,41,0,0,0,0,1.96
28,BAL,0,Chris Waters,5,0,0,1,0,0.77
25,SEA,0,Garrett Olson,31,0,0,11,0,1.01
25,BAL,0,Kam Mickolio,11,0,0,0,0,1.32
34,TBR,0,Chad Bradford,20,0,0,0,0,1.74
33,KCR,0,Kyle Farnsworth,41,0,0,0,0,0.72
28,TBR,0,Lance Cormier,53,0,1,0,0,2.91
27,TOR,0,Jeremy Accardo,26,0,0,0,0,1.09
28,KCR,0,Victor Marte,8,0,0,0,0,2.25
33,TBR,0,Randy Choate,61,0,1,0,0,2.48
30,CLE,0,Vinnie Chulk,8,0,0,0,0,2.25
24,NYY,0,Ian Kennedy,1,0,0,0,0,0.00
28,KCR,0,Doug Waechter,5,0,0,0,0,0.00
26,BAL,0,Radhames Liz,2,0,0,0,0,0.00
21,OAK,2,Trevor Cahill,32,0,1,32,0,1.76
31,BAL,0,Danys Baez,59,0,1,0,0,2.51
23,TOR,2,Marc Rzepczynski,11,0,2,11,0,1.76
25,TOR,0,Robert Ray,4,-1,0,4,0,2.22
36,TBR,0,Jason Isringhausen,9,0,0,0,0,0.00
