Rbaser,Name,waaWL%,162WL%,G,Rk
-1,Ray Knight,.478,.488,115,434
1,Jerry Mumphrey#,.504,.504,151,566
0,Don Aase,.501,.500,23,1
-2,Jody Davis,.500,.500,150,193
-0,Andy Hawkins,.500,.500,36,342
1,Steve Jeltz#,.521,.504,28,399
7,Gary Redus,.494,.495,123,674
0,Wes Gardner,.501,.500,21,283
0,Scott Sanderson,.495,.499,24,736
-0,Mike Fuentes,.527,.501,3,271
-0,Joe Niekro,.499,.500,38,581
0,Brian Dayett,.497,.499,64,200
0,Neal Heaton*,.501,.500,38,345
0,Dennis Rasmussen*,.501,.500,24,668
-0,Jim Pankovits,.501,.500,53,617
-0,Rick Burleson,.483,.499,7,114
0,Luis Leal,.501,.500,35,470
0,Floyd Chiffer,.498,.500,15,150
0,Tim Laudner,.502,.501,87,461
0,Mike Pagliarulo*,.501,.500,67,614
-1,Ed Romero,.487,.490,116,709
0,Jack Morris,.501,.500,35,559
-1,Dann Bilardello,.494,.497,68,69
-3,Bob Brenly,.512,.511,145,89
-0,Mark Salas*,.471,.498,14,726
0,Ryne Sandberg,.540,.539,156,735
-0,Tony Perez,.484,.493,71,632
-0,George Riley*,.479,.499,5,691
0,Bert Blyleven,.501,.500,33,71
3,Bobby Brown#,.498,.499,85,98
0,Joe Beckwith*,.501,.500,49,49
-2,Barbaro Garbey,.495,.497,110,279
-1,Bruce Bochte*,.490,.491,148,72
0,Chris Chambliss*,.488,.490,135,148
0,Jay Howell,.501,.500,61,376
0,Cecilio Guante,.499,.500,27,313
-1,Steve Balboni,.504,.503,126,33
1,Lee Mazzilli#,.493,.496,111,519
-0,Joaquin Andujar#,.510,.502,36,17
0,Rick Rhoden,.537,.508,35,684
-2,Hubie Brooks,.504,.503,153,96
-2,Rafael Ramirez,.491,.492,145,663
-0,Rick Ownbey,.481,.499,5,610
-0,Rick Dempsey,.495,.497,109,208
0,Ron Romanick,.501,.500,33,708
-1,Ron Cey,.497,.497,146,146
-0,Mark Davis*,.502,.500,46,194
1,Scott Earl,.474,.498,14,229
-1,Chet Lemon,.530,.527,141,478
0,Tom Candiotti,.501,.500,8,132
-1,Lance Parrish,.505,.505,147,619
-0,Ricky Nelson*,.493,.500,9,575
-0,Bob Jones*,.488,.495,64,412
-2,Ron Kittle,.492,.493,139,431
0,Junior Noboa,.501,.500,23,587
-0,Brad Gulden*,.493,.495,107,318
-0,Ron Guidry*,.501,.500,30,317
1,Ron Gardenhire,.502,.501,74,282
0,Glenn Abbott,.501,.500,13,2
2,John Shelby#,.489,.492,128,759
-0,Dave Dravecky,.499,.500,50,223
-1,Candy Maldonado,.489,.492,116,502
0,Kurt Bevacqua,.491,.497,59,65
-1,Floyd Rayford,.493,.496,86,671
-0,Garth Iorg,.486,.490,121,389
7,Juan Samuel,.504,.504,160,731
0,Joe Hesketh*,.505,.500,11,361
-2,Ken Landreaux*,.478,.482,134,454
0,Juan Berenguer,.501,.500,31,58
-1,Cliff Johnson,.512,.509,127,403
-1,Terry Francona*,.509,.503,58,268
-0,Kevin Rhomberg,.497,.500,13,685
0,Ken Schrom,.501,.500,25,746
2,Spike Owen#,.503,.503,152,609
0,Tom Gorman*,.500,.500,36,298
-1,Rafael Santana,.492,.497,51,737
0,Ivan de Jesus,.492,.493,144,202
-1,Dennis Eckersley,.487,.498,33,232
0,Ricky Horton*,.497,.499,39,371
-0,Rufino Linares,.493,.498,34,483
-0,Jerry Remy*,.487,.498,30,677
0,Tom Herr#,.500,.500,145,359
-0,Tito Landrum,.491,.494,105,455
-0,Jeff Robinson,.494,.499,34,699
-0,Marty Bystrom,.506,.500,18,122
0,John Montefusco,.501,.500,11,550
0,Randy Gomez,.462,.497,14,294
-0,Ron Robinson,.489,.499,12,700
0,Chuck Porter,.501,.500,17,644
2,Carlton Fisk,.502,.501,102,251
0,Bill Johnson,.501,.500,4,402
0,Carmelo Martinez,.514,.513,149,509
-2,Daryl Sconiers*,.488,.496,57,750
-0,Neil Allen,.504,.501,57,8
-1,Willie Lozado,.500,.500,43,491
0,Willie Hernandez*,.501,.500,80,357
-1,Ron Hassey*,.496,.498,67,338
0,Randy Niemann*,.501,.500,5,583
0,Geno Petralli*,.470,.499,3,635
0,Rich Rodas*,.496,.500,3,701
0,Dave Leiper*,.501,.500,8,476
0,Roy Lee Jackson,.501,.500,54,393
-0,Jackie Gutierrez,.475,.477,151,321
-0,Mike Scioscia*,.520,.514,114,749
-1,Ken Oberkfell*,.496,.499,100,596
0,Kelly Gruber,.489,.499,15,312
-1,Dave Henderson,.508,.506,112,349
-0,Rich Gossage,.501,.500,62,299
0,Richard Dotson,.501,.500,33,221
0,Steve Crawford,.501,.500,35,179
0,Jeff Cornell#,.498,.500,23,174
0,Dane Iorg*,.484,.494,93,388
-0,Al Cowens,.489,.491,139,176
-0,Mark Grant,.481,.499,11,301
-1,Tom Brunansky,.504,.504,155,108
-0,Dan Driessen*,.506,.502,132,224
-0,Tom O'Malley*,.468,.498,25,594
0,Al Jones,.501,.500,20,411
-0,Wallace Johnson#,.489,.499,17,409
1,Bob Meacham#,.493,.496,99,531
-0,George Frazier,.501,.500,59,269
0,Jeff Dedmon*,.499,.500,54,204
0,Rick Lysander,.501,.500,36,497
2,Terry Pendleton#,.515,.506,67,629
0,Mike Brown,.501,.500,15,104
0,Brook Jacoby,.483,.487,126,394
-1,Nick Esasky,.479,.485,113,235
-1,Jim Dwyer*,.495,.497,76,227
0,Bruce Berenyi,.507,.501,32,59
-0,Wayne Gross*,.510,.508,127,310
0,Gorman Heimueller*,.501,.500,6,348
0,Alvin Davis*,.525,.523,152,188
0,Pete Ladd,.501,.500,54,448
-1,Johnny Ray#,.516,.516,155,670
-4,Mike Schmidt,.532,.530,151,743
-0,Steve Rogers,.501,.500,31,705
-0,Tom Hume,.499,.500,54,386
-0,Mike Heath,.502,.502,140,344
0,Mike Payne,.495,.500,3,625
-1,Butch Davis,.463,.491,41,189
0,Randy Lerch*,.506,.501,37,480
-1,Bill Buckner*,.481,.489,135,111
-4,Darryl Motley,.506,.505,146,563
0,Casey Parsons*,.472,.500,1,621
0,Dave Kingman,.503,.503,147,429
