CS,OPS,SLG,R,RBI,Player,GIDP,POS,AVG,AB
1,0.865,0.492,64,80,A Tracy,13,1B,0.275,425
1,0.805,0.464,32,32,C Gimenez,5,C,0.276,196
1,0.951,0.561,15,21,D Brown,4,RF,0.346,107
2,0.666,0.34,27,16,J Weber,4,DH,0.257,241
6,0.667,0.347,32,26,P Figueroa,7,2B,0.266,297
4,0.663,0.36,52,41,B Dlugach,9,SS,0.258,450
0,0.731,0.5,2,2,R Doumit,0,C,0.167,12
2,0.674,0.369,16,9,O Luna,4,2B,0.291,141
0,0.777,0.39,19,21,D Navarro,3,C,0.284,141
0,0.5,0.25,1,0,C Albernaz,0,C,0.25,4
5,0.727,0.405,46,36,M Macri,10,3B,0.251,338
4,0.81,0.481,43,50,J Bell,3,3B,0.278,316
0,0.748,0.471,4,0,E Patterson,0,OF,0.235,17
0,0.851,0.503,40,34,B Morel,6,3B,0.32,306
1,0.951,0.56,25,26,N Walker,2,3B,0.321,168
3,0.714,0.384,17,19,J Pridie,0,CF,0.28,164
1,0.845,0.417,0,4,D Wabick,1,LF,0.333,12
3,0.716,0.387,46,55,A Chavez,21,SS,0.275,411
2,0.671,0.378,39,38,W Ramos,10,C,0.258,357
4,0.668,0.361,47,34,C Duffy,6,OF,0.243,346
1,0.681,0.409,7,9,C Iorg,0,SS,0.242,66
1,0.784,0.438,34,48,J Botts,8,OF,0.279,276
4,0.497,0.244,24,24,C Sammons,7,C,0.162,271
0,0.738,0.43,65,60,W Hodges,19,1B,0.27,493
2,0.898,0.521,73,87,F Freeman,14,1B,0.319,461
0,1.0,0.6,1,0,T Maccani,0,C,0.4,5
0,0.788,0.455,1,2,J Jaso,0,C,0.364,11
2,0.975,0.455,2,5,W Valdez,0,SS,0.455,22
4,0.662,0.328,41,24,K Russo,1,3B,0.259,332
0,0.0,0.0,0,0,J Toole,0,2B,0.0,1
0,0.839,0.526,47,62,J Vazquez,10,1B,0.27,293
0,1.032,0.604,23,20,L Valbuena,2,2B,0.313,96
4,0.735,0.4,32,29,J Van Every,2,CF,0.214,210
4,0.885,0.548,23,33,J Clement,4,1B,0.304,168
7,0.765,0.399,46,49,B Bell,9,RF,0.293,351
3,0.806,0.44,53,49,A De Aza,4,LF,0.302,318
0,0.677,0.346,19,29,B Clevlen,4,LF,0.257,191
6,0.685,0.373,62,42,J Danks,6,CF,0.245,445
4,0.727,0.414,51,40,G Golson,7,OF,0.263,415
0,0.87,0.517,66,75,J Montero,14,C,0.289,453
4,0.678,0.333,18,14,J Henry,2,2B,0.269,156
2,0.889,0.497,30,20,N Weglarz,3,LF,0.286,175
0,0.804,0.463,31,67,J Brown,9,LF,0.298,326
0,0.601,0.275,7,11,D Espino,5,C,0.25,80
0,0.817,0.472,41,55,R Shealy,4,1B,0.231,286
1,0.626,0.325,24,15,D Bernier,5,SS,0.24,200
3,0.717,0.384,45,30,R Gorecki,7,OF,0.253,281
1,0.76,0.443,14,20,L Montanez,0,LF,0.289,97
