Player,Pos,Team,Opp,Solos,Assists,Sacks,Forced Fumbles,Recovered Fumbles,INTs,Pass Defensed,FF Pts
Fletcher Cox,DE,PHI,DET,2,1,1.0,0,0,0,0,8.0
Geno Atkins,DT,CIN,@CLE,3,1,0.0,0,0,0,0,7.0
Gerald McCoy,DT,TB,KC,4,2,1.0,0,0,0,0,13.0
Glenn Dorsey,DT,SF,NYG,0,0,0.0,0,0,0,0,0.0
Haloti Ngata,DT,DET,@PHI,4,1,1.0,0,0,0,0,12.0
Harrison Smith,S,MIN,@WAS,5,3,0.0,0,0,0,0,13.0
J.J. Watt,DE,HOU,GB,4,2,2.0,0,0,0,1,17.0
Jabaal Sheard,LB,NE,@SEA,2,1,1.0,0,0,0,0,8.0
James Harrison,LB,PIT,@TEN,2,0,1.0,1,0,0,0,10.0
James Laurinaitis,LB,STL,@MIA,8,2,0.0,0,0,0,0,18.0
James-Michael Johnson,LB,KC,@TB,0,0,0.0,0,0,0,0,0.0
Jason Babin,LB,NYJ,IND,3,0,1.0,0,0,0,0,9.0
Jason McCourty,CB,TEN,PIT,4,3,0.0,0,0,0,0,11.0
Jason Pierre-Paul,DE,NYG,@SF,3,0,1.0,0,0,0,1,10.0
Jasper Brinkley,LB,DAL,@BAL,5,2,0.0,0,0,0,0,12.0
Jerod Mayo,LB,NE,@SEA,5,7,0.0,0,0,0,0,17.0
Jerrell Freeman,LB,IND,@NYJ,4,5,0.0,0,0,0,0,13.0
Justin Smith,DT,SF,NYG,4,0,0.0,0,0,0,0,8.0
Justin Tuck,DE,OAK,@ATL,2,1,0.0,0,0,0,0,5.0
K.J. Wright,LB,SEA,NE,7,2,0.0,0,0,0,0,16.0
Kam Chancellor,S,SEA,NE,7,3,0.0,0,0,0,0,17.0
Karlos Dansby,LB,CLE,CIN,7,2,0.0,0,0,0,0,16.0
Kelvin Sheppard,LB,MIA,STL,2,1,0.0,0,0,0,0,5.0
Kroy Biermann,LB,ATL,OAK,2,0,0.0,0,0,0,0,4.0
Lardarius Webb,CB,BAL,DAL,6,0,0.0,0,0,1,2,17.0
Lavonte David,LB,TB,KC,9,3,0.0,0,0,0,0,21.0
Lawrence Timmons,LB,PIT,@TEN,4,2,0.0,0,0,0,0,10.0
Louis Delmas,S,MIA,STL,0,0,0.0,0,0,0,0,0.0
Mario Williams,DE,BUF,@ARI,3,1,2.0,1,0,0,0,16.0
Mark Barron,S,STL,@MIA,8,2,0.0,1,0,0,0,21.0
Matt Shaughnessy,DE,ARI,BUF,3,0,1.0,0,0,0,0,9.0
Michael Bennett,DE,SEA,NE,3,0,1.0,0,0,0,0,9.0
Michael Brockers,DT,STL,@MIA,0,0,0.0,0,0,0,0,0.0
Michael Johnson,DE,CIN,@CLE,2,0,0.0,0,0,0,0,4.0
Mike Adams,S,IND,@NYJ,4,1,0.0,0,0,0,0,9.0
Morgan Burnett,S,GB,@HOU,6,1,0.0,0,0,0,0,13.0
Muhammad Wilkerson,DL,NYJ,IND,2,0,0.0,0,0,0,0,4.0
NaVorro Bowman,LB,SF,NYG,8,1,0.0,0,0,0,0,17.0
Ndamukong Suh,DT,MIA,STL,3,0,1.0,0,1,0,0,12.0
Patrick Chung,S,NE,@SEA,3,3,0.0,0,0,0,0,9.0
Perry Riley,LB,WAS,MIN,3,8,0.0,0,0,0,0,14.0
Philip Wheeler,LB,SF,NYG,9,2,0.0,0,0,0,0,20.0
Rahim Moore,S,HOU,GB,6,0,0.0,0,0,0,0,12.0
Randy Starks,DT,CLE,CIN,3,0,1.0,0,0,0,0,9.0
Reggie Nelson,S,CIN,@CLE,5,0,0.0,0,0,0,0,10.0
Rey Maualuga,LB,CIN,@CLE,5,1,0.0,0,0,0,0,11.0
Richard Sherman,CB,SEA,NE,6,2,0.0,0,0,0,0,14.0
Robert Mathis,LB,IND,@NYJ,0,0,0.0,0,0,0,0,0.0
Robert Quinn,DE,STL,@MIA,3,1,1.5,0,0,0,0,11.5
Rolando McClain,LB,DAL,@BAL,7,2,0.0,0,0,0,0,16.0
Ropati Pitoitua,DE,TEN,PIT,2,0,0.0,0,0,0,0,4.0
Sean Lee,LB,DAL,@BAL,9,3,0.0,0,0,0,1,22.0
Sean Lissemore,DT,SD,DEN,2,1,0.0,0,0,0,0,5.0
Sean Weatherspoon,LB,ARI,BUF,7,2,1.0,0,0,0,0,19.0
Stephen Tulloch,LB,DET,@PHI,9,1,0.0,0,0,0,0,19.0
T.J. Ward,S,DEN,@SD,4,3,0.0,0,0,0,0,11.0
Tamba Hali,LB,KC,@TB,5,0,1.5,0,0,0,0,14.5
Trent Cole,LB,IND,@NYJ,1,1,0.0,0,0,0,0,3.0
Tyvon Branch,CB,KC,@TB,5,1,0.0,0,0,0,0,11.0
Vince Wilfork,DT,HOU,GB,1,3,0.0,0,0,0,0,5.0
Von Miller,LB,DEN,@SD,4,2,2.0,1,0,0,0,19.0
Vontae Davis,CB,IND,@NYJ,0,0,0.0,0,0,0,0,0.0
Vontaze Burfict,LB,CIN,@CLE,4,1,0.0,0,0,0,0,9.0
William Moore,S,ATL,OAK,7,1,0.0,0,0,0,0,15.0
