RBI,OBP,3B,H,SB,G
13,.248,1,23,1,47
30,.409,3,54,11,62
8,.333,0,16,2,21
13,.250,0,32,2,45
18,.291,2,23,2,38
3,.232,0,7,1,18
15,.317,0,25,2,32
7,.324,0,15,13,48
6,.237,1,8,0,29
19,.291,1,25,3,41
2,.196,0,5,0,20
3,.219,1,13,1,28
8,.363,1,24,0,22
27,.366,6,68,15,69
29,.341,4,47,8,58
2,.205,0,5,0,18
7,.395,0,17,3,35
0,.500,0,1,0,1
13,.325,2,31,8,47
7,.300,1,33,0,60
12,.304,2,54,17,59
13,.326,3,35,5,48
18,.431,2,42,7,52
26,.323,1,55,17,67
17,.374,1,43,2,60
7,.308,0,13,4,20
24,.377,4,32,8,58
13,.365,2,50,12,51
44,.439,6,83,5,69
26,.381,0,60,50,70
24,.377,2,64,16,50
7,.348,0,17,0,32
14,.340,0,21,5,23
8,.305,0,28,5,42
7,.351,1,24,11,34
14,.369,1,47,13,57
33,.340,1,48,3,61
1,.311,0,9,2,19
9,.405,1,20,2,17
18,.326,0,50,29,63
2,.115,0,2,0,11
1,.276,0,6,0,10
8,.305,0,18,1,32
12,.350,0,15,3,20
3,.288,0,13,3,28
13,.375,2,25,9,39
15,.271,2,30,7,47
21,.392,1,52,3,62
9,.300,1,14,3,38
2,.313,0,9,7,35
9,.302,1,25,5,42
1,.234,0,6,4,13
6,.223,0,8,3,35
1,.203,0,6,1,23
3,.254,0,10,3,32
14,.301,1,26,10,40
7,.296,1,30,11,61
44,.434,4,85,14,71
0,.313,1,12,15,31
14,.357,3,47,7,64
18,.304,0,22,1,44
0,.159,0,7,0,21
25,.274,2,38,5,60
22,.320,0,66,28,71
28,.419,5,48,9,56
20,.376,0,67,7,54
28,.333,0,50,7,62
4,.250,0,4,0,11
3,.277,1,18,4,33
30,.335,0,30,2,52
15,.363,2,55,4,61
37,.387,1,59,6,65
28,.429,2,55,13,48
11,.310,1,31,9,49
8,.213,2,17,8,27
21,.388,4,65,16,61
6,.345,0,19,4,25
18,.240,0,49,0,61
17,.330,2,37,8,53
0,--,0,0,0,1
1,.157,0,3,1,20
8,.302,0,12,0,30
4,.295,0,10,0,24
0,.000,0,0,0,1
23,.322,0,41,1,53
33,.308,0,56,0,58
15,.266,1,28,4,40
4,.390,0,10,1,21
33,.384,0,58,14,62
1,.241,0,3,1,21
6,.222,1,18,0,37
12,.279,1,39,9,57
7,.380,0,21,3,26
17,.284,1,33,7,61
12,.400,0,10,1,11
18,.299,1,43,4,59
5,.335,0,32,2,45
0,--,0,0,0,1
21,.287,1,32,1,44
30,.409,0,41,2,52
14,.382,3,42,6,58
21,.277,0,28,3,43
23,.278,2,38,1,48
12,.297,0,24,0,33
13,.324,0,42,1,41
1,.500,0,2,0,1
0,.143,0,1,0,2
0,--,0,0,0,1
8,.378,0,16,5,39
20,.372,2,68,21,65
4,.178,0,6,0,26
36,.340,0,70,10,72
12,.356,5,25,2,35
35,.357,6,58,10,67
12,.376,1,23,3,28
24,.279,0,41,6,61
7,.345,0,16,6,41
46,.335,0,40,4,61
6,.206,0,6,5,32
3,.255,0,6,3,34
0,.286,0,0,5,8
15,.415,1,24,2,51
10,.308,1,8,0,21
1,.385,0,2,0,9
26,.358,0,36,1,35
