Player,AVG,R,3B,SF,BB,SO,SH,2B,RBI
R Oduber,0.0,0,0,0,0,0,0,0,0
E Zambrano,0.268,15,0,0,10,26,4,4,12
A Vasquez,0.268,38,1,2,15,61,6,18,38
D Longley,0.24,4,1,0,1,12,0,0,3
R Cabrera,0.273,47,0,4,36,43,0,22,52
E Gonzalez,0.357,21,3,0,7,23,0,6,16
S Fuld,0.429,4,0,0,2,1,0,2,2
K Johnson,0.259,61,4,5,42,80,1,25,39
S Schoop,0.217,29,0,1,24,56,3,13,25
S Nicol,0.247,17,0,0,8,19,0,6,3
E Duran,0.224,36,2,1,21,57,5,10,25
J Centeno,0.286,8,0,0,6,11,0,5,8
K Hobson,0.215,18,0,0,15,41,0,8,21
A Westlake,0.236,53,1,4,32,120,0,20,49
S Ochinko,0.204,5,0,0,1,5,0,2,8
K Serna,0.273,20,1,0,4,24,2,7,14
B LaHair,0.234,38,2,3,50,91,0,17,60
C Angelini,0.135,4,0,1,8,21,1,5,6
C Ferrell,0.308,1,0,0,2,3,1,0,0
B Britton,0.317,46,1,1,22,23,1,14,32
B Buxton,0.0,0,0,0,0,3,0,0,0
M Yastrzemski,0.25,23,4,0,14,34,1,13,12
S Wilkerson,0.266,51,3,4,30,69,8,23,43
C Stevenson,0.204,20,0,6,16,26,0,8,20
D Marrero,0.291,42,2,3,34,57,0,19,39
T Graham,0.255,57,1,2,27,72,3,12,27
L Ray,0.208,4,1,1,2,10,0,2,4
J James,0.333,1,0,0,1,7,0,2,0
A Hicks,0.297,30,1,2,28,27,0,11,21
M Mesa,0.256,17,1,0,5,33,0,9,10
R Oropesa,0.241,32,0,3,36,89,0,16,35
A Castillo,0.254,46,3,1,36,45,10,18,42
P Hissey,0.287,22,3,0,14,45,2,7,18
M Skole,0.241,58,1,2,78,127,1,29,68
P Mooney,0.161,2,0,0,1,7,0,1,4
S Valle,0.257,4,0,1,5,19,1,4,10
D Freitas,0.25,22,0,1,19,24,1,11,25
W Garcia,0.271,59,5,4,24,145,4,27,63
A Pettersen,0.203,5,0,0,10,17,3,4,2
A Villalona,0.227,35,4,2,23,94,0,18,54
N Hanson,0.259,53,0,4,34,54,0,26,46
C Vaughn,0.19,19,0,2,15,47,0,9,10
D Hood,0.329,9,0,0,2,18,0,1,5
T Thomas,0.241,71,6,3,37,141,0,29,45
R Gomez,0.211,6,0,0,4,5,0,4,5
H Gimenez,0.235,6,0,0,2,14,0,3,5
N Romero,0.32,86,1,8,84,63,5,30,48
B Krill,0.213,10,1,0,5,13,0,4,9
M Reynolds,0.355,33,3,2,29,41,0,5,21
J Giambi,0.118,1,0,0,2,9,0,2,1
J Martinson,0.236,56,5,4,45,127,4,17,42
D Maggi,0.28,60,0,2,50,58,6,12,25
R Henriquez,0.129,7,0,0,1,23,0,2,6
F Cervelli,0.133,2,0,0,4,4,0,0,0
M Kvasnicka,0.257,35,0,3,26,80,0,23,55
R Ryal,0.083,0,0,0,0,3,0,1,0
B Greenwell,0.182,9,0,0,9,13,2,2,7
A Jimenez,0.223,11,0,1,6,19,0,8,13
K De La Cruz,0.295,30,0,3,14,55,0,15,30
R Refsnyder,0.342,35,5,0,14,38,0,19,30
A Mejia,0.275,6,0,0,6,9,2,1,4
J Pedroza,0.358,17,2,0,3,8,2,4,7
D Herrera,0.34,50,3,6,29,52,0,17,48
M Rojas,0.303,26,1,0,23,34,1,11,36
D Ceciliani,0.289,59,4,6,22,89,1,17,54
S Starr,0.176,3,0,0,0,2,0,0,4
M Miller,0.301,15,0,0,6,14,0,4,12
M Ohlman,0.236,40,1,4,43,86,2,25,33
A Maruszak,0.2,2,1,0,2,8,0,0,2
M Crouse,0.243,45,6,2,37,104,1,17,34
D Fiorito,0.232,39,3,0,27,71,3,19,37
M Clark,0.297,32,0,4,25,45,0,14,46
M McDade,0.25,25,0,3,20,57,0,11,36
J Toole,0.275,25,1,1,14,32,1,13,25
E Sim,0.158,2,0,0,2,4,0,0,1
B Ward,0.346,4,0,0,4,3,0,1,2
D Ortiz,0.324,22,2,1,4,34,1,16,31
M Brenly,0.168,10,1,1,13,37,1,7,18
M Betts,0.355,56,3,3,35,20,0,18,34
W Nieves,0.083,0,0,0,0,2,0,0,1
C Chiang,0.219,20,1,2,12,28,1,12,20
G Jacobo,0.146,5,0,2,6,37,0,5,15
K Kang,0.282,50,3,2,32,86,1,22,37
M Taylor,0.313,74,2,1,50,130,2,17,61
C Albernaz,0.181,19,0,1,10,43,13,6,17
T Wolters,0.249,36,2,6,35,74,2,15,34
T Holt,0.298,13,1,3,27,26,2,4,14
M Lisson,0.266,59,0,6,54,93,0,22,76
M Duffy,0.332,53,4,6,42,66,0,24,62
M Schroder,0.254,43,5,4,20,76,0,16,34
B Jeroloman,0.188,22,0,2,30,59,3,6,21
T Hanover,0.125,0,0,0,0,2,0,1,0
C Marrero,0.235,30,1,2,20,40,0,10,42
S Heathcott,0.182,4,0,0,3,13,0,2,1
M Lemon,0.252,24,1,1,12,31,3,9,14
L Davis,0.156,2,0,0,5,10,0,1,7
D Chung,0.24,13,0,2,6,14,1,6,12
J Rodriguez,0.192,2,0,0,2,2,0,0,1
R Schimpf,0.27,35,1,3,28,56,0,17,37
C Maron,0.5,0,0,0,0,1,0,0,0
D Pompey,0.295,20,3,0,14,18,0,5,12
A Hanson,0.28,64,12,3,31,88,8,21,58
J Roof,0.255,24,2,0,19,46,2,11,20
J Wendle,0.253,46,5,4,26,56,0,20,50
R Lollis,0.217,21,3,2,17,28,3,4,17
D Adams,0.265,39,3,3,26,47,1,16,40
M Tolbert,0.172,4,0,0,2,4,1,1,2
K Keyes,0.236,52,1,4,43,104,1,15,64
N Zapata,0.185,5,0,0,3,4,0,2,1
B Ryan,0.364,3,0,0,2,1,0,0,0
N Reimold,0.315,10,0,3,12,13,0,3,9
K Brown,0.295,8,1,0,4,18,3,3,8
R Hague,0.231,31,0,2,27,74,1,20,27
C Paulino,0.296,5,0,2,3,19,2,4,13
K Plawecki,0.326,33,0,4,16,27,0,18,43
W Gaynor,0.293,17,1,0,9,30,0,10,16
