OPS,GIDP,SO,G,RBI,R,AVG,CS,AB,SB
.919,5,34,56,40,42,.321,0,237,2
.236,0,2,5,1,0,.125,1,8,0
.719,2,8,29,9,13,.293,1,82,2
.500,0,1,1,0,0,.000,0,1,0
.651,2,26,54,23,31,.280,4,218,8
.568,6,66,91,28,32,.224,7,326,4
.477,3,18,39,14,7,.198,1,96,0
--,0,0,1,0,0,--,0,0,0
.620,4,23,20,6,9,.191,1,68,0
.533,11,50,86,23,11,.223,4,264,3
.642,0,115,86,38,43,.201,4,283,11
.321,0,11,9,3,0,.133,0,30,0
.000,0,2,3,0,0,.000,0,5,0
.694,1,1,6,5,2,.200,0,15,1
.855,8,39,64,41,38,.271,3,221,3
.921,2,20,16,13,7,.250,0,48,0
.929,0,2,3,1,2,.429,0,14,1
.495,0,19,20,4,10,.185,1,65,0
.631,8,92,109,41,47,.251,7,391,13
.862,9,88,134,106,68,.298,3,497,5
.533,0,6,9,3,3,.226,0,31,0
.684,1,4,5,1,1,.316,0,19,1
.543,2,26,41,18,16,.229,2,144,1
.833,1,14,22,16,12,.277,1,83,1
.748,4,34,61,14,33,.296,1,223,5
.639,0,5,4,2,2,.214,0,14,0
.000,1,2,2,0,0,.000,0,5,0
.771,13,24,87,38,39,.302,2,291,3
.783,0,16,28,7,12,.313,1,83,1
.675,9,70,87,34,30,.255,1,314,0
.620,8,39,56,30,26,.207,2,198,1
.737,0,18,31,16,19,.270,4,115,3
.558,0,16,14,8,6,.200,0,40,0
.390,3,13,23,6,7,.154,1,78,1
--,0,0,1,0,0,--,0,0,0
.528,1,14,14,7,3,.143,0,49,0
.665,7,144,125,52,51,.256,8,465,13
.000,1,1,2,0,0,.000,0,2,0
.438,1,14,22,6,5,.183,0,71,0
.397,0,4,6,2,1,.167,0,12,0
.784,3,54,59,37,34,.274,4,226,14
.830,2,3,6,1,3,.318,0,22,1
.851,1,51,63,22,46,.323,7,232,30
.393,2,7,21,2,7,.143,0,56,0
.637,6,78,77,35,27,.207,3,241,3
.777,6,108,131,74,85,.258,9,489,50
.610,8,62,114,33,53,.228,4,404,19
.704,13,55,95,39,32,.252,0,305,1
.700,7,53,91,33,42,.239,3,284,3
.670,0,6,4,2,3,.214,0,14,0
.736,1,5,16,1,7,.279,2,43,3
.471,0,1,9,4,3,.235,0,17,0
.868,2,15,18,7,12,.275,2,69,6
.474,1,36,34,5,10,.155,0,97,0
.788,8,91,124,74,64,.269,0,443,9
.722,12,125,122,84,64,.248,0,475,7
.508,0,12,12,2,1,.194,0,36,0
.167,1,1,4,1,0,.083,0,12,0
.594,1,20,20,4,3,.214,4,56,0
.604,7,40,61,21,27,.248,0,226,0
.718,7,81,99,43,58,.260,6,384,18
.631,5,58,49,19,12,.220,0,159,1
.689,1,27,34,14,15,.213,3,122,3
.818,9,59,67,48,43,.276,0,261,2
.571,0,2,2,0,1,.143,1,7,0
.756,0,10,14,5,5,.293,1,41,0
.550,3,13,29,10,9,.190,0,84,2
.702,4,31,70,24,31,.245,1,249,7
.800,0,2,3,1,1,.400,0,5,1
.513,1,7,8,2,1,.185,0,27,0
.622,4,91,92,26,35,.227,7,299,3
.779,4,75,82,22,39,.251,8,239,17
1.350,0,0,3,2,3,.500,0,8,0
.561,9,119,138,37,61,.226,7,544,4
.798,2,92,80,54,51,.272,1,301,1
.725,7,89,107,59,32,.294,1,367,7
.480,1,17,13,4,3,.125,1,40,0
.639,5,36,54,25,24,.220,2,191,0
.658,3,9,18,13,5,.204,1,49,0
.767,11,76,115,47,62,.286,0,402,3
.740,3,48,59,30,31,.241,3,216,9
.829,6,59,124,45,65,.341,9,458,21
.000,0,1,1,0,0,.000,0,1,0
.699,8,62,106,46,43,.262,5,347,5
