Player,BB,G,3B,CS,GIDP,SH,OBP,RBI
T Barnett,7,33,1,2,3,0,0.243,4
C Hinojosa,1,19,0,0,1,0,0.241,6
A Hewitt,7,33,1,0,0,0,0.256,9
B Pullen,12,23,0,0,1,0,0.306,7
B Buck,1,5,0,0,0,0,0.778,2
B Anderson,3,39,0,2,5,0,0.205,6
A Espinoza,2,39,0,1,5,1,0.279,11
J Brown,6,17,0,2,0,1,0.351,2
C Jacobs,24,43,2,2,8,0,0.38,26
M McBride,6,17,1,0,0,0,0.483,9
C Chen,6,18,0,0,1,0,0.333,4
B Nowlin,2,6,0,0,1,0,0.348,5
J Flagg,21,45,2,0,1,0,0.331,25
E Garcia,15,45,3,0,4,0,0.278,18
A Frost,6,32,0,0,2,2,0.328,15
C Parra,3,31,0,1,0,1,0.29,11
B Maldonado,2,5,0,0,0,0,0.4,3
L Poole,7,20,0,0,0,0,0.392,6
N Castillo,13,39,1,3,1,4,0.313,12
D Elorriaga-Matra,1,17,0,0,2,0,0.365,11
R Labrie,23,42,2,4,6,2,0.423,26
J Hamilton,4,16,0,0,1,1,0.37,7
H Choi,3,23,0,0,1,2,0.319,7
L Basabe,11,35,1,1,1,3,0.267,10
Y Rodriguez,27,43,0,0,2,0,0.421,13
T Henley,1,5,1,0,0,0,0.429,2
R Brooks,15,47,5,1,6,0,0.426,20
C Kelly,6,27,0,0,2,0,0.229,9
H Choi,8,23,0,2,3,0,0.309,7
T Nixon,1,3,0,0,0,0,0.636,1
O Rodriguez,0,6,0,0,1,0,0.286,0
M McGonigle,18,38,3,0,4,0,0.397,15
W Freeman,1,6,0,1,0,0,0.25,2
J Bert,16,28,1,4,1,0,0.414,6
A Abraham,17,40,0,0,3,0,0.314,22
L Castro,4,44,1,4,3,1,0.317,19
J Apodaca,0,2,0,0,0,0,0.571,2
B Friday,2,7,1,0,0,0,0.28,3
L Hurtado,3,16,0,0,0,1,0.222,1
K Howard,3,8,0,0,1,0,0.385,4
N French,10,35,0,1,1,1,0.434,15
A Goulder,16,34,0,0,0,0,0.361,6
T Martin,0,5,0,0,0,0,0.438,1
L Castillo,3,3,0,0,0,0,0.375,0
C Blackwood,4,19,0,1,0,1,0.441,7
R Orton,22,43,2,0,3,0,0.35,19
H Lara,10,42,0,3,1,4,0.333,18
M Ray,3,15,0,2,1,0,0.225,2
K Coddington,10,31,0,0,2,1,0.362,7
Y Tejeda,4,18,0,0,1,1,0.246,9
D Shepherd,10,34,0,1,2,0,0.346,7
R Asencio,9,32,4,3,0,1,0.396,14
J Jang,5,15,1,0,2,0,0.304,10
J Babrick,6,34,0,0,0,0,0.239,2
D Rohlfing,7,25,1,0,4,0,0.3,8
D Ortiz,11,48,5,0,3,1,0.328,27
T Atherton,3,5,0,0,0,0,0.524,4
L Nieves,0,26,1,1,0,1,0.205,8
R Vera,14,38,0,1,3,0,0.325,19
B Harrigan,6,29,1,0,3,0,0.289,5
J Guerrero,1,19,1,0,0,0,0.17,0
K Wilson,20,51,2,3,0,1,0.319,12
R Rio-Nunez,0,4,0,0,1,0,0.0,0
T Yockey,4,27,0,0,3,0,0.198,10
B Newsome,5,23,1,0,2,2,0.295,7
D Clark,3,10,0,0,1,0,0.406,2
J Rodriguez,10,38,0,2,1,1,0.258,20
S Valle,12,48,0,0,6,0,0.341,18
M Gioioso,13,27,0,0,1,1,0.372,7
C Chen,13,38,2,1,5,0,0.336,15
E Contreras,10,37,1,0,0,2,0.351,30
S Lombardozzi,21,48,1,1,1,6,0.371,24
M Sanchez,4,18,0,0,2,0,0.319,5
R Shimabukuro,8,47,0,0,5,0,0.307,19
T Adair,19,51,2,3,0,4,0.355,20
J Garcia,12,38,1,0,2,2,0.312,13
O Casamayor,9,40,1,4,4,3,0.343,16
B Carroll,1,2,0,0,0,0,0.333,0
L Grullon,1,27,0,0,0,0,0.234,6
S Lucian,10,28,0,0,1,1,0.341,8
R Voelkel,10,33,0,0,4,0,0.307,12
C Silva,7,22,0,0,2,1,0.41,12
D Cid,17,35,0,3,0,2,0.384,11
A Harris,9,33,0,2,2,1,0.379,10
H Sanchez,3,7,0,0,0,0,0.174,0
J Higley,21,35,0,3,2,0,0.486,16
C Puello,5,40,0,5,1,0,0.35,17
M Tejada,6,29,0,1,3,0,0.275,7
B Fuenmayor,11,50,2,3,7,0,0.36,26
W Rufino,0,5,0,0,1,0,0.176,0
A Ramirez,7,39,1,3,2,0,0.287,9
R Rosario,26,51,2,7,2,0,0.358,20
J Rodriguez,9,17,0,0,0,2,0.3,4
C Blair,0,6,0,0,0,0,0.391,9
Y Perez,3,33,0,2,1,1,0.276,13
A Oliveras,14,39,4,5,4,0,0.345,16
K Skipworth,13,43,0,2,2,1,0.263,21
M Willard,7,22,2,3,0,2,0.231,7
D Lehrman,12,40,0,0,2,1,0.293,17
A Pagan,0,2,0,0,0,1,0.6,0
R Henry,3,23,2,3,1,1,0.241,8
H Sosa,14,42,0,0,7,0,0.36,22
F Cruz,1,14,0,0,0,0,0.188,1
A Carrithers,28,39,1,1,1,1,0.464,17
J Natale,2,3,0,0,0,0,0.333,1
G Nunez,2,13,0,1,2,0,0.233,5
F Hanvi,0,1,0,0,0,0,0.667,0
B Roberts,3,4,0,0,0,0,0.643,0
F Cervelli,0,3,0,0,0,0,0.25,0
M McCarney,1,10,0,1,2,0,0.257,5
T Binkoski,0,1,0,0,0,0,0.333,0
C Maddox,4,44,0,1,2,1,0.288,22
Y Kuo,7,25,0,1,1,1,0.327,15
D Saunderson,8,13,1,2,0,0,0.333,2
E Meyer,12,42,0,0,3,1,0.385,17
