SO,RBI,SB,Gact,PA,G
63,95,16,152,660,160
2,0,0,3,3,3
27,4,0,35,90,37
1,0,0,4,4,4
15,45,3,121,489,127
4,0,0,19,10,20
28,35,25,124,528,130
23,17,3,64,312,67
21,30,3,128,444,135
5,13,1,54,105,57
11,5,0,49,64,52
45,56,3,118,409,124
2,0,0,26,26,27
28,40,7,96,417,101
14,25,2,78,180,82
5,1,0,21,35,22
8,7,0,33,83,35
9,8,0,49,94,52
13,17,4,77,248,81
21,28,16,117,495,123
19,75,23,155,745,163
1,0,0,2,1,2
3,0,0,15,14,16
31,123,15,154,691,162
9,13,3,24,78,25
16,7,4,50,127,53
38,46,7,117,478,123
12,38,1,87,230,92
15,5,0,36,62,38
17,4,0,33,95,35
0,0,0,2,2,2
16,2,0,35,76,37
11,2,0,25,54,26
6,8,0,36,83,38
34,93,2,128,559,135
6,3,0,29,39,31
6,5,0,25,56,26
22,14,3,43,199,45
1,2,0,11,2,12
6,7,1,23,98,24
12,2,0,23,40,24
14,10,1,40,125,42
11,4,3,52,94,55
55,142,7,144,659,151
2,0,0,8,21,8
0,0,0,4,1,4
0,0,0,12,18,13
25,57,11,113,452,119
25,47,9,100,397,105
21,60,13,110,436,116
5,7,0,22,34,23
3,4,0,26,36,27
6,63,10,146,645,154
35,51,1,148,689,156
20,13,4,53,210,56
5,1,0,29,57,31
9,12,3,47,181,49
11,0,0,30,41,32
3,0,0,16,17,17
1,0,0,4,12,4
3,2,0,12,11,13
12,0,0,34,25,36
7,3,0,36,71,38
3,0,0,5,11,5
24,2,0,37,88,39
12,74,18,121,543,127
3,0,0,3,3,3
35,59,3,148,620,156
0,0,0,1,2,1
13,13,6,72,250,76
1,4,0,6,10,6
32,19,4,91,366,96
1,0,0,2,4,2
16,83,3,114,514,120
7,21,4,76,327,80
0,0,0,3,1,3
19,7,0,32,70,34
14,3,0,24,38,25
2,1,0,8,24,8
0,0,0,4,8,4
34,98,5,143,671,150
17,5,0,30,84,32
5,4,3,25,98,26
0,0,0,6,5,6
1,0,0,8,3,8
13,4,0,36,98,38
20,18,7,47,214,49
1,0,0,10,24,11
33,33,3,98,368,103
2,0,0,7,20,7
24,44,11,129,519,136
22,27,0,77,257,81
38,103,12,153,681,161
33,77,12,133,643,140
6,1,0,29,29,31
12,7,0,35,98,37
4,0,0,7,8,7
59,50,4,138,579,145
66,61,22,127,562,134
4,4,0,24,35,25
37,116,5,137,613,144
13,1,0,50,71,53
55,106,7,149,651,157
16,7,0,37,86,39
38,33,12,101,365,106
17,35,4,111,420,117
4,10,1,20,66,21
3,0,0,36,44,38
15,25,2,70,227,74
2,0,0,5,3,5
9,14,4,46,140,48
11,0,0,37,24,39
16,9,2,59,140,62
0,0,0,3,8,3
0,0,0,5,3,5
15,0,0,28,38,29
6,0,0,22,14,23
1,0,0,4,3,4
47,59,1,120,479,126
4,5,0,33,35,35
15,41,0,99,387,104
11,19,7,84,308,88
6,4,1,18,61,19
13,11,0,35,117,37
12,3,0,33,56,35
13,25,1,70,251,74
0,0,0,1,4,1
0,0,0,3,3,3
1,0,0,9,3,9
31,48,8,145,666,153
5,5,0,16,28,17
2,0,0,8,4,8
6,10,1,41,102,43
11,1,0,28,25,29
2,0,0,11,11,12
11,0,0,44,55,46
0,0,0,1,1,1
13,7,0,45,110,47
25,72,23,145,709,153
52,85,7,148,645,156
4,3,0,20,63,21
22,44,8,87,405,92
1,0,0,1,1,1
14,15,1,63,197,66
14,6,0,38,65,40
0,2,0,6,23,6
3,0,0,14,10,15
2,1,0,6,12,6
12,13,0,39,123,41
15,23,4,37,159,39
18,4,0,35,55,37
0,0,0,2,7,2
19,7,0,37,103,39
25,41,10,98,427,103
21,7,0,44,88,46
29,17,3,62,179,65
3,0,0,16,28,17
5,0,0,6,14,6
34,54,3,142,638,149
14,6,0,46,107,48
4,1,0,31,50,33
85,116,9,153,688,161
22,33,2,95,379,100
4,0,0,12,5,13
6,4,0,32,88,34
8,1,0,15,32,16
62,90,10,147,648,155
43,56,20,143,676,150
2,6,0,41,79,43
34,72,24,144,607,151
56,83,19,142,611,149
3,0,0,14,15,15
11,41,1,71,276,75
25,72,24,154,733,162
16,32,1,115,336,121
3,5,0,24,63,25
21,36,9,147,679,155
16,34,4,51,220,54
16,42,1,137,509,144
2,6,0,21,46,22
27,82,24,142,621,149
35,46,14,156,754,164
29,54,11,137,568,144
1,0,0,5,2,5
