G,H,HR,S,BB,W,IP
9,49,3,0,21,3,52.2
32,193,11,0,37,11,216.1
13,14,1,0,6,0,12.0
4,4,1,0,7,0,7.0
37,62,9,0,30,6,67.2
55,45,5,1,21,3,51.0
2,0,0,0,2,0,2.1
71,50,3,0,26,2,62.0
15,20,2,0,5,0,10.2
25,25,2,0,13,2,32.2
31,168,20,0,87,11,194.0
1,1,0,0,2,0,1.0
50,40,6,0,19,1,46.1
2,0,0,0,5,0,1.2
65,56,3,37,10,1,61.1
45,43,2,0,28,4,38.2
31,180,20,0,53,9,185.2
10,18,1,0,4,0,14.0
46,56,8,0,19,1,77.2
1,4,0,0,1,0,5.2
37,30,5,0,12,5,28.0
33,189,14,0,56,16,215.0
40,24,4,0,23,1,27.0
65,36,6,3,17,5,54.0
48,33,4,1,20,1,40.2
11,16,0,0,3,0,12.1
29,190,23,0,63,11,184.0
74,49,4,11,30,5,69.1
71,59,2,0,19,5,63.0
22,37,7,0,12,1,35.1
9,15,1,0,3,3,13.2
78,66,1,5,17,6,75.2
35,49,2,0,33,5,60.0
40,34,3,0,16,2,37.0
18,15,3,0,11,0,24.0
7,10,0,0,5,0,8.1
26,125,14,0,75,9,134.1
46,37,3,4,19,5,60.0
18,13,1,0,3,0,9.2
31,180,22,0,45,12,193.2
31,29,0,0,9,1,24.1
33,30,2,0,8,1,28.1
53,48,2,0,20,2,50.2
15,40,10,0,12,0,35.2
27,182,16,0,38,7,145.2
1,0,0,0,0,0,0.1
52,51,5,0,20,2,56.0
79,35,3,0,17,5,48.1
68,49,6,37,22,5,69.2
68,46,7,8,8,2,62.1
44,46,5,0,20,1,54.0
51,62,4,4,21,2,60.2
9,22,4,0,5,0,13.2
10,11,1,0,3,1,14.2
39,37,5,0,22,1,34.2
4,13,2,0,6,0,7.2
46,105,12,0,44,6,139.2
60,41,4,45,12,2,58.0
56,36,5,0,28,5,48.2
67,47,5,3,24,3,61.2
33,56,8,0,23,8,63.0
20,106,19,0,65,5,108.2
9,16,5,0,6,0,14.1
33,244,20,0,44,10,206.0
10,62,15,0,25,3,51.1
29,43,5,0,13,2,36.0
9,39,2,0,20,3,60.1
16,55,9,0,24,2,58.1
6,12,1,0,2,0,5.0
64,42,4,32,30,2,62.1
10,40,3,0,10,1,32.2
1,5,1,0,5,0,3.0
39,37,8,1,11,2,44.0
16,21,3,0,10,1,16.0
12,18,4,0,4,0,14.0
22,115,21,0,59,10,119.1
20,25,2,0,5,2,30.0
23,128,15,0,40,4,115.2
51,34,8,1,11,3,33.0
54,24,2,1,41,4,50.0
13,77,5,0,25,3,62.0
61,47,3,2,11,5,51.0
33,103,11,0,32,6,107.0
14,17,3,0,7,0,25.2
1,1,1,0,1,0,1.0
29,146,21,0,72,13,189.0
33,207,29,0,56,15,195.0
30,63,6,0,22,2,56.1
4,6,2,0,2,0,2.0
57,49,7,0,28,6,62.0
23,154,11,0,43,8,132.0
