SO,CS,RBI,R,G,AVG,SB,Player,H
22,3,18,26,47,.288,12,J Briceno,46
14,3,17,17,37,.292,10,J Rivero,35
11,1,14,15,41,.219,2,Y Mendoza,25
22,2,9,11,26,.200,1,J Figueroa,14
11,0,7,12,18,.339,5,J Javier,19
27,7,22,29,66,.281,28,J Peraza,66
6,0,0,0,5,.000,0,E Lara,0
17,0,18,17,54,.196,3,W Petit,31
34,3,23,19,49,.226,6,R Adolfo,38
77,10,16,21,60,.212,9,S Crafort,42
0,0,0,1,1,1.000,0,E Barrera,1
44,11,20,28,59,.235,15,A Reyes,54
44,4,17,24,46,.216,5,A Soriano,30
18,1,3,13,41,.225,0,L Ortega,18
4,0,2,0,10,.083,0,J Aleman,1
16,4,4,19,49,.210,11,J Montesino,17
11,0,3,4,14,.214,1,N Gonzalez,6
32,0,19,18,54,.209,2,J Orozco,38
0,0,0,0,1,.000,0,V Chavez,0
10,2,7,7,34,.182,0,R Polonia,12
39,8,27,35,57,.256,11,J Rodriguez,44
24,1,12,6,32,.211,1,J Abreu,16
13,3,5,6,20,.067,2,N Parra,3
35,7,13,18,44,.205,3,J Polanco,26
45,3,24,21,51,.172,12,B Gomez,26
51,7,13,25,51,.218,9,M Ramirez,38
27,0,3,9,27,.131,3,C Cuevas,11
46,0,12,12,51,.145,1,D Matos,21
38,6,13,17,40,.207,4,R Guillen,29
37,3,14,13,48,.184,0,A Ramirez,23
16,7,5,21,34,.194,9,E Felipe,19
50,3,22,23,53,.199,4,H Mercedes,33
50,3,10,15,48,.163,3,J Calderon,20
30,2,26,28,56,.267,3,A Wel,50
15,1,4,7,17,.200,2,A Ramirez,10
0,0,0,0,1,--,0,J Saucedo,0
37,5,13,11,45,.150,3,J Rocha,19
3,0,0,0,7,.000,0,C Pajaro,0
8,2,1,3,9,.129,1,S Duinkerk,4
60,4,14,30,53,.247,3,E Paulino,45
16,1,10,18,38,.241,2,A Bolivar,32
20,1,13,14,49,.213,2,R Urias,26
1,0,0,0,1,.000,0,J Gonzalez,0
59,2,23,20,43,.207,1,J Pena,31
32,1,21,22,54,.223,1,J Marmolejos-Diaz,41
63,10,21,27,60,.188,4,A Aquino,38
19,1,5,4,22,.125,0,A Feliz,6
41,8,35,29,67,.262,15,R Tapia,65
62,7,28,12,59,.235,3,M Jimenez,43
23,0,8,3,32,.184,1,A Castillo,18
9,2,0,4,8,.115,1,J Astacio,3
22,1,13,15,39,.270,4,R Martinez,24
39,3,26,36,60,.226,3,M Ramos,43
17,2,9,8,35,.213,3,J Delgado,19
29,5,18,21,54,.246,7,A Mora,42
38,1,15,8,45,.145,0,J Jimenez,17
61,4,38,36,67,.259,7,X Batista,55
46,13,21,42,58,.221,24,S Mujica,43
45,1,25,35,62,.224,0,A Suarez,47
29,1,6,10,35,.198,3,G Gomez,20
29,2,18,19,35,.236,2,E Abreu,25
24,1,13,15,39,.183,2,H Peralta,19
67,2,16,18,53,.113,0,M Medina,13
33,0,9,8,35,.205,4,J Pumarol,23
30,1,11,18,31,.202,4,J Valdelamar,17
45,0,8,10,45,.161,1,R Rijkhof,20
42,4,33,36,64,.278,12,G Beltran,62
55,3,34,35,60,.284,3,G Quintana,60
50,2,14,19,51,.206,3,W Santana,35
42,5,19,23,56,.231,2,Y Garcia,42
17,1,5,9,16,.235,5,J Javier,12
42,1,7,9,36,.133,0,J Sayegh,14
42,5,12,16,55,.184,10,J Romero,26
11,0,3,6,19,.208,1,G Cenas,11
28,3,27,28,49,.244,4,E Moreno,43
47,10,12,24,59,.214,11,A Gonzalez,36
6,1,0,3,9,.200,1,G Larrazabal,4
13,0,1,9,22,.125,1,C Pena,8
0,0,0,0,2,--,0,E Coplin,0
32,2,5,10,33,.135,1,J Peraza,14
32,10,25,34,69,.265,15,F Cabrera,58
24,2,7,10,21,.203,2,F Marte,14
15,2,6,6,30,.203,1,E Avila,12
48,9,17,38,61,.258,21,Y Hernandez,51
18,0,4,6,27,.125,2,Y Aquiles,5
10,3,10,9,44,.193,2,M Boscan,23
7,1,1,8,19,.188,1,J Rojas,9
56,4,23,21,54,.260,4,S Lantigua,52
42,3,16,17,45,.150,5,G Jimenez,17
25,0,8,5,32,.175,0,J Gomez,14
31,5,20,18,47,.259,3,M Mojica,36
49,6,13,23,54,.202,15,M Nagahashi,39
73,3,20,26,70,.157,5,E Sanchez,31
25,2,32,29,64,.273,3,M Gonzalez,48
66,4,20,18,47,.212,5,J Liriano,33
1,0,0,0,1,.000,0,E Almonte,0
20,3,17,28,56,.338,6,D Cedeno,44
20,4,10,19,54,.230,4,E Morales,38
42,7,22,29,52,.266,14,R Jimenez,47
28,4,2,7,25,.191,4,M Lendor,13
31,9,18,28,61,.282,29,D Hinojosa,50
27,5,28,29,58,.318,10,V De La Cruz,61
15,3,14,13,47,.200,4,A Raga,31
42,4,53,50,72,.337,4,J Candelario,84
6,0,4,2,12,.115,0,Y Jaquez,3
17,1,18,16,54,.275,2,M Leal,41
29,5,14,44,65,.245,20,Y Ruiz,57
24,5,13,31,51,.279,20,W Rodriguez,43
12,0,0,3,13,.222,0,I Brea,8
36,5,24,35,60,.260,14,R Torres,53
12,2,12,8,18,.254,0,J Geraldo,15
62,6,27,22,62,.208,8,D De La Cruz,45
11,0,7,9,24,.148,2,E Vivas,9
2,0,3,4,5,.250,1,L Mendez,3
0,0,0,0,1,--,0,M Tamarez,0
25,3,17,31,59,.201,11,J Giron,30
6,0,2,10,21,.313,1,J Infante,15
28,10,21,32,53,.283,18,A Patino,54
6,0,0,0,10,.211,0,P Reyes,4
17,2,11,11,26,.220,5,A Mendoza,18
35,8,27,38,66,.296,28,K Encarnacion,66
43,6,16,17,49,.204,5,F Santana,29
43,5,36,20,60,.253,2,A Santiago,45
2,0,1,0,3,.000,0,F Lopez,0
16,6,9,18,38,.200,7,B Hato,16
20,5,11,20,47,.274,13,O Valdez,34
30,5,21,22,47,.297,17,I Dionicio,38
26,1,6,11,26,.235,0,R Herrera,20
52,4,44,42,65,.258,7,D Arcila,58
48,4,11,14,65,.209,6,V De Jesus,33
6,0,0,1,6,.182,0,J Fledi,2
1,0,0,2,3,.333,0,V Trinidad,2
72,3,15,28,55,.189,5,F Perez,35
34,5,15,36,48,.307,8,L Osorio,51
19,6,36,39,55,.344,14,A Robles,63
18,2,12,11,45,.173,1,J Taveras,19
60,2,16,26,54,.204,7,J Polanco,34
26,4,22,19,45,.262,0,L Vasquez,38
22,4,28,50,52,.316,32,P Toribio,59
30,1,8,8,34,.082,3,Y Diaz,6
26,1,4,12,33,.179,6,J Sierra,14
9,0,3,2,11,.194,0,F Cariel,6
46,6,12,30,47,.231,13,E De La Cruz,31
26,2,17,16,39,.186,8,P Nivar,22
20,2,7,12,34,.216,4,E Esquea,19
26,5,10,15,40,.143,4,A Blanco,16
80,4,24,28,65,.203,7,L Marte,45
16,0,3,2,18,.205,0,C Acevedo,9
67,6,29,26,60,.191,9,F Sanchez,39
11,2,9,8,24,.176,1,R Ledesma,9
8,2,0,3,11,.167,0,R Sosa,4
3,1,1,3,6,.286,3,A Castillo,4
25,1,10,5,18,.224,4,J Pineda,13
47,2,38,26,61,.262,15,P Perez,55
51,0,12,21,57,.237,0,J De Leon,44
25,5,6,28,42,.219,8,D Dominguez,23
21,9,7,23,37,.213,10,R Brugeura,19
17,0,5,10,30,.125,1,J Perez,6
40,9,28,34,64,.269,16,A Rosa,57
7,4,1,9,21,.256,2,J Abreu,11
23,4,25,15,58,.292,4,F Polanco,50
30,3,15,13,41,.195,2,E Concepcion,26
32,4,15,16,39,.235,9,P Rondon,28
20,5,8,12,55,.218,7,J Rodriguez,26
55,10,36,57,68,.282,32,J Baez,74
5,0,0,3,9,.091,1,B Aquino,1
11,0,3,8,13,.172,5,J Lopez,5
27,0,3,6,19,.182,0,R Vargas,10
38,5,24,27,56,.236,22,J Reynoso,42
26,4,8,14,35,.220,2,J Agustin,22
23,6,22,25,63,.278,6,L Rodriguez,58
29,3,14,24,57,.236,4,G Guerrero,45
9,0,5,2,21,.213,0,Y De La Cruz,13
40,3,10,14,37,.207,3,R Novas,24
12,5,11,15,49,.225,5,O Caraballo,29
9,2,12,20,29,.281,2,E Gonzalez,25
6,1,6,12,25,.254,1,O Pirela,18
65,4,28,24,57,.226,1,W Romero,48
50,8,32,26,68,.207,11,E Berroa,46
45,8,25,26,62,.300,17,M Oliberto,65
22,2,5,7,25,.183,3,E Morrobel,13
22,0,11,16,35,.215,7,J Caraballo,20
29,2,30,25,53,.260,1,D Sopilka,50
15,1,6,9,22,.215,4,M Alamanzar,14
2,0,3,3,7,.300,1,J Linares,6
41,6,13,10,48,.206,0,L Pena,26
51,0,16,16,43,.189,3,F Vivili,25
18,11,15,22,48,.245,12,F Castillo,38
27,3,14,20,45,.229,5,R Valdez,24
18,2,7,7,27,.225,1,Y Polanco,16
16,2,12,22,36,.224,3,J Medina,24
18,1,1,8,24,.145,1,F Matamoros,11
21,1,16,14,22,.253,2,P Acosta,20
42,4,35,41,65,.274,16,T Hernandez,62
12,1,2,5,17,.132,1,J Herrera,5
32,0,4,10,29,.127,0,R Contreras,8
32,10,18,34,52,.256,20,J Ramirez,42
27,5,7,13,32,.167,8,A Roso,17
7,0,3,3,10,.250,0,R Bello,9
7,0,3,6,8,.263,1,H Mejia,5
42,5,17,16,51,.248,11,S Acevedo,37
22,0,2,2,21,.179,0,R Gonzalez,10
26,3,15,21,44,.258,3,J Sanchez,34
23,3,24,21,57,.269,2,C Duran,53
42,3,14,27,55,.179,2,R Mejias,32
2,0,0,0,2,.000,0,J Santos,0
43,0,27,17,47,.288,0,J Bogaerts,45
26,0,2,5,22,.148,0,E Maldonado,8
44,3,18,19,50,.245,0,S Valdez,39
28,7,20,32,51,.303,6,H Charles,50
19,1,4,12,26,.228,2,C Murillo,13
30,7,17,20,45,.226,17,V Arias,28
22,3,28,44,68,.274,9,J Santana,68
4,0,0,2,3,.000,0,R Sotelo,0
44,6,19,25,52,.191,6,A Reyes,36
37,0,10,18,37,.273,7,J Natera,38
0,0,0,4,9,--,0,Y Perdomo,0
30,3,9,15,37,.196,3,Y Morales,21
22,1,8,10,34,.279,1,J Lopez,24
33,8,22,24,58,.285,16,A Pacheco,53
4,1,10,11,21,.342,2,F Noguera,13
17,0,10,10,45,.204,0,J Pena,23
16,0,11,5,32,.164,0,S De La Cruz,10
45,10,18,49,61,.315,31,C Garia,69
21,1,21,16,40,.323,1,I Aguero,41
16,7,7,33,50,.257,22,R Perez,27
44,1,20,23,48,.260,3,A Jesus,44
8,1,1,5,17,.154,1,M Guzman,4
8,1,8,11,30,.308,1,R Coa,24
32,2,44,32,58,.288,5,S Mendez,60
42,2,28,20,50,.252,2,A Baez,40
20,0,5,6,26,.281,2,F Filpo,27
9,0,7,11,27,.254,1,O Pascual,18
37,10,21,30,63,.255,13,S Ortiz,48
29,4,12,16,48,.200,1,D Arribas,25
27,0,18,27,49,.252,1,R Medina,37
32,3,24,30,55,.197,0,C Tamarez,41
20,3,16,18,38,.274,13,S Matos,31
0,0,0,0,1,--,0,W Telles,0
22,9,8,14,35,.272,5,P Miranda,25
35,2,20,25,45,.275,8,M Grance,41
22,0,24,25,52,.301,1,P Gonzalez,53
21,2,20,28,43,.257,8,A Triunfel,38
24,4,23,26,55,.279,0,W Rivas,48
12,1,1,3,12,.120,1,C Palacios,3
25,9,18,29,55,.195,10,D Castro,38
