SO,CS,RBI,R,G,AVG,SB,Player,H
22,3,18,26,47,.288,12,J Briceno,46
14,3,17,17,37,.292,10,J Rivero,35
11,1,14,15,41,.219,2,Y Mendoza,25
22,2,9,11,26,.200,1,J Figueroa,14
11,0,7,12,18,.339,5,J Javier,19
27,7,22,29,66,.281,28,J Peraza,66
6,0,0,0,5,.000,0,E Lara,0
17,0,18,17,54,.196,3,W Petit,31
34,3,23,19,49,.226,6,R Adolfo,38
77,10,16,21,60,.212,9,S Crafort,42
0,0,0,1,1,1.000,0,E Barrera,1
44,11,20,28,59,.235,15,A Reyes,54
44,4,17,24,46,.216,5,A Soriano,30
18,1,3,13,41,.225,0,L Ortega,18
4,0,2,0,10,.083,0,J Aleman,1
16,4,4,19,49,.210,11,J Montesino,17
11,0,3,4,14,.214,1,N Gonzalez,6
32,0,19,18,54,.209,2,J Orozco,38
0,0,0,0,1,.000,0,V Chavez,0
10,2,7,7,34,.182,0,R Polonia,12
39,8,27,35,57,.256,11,J Rodriguez,44
7,0,1,4,9,.208,1,D De La Cruz,5
45,1,25,35,62,.224,0,A Suarez,47
54,3,8,11,47,.177,2,M De La Cruz,23
22,1,5,8,36,.154,0,V Velazquez,12
55,3,34,35,60,.284,3,G Quintana,60
12,3,13,19,31,.281,9,L Urena,27
37,9,20,37,63,.308,30,E Peguero,73
0,0,0,0,1,--,0,L Jose,0
20,4,36,47,64,.294,13,O Arcia,64
51,7,13,25,51,.218,9,M Ramirez,38
8,1,1,5,17,.154,1,M Guzman,4
37,3,14,13,48,.184,0,A Ramirez,23
15,1,4,7,17,.200,2,A Ramirez,10
0,0,0,4,9,--,0,Y Perdomo,0
44,6,19,25,52,.191,6,A Reyes,36
32,10,25,34,69,.265,15,F Cabrera,58
19,6,36,39,55,.344,14,A Robles,63
26,3,14,15,36,.138,0,F Martinez,12
19,1,5,4,22,.125,0,A Feliz,6
25,5,4,20,48,.222,5,A Sierra,26
26,5,10,15,40,.143,4,A Blanco,16
18,2,7,7,27,.225,1,Y Polanco,16
25,2,32,29,64,.273,3,M Gonzalez,48
37,10,21,30,63,.255,13,S Ortiz,48
45,10,29,33,68,.233,17,B Capellan,55
26,1,4,12,33,.179,6,J Sierra,14
22,2,5,7,25,.183,3,E Morrobel,13
48,5,26,28,60,.251,4,D Rosario,50
38,1,10,7,35,.136,0,G Araujo,14
37,3,23,27,51,.291,12,B Arias,57
32,2,8,17,42,.237,6,T De La Cruz,31
9,1,1,5,16,.152,2,R Lorenzo,7
20,3,12,12,38,.184,0,M Gonzalez,16
22,4,28,50,52,.316,32,P Toribio,59
21,1,17,19,51,.235,1,J Rojas,36
34,5,14,15,50,.205,4,J Cipriota,30
24,1,12,6,32,.211,1,J Abreu,16
32,10,18,34,52,.256,20,J Ramirez,42
7,4,1,9,21,.256,2,J Abreu,11
12,7,9,11,27,.250,8,R Penalo,20
3,0,1,4,5,.167,0,C Tejeda,2
42,5,12,16,55,.184,10,J Romero,26
30,2,5,24,40,.220,10,H Garcia,22
36,2,4,15,41,.137,4,J Guzman,18
8,2,1,3,9,.129,1,S Duinkerk,4
36,5,15,11,41,.216,7,J Figuera,25
20,7,15,25,46,.238,10,J Flores,34
43,5,36,20,60,.253,2,A Santiago,45
33,2,17,16,43,.220,2,A Reyes,26
12,0,0,3,13,.222,0,I Brea,8
27,5,20,30,58,.297,7,J Herrera,57
0,0,0,0,1,--,0,Y Alejo,0
17,2,11,11,26,.220,5,A Mendoza,18
37,5,61,50,66,.321,13,J Zorrilla,72
42,4,53,50,72,.337,4,J Candelario,84
6,0,2,10,21,.313,1,J Infante,15
6,0,0,0,10,.211,0,P Reyes,4
49,2,21,22,50,.218,5,R Astacio,37
56,4,23,21,54,.260,4,S Lantigua,52
1,0,0,0,1,.000,0,J De Jesus,0
0,0,0,0,2,.000,0,A Santana,0
9,8,18,32,59,.258,18,W Soriano,46
11,1,7,6,25,.180,2,R Morillo,9
4,0,3,7,15,.313,1,D Garcia,10
21,9,7,23,37,.213,10,R Brugeura,19
31,5,20,18,47,.259,3,M Mojica,36
32,1,12,29,51,.268,6,L Pina,52
25,2,10,18,41,.245,4,A Hernandez,27
22,2,27,30,52,.267,0,A Rosario,46
9,0,5,2,21,.213,0,Y De La Cruz,13
92,3,14,15,54,.183,5,L Martin,33
25,3,13,19,41,.298,10,A Maracaro,36
25,0,8,5,32,.175,0,J Gomez,14
32,4,25,29,64,.235,4,J Mota,54
