FOW,FO,S/G,Player,TOI/G,№,PPG
1,15,1.8,Kalyanin Alexander,12:22,28,0
0,0,0.4,Gladskikh Evgeny,8:00,32,0
1,2,1.6,Bulyansky Artyom,13:49,19,4
4,9,2.6,Weinhandl Mattias,16:10,80,3
154,330,1.8,Zyuzin Dmitry,13:19,22,1
0,0,-,Pavlinov Alexander,2:50,71,0
4,8,1.1,Volkov Igor,12:05,23,0
233,476,1.5,Koznev Alexei,15:52,9,2
100,223,1.6,Lewandowski Eduard,16:35,11,1
334,610,1.5,Lehtera Jori,15:32,12,5
0,0,1.1,Pankov Alexander,8:22,74,0
10,20,1.7,Lyuduchin Roman,11:55,88,1
3,4,0.7,Vishnyakov Albert,11:15,48,0
104,214,1.8,Mikus Juraj,12:51,38,0
464,913,1.9,Makarov Dmitry,17:41,23,3
0,0,1.0,Zdunov Pavel,7:35,42,0
460,901,1.9,Martensson Tony,17:38,9,2
369,703,2.2,Bulis Jan,19:33,38,8
37,80,2.0,Netik Tomas,12:34,71,1
31,77,2.0,Khlyntsev Ivan,16:35,11,2
2,6,1.7,Gratton Josh,11:34,92,1
309,657,1.3,Belukhin Evgeny,14:58,34,1
7,15,2.4,Kozlov Vyacheslav,16:10,32,7
4,8,0.6,Voroshilo Artyom,7:17,88,0
0,0,1.0,Ermolayev Vadim,6:52,32,0
555,927,2.1,Cajanek Petr,16:37,16,4
0,2,1.3,Shishkanov Timofei,8:58,44,0
3,8,1.2,Vasilyev Alexander,9:57,38,2
2,6,1.5,Belokon Sergei,9:49,61,0
0,2,0.3,Barbashev Sergei,7:06,88,0
7,18,2.1,Kasyanchuk Konstantin,16:19,21,1
22,41,1.2,Kudashov Alexei,15:35,32,1
0,0,-,Katsuba Stanislav,-,91,0
12,21,2.1,Ling David,15:23,18,0
0,0,0.2,Yashin Oleg,3:20,91,0
0,0,1.0,Gordeyev Artyom,9:33,9,0
12,43,1.3,Plotnikov Sergei,12:52,61,3
4,13,1.9,Lesnukhin Sergei,14:06,26,2
12,45,0.9,Khokhryakov Pyotr,9:00,15,0
3,7,0.7,Vilkojts Raimonds,4:41,32,0
129,260,1.0,Yepanchintsev Vadim,16:26,9,2
0,1,0.5,Polozov Kirill,6:17,71,0
0,0,1.0,Popov Vitaly,5:44,25,0
9,23,3.5,Mozyakin Sergei,20:27,10,8
234,515,1.4,Varlamov Sergei,14:43,44,5
9,31,2.5,Demagin Sergei,13:19,59,3
189,461,2.3,Starchenko Roman,13:58,48,2
7,12,2.0,Chernikov Alexander,16:27,37,7
1,3,2.1,Parshin Denis,19:14,27,7
264,551,1.7,Babenko Yury,14:03,12,2
130,259,0.8,Krysanov Anton,10:18,63,2
1,2,1.2,Shalunov Maxim,7:16,88,0
58,126,0.6,Voronin Artyom,9:04,91,0
2,2,1.6,Stolyarov Gennady,13:05,71,0
46,105,1.4,Pervushin Vladimir,11:12,17,0
59,162,0.6,Spiridonov Andrei,8:22,23,0
4,7,3.1,Tarasenko Vladimir,14:19,91,2
2,10,1.3,Tkachenko Ivan,13:40,17,0
0,0,1.6,Butsayev Yury,8:32,46,0
37,89,0.4,Korotkov Evgeny,5:25,19,0
5,10,1.1,Koltsov Konstantin,12:44,28,1
0,0,1.2,Klopov Dmitry,9:24,9,0
11,23,2.8,Varnakov Mikhail,14:26,18,6
0,4,0.4,Stefanovich Mikhail,7:27,29,0
2,3,0.9,Belousov Georgy,8:54,25,0
396,730,1.4,Polygalov Igor,15:26,71,4
0,3,1.3,Kitsyn Maxim,10:32,91,1
0,0,0.5,Larin Ivan,1:57,43,0
6,11,1.2,Zemchenko Ignat,7:52,96,0
2,4,0.8,Orlov Evgeny,5:53,75,0
0,0,1.0,Stolyarenko Nikolai,5:33,93,0
302,514,1.8,Svitov Alexander,14:28,15,2
345,714,2.0,Schastlivy Pyotr,13:22,24,1
4,8,2.5,Pestushko Maxim,17:01,33,10
0,0,0.7,Musin Ilya,7:58,65,0
525,919,1.8,Stumpel Jozef,18:52,15,4
0,1,2.2,Nieminen Ville,16:28,8,6
27,64,0.8,Litovchenko Vyacheslav,11:18,51,0
3,10,2.9,Ketov Evgeny,15:46,40,0
479,823,2.2,Hartigan Mark,17:16,3,9
14,22,0.3,Verot Darcy,7:21,7,0
341,701,1.0,Zavarukhin Alexei,15:41,19,0
6,17,2.3,Rybin Maxim,14:34,39,1
123,263,1.3,Kazionov Dmitry,13:09,67,1
376,793,1.1,Pestunov Dmitry,16:27,24,4
0,1,1.5,Krikunov Ilya,13:42,17,2
5,15,2.8,Lisin Enver,16:06,22,4
0,0,3.7,Satan Miroslav,17:16,80,1
8,28,1.6,Tarasov Dmitry,14:22,17,0
0,2,1.6,Gulyavtsev Alexander,14:18,15,1
11,36,0.8,Piskunov Sergei,12:21,10,1
51,102,0.5,Goroshansky Alexander,6:33,23,0
1,2,1.8,Makarov Konstantin,13:53,27,1
185,432,1.2,Glukhov Mikhail,13:19,13,0
496,970,1.9,Fyodorov Evgeny,16:15,19,7
10,21,2.8,Komarov Leo,16:25,87,7
5,10,0.5,Turukin Konstantin,9:10,51,0
2,3,1.3,Kazionov Denis,10:58,41,0
273,566,1.7,Tsvetkov Alexei,19:34,9,2
0,0,0.3,Dvurechensky Nikita,5:54,69,0
277,648,1.6,Bomersback Mark,18:30,18,5
218,566,2.0,Shepelenko Andrei,17:21,80,0
2,6,1.0,Ostapchuk Sergei,8:15,24,0
3,6,2.7,Bartovic Milan,15:07,16,0
1,6,3.0,Sushinsky Maxim,17:47,33,5
475,764,2.1,Fedorov Sergei,14:59,18,2
61,145,1.1,Streltsov Vasily,12:57,32,0
48,115,1.2,Karamnov Vitaly,10:03,34,0
