GIDP,SH,SLG,POS,OBP,3B,R,AB
19,0,.581,1B,.451,0,58,370
0,0,--,P,--,0,0,0
3,0,.340,C,.376,0,13,150
8,0,.356,DH,.338,0,24,202
13,2,.405,3B,.376,3,30,279
0,0,.000,C,.125,0,0,7
2,4,.395,2B,.402,0,12,119
3,5,.311,OF,.313,1,15,90
2,6,.551,CF,.453,9,91,372
1,2,.466,OF,.400,0,12,58
2,16,.442,CF,.371,4,53,351
2,0,.139,C,.205,0,4,36
0,0,--,P,--,0,0,0
2,2,.231,1B,.298,0,7,78
9,3,.389,2B,.390,0,35,296
0,0,.258,2B,.378,0,5,31
7,6,.304,LF,.366,1,43,204
5,4,.522,3B,.456,4,60,318
0,0,.250,SS,.250,0,1,4
2,1,.547,OF,.422,0,20,95
16,3,.478,LF,.442,0,32,184
4,4,.378,SS,.376,0,22,98
9,6,.319,SS,.285,1,50,323
0,1,.167,RF,.167,0,0,12
7,4,.458,CF,.398,3,61,301
6,0,.590,1B,.402,2,65,344
3,2,.362,SS,.342,1,25,138
1,1,.324,C,.318,1,7,102
1,1,.281,RF,.333,0,4,32
8,5,.553,C,.407,1,60,293
0,3,.095,SS,.095,0,2,21
9,2,.385,SS,.390,2,40,270
10,3,.466,3B,.363,1,53,380
0,0,.167,OF,.167,0,0,6
0,0,1.000,P,1.000,0,0,1
5,0,.297,2B,.341,0,13,74
15,1,.518,1B,.388,0,46,299
0,0,--,P,--,0,0,0
1,0,.346,3B,.344,0,8,52
4,0,.449,C,.338,1,27,118
6,3,.441,C,.371,2,24,136
8,0,.562,OF,.380,3,53,354
8,7,.413,SS,.354,1,46,312
0,0,.200,LF,.200,0,0,5
12,2,.420,2B,.420,2,58,367
1,0,.257,C,.325,0,0,35
7,3,.362,C,.376,1,26,188
0,0,--,P,--,0,0,0
17,1,.536,1B,.369,3,59,392
3,3,.324,3B,.384,0,18,111
5,0,.428,1B,.371,1,35,269
6,2,.281,C,.235,1,11,89
1,2,.210,SS,.242,0,7,62
16,3,.365,C,.435,1,26,252
0,0,--,P,--,0,0,0
10,2,.494,1B,.437,0,46,261
12,0,.526,RF,.391,1,78,422
1,0,.235,CF,.222,0,2,17
2,0,.230,1B,.320,0,12,61
12,0,.661,RF,.473,0,73,301
10,6,.335,C,.315,0,19,227
11,28,.473,SS,.357,9,68,419
10,1,.486,3B,.360,1,43,255
8,15,.444,3B,.381,0,55,311
3,10,.374,2B,.314,4,37,238
11,2,.403,OF,.341,2,33,233
7,2,.424,LF,.346,1,28,139
15,5,.479,3B,.336,0,64,413
0,0,--,P,--,0,0,0
3,1,.133,C,.188,0,0,30
13,10,.419,C,.339,0,41,320
8,7,.249,SS,.279,0,15,169
10,5,.342,2B,.338,3,56,392
13,10,.437,3B,.381,0,43,286
10,0,.477,1B,.408,0,68,367
14,6,.371,CF,.327,6,57,434
12,0,.571,DH,.498,0,60,333
3,0,.214,C,.220,0,4,56
1,0,.571,OF,.475,2,12,35
3,3,.511,C,.382,0,12,94
0,0,--,P,--,0,0,0
0,0,--,P,--,0,0,0
3,4,.400,C,.191,0,13,90
7,1,.595,SS,.414,0,60,301
0,2,.308,2B,.338,0,5,65
0,0,.143,C,.067,0,0,14
1,5,.339,SS,.337,0,34,177
1,0,.279,2B,.280,0,9,43
2,2,.381,SS,.352,2,10,63
2,0,.103,C,.161,0,1,29
2,5,.302,SS,.310,0,14,169
12,2,.454,DH,.410,3,68,346
1,0,.436,OF,.327,2,14,94
