ULB Code,ULB Name,Total Seats,Declared Seats,BJP,INC,JD(S),BSP,NCP,CPI,CPI(M),KJP,BSRCP,Ind,Others
108.0,Bailahongal (TMC),27,27.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
109.0,Chikkodi (TMC),23,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0
110.0,Athani (TMC),23,23.0,10.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111.0,Mudalagi (TMC),23,23.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
112.0,Savadatti (TMC),23,23.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
120.0,Muddebihal (TMC),23,23.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
121.0,Talikote (TMC),23,23.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
122.0,Indi (TMC),23,23.0,8.0,7.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
123.0,Sindhagi (TMC),23,23.0,3.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
124.0,B. Bagewadi (TMC),23,23.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
129.0,Mudhol (TMC),27,27.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
130.0,Mahalingapura (TMC),23,23.0,12.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131.0,Guledagudda (TMC),23,23.0,13.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
132.0,Badami (TMC),23,23.0,1.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
133.0,Terdal (TMC),23, , , , , , , , , , , , 
138.0,Annigeri (TMC),23,23.0,4.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
139.0,Navalagunda (TMC),23,23.0,7.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
144.0,Mundaragi (TMC),23,23.0,8.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
145.0,Rona (TMC),23,23.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
146.0,Naragunda (TMC),23,23.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
147.0,Gajendragad (TMC),23,23.0,17.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
148.0,Lakshmeshwara (TMC),23,23.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,0.0
154.0,Byadagi (TMC),23,23.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,0.0
155.0,Hanagal (TMC),23,23.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
156.0,Savanur (TMC),23,23.0,9.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157.0,Bankapura (TMC),23,23.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
158.0,Shiggaon (TMC),23,23.0,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
163.0,Kumta (TMC),23,23.0,6.0,6.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
164.0,Bhatkal (TMC),23,23.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
173.0,Kampli (TMC),23,23.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
174.0,Siraguppa (TMC),27,27.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
175.0,Huvina Hadagali (TMC),23,23.0,1.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
176.0,Sandur (TMC),23,23.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
183.0,Humnabad (TMC),23,23.0,0.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184.0,Chitaguppa (TMC),23,23.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
185.0,Bhalki (TMC),23,23.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
189.0,Aland (TMC),23,23.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
190.0,Sedam (TMC),23,23.0,8.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
191.0,Chittapur (TMC),23,23.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
196.0,Shorapur (TMC),27,27.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
197.0,Shahapur (TMC),23,23.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0
201.0,Manvi (TMC),23,23.0,4.0,8.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0
202.0,Lingasugur (TMC),23,23.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
203.0,Devadurga (TMC),23,23.0,17.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207.0,Kustagi (TMC),23,23.0,8.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
 ,Totals :,2199,2176.0,405.0,909.0,418.0,0.0,0.0,0.0,10.0,108.0,26.0,294.0,6.0
