AGE,OBP,oppOBP,#,PPF,VORP,IP,oppOPS
24,0.32,0.314,516.0,96,-3.4,67.0,0.704
30,0.305,0.311,584.0,97,3.3,59.7,0.691
24,0.301,0.314,515.0,97,17.8,141.7,0.708
26,0.474,0.309,633.0,105,-0.1,3.3,0.707
25,0.339,0.322,258.0,108,4.7,69.7,0.724
25,0.327,0.333,25.0,107,0.4,11.0,0.753
34,0.321,0.317,444.0,108,14.2,155.0,0.71
35,0.275,0.323,195.0,95,-1.5,24.7,0.721
25,0.446,0.338,13.0,117,-0.2,10.7,0.796
26,0.462,0.301,693.0,111,2.2,5.0,0.69
26,0.333,0.347,2.0,101,0.1,2.7,0.784
32,0.32,0.309,634.0,101,13.4,191.0,0.701
30,0.276,0.312,573.0,100,-1.6,14.0,0.715
28,0.372,0.313,539.0,96,-4.0,32.7,0.717
35,0.322,0.32,337.0,110,5.8,30.3,0.73
36,0.309,0.311,588.0,96,28.5,237.3,0.7
24,0.307,0.317,425.0,92,2.3,62.0,0.709
26,0.318,0.32,341.0,101,38.6,216.0,0.72
32,0.345,0.317,443.0,102,-2.7,62.3,0.714
35,0.392,0.313,553.0,91,-0.5,16.3,0.699
26,0.314,0.32,322.0,111,2.2,50.7,0.714
32,0.378,0.322,243.0,108,-1.7,10.3,0.752
24,0.43,0.323,205.0,101,-11.4,49.7,0.731
33,0.322,0.329,69.0,105,5.9,53.3,0.743
24,0.396,0.314,512.0,91,-4.4,12.3,0.696
24,0.413,0.31,624.0,106,-1.6,16.0,0.691
24,0.289,0.315,483.0,96,4.7,29.7,0.71
27,0.319,0.315,498.0,94,-19.1,141.7,0.705
22,0.44,0.323,211.0,92,-2.8,4.3,0.728
29,0.376,0.324,184.0,106,0.6,37.7,0.727
22,0.3,0.329,60.0,110,2.7,9.3,0.731
37,0.281,0.32,326.0,109,-0.7,29.3,0.722
22,0.284,0.323,212.0,106,13.0,71.0,0.729
25,0.352,0.311,601.0,100,-1.4,53.3,0.712
33,0.369,0.317,429.0,106,-0.2,59.7,0.719
31,0.266,0.323,194.0,96,2.1,20.7,0.727
28,0.294,0.319,379.0,104,25.3,163.0,0.718
27,0.316,0.323,217.0,108,22.4,191.7,0.739
25,0.319,0.319,369.0,101,2.1,67.7,0.712
26,0.364,0.322,232.0,96,-3.3,42.7,0.737
33,0.286,0.311,589.0,113,1.3,7.0,0.725
23,0.416,0.31,627.0,96,-3.8,16.7,0.692
26,0.322,0.318,409.0,96,-2.1,41.0,0.714
34,0.357,0.325,130.0,110,-1.4,3.0,0.743
22,0.333,0.324,163.0,107,1.9,7.3,0.755
27,0.441,0.322,229.0,106,-0.6,14.7,0.708
29,0.24,0.309,642.0,92,1.4,12.7,0.702
33,0.31,0.313,549.0,90,13.1,179.7,0.703
26,0.279,0.312,572.0,90,24.9,221.7,0.694
25,0.296,0.315,487.0,94,8.2,54.7,0.705
29,0.368,0.327,99.0,104,-1.6,41.3,0.738
29,0.429,0.319,350.0,111,-1.0,7.3,0.729
27,0.519,0.329,65.0,89,0.4,5.0,0.76
23,0.298,0.309,639.0,104,6.3,167.7,0.704
28,0.344,0.32,329.0,110,5.9,64.7,0.72
32,0.351,0.332,33.0,113,4.9,38.0,0.758
30,0.304,0.33,46.0,107,0.9,16.3,0.738
26,0.365,0.325,148.0,104,-0.4,30.7,0.747
27,0.352,0.312,568.0,96,6.9,78.0,0.716
31,0.45,0.324,172.0,107,1.9,7.0,0.747
26,0.31,0.322,252.0,109,8.9,82.7,0.732
27,0.313,0.321,308.0,109,13.7,198.0,0.725
31,0.306,0.318,405.0,110,4.0,54.0,0.702
29,0.38,0.302,688.0,95,-1.8,32.7,0.669
26,0.274,0.325,143.0,102,11.1,165.3,0.736
27,0.313,0.322,223.0,98,3.4,23.0,0.733
28,0.333,0.321,303.0,114,5.0,45.0,0.719
29,0.284,0.314,517.0,104,20.6,200.7,0.7
29,0.303,0.324,191.0,105,10.5,65.3,0.741
28,0.297,0.32,328.0,104,20.1,193.7,0.724
28,0.242,0.319,373.0,108,49.3,251.0,0.718
27,0.326,0.313,532.0,98,-1.3,32.0,0.696
32,0.29,0.318,393.0,93,8.2,91.3,0.725
31,0.0,0.291,702.0,91,0.0,0.3,0.768
21,0.347,0.319,376.0,95,-1.0,34.7,0.722
30,0.304,0.325,129.0,98,7.7,71.0,0.729
28,0.338,0.311,582.0,95,11.2,63.7,0.698
38,0.408,0.325,135.0,97,-3.5,15.7,0.721
27,0.4,0.32,343.0,91,-0.2,2.0,0.711
24,0.317,0.311,595.0,97,8.5,194.7,0.7
25,0.302,0.321,279.0,94,2.4,46.7,0.724
31,0.302,0.308,661.0,108,-3.0,12.0,0.698
26,0.289,0.324,192.0,96,10.1,88.0,0.724
23,0.344,0.322,227.0,104,5.1,58.3,0.714
25,0.343,0.329,67.0,94,-2.3,53.0,0.761
24,0.321,0.325,138.0,109,0.7,123.7,0.742
26,0.377,0.327,90.0,104,-0.5,49.0,0.747
25,0.378,0.32,315.0,102,-5.2,53.0,0.726
28,0.331,0.311,586.0,95,9.7,206.0,0.697
26,0.339,0.319,361.0,103,1.0,13.0,0.73
25,0.317,0.313,527.0,107,2.5,29.0,0.7
26,0.125,0.328,73.0,110,0.9,2.3,0.757
28,0.345,0.303,685.0,92,1.7,101.3,0.682
32,0.32,0.321,287.0,98,4.5,48.7,0.726
29,0.381,0.329,64.0,114,-0.5,4.3,0.76
26,0.375,0.322,263.0,97,2.7,27.3,0.731
29,0.255,0.317,421.0,96,-6.1,77.7,0.705
27,0.294,0.323,198.0,91,1.2,32.7,0.731
26,0.44,0.313,531.0,95,-1.7,5.0,0.681
23,0.266,0.322,269.0,91,13.8,53.7,0.722
40,0.28,0.323,216.0,115,12.8,51.0,0.721
27,0.312,0.324,175.0,109,7.5,60.3,0.735
34,0.327,0.313,555.0,103,-14.7,199.0,0.702
23,0.393,0.322,239.0,102,2.3,17.7,0.728
26,0.463,0.323,214.0,101,-1.3,13.0,0.715
26,0.277,0.321,293.0,95,0.3,24.0,0.717
33,0.353,0.32,332.0,109,0.4,7.7,0.738
28,0.343,0.316,474.0,101,-2.1,24.0,0.687
38,0.296,0.321,271.0,105,4.5,48.3,0.72
28,0.286,0.32,346.0,93,-2.0,53.0,0.719
33,0.333,0.325,146.0,92,0.3,8.7,0.733
25,0.335,0.312,577.0,99,-1.7,35.7,0.7
32,0.372,0.327,98.0,103,-2.3,9.3,0.767
23,0.426,0.327,94.0,108,-1.8,10.3,0.744
30,0.265,0.319,352.0,97,32.3,238.3,0.724
31,0.233,0.322,266.0,110,2.1,8.0,0.725
30,0.305,0.321,302.0,107,46.9,237.3,0.732
32,0.5,0.345,5.0,124,25.1,1.0,0.791
23,0.429,0.327,100.0,109,-3.2,9.7,0.748
22,0.355,0.327,91.0,93,-0.6,14.0,0.748
38,0.0,0.325,134.0,113,0.3,2.0,0.72
24,0.356,0.318,388.0,104,1.5,50.7,0.712
37,0.42,0.327,89.0,110,0.0,11.0,0.764
27,0.368,0.315,500.0,102,-0.5,4.0,0.699
31,0.309,0.315,499.0,98,-4.5,62.3,0.71
29,0.451,0.319,351.0,112,-0.8,18.7,0.722
30,0.386,0.317,428.0,91,-6.5,13.7,0.704
29,0.286,0.316,470.0,96,0.1,26.0,0.703
25,0.306,0.31,613.0,95,-3.6,152.0,0.696
36,0.3,0.311,585.0,109,5.1,54.3,0.691
26,0.3,0.312,579.0,93,1.1,6.7,0.702
26,0.29,0.333,29.0,94,0.7,8.0,0.745
26,0.274,0.308,659.0,90,20.3,139.7,0.691
30,0.302,0.31,608.0,108,35.1,223.3,0.698
30,0.296,0.326,113.0,91,12.3,60.7,0.733
31,0.434,0.33,53.0,96,-2.6,16.3,0.736
25,0.354,0.31,604.0,112,-2.8,32.0,0.685
27,0.432,0.318,396.0,103,-2.6,18.7,0.722
24,0.354,0.321,291.0,107,8.1,56.3,0.723
31,0.45,0.325,131.0,99,0.4,9.0,0.726
27,0.222,0.299,696.0,112,0.7,2.3,0.642
40,0.37,0.315,492.0,97,-3.6,29.3,0.702
38,0.308,0.322,253.0,97,-0.3,46.7,0.723
28,0.432,0.317,434.0,105,-0.4,9.0,0.718
24,0.279,0.322,262.0,119,2.6,15.3,0.735
23,0.411,0.307,667.0,90,-0.8,26.7,0.676
26,0.328,0.326,122.0,107,6.7,41.7,0.74
28,0.299,0.322,260.0,110,11.0,114.0,0.727
23,0.351,0.325,133.0,110,1.8,60.3,0.739
23,0.315,0.309,628.0,112,9.8,194.0,0.691
23,0.292,0.311,592.0,92,17.9,194.3,0.698
33,0.361,0.315,484.0,107,-6.8,181.7,0.71
24,0.258,0.328,76.0,103,1.7,8.0,0.753
29,0.354,0.324,169.0,111,-1.4,21.0,0.737
36,0.299,0.317,430.0,97,4.4,68.0,0.712
24,0.336,0.329,61.0,105,3.8,69.3,0.76
32,0.323,0.31,612.0,97,10.9,186.0,0.701
24,0.318,0.312,570.0,94,4.1,26.0,0.699
24,0.4,0.328,74.0,86,-0.6,10.7,0.754
31,0.32,0.314,520.0,111,7.1,72.0,0.702
23,0.271,0.31,611.0,92,0.2,12.0,0.675
35,0.343,0.301,691.0,110,1.4,8.3,0.655
23,0.335,0.32,325.0,95,1.0,83.3,0.719
31,0.351,0.321,290.0,99,-1.0,33.0,0.717
26,0.395,0.307,665.0,92,0.1,9.3,0.695
27,0.331,0.315,481.0,91,0.2,55.7,0.702
36,0.191,0.315,482.0,105,8.7,47.0,0.712
27,0.332,0.313,542.0,110,14.9,123.0,0.703
23,0.344,0.328,78.0,97,2.3,28.3,0.729
25,0.341,0.33,54.0,104,1.5,101.0,0.753
29,0.25,0.342,6.0,113,-0.6,1.0,0.806
29,0.273,0.325,144.0,98,29.6,249.3,0.741
25,0.3,0.324,188.0,111,7.2,59.7,0.735
30,0.0,0.318,387.0,113,-0.1,1.0,0.695
34,0.291,0.316,465.0,95,7.7,192.7,0.708
26,0.281,0.327,96.0,100,7.7,69.3,0.737
28,0.516,0.331,39.0,111,-0.3,5.0,0.755
25,0.33,0.319,372.0,98,13.1,184.0,0.728
27,0.184,0.292,701.0,91,3.7,10.3,0.637
27,0.271,0.313,540.0,103,6.9,77.7,0.705
33,0.313,0.327,103.0,110,4.6,42.3,0.754
41,0.247,0.32,324.0,107,14.8,61.3,0.73
26,0.292,0.305,681.0,101,0.1,6.0,0.707
25,0.483,0.346,4.0,98,-2.0,5.0,0.805
23,0.305,0.317,439.0,96,9.6,60.3,0.722
22,0.313,0.31,606.0,109,-0.4,3.7,0.715
30,0.31,0.329,66.0,101,0.7,6.7,0.727
23,0.298,0.337,14.0,118,0.7,13.3,0.791
23,0.395,0.329,59.0,108,-5.9,78.7,0.745
25,0.242,0.319,374.0,93,6.1,58.0,0.712
25,0.384,0.316,466.0,100,-6.2,37.7,0.718
25,0.444,0.322,251.0,112,0.5,1.7,0.709
24,0.309,0.314,511.0,109,9.7,71.7,0.696
29,0.395,0.319,370.0,90,-4.0,27.0,0.724
36,0.308,0.306,676.0,96,6.7,208.7,0.687
22,0.329,0.31,619.0,107,4.7,18.3,0.693
27,0.436,0.297,699.0,106,-3.1,7.7,0.665
30,0.293,0.331,41.0,95,2.0,10.3,0.742
23,0.111,0.301,694.0,105,1.0,5.3,0.658
27,0.34,0.308,660.0,91,-1.7,99.7,0.693
27,0.282,0.318,394.0,105,13.8,63.3,0.715
24,0.333,0.314,518.0,101,-0.9,6.3,0.695
26,0.387,0.34,8.0,98,-1.6,6.3,0.732
26,0.319,0.32,348.0,94,-3.0,63.0,0.723
26,0.344,0.32,314.0,95,1.4,47.7,0.72
33,0.333,0.314,508.0,94,-11.3,53.7,0.705
25,0.365,0.323,202.0,95,2.2,18.3,0.72
25,0.4,0.326,116.0,93,-5.8,12.3,0.744
34,0.343,0.314,524.0,102,12.2,202.3,0.705
28,0.571,0.329,68.0,107,-2.1,2.0,0.748
30,0.339,0.322,224.0,101,-7.1,188.7,0.727
24,0.339,0.329,71.0,116,-0.8,27.3,0.745
22,0.333,0.308,648.0,96,0.8,11.0,0.707
25,0.312,0.318,390.0,111,26.4,185.7,0.726
26,0.254,0.324,178.0,108,13.4,73.0,0.735
24,0.475,0.308,662.0,94,-3.7,7.7,0.699
30,0.299,0.316,464.0,104,-0.7,33.0,0.699
23,0.34,0.322,268.0,96,-3.3,207.7,0.729
33,0.407,0.327,87.0,94,2.2,5.3,0.741
24,0.319,0.315,502.0,95,4.3,36.0,0.708
27,0.3,0.33,51.0,109,1.9,14.7,0.733
27,0.301,0.319,371.0,93,11.3,146.0,0.719
27,0.296,0.321,306.0,96,1.1,64.3,0.714
26,0.4,0.309,631.0,106,1.9,10.7,0.682
32,0.197,0.319,353.0,89,7.3,48.0,0.717
23,0.303,0.318,407.0,91,12.7,131.7,0.716
28,0.313,0.314,513.0,100,-0.6,63.0,0.699
30,0.5,0.326,107.0,108,-0.4,6.0,0.746
26,0.362,0.327,97.0,107,-0.2,65.0,0.744
27,0.474,0.304,683.0,124,1.0,4.0,0.702
27,0.365,0.317,412.0,98,3.1,171.7,0.714
23,0.375,0.318,398.0,95,-1.6,13.0,0.727
29,0.341,0.333,22.0,93,-1.6,10.0,0.743
28,0.302,0.313,544.0,97,-1.1,162.3,0.706
23,0.354,0.322,237.0,105,-1.7,17.3,0.719
23,0.289,0.316,454.0,113,5.7,62.3,0.717
29,0.241,0.302,687.0,113,0.0,7.0,0.667
26,0.281,0.311,603.0,99,30.8,222.0,0.691
37,0.329,0.32,320.0,96,4.3,37.7,0.719
33,0.362,0.319,359.0,91,-8.2,36.0,0.715
26,0.361,0.321,273.0,109,10.7,110.0,0.73
26,0.325,0.319,375.0,105,23.3,170.3,0.724
23,0.308,0.317,441.0,109,6.9,40.7,0.702
32,0.395,0.321,274.0,105,2.1,17.7,0.737
25,0.457,0.317,435.0,112,-0.1,6.3,0.706
29,0.296,0.325,128.0,104,19.1,134.7,0.741
28,0.282,0.327,104.0,101,16.7,75.7,0.74
26,0.467,0.307,672.0,91,-4.2,11.3,0.683
27,0.335,0.321,289.0,104,20.1,121.7,0.724
22,0.4,0.308,651.0,107,-8.0,36.3,0.695
24,0.179,0.311,594.0,101,0.6,10.7,0.704
33,0.327,0.326,123.0,106,3.5,46.3,0.739
34,0.353,0.317,442.0,97,-0.5,54.3,0.706
25,0.4,0.326,110.0,105,-4.2,14.0,0.739
36,0.3,0.313,556.0,91,12.2,202.0,0.702
28,0.344,0.315,501.0,96,-3.5,84.7,0.705
30,0.331,0.317,432.0,99,-9.1,154.0,0.72
28,0.361,0.308,652.0,100,4.8,76.7,0.693
24,0.322,0.323,222.0,106,9.8,165.3,0.736
28,0.398,0.318,399.0,103,-3.3,24.7,0.727
28,0.324,0.315,493.0,115,2.1,16.7,0.696
27,0.35,0.323,208.0,102,2.4,134.3,0.735
25,0.296,0.316,467.0,103,25.2,207.3,0.706
33,0.429,0.306,678.0,100,-0.9,11.0,0.667
31,0.226,0.32,316.0,101,1.1,8.3,0.719
37,0.421,0.307,670.0,105,2.0,29.0,0.689
29,0.4,0.326,109.0,107,-2.6,6.7,0.746
28,0.321,0.313,545.0,98,7.0,105.0,0.707
33,0.266,0.325,145.0,96,3.1,62.0,0.743
26,0.28,0.327,85.0,106,23.4,66.7,0.746
28,0.394,0.317,416.0,98,0.0,20.7,0.709
31,0.583,0.326,117.0,82,-0.8,1.7,0.679
27,0.293,0.32,342.0,106,0.1,44.0,0.716
29,0.343,0.321,304.0,89,4.8,55.0,0.713
27,0.308,0.31,616.0,91,0.3,29.7,0.713
27,0.347,0.324,167.0,102,5.5,56.3,0.743
29,0.372,0.317,447.0,106,1.5,20.3,0.711
41,0.29,0.321,299.0,106,3.0,26.7,0.722
32,0.294,0.315,491.0,90,-0.2,61.7,0.709
25,0.323,0.318,385.0,108,2.9,32.3,0.73
30,0.307,0.324,152.0,105,19.6,111.7,0.734
35,0.309,0.324,157.0,97,3.6,58.3,0.734
34,0.269,0.312,569.0,94,49.2,233.7,0.697
38,0.444,0.296,700.0,111,-0.4,3.7,0.684
44,0.324,0.317,426.0,108,-1.1,154.7,0.717
35,0.244,0.317,449.0,99,7.6,67.7,0.727
20,0.367,0.318,406.0,112,-0.4,12.7,0.738
22,0.35,0.316,478.0,105,1.1,23.3,0.727
31,0.309,0.327,93.0,110,9.0,50.7,0.744
34,0.383,0.315,496.0,98,-5.5,29.3,0.71
28,0.382,0.322,230.0,103,0.9,7.3,0.733
26,0.304,0.321,283.0,102,2.6,74.3,0.726
25,0.262,0.322,235.0,103,1.6,11.0,0.725
24,0.274,0.311,597.0,96,3.1,34.7,0.701
29,0.316,0.309,640.0,88,-1.6,185.7,0.695
24,0.323,0.314,510.0,94,2.4,21.0,0.732
31,0.273,0.324,160.0,108,26.8,193.0,0.735
31,0.327,0.32,330.0,96,5.7,37.7,0.726
35,0.294,0.313,546.0,92,7.3,192.7,0.701
27,0.288,0.321,310.0,114,30.1,169.0,0.725
27,0.274,0.32,340.0,94,4.0,76.0,0.716
21,0.304,0.308,647.0,90,36.2,204.7,0.69
30,0.337,0.317,413.0,107,11.0,183.0,0.718
36,0.271,0.32,339.0,102,3.1,69.7,0.722
24,0.0,0.291,703.0,109,0.1,0.7,0.625
25,0.344,0.323,201.0,107,-1.3,49.0,0.73
29,0.335,0.315,494.0,97,5.3,42.7,0.703
29,0.331,0.329,70.0,97,2.7,82.7,0.758
23,0.388,0.319,354.0,102,1.9,84.3,0.722
38,0.347,0.312,575.0,96,15.5,187.0,0.697
29,0.347,0.317,427.0,102,3.5,70.3,0.712
26,0.457,0.336,17.0,108,-2.9,9.0,0.797
32,0.286,0.324,154.0,89,-0.0,5.0,0.687
27,0.297,0.312,571.0,105,28.3,171.7,0.704
28,0.375,0.314,506.0,105,-4.1,19.7,0.717
31,0.342,0.318,408.0,90,-1.5,54.0,0.715
25,0.342,0.315,495.0,92,9.6,63.0,0.703
28,0.31,0.328,75.0,104,15.7,61.7,0.742
32,0.239,0.335,19.0,106,1.5,18.3,0.772
32,0.399,0.316,459.0,95,3.2,38.7,0.716
28,0.344,0.324,190.0,101,7.9,74.0,0.725
