SO,POS,AB,SB,Team,SH,AVG
25,C,90,2,TIG,0,0.178
5,3B,25,3,DGR,0,0.2
5,OF,11,0,MRL,0,0.091
51,3B,171,6,BRA,0,0.246
2,SS,6,0,DGR,0,0.167
17,LF,40,0,ORI,0,0.175
33,DH,114,2,CAR,0,0.272
11,LF,36,0,RSX,0,0.111
1,2B,9,0,NAT,0,0.111
5,C,13,0,YAN,0,0.077
38,1B,133,1,RSX,0,0.248
2,SS,14,0,YAN,2,0.286
17,C,58,0,RSX,1,0.19
36,1B,120,6,NAT,3,0.192
45,RF,77,0,CAR,0,0.143
13,1B,144,4,PIR,1,0.285
3,DH,46,1,MRL,0,0.152
31,DH,137,7,RSX,0,0.277
14,1B,20,0,TWI,0,0.05
10,C,24,0,IND,1,0.042
8,LF,62,1,PIR,0,0.274
20,1B,85,5,TWI,5,0.247
40,1B,163,17,BLU,0,0.282
1,OF,3,1,PHL,0,0.333
27,C,75,2,YAN,1,0.227
19,C,42,0,BLU,0,0.119
23,1B,76,0,YAN,0,0.237
2,1B,20,0,MRL,0,0.25
1,C,17,0,ORI,0,0.294
28,SS,121,8,PIR,5,0.207
1,2B,6,0,DGR,0,0.167
12,3B,50,0,NAT,1,0.18
2,2B,15,2,TIG,1,0.267
1,C,1,0,NAT,0,0.0
15,SS,50,0,RDS,0,0.24
7,CF,15,1,BLU,1,0.133
8,C,39,0,CAR,0,0.205
17,3B,128,2,ORI,3,0.281
5,3B,14,1,MTS,0,0.214
15,CF,56,4,TIG,0,0.268
13,1B,84,2,YAN,1,0.345
1,OF,7,4,TWI,0,0.286
17,RF,109,2,ORI,1,0.321
26,LF,118,10,RSX,1,0.263
27,3B,139,9,NAT,2,0.324
10,1B,73,4,PIR,1,0.329
31,1B,70,0,BLU,0,0.171
25,C,93,1,MRL,0,0.258
16,3B,46,1,DGR,0,0.065
17,2B,74,3,CAR,1,0.162
16,1B,49,1,PHL,1,0.327
15,2B,85,0,TWI,0,0.235
7,1B,16,0,CAR,0,0.313
12,CF,39,3,PHL,0,0.256
11,DH,49,5,BRA,1,0.163
19,2B,114,16,TIG,1,0.316
1,2B,10,0,NAT,0,0.2
4,2B,23,1,DGR,0,0.304
56,RF,176,4,BLU,0,0.261
50,CF,169,9,CAR,0,0.243
35,CF,180,3,YAN,1,0.239
0,LF,3,0,MTS,0,0.667
29,SS,129,5,CAR,0,0.256
18,1B,150,0,BRA,0,0.253
34,SS,146,5,RSX,2,0.253
17,LF,94,1,PHL,1,0.287
27,1B,96,2,DGR,0,0.229
2,OF,15,0,YAN,0,0.2
42,3B,153,9,PIR,2,0.216
