YEAR,GS,G,SLG,VORP,PPF,PA,oppAVG
2011,29,29,0.372,3.1,98,769,0.258
2011,20,21,0.384,19.6,104,531,0.256
2011,1,42,0.508,-4.3,95,225,0.252
2011,0,4,0.571,-0.3,96,17,0.242
2011,0,67,0.347,3.6,97,250,0.26
2011,13,13,0.427,9.7,109,299,0.251
2011,0,17,0.32,1.9,89,60,0.255
2011,0,74,0.281,14.7,105,305,0.256
2011,0,75,0.381,3.5,102,313,0.255
2011,0,52,0.372,0.5,105,233,0.256
2011,0,31,0.291,6.9,105,120,0.265
2011,0,44,0.43,5.9,96,204,0.261
2011,0,69,0.421,-3.5,104,274,0.254
2011,0,9,0.677,-6.5,91,70,0.257
2011,0,16,0.518,-1.3,101,68,0.258
2011,4,5,0.545,-2.2,106,91,0.25
2011,4,4,0.293,2.8,91,95,0.244
2011,0,22,0.471,1.1,108,69,0.257
2011,12,12,0.527,-2.1,102,299,0.266
2011,0,1,0.0,0.0,91,1,0.254
2011,0,59,0.351,9.6,92,276,0.251
2011,12,34,0.504,1.5,104,451,0.262
2011,26,26,0.438,11.1,102,662,0.259
2011,0,25,0.364,-6.4,91,112,0.247
2011,5,5,0.202,6.5,96,88,0.252
2011,2,30,0.432,8.1,107,247,0.253
2011,33,33,0.361,30.8,99,900,0.249
2011,1,7,0.171,0.6,101,39,0.246
2011,1,3,0.351,2.7,110,40,0.257
2011,0,3,0.583,-1.4,110,14,0.26
2011,33,34,0.437,-2.2,102,917,0.252
2011,0,40,0.362,3.6,106,157,0.248
2011,0,11,0.38,0.4,94,57,0.262
2011,0,31,0.354,-0.4,101,132,0.248
2011,34,34,0.313,49.3,108,969,0.256
2011,0,14,0.68,-5.8,93,60,0.26
2011,1,1,0.643,-0.3,92,18,0.207
2011,0,54,0.365,-5.2,102,250,0.257
2011,0,51,0.228,13.8,91,218,0.255
2011,9,9,0.427,-1.5,90,230,0.254
2011,3,3,0.537,-0.4,112,60,0.266
2011,29,29,0.441,13.1,98,795,0.258
2011,2,17,0.462,0.1,109,139,0.263
2011,0,4,0.676,-3.1,106,39,0.239
2011,33,33,0.366,36.2,90,844,0.25
2011,0,23,0.558,-2.1,106,93,0.262
2011,28,28,0.412,28.3,105,715,0.25
2011,20,20,0.397,-4.8,89,504,0.25
2011,32,32,0.386,13.4,94,829,0.252
2011,5,10,0.468,-1.8,95,142,0.245
2011,0,3,0.667,0.5,112,13,0.261
2011,3,13,0.523,-2.8,112,144,0.247
2011,11,11,0.448,6.6,104,290,0.271
2011,31,31,0.35,34.4,101,839,0.256
2011,0,1,0.0,1.6,88,4,0.188
2011,0,4,0.5,-1.8,114,24,0.269
2011,0,23,0.25,2.1,96,79,0.262
2011,0,54,0.209,2.9,103,207,0.254
2011,0,18,0.661,-4.7,98,68,0.248
2011,0,9,0.3,1.4,87,38,0.252
2011,2,2,0.55,-1.7,108,46,0.268
2011,0,14,0.439,-4.4,91,55,0.255
2011,34,34,0.35,35.1,108,915,0.248
2011,0,59,0.423,5.9,105,232,0.265
2011,0,55,0.311,11.5,110,223,0.264
2011,0,10,0.611,-2.1,119,43,0.259
2011,13,13,0.518,5.1,113,293,0.261
2011,0,63,0.355,4.0,110,226,0.253
2011,0,43,0.287,8.7,105,174,0.247
2011,28,28,0.477,9.6,108,743,0.257
2011,33,33,0.298,53.6,92,912,0.25
2011,0,6,0.55,-0.8,104,24,0.261
2011,31,31,0.363,17.9,92,799,0.25
2011,0,62,0.304,-0.1,99,150,0.257
2011,0,52,0.434,5.0,114,196,0.258
2011,0,78,0.288,10.3,96,301,0.254
2011,17,43,0.431,-19.1,94,607,0.254
2011,15,34,0.421,-7.5,94,479,0.248
2011,0,62,0.336,9.6,96,253,0.255
2011,0,7,0.452,0.9,103,34,0.243
2011,34,34,0.36,28.5,96,996,0.252
2011,14,14,0.421,7.5,92,339,0.246
2011,0,6,0.511,-1.4,88,52,0.243
2011,0,14,0.352,-0.3,112,67,0.244
2011,33,33,0.455,18.5,108,832,0.26
2011,0,39,0.484,-3.5,97,77,0.257
2011,25,26,0.429,19.1,106,626,0.261
2011,0,70,0.292,13.4,108,288,0.257
2011,6,6,0.447,-0.8,90,126,0.253
2011,0,64,0.282,6.1,93,225,0.252
2011,0,35,0.298,-1.3,98,136,0.251
2011,0,1,0.667,0.3,124,9,0.273
2011,0,72,0.359,4.3,96,168,0.252
2011,0,1,0.667,-0.3,107,5,0.263
2011,0,6,0.419,-0.1,112,35,0.254
2011,26,29,0.44,19.0,106,694,0.259
2011,4,7,0.56,-5.2,103,131,0.255
2011,30,30,0.335,26.8,108,767,0.258
2011,0,2,0.0,-1.1,109,10,0.258
2011,32,32,0.439,10.7,108,839,0.253
2011,0,6,0.392,1.8,103,57,0.256
2011,31,31,0.483,-6.8,107,803,0.254
2011,0,10,0.5,-0.3,95,45,0.255
2011,7,43,0.395,6.4,105,381,0.255
2011,0,79,0.332,7.7,98,305,0.259
2011,0,7,0.423,0.8,102,34,0.255
2011,0,39,0.462,-4.1,97,162,0.263
2011,0,41,0.149,13.2,106,182,0.253
2011,0,3,0.3,1.1,105,25,0.247
2011,8,14,0.531,5.0,104,258,0.262
2011,0,21,0.333,0.4,101,44,0.247
2011,0,6,0.667,0.1,92,44,0.257
2011,6,10,0.437,-3.0,95,184,0.252
2011,0,2,0.059,1.0,105,18,0.246
2011,0,9,0.569,-5.2,106,66,0.259
2011,0,9,0.613,-1.0,111,35,0.258
2011,32,33,0.382,6.7,96,876,0.246
2011,33,33,0.44,9.7,95,891,0.251
2011,0,25,0.403,-1.7,105,82,0.251
2011,7,7,0.356,-4.3,95,147,0.259
2011,3,7,0.618,-1.4,102,62,0.27
2011,0,23,0.415,0.1,96,107,0.251
2011,0,31,0.473,0.6,106,167,0.253
2011,7,7,0.441,4.8,105,181,0.259
2011,0,43,0.389,-2.1,96,174,0.254
2011,0,7,0.326,0.4,107,50,0.269
2011,0,10,0.34,1.0,102,56,0.259
2011,0,24,0.38,1.2,104,117,0.255
2011,33,33,0.414,7.3,92,800,0.252
2011,0,85,0.219,10.1,96,357,0.255
2011,31,31,0.457,11.0,107,803,0.254
2011,0,12,0.661,-4.2,105,66,0.27
2011,0,17,0.634,-0.9,103,94,0.252
2011,0,66,0.306,9.2,106,241,0.256
2011,0,14,0.341,1.9,119,99,0.251
2011,8,28,0.426,4.7,108,317,0.262
2011,10,10,0.422,3.6,106,259,0.253
2011,0,63,0.404,-0.2,106,275,0.254
2011,33,33,0.415,7.8,103,903,0.256
2011,0,13,0.571,-4.2,91,60,0.241
2011,25,25,0.378,17.8,97,591,0.251
2011,22,22,0.39,5.7,96,540,0.245
2011,10,11,0.507,-2.3,94,233,0.263
2011,28,28,0.427,-2.5,88,719,0.25
2011,0,37,0.459,0.5,100,124,0.266
2011,0,30,0.33,3.0,106,108,0.261
2011,4,4,0.538,-3.8,96,78,0.247
2011,1,2,0.478,-2.6,107,30,0.262
2011,33,33,0.394,28.0,98,921,0.253
2011,11,11,0.402,-4.5,98,264,0.256
2011,3,3,0.765,-0.2,117,56,0.277
2011,6,10,0.32,-1.0,95,146,0.261
2011,0,77,0.378,-5.1,91,306,0.253
2011,2,22,0.441,-2.4,100,141,0.254
2011,30,30,0.391,31.5,108,777,0.262
2011,0,17,0.39,0.1,98,50,0.252
2011,4,5,0.457,2.4,98,112,0.267
2011,28,32,0.484,10.8,104,711,0.261
2011,33,33,0.336,43.1,97,926,0.255
2011,15,20,0.479,-0.5,102,415,0.255
2011,0,23,0.287,4.5,97,110,0.264
2011,20,20,0.477,10.7,109,504,0.254
2011,1,1,0.438,1.0,124,20,0.26
2011,0,73,0.37,6.9,101,298,0.254
2011,0,36,0.453,-1.0,99,150,0.256
2011,0,1,0.0,0.1,109,2,0.229
2011,2,6,0.24,1.0,103,60,0.265
2011,0,5,0.692,-0.1,105,19,0.247
2011,0,34,0.358,1.9,99,143,0.262
2011,10,10,0.467,-1.4,100,231,0.252
2011,1,1,0.857,-2.5,88,20,0.255
2011,8,8,0.581,-13.8,97,198,0.251
2011,0,50,0.351,11.2,95,276,0.25
2011,33,33,0.319,24.9,90,907,0.248
2011,0,10,0.205,3.1,93,47,0.275
2011,0,25,0.282,3.2,94,86,0.263
2011,0,5,0.364,-2.3,103,43,0.269
2011,0,4,0.438,0.8,112,17,0.273
2011,4,4,0.417,2.4,94,95,0.26
2011,0,3,0.0,0.3,113,6,0.265
2011,0,19,0.333,2.1,115,68,0.252
2011,24,31,0.374,15.4,100,621,0.252
2011,33,33,0.356,26.9,94,964,0.261
2011,3,3,0.491,-1.6,95,66,0.261
2011,9,9,0.618,-3.7,99,194,0.25
2011,27,32,0.435,3.3,111,739,0.253
2011,0,10,0.355,1.6,108,33,0.253
2011,0,6,0.704,-0.3,111,31,0.258
2011,0,16,0.556,-1.9,101,31,0.244
2011,0,27,0.283,4.7,96,116,0.252
2011,5,64,0.492,2.1,101,292,0.257
2011,0,26,0.216,1.8,99,118,0.252
2011,0,26,0.363,2.3,98,122,0.259
2011,32,32,0.398,22.4,91,857,0.258
