Rank,Player,Country,Runs,Balls,Bat-pts,Bb,Rc,W,Bowl-pts,Ct | St,Field-pts,M,Total
138,NL McCullum,NZ,1.0,4.0,-3.3, , , , , , ,1,-3.3
139,BJ Haddin,Aus,11.0,20.0,-4.7, , , , , , ,2,-4.7
140,DO Obuya,Kenya,18.0,34.0,-9.3, , , , ,1,4.0,2,-5.3
141,Farhad Reza,Ban,23.0,34.0,0.7,18.0,35.0,0.0,-11.0,1,4.0,3,-6.3
142,Nazimuddin,Ban,12.0,23.0,-6.7, , , , , , ,4,-6.7
143,RJ Kirtley,Eng,2.0,4.0,-1.3,6.0,17.0,0.0,-9.0, , ,1,-10.3
144,KM Dabengwa,Zim, , , ,12.0,29.0,0.0,-13.0, , ,2,-13.0
145,DR Brown,Scot,1.0,5.0,-4.7,24.0,44.0,0.0,-12.0, , ,2,-16.7
146,SO Tikolo,Kenya,4.0,6.0,0.0,6.0,25.0,0.0,-17.0, , ,2,-17.0
147,N Odhiambo,Kenya,5.0,14.0,-8.7,30.0,65.0,1.0,-9.0, , ,2,-17.7
148,T Taibu,Zim,2.0,10.0,-9.3,24.0,41.0,0.0,-9.0, , ,2,-18.3
149,Alok Kapali,Ban,19.0,43.0,-19.3,12.0,23.0,0.0,-7.0,1,4.0,3,-22.3
150,PJ Ongondo,Kenya,3.0,7.0,-3.3,42.0,75.0,0.0,-19.0, , ,2,-22.3
151,LN Onyango,Kenya,4.0,4.0,2.7,24.0,61.0,0.0,-29.0, , ,1,-26.3
152,DJ Bravo,WI,2.0,2.0,1.3,28.0,73.0,0.0,-35.7, , ,2,-34.3
