SB,Age,Inn,E,RF/9,Ch,A,RF/G
3,28,24.2,1,1.82,6,3,0.23
8,28,69.2,0,1.55,12,7,0.16
0,28,11.1,0,3.18,4,2,0.50
0,29,0.2,0,0.00,0,0,0.00
15,30,129.0,0,2.02,29,21,1.26
0,28,1.0,0,0.00,0,0,0.00
1,23,38.0,0,0.71,3,2,0.38
2,27,14.2,0,3.07,5,3,1.67
1,29,21.1,1,0.42,2,1,0.20
7,30,152.0,1,1.48,26,17,1.14
0,27,40.0,1,1.80,9,6,0.38
1,26,84.0,0,2.46,23,17,0.96
4,32,62.1,1,1.73,13,9,0.71
5,34,11.2,0,1.54,2,2,0.18
2,27,5.1,0,0.00,0,0,0.00
15,25,136.2,0,1.05,16,15,0.55
3,28,22.0,0,1.23,3,2,0.15
0,28,34.1,0,1.57,6,3,0.60
4,30,213.1,1,2.28,55,41,1.64
3,28,51.2,3,2.61,18,12,1.25
1,28,14.1,0,1.88,3,3,0.18
3,22,22.1,1,3.22,9,7,1.60
6,27,69.2,1,1.42,12,4,0.16
