G,SLG,3B,2B,SH,RBI,BB,SO,Team
71,.416,3,17,3,33,23,42,TRN
9,.056,0,0,1,0,1,6,REA
22,.425,0,6,0,13,2,10,NH
118,.411,4,27,4,47,49,64,BOW
25,.263,1,4,0,6,14,25,CON
6,.071,0,0,0,0,1,8,BIN
98,.461,0,21,0,67,52,116,NH
18,.431,1,5,0,4,7,10,ALT
126,.382,3,22,2,54,18,110,BIN
7,.700,0,2,0,2,0,2,ALT
23,.270,0,4,1,4,12,14,NBR
10,.091,0,0,2,0,1,1,BIN
2,.000,0,0,0,0,0,2,BIN
139,.314,0,24,12,39,57,79,BIN
34,.436,2,4,1,25,12,25,POR
11,.000,0,0,2,0,1,2,HAR
47,.363,0,7,1,18,14,42,ALT
2,.200,0,0,0,0,0,2,ALT
10,.207,0,0,0,0,3,5,BIN
6,.000,0,0,0,0,0,0,HAR
104,.341,1,26,1,43,47,92,TRN
6,.000,0,0,0,1,3,3,REA
24,.388,0,2,0,11,19,23,ERI
4,.222,0,0,0,1,1,2,REA
1,--,0,0,0,0,0,0,BIN
48,.255,1,5,1,16,14,41,ERI
19,.200,0,0,0,0,0,1,CON
108,.379,1,24,4,37,27,39,HAR
95,.496,1,26,1,67,39,46,BIN
63,.536,0,14,1,53,31,46,HAR
9,.227,0,1,1,0,2,3,ERI
80,.255,3,2,3,16,30,47,AKR
1,--,0,0,0,0,0,0,BIN
61,.397,0,15,0,29,27,49,HAR
115,.419,2,28,2,50,29,95,NH
117,.507,1,19,0,86,34,120,ERI
5,.133,0,0,0,1,3,7,BOW
8,.071,0,0,1,1,1,3,HAR
10,.179,0,1,0,0,5,7,NH
3,.500,0,1,0,0,3,1,HAR
7,.250,0,0,1,0,0,7,ERI
93,.466,1,28,4,50,44,74,NBR
101,.368,2,15,1,49,34,67,ALT
32,.387,1,5,0,13,9,12,REA
4,.500,1,0,1,0,1,4,HAR
47,.574,0,9,0,35,17,20,AKR
7,.316,0,0,1,0,4,2,ALT
79,.386,3,18,4,33,32,59,ERI
78,.339,0,11,1,17,35,42,NH
11,.000,0,0,0,0,2,10,CON
67,.351,2,12,3,28,31,29,HAR
34,.190,0,3,1,6,10,28,NH
15,.333,0,0,0,0,0,0,BIN
2,.000,0,0,0,0,0,0,ALT
94,.416,0,18,0,46,68,70,REA
132,.389,7,22,7,53,26,80,BOW
131,.419,5,33,2,69,56,113,TRN
4,.000,0,0,1,0,0,5,REA
44,.497,1,12,3,19,13,20,CON
7,.148,0,0,2,0,0,2,HAR
41,.382,0,5,0,10,20,20,REA
77,.463,0,8,0,42,35,44,HAR
51,.328,0,9,1,20,15,27,BOW
69,.351,1,14,0,33,26,32,POR
8,.000,0,0,0,0,0,0,REA
67,.359,3,9,11,30,23,37,HAR
6,.333,0,3,0,2,0,6,TRN
7,--,0,0,0,0,0,0,BIN
55,.537,1,15,1,26,52,33,AKR
108,.454,3,34,0,63,72,72,POR
124,.469,4,31,2,51,20,67,CON
76,.495,1,26,0,43,39,81,NH
14,.304,0,3,0,6,1,6,NBR
91,.353,5,11,4,35,23,21,ALT
8,.261,0,0,0,3,3,11,POR
82,.362,3,17,1,35,43,61,NH
105,.381,1,24,4,46,19,34,ALT
23,.133,0,2,1,0,10,10,ALT
112,.462,2,29,0,57,49,69,BIN
109,.449,2,32,1,67,41,102,NBR
19,.328,0,4,0,4,8,13,REA
2,.167,0,0,0,0,0,2,HAR
4,.000,0,0,1,0,0,3,HAR
3,.250,0,0,0,1,2,1,POR
9,.091,0,0,1,0,1,4,HAR
78,.384,4,7,5,40,29,80,ERI
44,.479,1,11,1,25,7,27,ERI
133,.466,3,29,0,97,52,105,AKR
104,.319,2,12,11,40,34,83,BIN
33,.433,0,6,0,23,17,32,ALT
24,.371,1,6,0,13,5,15,BOW
10,.050,0,0,0,0,0,9,CON
33,.363,0,5,0,7,8,15,HAR
29,.381,1,5,3,8,1,23,ALT
17,.396,0,5,1,8,8,11,TRN
16,.000,0,0,2,0,0,2,BIN
4,.000,0,0,0,0,0,1,TRN
10,.805,0,1,1,10,6,5,HAR
6,--,0,0,0,0,0,0,REA
2,.000,0,0,0,0,0,0,ERI
6,.000,0,0,5,0,1,3,HAR
27,.545,4,7,1,26,9,20,TRN
6,.650,1,1,1,3,1,3,BOW
12,.000,0,0,0,0,0,0,REA
2,.000,0,0,0,0,0,2,AKR
16,.000,0,0,0,0,1,1,REA
8,.429,0,1,0,5,0,1,CON
