oppOPS,YEAR,TEAM,LG,PPF,LVL,SLG,NAME,oppOBP,IP
0.743,2012,MIN,AL,103,MLB,0.508,Carl Pavano,0.324,63.0
0.709,2012,ATL,NL,98,MLB,0.286,Kris Medlen,0.314,138.0
0.746,2012,SEA,AL,93,MLB,0.405,Shawn Kelley,0.32,44.3
0.705,2012,PIT,NL,94,MLB,0.367,Wandy Rodriguez,0.305,75.0
0.747,2012,ARI,NL,100,MLB,0.333,Matt Albers,0.326,21.0
0.718,2012,PIT,NL,96,MLB,0.529,Hisanori Takahashi,0.316,8.3
0.738,2012,NYN,NL,97,MLB,0.345,Bobby Parnell,0.324,68.7
0.724,2012,BAL,AL,106,MLB,0.376,Dana Eveland,0.321,32.3
0.709,2012,MIL,NL,108,MLB,0.419,Marco Estrada,0.308,138.3
0.701,2012,CLE,AL,93,MLB,0.37,Rafael Perez,0.307,7.7
0.704,2012,ARI,NL,102,MLB,0.395,Wade Miley,0.309,194.7
0.72,2012,BAL,AL,101,MLB,0.376,Chris Tillman,0.316,86.0
0.747,2012,KCA,AL,103,MLB,0.583,Tommy Hottovy,0.33,9.3
0.716,2012,SFN,NL,91,MLB,0.429,Steve Edlefsen,0.315,15.3
0.706,2012,CHA,AL,109,MLB,0.389,Brett Myers,0.312,34.7
0.726,2012,TBA,AL,98,MLB,0.318,Chris Archer,0.311,29.3
0.599,2012,BAL,AL,109,MLB,0.2,Dylan Bundy,0.265,1.7
0.714,2012,CHA,AL,99,MLB,0.667,Deunte Heath,0.321,2.0
0.726,2012,CHN,NL,103,MLB,0.371,Michael Bowden,0.315,36.7
0.744,2012,MIN,AL,108,MLB,0.412,Kyle Waldrop,0.323,21.3
0.726,2012,TOR,AL,107,MLB,0.444,Aaron Laffey,0.314,100.7
0.734,2012,SDN,NL,92,MLB,0.364,Ernesto Frieri,0.32,11.7
0.686,2012,PIT,NL,93,MLB,0.422,Jeff Locke,0.3,34.3
0.726,2012,BOS,AL,105,MLB,0.36,Matt Albers,0.315,39.3
0.721,2012,TOR,AL,107,MLB,0.354,Brandon Morrow,0.316,124.7
0.71,2012,WAS,NL,103,MLB,0.34,Craig Stammen,0.313,88.3
0.711,2012,KCA,AL,103,MLB,0.469,Everett Teaford,0.315,61.3
0.621,2012,SDN,NL,95,MLB,0.714,Matt Palmer,0.27,2.0
0.704,2012,ATL,NL,98,MLB,0.342,Cory Gearrin,0.312,20.0
0.726,2012,CIN,NL,101,MLB,0.519,Bill Bray,0.324,8.7
0.728,2012,ANA,AL,86,MLB,0.579,Barry Enright,0.313,3.7
0.729,2012,TBA,AL,93,MLB,0.275,Kyle Farnsworth,0.316,27.0
0.706,2012,TBA,AL,96,MLB,0.395,Burke Badenhop,0.31,62.3
0.726,2012,CLE,AL,100,MLB,0.432,Tony Sipp,0.321,55.0
0.737,2012,CHA,AL,107,MLB,0.418,Gavin Floyd,0.323,168.0
0.71,2012,SFN,NL,92,MLB,0.331,George Kontos,0.316,43.7
0.711,2012,SFN,NL,95,MLB,0.386,Madison Bumgarner,0.31,208.3
0.719,2012,CHA,AL,109,MLB,0.42,Brian Omogrosso,0.318,21.0
0.682,2012,SFN,NL,86,MLB,0.524,Travis Blackley,0.306,5.0
0.726,2012,ANA,AL,96,MLB,0.344,Kevin Jepsen,0.316,44.7
0.72,2012,TBA,AL,93,MLB,0.38,Matt Moore,0.314,177.3
0.716,2012,HOU,NL,99,MLB,0.423,Bud Norris,0.315,168.3
0.708,2012,HOU,NL,96,MLB,0.508,Fernando Abad,0.31,46.0
0.756,2012,OAK,AL,95,MLB,0.487,Dan Straily,0.324,39.3
0.739,2012,SEA,AL,87,MLB,0.333,Felix Hernandez,0.323,232.0
0.719,2012,BAL,AL,106,MLB,0.335,Troy Patton,0.317,55.7
0.695,2012,MIL,NL,104,MLB,0.411,Shaun Marcum,0.31,124.0
0.711,2012,MIA,NL,93,MLB,0.429,A.j. Ramos,0.315,9.3
0.716,2012,OAK,AL,90,MLB,0.295,Brett Anderson,0.318,35.0
0.708,2012,COL,NL,118,MLB,0.499,Christian Friedrich,0.31,84.7
0.746,2012,MIA,NL,95,MLB,0.428,Mike Dunn,0.329,44.0
0.73,2012,OAK,AL,96,MLB,0.382,Travis Blackley,0.319,102.7
0.72,2012,ANA,AL,97,MLB,0.361,C.j. Wilson,0.316,202.3
0.734,2012,KCA,AL,101,MLB,0.379,Jose Mijares,0.325,38.7
0.69,2012,CHN,NL,96,MLB,0.52,Rodrigo Lopez,0.303,6.3
0.728,2012,BOS,AL,103,MLB,0.47,Andrew Bailey,0.316,15.3
0.718,2012,WAS,NL,103,MLB,0.374,Michael Gonzalez,0.319,35.7
0.725,2012,MIN,AL,106,MLB,0.517,Jeff Manship,0.319,21.7
0.717,2012,CIN,NL,101,MLB,0.421,Bronson Arroyo,0.313,202.0
0.734,2012,ARI,NL,103,MLB,0.287,Brad Ziegler,0.322,68.7
0.73,2012,PHI,NL,102,MLB,0.5,Tyson Brummett,0.309,0.7
0.722,2012,DET,AL,105,MLB,0.346,Octavio Dotel,0.316,58.0
0.74,2012,BAL,AL,105,MLB,0.335,Jason Hammel,0.321,118.0
0.707,2012,MIL,NL,107,MLB,0.357,Zack Greinke,0.314,123.0
0.735,2012,BAL,AL,104,MLB,0.389,Miguel Gonzalez,0.322,105.3
0.742,2012,BOS,AL,105,MLB,0.391,Clayton Mortensen,0.32,42.0
0.73,2012,BAL,AL,102,MLB,0.482,Randy Wolf,0.32,15.3
0.716,2012,TEX,AL,103,MLB,0.5,Yoshinori Tateyama,0.31,17.0
0.716,2012,SEA,AL,90,MLB,0.339,Brandon League,0.316,44.7
0.713,2012,DET,AL,107,MLB,0.493,Collin Balester,0.311,18.0
0.731,2012,SLN,NL,102,MLB,0.397,Barret Browning,0.319,19.3
0.704,2012,SDN,NL,96,MLB,0.292,Nick Vincent,0.313,26.3
0.763,2012,TOR,AL,106,MLB,0.571,David Pauley,0.328,6.3
0.726,2012,ARI,NL,106,MLB,0.54,Daniel Hudson,0.318,45.3
0.699,2012,SDN,NL,95,MLB,0.435,Clayton Richard,0.309,218.7
0.707,2012,MIL,NL,109,MLB,0.389,Mike Fiers,0.311,127.7
0.724,2012,MIN,AL,105,MLB,0.358,Glen Perkins,0.318,70.3
0.708,2012,PIT,NL,97,MLB,0.404,James Mcdonald,0.313,171.0
0.7,2012,ATL,NL,99,MLB,0.386,Randall Delgado,0.307,92.7
0.724,2012,BAL,AL,106,MLB,0.404,Zach Britton,0.316,60.3
0.702,2012,NYN,NL,98,MLB,0.395,Manny Acosta,0.311,47.3
0.741,2012,ANA,AL,96,MLB,0.379,Zack Greinke,0.323,89.3
0.731,2012,CLE,AL,99,MLB,0.577,Dan Wheeler,0.316,12.3
0.698,2012,COL,NL,120,MLB,0.593,Jeremy Guthrie,0.309,90.7
0.735,2012,PHI,NL,99,MLB,0.327,Jake Diekman,0.323,27.3
0.719,2012,TEX,AL,104,MLB,0.288,Koji Uehara,0.316,36.0
0.719,2012,ARI,NL,105,MLB,0.4,Bryan Shaw,0.318,59.3
0.702,2012,NYA,AL,102,MLB,0.346,Andy Pettitte,0.308,75.3
0.749,2012,MIN,AL,104,MLB,0.673,Matt Maloney,0.325,11.0
0.746,2012,BAL,AL,104,MLB,0.434,Jake Arrieta,0.323,114.7
0.732,2012,MIL,NL,107,MLB,0.283,Wily Peralta,0.322,29.0
0.726,2012,ANA,AL,102,MLB,0.467,David Pauley,0.317,10.3
0.732,2012,SLN,NL,99,MLB,0.386,Fernando Salas,0.32,58.7
0.677,2012,NYA,AL,112,MLB,1.0,David Aardsma,0.294,1.0
0.719,2012,NYA,AL,105,MLB,0.524,D.j. Mitchell,0.315,4.7
0.713,2012,MIL,NL,109,MLB,0.45,Tim Dillard,0.316,37.0
0.752,2012,PHI,NL,98,MLB,0.226,Phillippe Aumont,0.317,14.7
0.798,2012,ANA,AL,91,MLB,0.632,Bobby Cassevah,0.339,5.0
0.718,2012,KCA,AL,103,MLB,0.4,Jeremy Jeffress,0.315,13.3
0.737,2012,KCA,AL,103,MLB,0.411,Luis Mendoza,0.324,166.0
0.702,2012,NYN,NL,98,MLB,0.258,Justin Hampson,0.312,10.0
0.727,2012,CLE,AL,98,MLB,0.518,Josh Tomlin,0.318,103.3
0.714,2012,HOU,NL,98,MLB,0.348,Jose Valdez,0.317,12.0
0.725,2012,NYA,AL,102,MLB,0.406,Hiroki Kuroda,0.318,219.7
0.72,2012,PIT,NL,95,MLB,0.341,Joel Hanrahan,0.319,59.7
0.724,2012,MIA,NL,93,MLB,0.211,Randy Choate,0.323,25.3
0.711,2012,NYN,NL,95,MLB,0.35,Mike Pelfrey,0.319,19.7
0.736,2012,HOU,NL,100,MLB,0.362,Brandon Lyon,0.323,36.0
0.755,2012,LAN,NL,91,MLB,0.215,Brandon League,0.333,27.3
0.73,2012,TOR,AL,106,MLB,0.579,Sergio Santos,0.327,5.0
0.737,2012,ATL,NL,100,MLB,0.302,Eric O'flaherty,0.323,57.3
0.72,2012,COL,NL,117,MLB,0.49,Jeff Francis,0.315,113.0
0.73,2012,COL,NL,116,MLB,0.532,Will Harris,0.321,17.7
0.73,2012,SLN,NL,100,MLB,0.291,Mitchell Boggs,0.318,73.3
0.735,2012,NYN,NL,94,MLB,0.279,Jeurys Familia,0.319,12.3
0.734,2012,DET,AL,103,MLB,0.331,Justin Verlander,0.321,238.3
0.72,2012,SLN,NL,96,MLB,0.263,Trevor Rosenthal,0.314,22.7
0.717,2012,CIN,NL,101,MLB,0.398,Alfredo Simon,0.317,61.0
0.727,2012,CHA,AL,108,MLB,0.426,Will Ohman,0.326,26.7
0.714,2012,CHA,AL,104,MLB,0.496,Philip Humber,0.316,102.0
0.725,2012,CHN,NL,100,MLB,0.31,Carlos Marmol,0.322,55.3
0.739,2012,TBA,AL,102,MLB,0.312,Jeff Niemann,0.322,38.0
0.725,2012,SEA,AL,88,MLB,0.415,Steve Delabar,0.319,36.7
0.749,2012,DET,AL,106,MLB,0.583,Jose Ortega,0.322,2.7
0.739,2012,MIN,AL,106,MLB,0.464,Anthony Swarzak,0.321,96.7
0.706,2012,PHI,NL,97,MLB,0.262,Raul Valdes,0.311,31.0
0.743,2012,HOU,NL,99,MLB,0.377,Mickey Storey,0.32,30.3
0.712,2012,PIT,NL,95,MLB,0.388,Evan Meek,0.317,12.0
0.718,2012,SLN,NL,98,MLB,0.407,Joe Kelly,0.313,107.0
0.729,2012,SDN,NL,94,MLB,0.457,Cory Burns,0.325,18.0
0.696,2012,ARI,NL,104,MLB,0.434,Josh Collmenter,0.308,90.3
0.681,2012,COL,NL,114,MLB,0.3,Rob Scahill,0.306,8.7
0.677,2012,WAS,NL,102,MLB,0.564,Brad Lidge,0.307,9.3
0.733,2012,CLE,AL,88,MLB,0.625,Roberto Hernandez,0.321,14.3
0.708,2012,WAS,NL,102,MLB,0.421,Edwin Jackson,0.312,189.7
0.694,2012,ANA,AL,91,MLB,0.222,Brad Mills,0.299,5.0
0.784,2012,TBA,AL,98,MLB,0.813,Josh Lueke,0.334,3.3
0.736,2012,MIN,AL,106,MLB,0.478,Jeff Gray,0.319,52.0
0.731,2012,TEX,AL,103,MLB,0.346,Yu Darvish,0.32,191.3
0.713,2012,PIT,NL,96,MLB,0.407,Juan Cruz,0.319,35.7
0.726,2012,OAK,AL,96,MLB,0.515,Brian Fuentes,0.322,25.0
0.7,2012,SDN,NL,93,MLB,0.377,Eric Stults,0.309,92.3
0.714,2012,SDN,NL,94,MLB,0.342,Joe Thatcher,0.315,31.7
0.762,2012,CHN,NL,105,MLB,0.433,Kerry Wood,0.333,8.7
0.706,2012,SLN,NL,100,MLB,0.401,Lance Lynn,0.309,176.0
0.733,2012,SLN,NL,98,MLB,0.408,Marc Rzepczynski,0.322,46.7
0.758,2012,BAL,AL,109,MLB,0.4,Stuart Pomeranz,0.331,6.0
0.737,2012,CLE,AL,101,MLB,0.389,Scott Barnes,0.324,19.0
0.688,2012,MIL,NL,111,MLB,0.512,Randy Wolf,0.302,142.3
0.735,2012,KCA,AL,102,MLB,0.486,Bruce Chen,0.319,191.7
0.746,2012,ATL,NL,99,MLB,0.172,Craig Kimbrel,0.327,62.7
0.712,2012,CHN,NL,98,MLB,0.396,Jeff Samardzija,0.314,174.7
0.739,2012,OAK,AL,95,MLB,0.261,Ryan Cook,0.321,73.3
0.712,2012,COL,NL,120,MLB,0.387,Adam Ottavino,0.316,79.0
0.696,2012,SLN,NL,97,MLB,0.737,Maikel Cleto,0.312,9.0
0.645,2012,NYN,NL,94,MLB,0.824,D.j. Carrasco,0.291,3.7
0.704,2012,SDN,NL,95,MLB,0.416,Miles Mikolas,0.31,32.3
0.714,2012,HOU,NL,99,MLB,0.597,Kyle Weiland,0.317,17.7
0.681,2012,COL,NL,116,MLB,0.48,Alex White,0.306,98.0
0.728,2012,SDN,NL,95,MLB,0.366,Andrew Cashner,0.321,46.3
0.73,2012,NYA,AL,105,MLB,0.477,Joba Chamberlain,0.316,20.7
0.736,2012,PIT,NL,97,MLB,0.341,Chris Leroux,0.313,11.3
0.738,2012,SEA,AL,90,MLB,0.324,Oliver Perez,0.319,29.7
0.738,2012,CHN,NL,103,MLB,0.339,Jairo Asencio,0.329,14.7
0.759,2012,DET,AL,106,MLB,0.411,Duane Below,0.33,46.3
0.698,2012,MIL,NL,110,MLB,0.364,Josh Stinson,0.319,9.3
0.733,2012,COL,NL,118,MLB,0.396,Matt Belisle,0.322,80.0
0.702,2012,SDN,NL,94,MLB,0.505,Ross Ohlendorf,0.307,48.7
0.754,2012,ARI,NL,107,MLB,0.698,Takashi Saito,0.325,12.0
0.756,2012,KCA,AL,105,MLB,0.374,Felipe Paulino,0.324,37.7
0.74,2012,MIN,AL,103,MLB,0.584,Nick Blackburn,0.322,98.7
0.754,2012,ANA,AL,91,MLB,0.304,Nick Maronde,0.316,6.0
0.711,2012,LAN,NL,93,MLB,0.427,Nathan Eovaldi,0.315,56.3
0.73,2012,CHA,AL,109,MLB,0.178,Donnie Veal,0.324,13.0
0.718,2012,MIN,AL,106,MLB,0.376,Esmerling Vasquez,0.316,31.7
0.709,2012,BAL,AL,102,MLB,0.405,Joe Saunders,0.307,44.7
0.672,2012,BOS,AL,102,MLB,0.545,Chris Carpenter,0.298,6.0
0.726,2012,PHI,NL,98,MLB,0.275,Jeremy Horst,0.323,31.3
0.715,2012,LAN,NL,96,MLB,0.441,Joe Blanton,0.313,57.7
0.749,2012,SEA,AL,87,MLB,0.403,Hisashi Iwakuma,0.326,125.3
0.714,2012,CHN,NL,101,MLB,0.482,Chris Volstad,0.31,111.3
0.714,2012,PHI,NL,99,MLB,0.392,Jose Contreras,0.312,13.7
0.747,2012,OAK,AL,94,MLB,0.311,Pedro Figueroa,0.326,21.7
0.72,2012,BAL,AL,105,MLB,0.284,Jim Johnson,0.317,68.7
0.745,2012,MIN,AL,103,MLB,0.53,Liam Hendriks,0.326,85.3
0.723,2012,NYN,NL,95,MLB,0.663,Collin Mchugh,0.317,21.3
0.778,2012,LAN,NL,87,MLB,0.538,John Ely,0.352,2.7
0.756,2012,LAN,NL,89,MLB,0.347,Stephen Fife,0.328,26.7
0.712,2012,TBA,AL,95,MLB,0.299,Wade Davis,0.311,70.3
0.736,2012,CLE,AL,100,MLB,0.452,Ubaldo Jimenez,0.32,176.7
0.728,2012,ARI,NL,105,MLB,0.5,Sam Demel,0.313,1.0
0.709,2012,ARI,NL,103,MLB,0.769,Jonathan Albaladejo,0.309,3.0
0.705,2012,PHI,NL,100,MLB,0.377,Cole Hamels,0.309,215.3
0.693,2012,ARI,NL,105,MLB,0.6,Joe Martinez,0.317,1.0
0.737,2012,DET,AL,105,MLB,0.409,Max Scherzer,0.321,187.7
0.672,2012,MIA,NL,102,MLB,0.647,Brad Hand,0.314,3.7
0.704,2012,CIN,NL,99,MLB,0.412,Homer Bailey,0.31,208.0
0.727,2012,KCA,AL,102,MLB,0.38,Tim Collins,0.321,69.7
0.75,2012,TEX,AL,102,MLB,0.0,Wilmer Font,0.319,2.0
0.667,2012,DET,AL,107,MLB,0.591,Thad Weber,0.291,4.0
0.697,2012,PIT,NL,94,MLB,0.371,Kyle Mcpherson,0.308,26.3
0.734,2012,SEA,AL,90,MLB,0.301,Tom Wilhelmsen,0.321,79.3
0.729,2012,DET,AL,104,MLB,0.423,Drew Smyly,0.321,99.3
0.715,2012,OAK,AL,87,MLB,0.524,Graham Godfrey,0.316,21.0
0.727,2012,DET,AL,105,MLB,0.4,Anibal Sanchez,0.322,74.7
0.717,2012,CHA,AL,105,MLB,0.37,Chris Sale,0.317,192.0
0.718,2012,OAK,AL,95,MLB,0.309,Pat Neshek,0.314,19.7
0.718,2012,PHI,NL,98,MLB,0.205,Justin De Fratus,0.321,10.7
0.733,2012,SEA,AL,89,MLB,0.498,Hector Noesi,0.32,106.7
0.67,2012,COL,NL,115,MLB,0.429,Zach Putnam,0.268,2.0
0.718,2012,TOR,AL,103,MLB,0.337,Brandon Lyon,0.314,25.0
0.703,2012,PIT,NL,100,MLB,0.591,Justin Wilson,0.305,4.7
0.699,2012,TOR,AL,108,MLB,0.539,Francisco Cordero,0.305,34.3
0.695,2012,NYN,NL,94,MLB,0.362,R.a. Dickey,0.307,233.7
0.747,2012,TBA,AL,95,MLB,0.383,James Shields,0.323,227.7
0.742,2012,LAN,NL,106,MLB,0.368,Josh Wall,0.324,5.7
0.751,2012,OAK,AL,96,MLB,0.358,Jarrod Parker,0.327,181.3
0.743,2012,ANA,AL,95,MLB,0.349,Scott Downs,0.324,45.7
0.723,2012,BAL,AL,104,MLB,0.36,Darren O'day,0.317,67.0
0.64,2012,CIN,NL,102,MLB,0.647,Todd Redmond,0.292,3.3
0.73,2012,TEX,AL,104,MLB,0.424,Scott Feldman,0.32,123.7
0.743,2012,SLN,NL,98,MLB,0.323,Edward Mujica,0.327,26.3
0.7,2012,COL,NL,114,MLB,0.467,Tyler Chatwood,0.314,64.7
0.727,2012,WAS,NL,100,MLB,0.367,Sean Burnett,0.321,56.7
0.736,2012,TEX,AL,106,MLB,0.333,Michael Kirkman,0.325,35.3
0.722,2012,HOU,NL,100,MLB,0.363,Lucas Harrell,0.317,193.7
0.714,2012,WAS,NL,103,MLB,0.586,Chien-ming Wang,0.307,32.3
0.739,2012,KCA,AL,102,MLB,0.512,Jonathan Sanchez,0.322,53.3
0.742,2012,WAS,NL,100,MLB,0.288,Zach Duke,0.324,13.7
0.78,2012,SEA,AL,105,MLB,1.333,George Sherrill,0.329,1.3
0.721,2012,BOS,AL,104,MLB,0.561,Daisuke Matsuzaka,0.313,45.7
0.723,2012,PIT,NL,93,MLB,0.468,Charlie Morton,0.32,50.3
0.717,2012,NYA,AL,106,MLB,0.37,Derek Lowe,0.309,23.7
0.715,2012,ARI,NL,103,MLB,0.463,Mike Zagurski,0.312,37.3
0.722,2012,SLN,NL,100,MLB,0.375,Kyle Mcclellan,0.315,18.7
0.74,2012,BAL,AL,105,MLB,0.283,Pedro Strop,0.322,66.3
0.74,2012,NYN,NL,96,MLB,0.44,Robert Carson,0.325,13.3
0.725,2012,TOR,AL,107,MLB,0.323,Casey Janssen,0.316,63.7
0.729,2012,CHA,AL,107,MLB,0.351,Nate Jones,0.32,71.7
0.714,2012,MIA,NL,94,MLB,0.409,Anibal Sanchez,0.315,121.0
0.731,2012,MIN,AL,105,MLB,0.429,Brian Duensing,0.32,109.0
0.685,2012,ARI,NL,103,MLB,0.426,Trevor Bauer,0.309,16.3
0.742,2012,CIN,NL,101,MLB,0.401,Logan Ondrusek,0.326,54.7
0.722,2012,MIN,AL,108,MLB,0.333,Luis Perdomo,0.32,17.0
0.733,2012,TBA,AL,94,MLB,0.402,Jeremy Hellickson,0.318,177.0
0.707,2012,PHI,NL,99,MLB,0.411,Cliff Lee,0.31,211.0
0.729,2012,HOU,NL,99,MLB,0.439,Brett Myers,0.319,30.7
0.705,2012,CHN,NL,99,MLB,0.556,Jeff Beliveau,0.308,17.7
0.729,2012,SDN,NL,94,MLB,0.479,Jeff Suppan,0.316,30.7
0.726,2012,NYN,NL,96,MLB,0.444,Elvin Ramirez,0.316,21.3
0.707,2012,CHN,NL,105,MLB,0.471,Lendy Castillo,0.31,16.0
0.713,2012,LAN,NL,94,MLB,0.41,Chris Capuano,0.311,198.3
0.72,2012,COL,NL,119,MLB,0.5,Josh Outman,0.317,40.7
0.728,2012,BAL,AL,103,MLB,0.468,Brian Matusz,0.317,98.0
0.732,2012,PHI,NL,98,MLB,0.404,Josh Lindblom,0.325,23.3
0.7,2012,SLN,NL,96,MLB,0.352,Eduardo Sanchez,0.308,15.0
0.72,2012,COL,NL,119,MLB,0.409,Josh Roenicke,0.317,88.7
0.733,2012,TBA,AL,93,MLB,0.374,Alex Cobb,0.318,136.3
0.727,2012,ANA,AL,97,MLB,0.465,Ervin Santana,0.32,178.0
0.701,2012,PHI,NL,96,MLB,0.407,Roy Halladay,0.311,156.3
0.733,2012,KCA,AL,104,MLB,0.405,Vin Mazzaro,0.317,44.0
0.795,2012,BAL,AL,109,MLB,1.556,Jason Berken,0.34,1.0
0.703,2012,MIA,NL,95,MLB,0.363,Josh Johnson,0.312,191.3
0.721,2012,HOU,NL,101,MLB,0.44,Jordan Lyles,0.314,141.3
0.728,2012,CHA,AL,106,MLB,0.288,Jesse Crain,0.32,48.0
0.736,2012,OAK,AL,95,MLB,0.253,Grant Balfour,0.322,74.7
0.581,2012,NYN,NL,93,MLB,1.5,Garrett Olson,0.269,0.3
0.731,2012,SEA,AL,90,MLB,0.506,Stephen Pryor,0.321,23.0
0.672,2012,NYA,AL,109,MLB,0.462,Ryota Igarashi,0.288,3.0
0.729,2012,LAN,NL,94,MLB,0.274,Kenley Jansen,0.322,65.0
