Batter,Team,AB,H,AVG,2B,3B,HR,RBI,BB,K,SB,CS,SLG,OBP,OPS
Matt Diaz, ,15,2,0.133,1,0,1,1,1,3,0,0,0.4,0.188,0.588
Juan Pierre, ,15,1,0.067,0,0,0,0,0,1,0,0,0.067,0.125,0.192
Geovany Soto,CHI-A,14,8,0.571,2,0,1,5,1,1,3,0,0.929,0.563,1.491
Jimmy Rollins,LA,14,6,0.429,2,0,0,0,2,2,0,0,0.571,0.5,1.071
Carlos Beltran,NY-A,14,5,0.357,0,0,3,6,6,4,1,0,1.0,0.571,1.571
Jay Bruce,CIN,14,5,0.357,0,0,3,5,6,5,0,0,1.0,0.55,1.55
Matt Holliday,STL,14,5,0.357,0,0,1,2,3,4,0,0,0.571,0.471,1.042
Russell Martin,TOR,14,5,0.357,0,0,0,0,3,2,0,0,0.357,0.471,0.828
Jason Bay, ,14,4,0.286,1,0,1,3,2,3,0,0,0.571,0.353,0.924
Ike Davis,OAK,14,4,0.286,0,1,0,2,0,5,0,0,0.429,0.333,0.762
Dexter Fowler,CHI-N,14,4,0.286,1,0,1,3,1,3,1,0,0.571,0.333,0.905
Martin Prado,MIA,14,4,0.286,2,1,0,1,2,2,1,0,0.571,0.375,0.946
Daniel Murphy,NY-N,14,3,0.214,1,0,0,1,0,2,1,0,0.286,0.214,0.5
Ryan Howard,PHI,14,2,0.143,0,0,0,1,1,6,1,0,0.143,0.188,0.33
Omar Infante,KC,13,5,0.385,1,0,0,0,1,2,1,0,0.462,0.429,0.89
Chipper Jones, ,13,4,0.308,1,0,0,2,0,2,0,0,0.385,0.286,0.67
Kevin Mench, ,13,4,0.308,0,0,0,1,1,0,0,0,0.308,0.357,0.665
Craig Biggio, ,13,2,0.154,0,0,0,0,0,2,0,0,0.154,0.154,0.308
Orlando Hudson, ,13,2,0.154,0,0,0,0,3,2,0,0,0.154,0.313,0.466
Chris Young,NY-A,12,8,0.667,4,0,1,2,5,1,0,0,1.25,0.765,2.015
Mark DeRosa, ,12,6,0.5,3,0,1,3,5,2,1,0,1.0,0.647,1.647
Troy Tulowitzki,TOR,12,5,0.417,2,0,1,4,0,2,1,0,0.833,0.417,1.25
Chris Burke, ,12,4,0.333,0,0,0,1,1,0,0,0,0.333,0.429,0.762
Hanley Ramirez,BOS,12,4,0.333,1,0,0,0,1,1,0,0,0.417,0.385,0.801
So Taguchi, ,12,4,0.333,1,0,0,1,1,1,0,1,0.417,0.385,0.801
Justin Upton,SD,12,4,0.333,1,1,1,1,2,3,0,0,0.833,0.429,1.262
Marlon Byrd,CIN,12,3,0.25,0,0,0,0,0,4,0,0,0.25,0.25,0.5
Morgan Ensberg, ,12,3,0.25,0,0,1,2,3,4,1,0,0.5,0.4,0.9
Jason Kendall, ,12,3,0.25,0,0,0,1,1,5,1,0,0.25,0.308,0.558
Dan Uggla,WAS,12,3,0.25,0,0,1,1,3,4,1,0,0.5,0.4,0.9
Josh Willingham, ,12,3,0.25,1,0,1,3,0,1,1,0,0.583,0.25,0.833
Jeff Francoeur,PHI,12,2,0.167,0,0,0,2,1,2,0,0,0.167,0.214,0.381
Kevin Frandsen,SF,12,2,0.167,1,0,0,0,0,2,0,0,0.25,0.167,0.417
Alex Gonzalez, ,12,2,0.167,1,0,0,1,1,3,0,0,0.25,0.231,0.481
Matt Kemp,SD,11,5,0.455,2,0,1,4,0,0,0,0,0.909,0.417,1.326
Carlos Lee, ,11,4,0.364,0,0,1,3,2,1,1,0,0.636,0.462,1.098
Justin Turner,LA,11,4,0.364,3,0,0,3,1,0,0,0,0.636,0.417,1.053
Jayson Werth,WAS,11,4,0.364,0,0,0,0,1,4,0,0,0.364,0.417,0.78
Lance Berkman, ,11,3,0.273,1,0,0,2,3,2,0,0,0.364,0.4,0.764
Orlando Cabrera, ,11,3,0.273,0,0,0,0,1,1,4,0,0.273,0.333,0.606
Edwin Encarnacion,TOR,11,3,0.273,1,0,0,1,1,2,0,0,0.364,0.333,0.697
Andre Ethier,LA,11,3,0.273,1,0,0,2,0,3,0,0,0.364,0.273,0.636
Ryan Hanigan,BOS,11,3,0.273,0,0,1,2,2,0,0,0,0.545,0.385,0.93
Reed Johnson,WAS,11,3,0.273,1,0,0,1,4,5,0,0,0.364,0.467,0.83
Garrett Jones,NY-A,11,3,0.273,0,0,0,2,2,6,1,0,0.273,0.357,0.63
Placido Polanco, ,11,3,0.273,0,0,0,1,1,0,0,0,0.273,0.333,0.606
Adam Dunn, ,11,2,0.182,0,0,0,1,2,6,0,0,0.182,0.308,0.49
Chase Headley,NY-A,11,2,0.182,0,0,0,0,3,2,0,1,0.182,0.357,0.539
Ronnie Belliard, ,11,1,0.091,0,0,1,1,1,2,0,0,0.364,0.167,0.53
Angel Pagan,SF,11,1,0.091,0,0,0,0,2,2,1,0,0.091,0.231,0.322
Adam Everett, ,10,5,0.5,0,0,0,2,1,0,0,0,0.5,0.545,1.045
Matt Murton, ,10,4,0.4,2,0,0,0,2,0,0,0,0.6,0.5,1.1
Carlos Ruiz,PHI,10,4,0.4,1,0,0,0,0,0,1,1,0.5,0.455,0.955
Gaby Sanchez, ,10,4,0.4,0,0,1,3,1,1,0,0,0.7,0.455,1.155
Pedro Feliz, ,10,3,0.3,1,0,0,0,0,0,0,0,0.4,0.3,0.7
Jason Heyward,STL,10,3,0.3,0,0,1,2,1,1,1,0,0.6,0.364,0.964
Lastings Milledge, ,10,3,0.3,1,0,0,1,3,3,1,0,0.4,0.462,0.862
Drew Stubbs,COL,10,3,0.3,3,0,0,0,0,6,0,0,0.6,0.3,0.9
Willy Taveras, ,10,3,0.3,0,0,0,0,1,1,0,0,0.3,0.364,0.664
Miguel Tejada, ,10,3,0.3,1,0,0,1,2,0,1,0,0.4,0.417,0.817
Todd Helton, ,10,2,0.2,0,0,0,0,0,1,0,0,0.2,0.2,0.4
Raul Ibanez, ,10,2,0.2,1,0,0,0,0,1,0,0,0.3,0.2,0.5
Jeff Keppinger, ,10,2,0.2,2,0,0,3,2,0,1,0,0.4,0.308,0.708
Carlos Quentin, ,10,2,0.2,1,0,1,4,3,2,1,0,0.6,0.357,0.957
Chris Snyder, ,10,0,0.0,0,0,0,1,1,1,0,0,0.0,0.091,0.091
Carlos Gonzalez,COL,9,6,0.667,2,1,0,2,0,1,0,0,1.111,0.6,1.711
Damian Miller, ,9,4,0.444,1,0,1,1,2,2,1,0,0.889,0.545,1.434
Aaron Rowand, ,9,4,0.444,1,0,2,4,0,1,0,0,1.222,0.444,1.667
Mark Teixeira,NY-A,9,4,0.444,1,0,1,3,2,0,0,0,0.889,0.545,1.434
James Loney,TB,9,3,0.333,0,1,0,2,0,3,0,0,0.556,0.3,0.856
Adam Wainwright,STL,9,3,0.333,1,0,0,2,1,3,0,0,0.444,0.4,0.844
Aubrey Huff, ,9,2,0.222,0,1,0,0,0,2,0,0,0.444,0.222,0.667
Felipe Lopez, ,9,2,0.222,1,0,0,0,2,2,0,0,0.333,0.364,0.697
Matt Carpenter,STL,9,1,0.111,0,0,0,1,0,1,0,0,0.111,0.182,0.293
Lucas Duda,NY-N,9,1,0.111,1,0,0,0,0,0,1,0,0.222,0.111,0.333
Tony Graffanino, ,9,1,0.111,0,0,0,0,0,1,0,0,0.111,0.111,0.222
Chris Heisey,LA,9,1,0.111,0,0,1,2,0,3,0,0,0.444,0.2,0.644
Conor Jackson, ,9,1,0.111,0,0,0,1,0,1,0,0,0.111,0.111,0.222
John Mayberry, ,9,1,0.111,0,0,0,0,1,3,0,0,0.111,0.2,0.311
Casey McGehee,MIA,9,1,0.111,0,0,0,0,0,3,0,0,0.111,0.111,0.222
Buster Posey,SF,9,1,0.111,0,0,0,1,0,2,0,0,0.111,0.111,0.222
Alex Rodriguez,NY-A,9,1,0.111,0,0,0,0,0,3,1,0,0.111,0.111,0.222
Omar Vizquel, ,9,1,0.111,0,0,0,1,0,1,2,0,0.111,0.111,0.222
