IPP,ShPct,iCorsi,Team,A/60,Shots/60,FirstA/60
64.2,9.03,258,Vancouver,0.74,5.10,0.35
58.3,6.94,474,Ottawa,0.56,7.38,0.33
55.3,9.48,207,Columbus,0.45,5.24,0.36
35.4,4.83,279,Chicago,0.71,4.69,0.39
75.5,9.41,668,Arizona,1.01,9.76,0.56
75.3,11.79,478,Colorado,0.84,6.72,0.54
IPP,Sh%,iCorsi,Team,A/60,Shots/60,FirstA/60
67.8,6.96,510,Florida,0.63,11.10,0.32
65.5,12.03,435,Nashville,0.94,5.92,0.62
68.3,5.00,344,Nashville,0.81,9.00,0.58
18.7,2.48,244,San Jose,0.33,2.36,0.12
25.4,2.41,181,New Jersey,0.48,2.85,0.28
76.7,7.79,720,New Jersey,0.43,10.87,0.18
73.8,10.84,440,Edmonton,0.60,7.15,0.23
72.6,10.19,499,St. Louis,1.07,7.49,0.74
61.2,7.08,533,Detroit,0.77,8.63,0.56
13.2,1.61,150,Vancouver,0.19,2.95,0.10
35.3,0.87,289,Los Angeles,0.54,3.62,0.16
63.0,9.86,255,Philadelphia,0.70,6.59,0.42
64.7,8.63,364,Boston,0.72,5.26,0.24
68.4,7.27,286,New Jersey,0.49,5.77,0.31
25.6,1.10,418,Pittsburgh,0.43,3.95,0.15
25.6,3.76,379,Winnipeg,0.40,3.29,0.20
25.0,0.63,368,Winnipeg,0.57,3.10,0.29
35.1,3.34,778,Boston,0.83,6.12,0.39
78.8,8.58,753,Edmonton,1.31,9.87,0.87
79.5,4.37,456,Calgary,0.71,8.93,0.50
63.3,12.11,311,New Jersey,0.81,4.52,0.48
65.8,6.36,406,St. Louis,0.88,5.70,0.65
15.8,1.72,358,Detroit,0.27,5.18,0.15
39.1,2.76,308,Anaheim,0.79,5.43,0.41
64.6,7.01,518,Ottawa,0.64,7.51,0.30
IPP,Sh%,iCorsi,Team,A/60,Shots/60,FirstA/60
61.4,12.75,261,Buffalo,0.63,5.86,0.31
66.3,10.19,580,Ottawa,0.84,8.55,0.45
73.1,6.89,681,Nashville,0.98,11.93,0.56
65.7,13.19,339,Anaheim,1.06,4.12,0.43
73.0,12.69,433,Tampa Bay,1.19,7.73,0.71
77.2,13.00,755,Anaheim,1.10,8.57,0.73
73.6,7.77,459,Colorado,0.99,6.70,0.54
37.4,2.15,416,Ottawa,0.64,3.62,0.37
69.0,14.84,333,Nashville,0.92,5.08,0.67
75.3,10.79,587,Florida,0.94,7.57,0.62
69.0,10.69,799,Los Angeles,0.73,10.89,0.36
55.6,6.06,194,St. Louis,0.33,6.24,0.28
66.0,9.38,256,Montreal,0.64,5.12,0.48
78.4,11.00,544,Columbus,1.07,7.44,0.60
66.7,3.93,293,Pittsburgh,0.77,5.97,0.34
38.2,4.14,602,Vancouver,0.72,5.30,0.32
73.8,10.71,527,Buffalo,1.11,7.95,0.70
70.6,12.50,725,Dallas,0.86,8.39,0.45
19.5,1.98,241,Nashville,0.33,2.41,0.10
61.3,11.45,480,Washington,0.62,5.99,0.37
41.7,6.15,141,Edmonton,0.80,2.00,0.40
68.2,7.26,586,Florida,0.84,7.04,0.51
74.2,6.12,396,Dallas,0.42,7.53,0.27
69.7,11.24,317,Arizona,1.04,5.17,0.55
23.9,6.73,223,Washington,0.31,3.56,0.14
39.5,4.17,684,St. Louis,0.77,5.34,0.38
71.7,7.43,462,NY Islanders,1.26,6.63,0.67
28.0,1.94,407,Carolina,0.57,2.74,0.28
77.5,10.95,537,Ottawa,1.55,7.95,1.10
58.7,7.18,364,Washington,0.59,8.79,0.27
31.9,2.74,448,Minnesota,0.62,3.49,0.22
31.8,4.81,494,Boston,0.64,4.17,0.22
54.5,5.00,207,Los Angeles,0.54,5.37,0.27
64.4,8.75,468,Los Angeles,0.57,6.25,0.33
64.8,14.07,617,Pittsburgh,1.37,7.62,0.71
54.3,8.57,316,Edmonton,0.67,5.09,0.35
25.0,2.70,277,Vancouver,0.36,3.30,0.03
IPP,Sh%,iCorsi,Team,A/60,Shots/60,FirstA/60
33.1,4.39,537,Dallas,0.60,4.04,0.23
65.0,6.13,280,Anaheim,0.55,5.58,0.38
21.6,3.82,352,Dallas,0.43,2.34,0.18
25.8,1.96,275,Philadelphia,0.51,2.47,0.19
79.8,16.22,456,Calgary,0.93,6.52,0.55
25.0,1.83,227,Florida,0.29,4.47,0.12
28.8,10.00,171,Buffalo,0.37,3.28,0.19
IPP,Sh%,iCorsi,Team,A/60,Shots/60,FirstA/60
31.6,5.51,302,Los Angeles,0.37,4.30,0.14
67.0,10.73,482,Carolina,1.15,7.01,0.73
29.1,2.01,312,NY Islanders,0.47,5.44,0.29
73.1,5.41,514,Boston,0.67,10.02,0.45
46.8,6.45,227,Edmonton,0.42,3.75,0.21
29.4,4.39,283,Calgary,0.49,2.79,0.17
20.8,1.56,308,Los Angeles,0.36,2.46,0.10
59.6,4.57,278,New Jersey,0.74,6.49,0.44
67.2,6.37,473,New Jersey,0.76,7.26,0.38
34.9,4.42,288,Detroit,0.50,3.32,0.23
68.8,10.18,279,Carolina,1.01,6.22,0.56
77.0,6.77,423,Arizona,1.18,9.85,0.63
70.3,11.08,607,Montreal,0.43,8.09,0.31
62.7,9.25,271,Winnipeg,0.64,6.97,0.40
34.6,5.22,239,Florida,0.42,4.04,0.21
78.6,13.40,524,Boston,1.55,6.00,1.03
74.8,9.98,759,Chicago,1.20,10.87,0.67
39.2,11.76,111,Nashville,0.67,2.42,0.38
70.9,5.29,393,Boston,0.99,8.29,0.44
29.4,5.43,492,Anaheim,0.45,3.51,0.08
24.0,2.86,295,Toronto,0.41,2.15,0.12
75.9,6.65,895,Detroit,1.43,10.44,0.87
78.2,7.16,816,Los Angeles,1.48,10.46,0.73
36.9,6.20,319,Toronto,0.70,2.72,0.19
66.0,9.33,247,Philadelphia,0.85,6.74,0.54
68.5,15.13,425,Pittsburgh,0.99,5.89,0.49
25.9,5.30,355,NY Islanders,0.42,2.41,0.11
25.9,2.44,232,Toronto,0.49,3.09,0.23
67.4,7.52,445,Colorado,0.94,6.61,0.60
58.0,8.33,458,New Jersey,0.81,7.17,0.51
25.5,2.74,158,Calgary,0.45,2.73,0.15
75.9,9.58,740,New Jersey,0.84,7.41,0.56
68.8,4.72,634,Anaheim,0.74,8.11,0.43
23.5,3.06,235,Chicago,0.29,3.20,0.10
25.2,2.54,449,Colorado,0.43,4.85,0.21
71.1,8.68,478,Florida,0.95,7.02,0.66
75.2,10.69,827,Anaheim,0.92,8.99,0.60
76.5,9.52,654,St. Louis,1.18,9.21,0.69
31.2,5.61,250,Philadelphia,0.60,2.80,0.26
58.2,3.11,352,San Jose,0.79,5.89,0.52
31.2,4.64,378,Buffalo,0.65,3.06,0.26
60.7,6.95,343,Anaheim,0.81,7.17,0.46
IPP,Sh%,iCorsi,Team,A/60,Shots/60,FirstA/60
70.3,10.75,536,Calgary,0.77,7.59,0.49
66.0,10.29,617,Vancouver,0.81,7.90,0.61
33.8,5.05,428,NY Rangers,0.68,3.72,0.39
77.4,8.81,518,Minnesota,0.95,9.88,0.59
78.5,11.92,542,Philadelphia,0.88,7.21,0.50
77.3,8.82,395,Vancouver,2.06,4.67,1.22
32.2,5.88,363,Buffalo,0.58,3.64,0.36
63.2,9.64,272,Montreal,0.87,4.52,0.55
58.2,10.13,290,Edmonton,0.95,6.55,0.50
25.8,5.17,139,NY Rangers,0.54,2.41,0.29
73.0,7.69,359,New Jersey,0.88,6.12,0.47
75.4,9.17,399,Tampa Bay,0.65,6.47,0.43
71.5,11.58,643,Montreal,1.05,7.93,0.63
34.5,1.56,294,Colorado,0.77,3.52,0.39
26.0,3.36,331,New Jersey,0.33,3.47,0.16
21.1,3.45,223,Dallas,0.31,2.96,0.14
26.9,2.68,272,Minnesota,0.45,2.83,0.13
79.5,11.81,672,NY Rangers,1.25,7.36,0.75
58.2,10.65,423,Dallas,0.41,5.48,0.25
48.5,6.75,694,San Jose,0.78,5.80,0.37
69.6,9.09,372,Los Angeles,0.63,6.57,0.41
26.8,2.19,324,Anaheim,0.62,2.74,0.26
48.7,5.62,796,Arizona,0.88,5.90,0.46
IPP,Sh%,iCorsi,Team,A/60,Shots/60,FirstA/60
68.9,11.36,192,Chicago,0.83,4.04,0.58
35.3,1.93,407,Philadelphia,0.81,4.42,0.41
70.9,9.38,575,Columbus,0.90,7.52,0.53
24.5,2.17,431,Columbus,0.48,3.86,0.23
