OBP,3B,Team,SF,2B,Player,H,BB,OPS,AB
0.222,0,TAM,1,1,A Maruszak,12,7,0.383,81
0.28,2,CLR,1,8,F Galvis,62,10,0.587,251
0.26,2,DAY,1,7,J Vitters,45,5,0.604,189
0.25,0,STL,0,0,J Abruzzo,1,2,0.35,10
0.359,1,FTM,8,27,C Parmelee,109,65,0.8,422
0.357,1,PMB,0,1,A Brown,2,2,0.812,11
0.331,4,LAK,1,14,J Henry,109,45,0.639,424
0.357,0,FTM,0,2,D Rams,4,1,0.819,13
0.326,2,FTM,1,9,D Berg,38,16,0.666,159
0.25,0,STL,0,0,L Nieves,1,0,0.5,4
0.311,1,SAR,3,22,D Mesoraco,71,35,0.692,312
0.315,1,DAY,1,8,R Canzler,27,7,0.745,100
0.111,0,PMB,0,0,K Moscatel,1,0,0.222,9
0.317,2,FTM,3,6,C Cates,93,34,0.595,370
0.341,1,BRE,3,18,E Farris,141,29,0.725,473
0.304,2,JUP,3,16,H Mense,86,31,0.629,364
0.241,2,CLR,0,7,L Arzeno,27,4,0.554,131
0.286,0,STL,1,5,J Eigsti,29,9,0.551,128
0.348,2,JUP,1,14,B Tripp,87,26,0.789,313
0.284,1,CHA,1,6,M Hall,58,25,0.566,266
0.303,1,LAK,0,1,S Roof,8,2,0.658,31
0.388,2,CHA,2,9,S O'Malley,98,58,0.699,366
0.429,0,STL,0,2,E Campbell,6,5,0.792,22
0.219,1,CHA,0,6,O Luna,48,11,0.435,259
0.444,0,DUN,1,0,B Van Kirk,6,6,1.044,20
0.464,0,STL,1,2,J Satin,8,5,1.055,22
0.351,1,DAY,0,3,J Harrison,20,6,0.751,70
0.306,9,SAR,0,13,J Reed,106,55,0.605,478
0.282,1,CLR,0,23,C Overbeck,83,23,0.681,361
0.208,0,JUP,0,1,J Blackwood,16,4,0.458,92
0.643,0,CHA,0,0,B Upton,4,4,1.087,9
0.438,0,LAK,0,1,C Guillen,3,4,0.771,12
0.336,2,DUN,0,10,S Shoffit,46,34,0.679,210
0.18,0,LAK,3,4,R Tomas,13,5,0.365,92
0.287,1,CLR,2,8,J Villegas,53,12,0.62,225
0.406,2,PMB,1,10,C Cutler,40,25,0.796,146
0.25,0,CLR,0,0,O Guevara,1,0,0.393,7
0.208,0,SAR,1,3,J Long,7,4,0.416,48
0.444,0,FTM,1,2,J Mauer,6,2,0.978,15
0.352,2,PMB,1,7,C Sedbrook,50,29,0.651,224
0.329,8,FTM,1,15,S Singleton,80,23,0.753,297
1.0,0,STL,0,0,D Doyle,3,1,2.0,3
0.156,0,DAY,0,0,J Made,7,0,0.311,45
0.323,5,JUP,2,16,O Martinez,110,41,0.644,433
0.333,0,TAM,0,0,E Landoni,5,5,0.519,27
0.188,0,FTM,0,1,Y Solarte,3,0,0.438,16
0.39,3,JUP,1,9,M Stanton,53,28,0.968,180
0.335,7,JUP,3,20,G Burns,115,64,0.674,475
0.231,0,FTM,1,1,J Richardson,13,2,0.457,62
0.248,0,TAM,0,4,J Gil,20,5,0.498,96
0.323,3,DUN,1,12,R Barron,56,17,0.701,212
0.333,0,LAK,0,2,B Alvino,11,2,0.65,41
0.265,2,TAM,2,7,S Fortenberry,33,20,0.593,189
0.326,2,DAY,3,5,T Colvin,28,13,0.683,112
0.254,2,DAY,3,19,J Rosa,54,11,0.593,245
0.255,1,PMB,0,7,B Murphy,22,16,0.527,136
0.354,0,PMB,0,4,N Derba,18,20,0.629,91
0.303,4,LAK,0,12,C White,75,28,0.638,319
0.363,4,LAK,2,9,K Kaiser,44,23,0.823,165
0.287,4,DAY,1,15,M Gonzalez,102,26,0.596,424
0.246,1,LAK,1,5,A Casanova,24,13,0.469,152
0.358,1,LAK,0,2,K Peter,22,19,0.621,99
0.301,0,PMB,3,7,J Curtis,62,34,0.531,314
0.563,0,STL,0,2,A Pagan,5,4,1.146,12
0.2,0,DUN,0,0,L Hurtado,1,0,0.4,5
0.304,0,DAY,3,0,R Keedy,21,9,0.54,89
0.298,2,DUN,10,23,M Rodriguez,104,24,0.697,396
0.231,0,PMB,0,1,T Glaus,5,1,0.471,25
0.348,2,LAK,0,7,J Tucker,55,21,0.651,218
0.275,2,JUP,0,2,J Synan,16,12,0.552,90
0.431,3,BRE,1,2,C Gillespie,15,7,1.036,43
0.322,2,DAY,6,7,N Samson,83,31,0.628,326
0.36,6,TAM,3,17,D Adams,65,26,0.858,231
0.311,3,FTM,11,18,D Romero,94,50,0.63,417
0.327,0,DAY,0,1,M Smith,13,5,0.907,50
0.255,2,DAY,1,6,M Reed,32,12,0.505,168
0.327,3,LAK,2,19,M Bertram,82,20,0.796,292
0.327,7,CHA,2,12,E Salem,91,36,0.654,357
0.327,4,CHA,4,6,D Anderson,36,11,0.754,131
0.261,1,DUN,2,26,J Gonzalez,89,10,0.679,381
0.333,0,STL,0,0,D Stegall,1,1,1.133,5
0.222,0,STL,1,0,J Rivera,2,0,0.472,8
0.115,0,SAR,0,0,C McMurray,2,1,0.195,25
0.31,0,CHA,1,4,I Paxton,23,2,0.722,80
0.206,1,SAR,4,4,D Perales,13,1,0.555,63
0.121,0,DAY,0,0,J Contreras,3,1,0.215,32
0.244,0,SAR,1,1,T Brown,7,2,0.541,37
0.39,2,DUN,2,10,B McElroy,47,31,0.79,175
0.216,0,CHA,0,2,S Vogt,6,2,0.445,35
0.367,0,FTM,2,3,D Lehmann,20,9,0.749,68
0.1,0,CHA,0,0,D Luis,0,1,0.1,9
0.232,1,PMB,0,1,A Castellanos,10,2,0.534,53
0.357,5,STL,1,35,K Nieuwenhuis,132,53,0.824,482
0.2,0,LAK,0,0,L Castillo,2,0,0.4,10
0.277,1,PMB,0,6,P Vasquez,38,3,0.644,150
0.301,2,JUP,1,12,S McDougall,44,21,0.653,196
0.328,2,JUP,2,18,R Curry,77,20,0.792,278
0.352,3,FTM,2,11,N Romero,58,38,0.711,242
0.391,0,DAY,0,0,K Soto,7,1,0.725,21
0.241,1,SAR,2,4,J Gualdron,25,2,0.584,108
0.289,0,BRE,0,2,J Sanchez,8,3,0.575,35
