oppTAv,GS,oppRPA+,SLG
0.266,9,105,0.496
0.253,3,94,0.371
0.261,21,101,0.432
0.254,0,95,0.515
0.261,32,101,0.44
0.26,0,100,0.414
0.257,0,97,0.556
0.254,21,95,0.405
0.265,20,104,0.335
0.26,31,100,0.424
0.251,0,93,0.539
0.255,0,96,0.395
0.262,0,101,0.409
0.253,13,94,0.259
0.26,0,100,0.373
0.263,12,102,0.418
0.257,28,98,0.381
0.252,4,93,0.464
0.263,0,103,0.509
0.268,13,107,0.463
0.257,0,97,0.125
0.274,3,112,0.585
0.265,0,105,0.333
0.256,25,97,0.407
0.269,0,108,1.5
0.263,0,102,0.412
0.253,1,94,0.647
0.263,32,103,0.424
0.268,18,107,0.434
0.263,12,103,0.484
0.268,33,107,0.333
0.261,0,101,0.27
0.262,3,101,0.597
0.26,0,100,0.444
0.264,0,104,0.588
0.255,25,96,0.41
0.258,0,99,0.348
0.258,0,98,0.407
0.265,0,105,0.301
0.253,0,94,0.292
0.265,2,105,0.364
0.258,0,98,0.358
0.258,0,98,0.0
0.266,0,105,0.269
0.259,33,99,0.442
0.261,0,101,0.472
0.259,2,99,0.427
0.255,20,95,0.402
0.264,7,103,0.395
0.258,0,99,0.4
0.265,0,104,0.407
0.256,27,97,0.377
0.258,0,98,0.5
0.266,0,105,0.282
0.263,0,102,0.453
0.256,0,97,0.45
0.256,26,97,0.441
0.263,0,103,0.51
0.261,16,100,0.436
0.26,0,100,0.6
0.264,0,103,0.375
0.299,0,134,4.0
0.267,0,106,0.321
0.265,26,104,0.473
0.264,0,103,0.357
0.261,12,101,0.48
0.261,0,101,0.313
0.259,0,99,0.667
0.259,0,99,0.538
0.261,0,101,0.332
0.263,0,103,0.44
0.264,0,104,0.226
0.276,0,114,1.333
0.262,0,102,0.274
0.255,15,96,0.593
0.253,0,94,0.553
0.288,0,124,2.6
0.268,0,107,0.428
0.237,0,80,0.333
0.264,0,104,0.583
0.26,0,100,0.353
0.253,0,94,0.292
0.26,0,100,0.516
0.246,0,88,0.75
0.26,31,100,0.382
0.261,0,100,0.348
0.258,0,99,0.339
0.263,16,103,0.468
0.265,29,105,0.346
0.259,32,99,0.406
0.262,30,102,0.463
0.257,28,98,0.418
0.267,0,106,0.0
0.269,0,108,0.579
0.272,0,110,0.839
0.257,5,97,0.432
0.244,0,86,0.75
0.259,0,100,0.405
0.254,17,95,0.386
0.257,1,97,0.217
0.26,0,100,0.284
0.257,0,97,0.429
0.263,31,103,0.452
0.262,0,102,0.358
0.262,0,101,0.376
0.259,1,99,0.476
0.27,1,109,0.411
0.256,33,96,0.41
0.26,6,100,0.512
0.258,14,98,0.457
