Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
9:53 AM,32.0 °F,19.2 °F,30.0 °F,92%,29.59 in,1.5 mi,North,23.0 mph,29.9 mph,0.00 in,Snow,Light Snow
10:30 AM,32.0 °F,19.2 °F,30.2 °F,93%,29.57 in,2.0 mi,North,23.0 mph,31.1 mph,0.00 in,Snow,Light Snow
10:43 AM,33.8 °F,22.2 °F,30.2 °F,87%,29.57 in,4.0 mi,North,20.7 mph,26.5 mph,0.00 in,Snow,Light Snow
10:53 AM,33.1 °F,21.2 °F,28.9 °F,85%,29.60 in,5.0 mi,North,20.7 mph,28.8 mph,0.00 in, ,Overcast
11:34 AM,33.8 °F,22.8 °F,28.4 °F,81%,29.59 in,5.0 mi,North,18.4 mph,27.6 mph,0.00 in, ,Overcast
11:53 AM,33.1 °F,21.9 °F,28.9 °F,85%,29.62 in,4.0 mi,North,18.4 mph,25.3 mph,0.00 in,Snow,Light Snow
12:53 PM,33.1 °F,22.6 °F,28.9 °F,85%,29.64 in,8.0 mi,North,16.1 mph,-,0.00 in, ,Overcast
1:53 PM,33.1 °F,23.0 °F,28.9 °F,85%,29.64 in,7.0 mi,North,15.0 mph,-, , ,Overcast
2:53 PM,33.1 °F,22.2 °F,28.0 °F,82%,29.66 in,7.0 mi,North,17.3 mph,24.2 mph, , ,Overcast
3:53 PM,33.1 °F,23.0 °F,28.0 °F,82%,29.69 in,7.0 mi,North,15.0 mph,-, , ,Overcast
4:49 PM,33.8 °F,24.3 °F,28.4 °F,81%,29.69 in,6.0 mi,NNW,13.8 mph,21.9 mph, , ,Haze
4:53 PM,33.1 °F,22.2 °F,28.0 °F,82%,29.71 in,6.0 mi,NNW,17.3 mph,21.9 mph, , ,Haze
5:26 PM,33.8 °F,23.9 °F,28.4 °F,81%,29.70 in,5.0 mi,North,15.0 mph,-, , ,Haze
5:50 PM,32.0 °F,22.5 °F,28.4 °F,87%,29.71 in,2.0 mi,NNW,12.7 mph,-,0.00 in,Snow,Light Snow
5:53 PM,32.0 °F,21.6 °F,28.9 °F,88%,29.74 in,2.0 mi,North,15.0 mph,-,0.00 in,Snow,Light Snow
5:59 PM,32.0 °F,22.5 °F,28.4 °F,87%,29.71 in,1.2 mi,North,12.7 mph,-,0.00 in,Snow,Light Snow
6:22 PM,32.0 °F,23.0 °F,28.4 °F,87%,29.72 in,1.5 mi,NNW,11.5 mph,-,0.00 in,Snow,Light Snow
6:37 PM,32.0 °F,23.6 °F,28.4 °F,87%,29.73 in,2.5 mi,NNW,10.4 mph,-,0.00 in,Snow,Light Snow
6:53 PM,32.0 °F,24.8 °F,28.9 °F,88%,29.77 in,3.0 mi,NNW,8.1 mph,-,0.00 in,Snow,Light Snow
7:38 PM,30.2 °F,21.9 °F,28.4 °F,93%,29.76 in,3.0 mi,NNW,9.2 mph,-,0.00 in,Snow,Light Snow
7:53 PM,32.0 °F,23.6 °F,28.0 °F,85%,29.80 in,4.0 mi,NNW,10.4 mph,-,0.00 in,Snow,Light Snow
8:31 PM,32.0 °F,24.2 °F,28.4 °F,87%,29.78 in,2.5 mi,NW,9.2 mph,-,0.00 in,Snow,Light Snow
8:51 PM,30.2 °F,22.6 °F,28.4 °F,93%,29.80 in,2.5 mi,WNW,8.1 mph,-,0.00 in,Snow,Light Snow
8:53 PM,30.9 °F,23.5 °F,28.9 °F,92%,29.83 in,2.0 mi,WNW,8.1 mph,-,0.00 in,Snow,Light Snow
8:56 PM,30.2 °F,22.6 °F,28.4 °F,93%,29.80 in,1.8 mi,WNW,8.1 mph,-,0.00 in,Snow,Light Snow
9:23 PM,30.2 °F,21.9 °F,28.4 °F,93%,29.81 in,2.0 mi,WNW,9.2 mph,-,0.00 in,Snow,Light Snow
9:30 PM,30.2 °F,21.3 °F,28.4 °F,93%,29.81 in,2.5 mi,WNW,10.4 mph,-,0.00 in,Snow,Light Snow
9:38 PM,30.2 °F,20.8 °F,28.4 °F,93%,29.81 in,2.0 mi,WNW,11.5 mph,-,0.00 in,Snow,Light Snow
9:48 PM,30.2 °F,21.3 °F,28.4 °F,93%,29.82 in,2.0 mi,WNW,10.4 mph,-,0.00 in,Snow,Light Snow
9:49 PM,30.9 °F,22.2 °F,28.9 °F,92%,29.85 in,2.0 mi,WNW,10.4 mph,-,0.00 in,Snow,Light Snow
9:57 PM,30.2 °F,22.6 °F,28.4 °F,93%,29.82 in,2.5 mi,WNW,8.1 mph,-,0.00 in,Snow,Light Snow
10:49 PM,30.2 °F,21.3 °F,28.4 °F,93%,29.83 in,3.0 mi,WNW,10.4 mph,-,0.00 in,Snow,Light Snow
11:34 PM,30.2 °F,20.2 °F,28.4 °F,93%,29.83 in,3.0 mi,NW,12.7 mph,-,0.00 in,Snow,Light Snow
11:45 PM,30.2 °F,21.3 °F,28.4 °F,93%,29.83 in,2.5 mi,NW,10.4 mph,-,0.00 in,Snow,Light Snow
11:53 PM,30.9 °F,22.2 °F,28.0 °F,89%,29.86 in,2.5 mi,NW,10.4 mph,-,0.00 in,Snow,Light Snow
