POS,AVG,RBI,Team,Player,3B,OPS,BB,SO
LF,0.217,17,RIC,R Lollis,3,0.559,17,28
LF,0.293,56,ERI,J Krizan,2,0.778,53,47
LF,0.263,30,AKR,B Myles,3,0.727,26,87
C,0.225,15,NH,J Murphy,0,0.706,15,30
RF,0.256,10,NH,M Mesa,1,0.738,5,33
OF,0.282,10,BOW,J Ruettiger,1,0.671,11,22
CF,0.236,57,REA,A Altherr,2,0.686,26,110
SS,0.291,39,POR,D Marrero,2,0.804,34,57
OF,0.0,0,HAR,R Oduber,0,0.0,0,0
2B,0.34,1,NBR,L Michael,0,0.803,7,11
C,0.129,6,ALT,R Henriquez,0,0.363,1,23
CF,0.295,12,NH,D Pompey,3,0.851,14,18
C,0.286,8,BIN,J Centeno,0,0.688,6,11
2B,0.358,7,AKR,J Pedroza,2,0.97,3,8
LF,0.282,37,BOW,K Kang,3,0.79,32,86
OF,0.294,23,TRN,T Dugas,5,0.827,23,29
3B,0.3,19,AKR,G Urshela,0,0.914,6,16
2B,0.295,8,ALT,K Brown,1,0.654,4,18
3B,0.125,0,ERI,T Hanover,0,0.375,0,2
2B,0.252,14,ERI,M Lemon,1,0.684,12,31
3B,0.293,16,ERI,W Gaynor,1,1.021,9,30
RF,0.455,4,AKR,R Raburn,0,0.955,1,3
RF,0.296,34,REA,K Dugan,1,0.818,28,56
OF,0.333,0,REA,J James,0,0.792,1,7
3B,0.283,49,TRN,R Segedin,1,0.826,52,60
C,0.0,0,REA,J Mayorga,0,0.0,0,2
1B,0.215,21,NH,K Hobson,0,0.621,15,41
CF,0.25,12,BOW,M Yastrzemski,4,0.723,14,34
RF,0.234,23,ALT,M Curry,1,0.656,20,50
LF,0.235,42,BOW,C Marrero,1,0.731,20,40
2B,0.217,12,NBR,S Wickens,0,0.526,10,29
3B,0.224,4,TRN,D Bichette,0,0.611,6,11
OF,0.303,36,ALT,M Rojas,1,0.825,23,34
SS,0.203,2,NBR,A Pettersen,0,0.6,10,17
C,0.212,19,NBR,M Koch,0,0.585,27,58
LF,0.261,51,TRN,B Gamel,3,0.648,36,88
C,0.0,0,REA,C Carman,0,0.0,0,2
C,0.221,17,REA,L Moore,1,0.654,20,48
CF,0.258,37,ERI,J Johnson,5,0.706,63,52
1B,0.333,0,HAR,A LaRoche,0,0.833,1,1
SS,0.364,0,TRN,B Ryan,0,0.825,2,1
2B,0.238,6,POR,R Dent,1,0.645,6,33
3B,0.224,29,ERI,F Martinez,0,0.537,18,72
CF,0.313,12,BOW,G Davis,0,0.736,2,20
1B,0.231,31,POR,D Chester,0,0.671,18,68
RF,0.271,18,NH,C Aldridge,0,0.762,4,20
RF,0.309,68,BOW,D Alvarez,1,0.819,13,35
SS,0.236,42,HAR,J Martinson,5,0.663,45,127
SS,0.333,0,ALT,C Barmes,0,0.667,0,0
3B,0.32,48,BOW,N Romero,1,0.834,84,63
DH,0.311,65,ERI,D Green,1,0.817,28,80
RF,0.248,64,BIN,T Taijeron,0,0.832,48,107
3B,0.266,76,RIC,M Lisson,0,0.837,54,93
1B,0.305,37,POR,T Shaw,1,0.954,29,23
SS,0.257,38,NH,K Nolan,1,0.678,26,47
CF,0.313,61,HAR,M Taylor,2,0.935,50,130
C,0.283,19,BIN,X Carrillo,0,0.701,11,32
SS,0.135,6,TRN,C Angelini,0,0.395,8,21
2B,0.298,52,ERI,D Travis,7,0.817,37,60
RF,0.255,20,POR,J Roof,2,0.723,19,46
C,0.24,12,NH,D Chung,0,0.55,6,14
RF,0.271,63,ALT,W Garcia,5,0.789,24,145
OF,0.167,9,TRN,Y Sanchez,0,0.47,7,31
C,0.156,7,REA,L Davis,0,0.499,5,10
CF,0.36,1,ALT,J Sosa,0,0.865,1,3
1B,0.25,36,NH,M McDade,0,0.673,20,57
OF,0.233,5,REA,E Williams,0,0.524,2,5
OF,0.329,5,HAR,D Hood,0,0.739,2,18
RF,0.242,39,NH,M Newman,4,0.681,16,81
LF,0.256,52,RIC,D Harris,3,0.747,30,121
SS,0.282,69,BOW,G Rosa,1,0.714,12,95
SS,0.254,42,TRN,A Castillo,3,0.645,36,45
3B,0.214,3,NH,G Pierre,0,0.59,1,11
CF,0.232,16,NH,K Wilson,4,0.637,17,58
C,0.168,18,POR,M Brenly,1,0.518,13,37
RF,0.326,23,POR,H Ramos,2,0.799,11,38
OF,0.298,14,AKR,T Holt,1,0.762,27,26
LF,0.293,49,AKR,A Gallas,2,0.872,21,71
CF,0.266,43,POR,S Wilkerson,3,0.674,30,69
3B,0.27,37,NH,R Schimpf,1,0.986,28,56
C,0.271,6,HAR,B Bantz,0,0.663,4,14
OF,0.342,34,REA,C Perkins,1,0.903,20,30
LF,0.6,7,HAR,B Harper,0,2.292,3,1
LF,0.0,0,BIN,E Young Jr.,0,0.182,2,3
OF,0.217,4,NH,B Van Kirk,0,0.526,3,16
C,0.125,2,BIN,T d'Arnaud,0,0.722,1,0
1B,0.264,18,NBR,M Gonzales,0,0.754,9,26
CF,0.0,0,NBR,B Buxton,0,0.0,0,3
1B,0.234,60,AKR,B LaHair,2,0.656,50,91
1B,0.236,49,ERI,A Westlake,1,0.689,32,120
C,0.083,1,REA,W Nieves,0,0.167,0,2
SS,0.246,26,NBR,B Boyer,3,0.577,13,33
C,0.3,55,POR,B Swihart,3,0.84,29,65
2B,0.243,23,REA,A Cartwright,2,0.61,29,111
C,0.192,1,NBR,J Rodriguez,0,0.442,2,2
1B,0.222,49,POR,S Welch,3,0.696,48,99
SS,0.305,32,ERI,D Machado,1,0.832,40,36
RF,0.287,7,ALT,J Bell,0,0.652,8,12
3B,0.276,76,BIN,B Burgamy,1,0.88,71,101
C,0.5,0,BIN,C Maron,0,1.0,0,1
OF,0.324,31,NBR,D Ortiz,2,0.84,4,34
SS,0.273,14,REA,K Serna,1,0.654,4,24
C,0.236,5,HAR,C Leonida,0,0.655,14,29
OF,0.25,1,BIN,J Lagares,0,0.583,1,3
