AVG,R,GIDP,3B,SO,BB,SF,G
.270,61,11,1,56,40,4,123
.302,8,0,0,6,4,1,14
.204,15,2,0,60,25,0,61
.188,17,8,2,43,6,0,61
.235,24,7,0,65,27,1,67
.239,31,1,2,85,28,1,77
.000,0,0,0,1,0,0,2
.277,48,9,1,67,20,4,97
.000,0,0,0,2,0,0,1
.234,16,2,1,33,12,0,46
.375,9,0,2,13,1,0,14
.273,25,6,1,19,23,4,48
.342,7,1,0,8,4,0,10
.250,50,5,5,71,32,3,88
.242,31,8,0,75,26,1,96
.248,47,18,5,95,31,1,123
.214,45,8,3,87,39,1,110
.208,30,11,1,52,15,2,73
.277,32,1,4,66,40,3,73
.282,35,9,1,72,29,3,85
.267,75,6,3,116,40,7,116
.259,23,0,0,22,13,3,38
.229,54,15,1,124,51,3,128
.247,11,1,2,27,8,0,34
.247,29,3,2,90,9,3,67
.324,42,2,1,79,36,2,66
.259,29,0,1,29,21,3,36
.098,8,1,0,18,11,0,20
.111,2,0,0,6,2,0,6
.268,8,0,1,19,7,2,20
.230,7,3,0,10,6,1,20
.233,75,7,3,102,65,3,115
.158,4,0,0,14,8,0,13
.257,56,6,7,140,21,3,125
.276,10,1,1,18,5,0,21
.238,25,3,1,36,26,1,62
.222,42,4,3,71,16,2,86
.250,0,1,0,1,0,0,1
.240,54,9,8,94,32,3,110
.091,0,1,0,4,3,0,4
.236,8,1,1,28,9,3,42
.165,17,0,1,35,14,0,41
.211,12,8,1,30,9,0,34
.000,0,0,0,3,1,0,1
.212,19,6,0,28,24,3,66
.251,64,3,2,125,58,8,123
.288,72,8,8,64,34,7,114
.279,75,10,2,90,52,5,119
--,0,0,0,0,0,0,1
.193,20,2,0,59,16,3,63
.288,84,9,3,132,107,2,130
--,0,0,0,0,0,0,1
.189,21,1,0,57,14,1,43
.317,8,2,0,8,5,3,19
.311,8,4,0,9,1,0,18
--,0,0,0,0,0,0,1
.272,17,7,0,27,11,3,49
.217,45,4,0,69,52,1,72
