MPG,FGA,3PM,FTM,Team,FTA,#,FG%,BPG
39.8,68.6,8.0,11.0,Cajasol Seville Junior Team,18.6,785,0.376,4.4
40.5,63.1,5.3,14.5,Dnipro Dnipropetrovsk,20.7,168,0.435,3.7
39.9,68.5,8.4,16.9,SC Rasta Vechta,23.4,754,0.463,2.6
40.2,62.2,6.7,16.2,Yourgoody Dukes Klosterneuburg,22.8,395,0.466,2.0
40.1,66.2,5.3,14.6,Astrum Levice,22.9,604,0.454,3.8
40.3,75.2,6.2,10.6,Anibal Zahle,16.2,330,0.412,3.1
40.1,62.5,5.7,16.3,Juventus,22.7,585,0.493,2.5
40.1,63.5,6.6,14.0,Eco Orebro,19.6,500,0.433,2.1
40.3,58.5,7.7,16.7,SAV Vacallo Basket,20.1,362,0.475,0.9
40.3,63.8,5.6,12.6,Tundja Yambol,18.5,304,0.463,2.1
40.3,67.8,5.8,14.7,BSC Raiffeisen Panthers Furstenfeld,19.7,321,0.438,2.8
40.1,65.4,8.1,12.6,Gigantes,19.2,532,0.457,2.5
40.3,60.3,6.7,14.9,Virtus Roma,21.0,340,0.457,2.9
40.6,57.3,6.7,17.1,Amics Castello,22.3,133,0.441,1.6
40.0,62.3,7.0,17.1,Turi Svitavy,23.3,715,0.446,1.9
40.2,64.3,10.1,13.3,Nova Hut Ostrava,19.0,440,0.445,1.2
40.2,58.3,7.2,14.8,magnofit Gussinger Knights,20.0,393,0.446,2.1
40.0,56.6,7.5,13.5,LSU Atletas,19.9,641,0.429,2.6
40.5,62.1,8.4,15.7,SAP Vaucluse,22.0,161,0.46,1.3
40.1,62.6,7.4,15.8,Les Lions de Geneve,20.5,529,0.5,2.9
40.0,66.2,4.8,11.5,Union Olimpija Junior Team,16.8,631,0.438,2.2
0.0,78.8,8.4,15.6,Indiana Diesels,25.2,810,0.66,3.6
40.1,62.6,5.1,12.9,Naglis Palanga,20.9,530,0.419,1.8
40.0,61.6,6.1,14.6,KK Osjecki Sokol Osijek,20.0,718,0.461,1.6
39.8,61.9,7.7,15.4,Chernomorets Burgas,24.3,787,0.465,3.9
40.3,59.3,5.7,15.4,Belgacom Spirou Basket,21.9,310,0.456,1.9
40.4,59.2,8.8,14.9,La Bruixa d'Or Manresa,19.8,196,0.439,3.4
47.7,99.6,9.9,18.9,Vancouver,26.9,37,0.475,6.7
40.3,60.1,9.6,12.4,JSF Nanterre,16.9,372,0.479,1.1
40.9,62.6,3.5,11.5,SC Lusitania,16.4,77,0.42,4.2
40.3,63.8,7.7,12.7,KK Zagreb,17.2,316,0.473,1.4
48.3,78.0,8.9,18.9,Barako Bull Energy Boosters,27.4,15,0.391,2.9
48.3,84.0,9.4,19.8,Zhejiang Chouzhou,27.9,10,0.473,2.7
40.0,62.7,7.7,14.5,Tuenti Movil Estudiantes Madrid,19.0,724,0.454,3.5
45.5,66.2,7.1,15.1,Lokomotiv Kuban,21.9,48,0.49,3.2
40.2,64.2,7.4,11.6,Union Financiera Baloncesto Oviedo,16.1,392,0.458,2.1
40.0,57.9,6.1,14.4,Leyma Basquet Coruna,19.3,630,0.445,2.4
40.1,65.5,6.6,19.8,Gansos Salvajes,28.8,550,0.44,2.0
40.5,59.8,7.9,14.6,Sidigas Avellino,19.9,157,0.463,2.1
40.4,61.4,6.2,15.3,Vestelspor Manisa,24.0,199,0.438,2.8
40.2,65.0,5.5,9.6,Link Tochigi Brex,13.8,405,0.435,1.8
40.3,60.1,7.5,13.9,Torku Konyaspor,21.5,354,0.478,2.0
0.0,70.0,6.0,24.0,Kankakee County Soldiers,28.0,811,0.65,1.0
34.0,62.0,3.3,10.5,Killester,16.6,808,0.425,2.0
40.1,62.1,6.4,17.1,BK JIP Pardubice,23.7,599,0.459,2.2
40.0,59.8,5.6,11.6,Kedainiai Nevezis,16.3,685,0.448,3.2
40.0,59.5,7.8,17.2,SCM CSU Craiova,25.2,730,0.474,3.3
40.1,56.8,6.7,12.1,HKK Capljina-Lasta,18.3,538,0.469,1.3
40.2,71.4,7.2,12.0,Horsens IC,17.1,475,0.462,2.8
40.4,64.2,6.1,14.9,Bnei Herzelia,21.6,186,0.474,2.3
40.4,62.7,5.1,13.4,SK Dnipro Azot,18.9,229,0.444,5.2
40.3,59.7,7.7,14.8,Artland Dragons,19.1,270,0.457,2.3
48.1,82.4,8.4,16.2,Jilin Northeast,22.5,26,0.466,2.7
40.0,70.2,3.5,13.8,Zemsania CB L'Hospitalet,20.0,696,0.342,2.2
40.2,58.3,7.5,13.9,KK Smederevo 1953,18.3,449,0.463,1.7
40.0,58.8,5.5,11.9,TTU KK,17.7,714,0.445,2.2
40.0,60.0,4.3,13.3,Team China Junior Team,18.7,695,0.378,3.0
40.4,70.8,8.1,11.3,Fuerza Guinda de Nogales,17.0,245,0.459,3.6
40.0,60.4,6.6,10.4,Wonju Dongbu Promy,14.7,719,0.461,3.9
40.7,64.4,7.6,16.5,BK Valmiera,22.7,104,0.413,2.6
40.1,65.6,7.4,16.1,Panteras de Aguascalientes,22.6,583,0.514,1.6
40.5,61.5,6.3,15.1,Sammic ISB,21.2,177,0.437,1.8
40.5,61.2,6.1,14.2,BC Timba Timisoara,20.2,151,0.441,2.1
40.0,55.1,5.8,14.8,Almaty Alma-Ata,21.1,717,0.448,1.5
40.0,67.0,5.3,14.5,One Health Sharks Sheffield,19.0,713,0.428,2.2
40.2,64.5,6.1,13.2,Melbourne,17.7,452,0.429,3.2
40.5,60.1,6.6,12.7,Tofas SC,18.3,139,0.457,2.8
40.1,63.6,8.5,17.4,Flamengo,23.8,592,0.505,1.4
40.3,64.6,6.4,18.0,Panteras de Miranda,23.9,312,0.461,2.3
40.3,63.9,6.2,12.2,Sakalai,19.3,359,0.408,2.9
40.0,57.5,5.5,14.9,KK Radnik Bijeljina,23.8,666,0.445,1.5
40.8,62.3,9.3,8.5,Turk Telekom,12.6,81,0.437,1.6
40.0,53.8,3.8,10.5,ALBA Berlin Junior Team,18.8,632,0.372,2.5
39.9,60.6,4.9,14.4,Walter Tigers Tubingen,20.4,778,0.484,2.6
40.1,62.8,5.5,15.3,Joinville,22.0,580,0.441,3.1
40.2,59.2,7.5,13.6,KK Cedevita,18.0,421,0.48,1.7
48.5,85.4,9.9,20.8,Saint John Mill Rats,29.0,3,0.43,3.6
40.2,61.0,6.6,14.0,KK Teodo Tivat,18.7,413,0.454,1.8
40.7,63.4,6.9,14.5,Gimle BBK,20.0,102,0.438,4.1
40.0,67.3,6.3,16.1,Guerreros,22.7,709,0.467,2.5
40.5,62.5,6.6,11.8,KK Sutjeska,17.3,175,0.452,3.7
40.4,65.1,6.9,17.2,Cuxhaven Bascats,23.5,258,0.459,2.3
48.1,83.1,7.2,17.5,Fujian,25.8,22,0.462,1.8
40.2,60.2,9.8,12.2,Royal Hali Gaziantep,18.2,484,0.454,1.9
40.0,63.8,6.1,10.5,Tezenis Verona,15.5,656,0.44,3.0
40.6,61.9,7.8,15.6,Antibes Sharks,21.0,119,0.49,3.3
40.5,66.2,4.5,14.7,Sydney,20.5,167,0.425,2.6
40.0,60.9,5.3,15.4,Stella Artois Leuven Bears,21.5,651,0.44,2.1
40.5,57.8,7.1,15.2,BC Siroki,19.7,159,0.451,1.8
40.2,63.4,5.9,15.6,Siauliai,22.9,463,0.488,2.5
40.3,63.3,4.9,13.1,KK Vardar,20.6,385,0.413,0.9
40.1,61.1,4.5,15.4,Pertevniyal Istanbul,23.4,505,0.44,2.8
40.3,62.0,7.1,14.5,Energa Czarni Slupsk,19.7,378,0.455,3.4
39.6,60.3,7.3,13.5,Suzano,19.7,793,0.436,2.2
40.3,60.4,6.8,15.3,Saint-Vallier,21.9,342,0.474,2.2
40.2,60.9,8.0,14.7,Saint Chamond Basket,20.1,482,0.434,2.4
40.4,59.7,6.2,18.0,Mogi das Cruzes,23.9,217,0.424,1.3
40.2,70.6,10.3,11.9,Worcester Wolves,18.6,464,0.452,3.1
40.4,58.2,4.4,14.4,Hapoel Tel Aviv,21.1,252,0.465,3.1
40.0,61.8,7.1,12.4,Grissin Bon Reggio Emilia,17.3,652,0.456,2.6
40.3,63.0,8.1,17.0,BC VEF Riga,22.3,325,0.491,2.4
40.1,60.0,7.2,13.2,Academica Coimbra,18.7,524,0.442,2.3
40.3,59.6,6.9,14.7,Gladiators Trier,20.5,338,0.452,2.5
40.3,59.1,8.3,14.8,Mitteldeutscher BC,20.4,346,0.434,3.4
40.4,64.5,6.9,14.7,Bucaneros,20.5,209,0.474,2.4
40.4,60.4,7.8,15.1,CSS Bega Timisoara,20.0,180,0.486,2.5
40.2,59.7,7.2,14.7,Granarolo Bologna,21.0,487,0.445,1.5
40.3,65.4,10.4,14.6,Banco di Sardegna Sassari,18.8,287,0.48,1.7
40.0,62.2,5.5,14.9,Kotwica Kolobrzeg,22.3,677,0.411,3.8
40.0,59.0,7.2,9.2,USK Future Stars,12.8,633,0.441,1.2
40.2,63.5,8.3,13.2,Naturtex-SZTE-Szedeak,18.6,458,0.487,1.2
40.0,62.9,9.0,15.1,Rent4Office Nuernberger BC,21.0,610,0.451,2.9
40.4,61.5,10.0,11.2,FC Barcelona II,14.7,236,0.444,2.7
40.0,61.6,6.8,14.6,Rueil Athletic Club,20.4,629,0.435,2.3
40.6,71.6,7.2,12.4,Vaerlose BBK,17.6,115,0.408,2.8
45.1,71.1,6.8,15.7,Krasnye Krylia,21.5,50,0.432,2.9
40.7,65.4,6.4,13.8,FC Barcelona Regal Junior Team,20.1,112,0.394,3.9
40.3,73.2,6.2,18.9,Pacific Jewellers Saints,26.4,355,0.489,4.1
40.4,63.4,6.7,10.1,CS Dinamo Bucuresti,15.6,220,0.381,2.3
47.8,82.0,8.0,23.9,Moncton Miracles,34.3,34,0.418,4.6
40.1,58.6,6.2,11.8,KS Start Gdynia,18.1,510,0.426,3.1
39.8,62.0,4.8,10.6,Real Madrid Junior Team,19.4,783,0.442,3.0
40.4,64.8,7.3,12.8,Pallacanestro Trieste 2004,16.3,264,0.42,1.6
39.7,60.3,8.2,16.1,Sao Jose/Unimed/Vinac,20.4,789,0.466,2.6
40.3,60.8,7.4,11.6,Namika Lahti,16.9,279,0.461,1.6
40.1,62.0,9.4,12.5,Baloncesto Fuenlabrada,17.0,553,0.423,2.9
40.5,63.3,7.9,12.9,U-Banca Transilvania Cluj,17.9,142,0.481,2.6
40.5,69.9,8.4,16.3,Mets de Guaynabo,22.5,164,0.449,2.6
40.4,62.7,6.2,15.8,KK Vrsac Swisslion,21.8,235,0.479,3.5
39.9,68.2,6.6,13.1,BC Grodno 93,20.1,753,0.474,4.1
0.0,74.0,4.0,20.0,West Virginia Miners,29.0,818,0.554,2.0
40.2,58.5,8.7,15.3,Turow Zgorzelec,19.9,417,0.469,3.0
40.4,61.5,8.0,12.9,Kouvot,16.5,210,0.464,1.0
40.0,63.3,6.9,11.5,Hacettepe Universitesi,17.9,704,0.404,2.1
40.2,57.0,5.5,12.9,KK Ibar Rozaje,20.3,457,0.5,1.5
40.8,60.1,8.1,11.9,KK Djuro Slavonski Brod,18.7,93,0.462,2.5
40.4,60.1,6.5,14.7,Centro Juventud Sionista,21.9,225,0.48,1.7
40.2,59.2,7.8,13.4,BC Anwil,19.3,418,0.451,2.3
40.2,61.7,5.8,13.3,Keravnos Strovolou,20.2,454,0.435,2.5
40.5,58.8,7.9,14.3,Belfius Mons-Hainaut,19.5,169,0.471,2.3
40.1,69.4,7.8,11.7,Mgzavrebi-Armia Tbilisi,18.0,574,0.436,3.0
39.9,66.1,5.8,14.7,Rubon Vitebsk,23.7,767,0.436,2.3
40.5,63.2,6.1,12.2,Toshiba Brave Thunders,17.6,158,0.465,2.5
40.3,62.8,7.3,14.7,Basquete Cearense,19.5,319,0.462,2.7
40.6,61.9,6.3,13.5,BC Farul Constanta,19.7,116,0.412,1.8
40.5,61.0,10.5,15.3,Yesilgiresun Belediye,20.9,163,0.424,2.2
40.3,65.7,7.4,13.1,Toyota Alvark,19.2,299,0.429,2.9
40.4,60.3,9.1,17.3,BC Mures Targu-Mures,22.7,238,0.477,2.6
40.3,64.7,6.7,13.4,Antalya BSB,17.5,309,0.427,2.0
40.3,61.0,6.1,12.9,Caceres Patrimonio de la Humanidad,19.3,351,0.439,2.0
40.4,62.8,7.8,14.8,SPO Rouen Basket,19.9,183,0.478,2.0
40.0,59.0,7.3,11.4,KK Jedinstvo Bijelo Polje,17.1,617,0.45,2.3
39.8,60.0,5.9,11.7,Voo Wolves Verviers-Pepinster,17.0,788,0.446,2.3
40.3,60.2,7.9,15.3,CSS Giurgiu,23.3,288,0.462,1.5
40.5,62.6,7.2,13.5,MBC Mykolaiv,19.1,146,0.431,4.0
40.0,61.0,4.7,9.0,Audentes Sports School,11.0,694,0.432,3.3
40.2,59.9,6.8,18.0,Palma Air Europa,24.4,488,0.42,2.4
40.8,63.4,5.9,14.1,Gigantes,20.1,92,0.435,2.4
40.2,61.6,6.1,15.0,KK Feni Industries,21.4,461,0.499,2.2
40.1,57.3,6.6,13.4,Strasbourg IG,17.3,547,0.492,2.8
40.0,61.4,6.7,16.8,BK Opava,22.9,743,0.427,1.9
40.2,64.1,7.6,14.0,Crailsheim Merlins,19.3,489,0.459,1.9
39.9,60.0,8.4,15.3,Gimnasia Indalo,20.7,764,0.489,1.5
40.1,64.0,8.5,13.4,Autocid Ford Burgos,18.3,598,0.479,2.2
48.3,78.9,6.9,16.2,Tianjin Ronggang,23.4,11,0.447,5.2
40.1,61.3,5.6,14.8,ALM Evreux Basket,20.1,533,0.497,2.6
48.1,74.7,7.1,19.0,Zenit Saint Petersburg,25.0,27,0.44,2.6
40.1,61.2,6.6,15.2,KK Vojvodina Novi Sad,21.4,552,0.491,1.6
40.7,58.3,5.6,15.4,Fileni BPA Jesi,20.8,99,0.48,2.9
39.6,58.5,8.5,23.0,Ural Ekaterinburg,28.5,792,0.419,2.5
40.5,59.7,9.0,17.2,Brose Baskets,22.4,149,0.465,3.2
40.1,56.0,3.8,9.5,Virtus Bologna Junior Team,15.0,568,0.42,2.8
48.4,75.7,11.1,16.7,Dongguan,21.4,6,0.484,3.6
39.9,63.6,6.9,18.5,Science City Jena,24.6,773,0.472,1.9
40.0,72.0,9.4,12.6,Sporting Al Riyadi Beirut,17.9,745,0.468,4.3
40.0,60.0,4.5,17.0,KK Cedevita Junior Team,25.8,636,0.354,1.5
39.2,65.3,5.6,9.9,AB Contern,16.3,803,0.442,1.9
40.0,67.2,5.3,12.7,Ammerud Basket,19.5,609,0.389,2.2
40.7,67.9,7.9,15.1,Byblos,24.1,103,0.439,2.9
41.7,69.3,3.7,18.7,KK Cibona Junior Team,26.0,57,0.428,1.3
40.2,67.3,8.5,16.7,Correcaminos,21.1,402,0.468,1.3
40.4,60.4,10.0,14.7,Spartak Pleven,19.9,243,0.418,1.2
40.0,61.4,7.2,13.7,CB Prat Juventud,20.0,637,0.4,3.4
40.8,60.6,8.9,13.2,Illawarra Hawks,18.1,88,0.436,2.6
40.0,56.0,2.3,15.0,Hebraica Macabi,26.0,654,0.44,2.3
40.3,59.9,6.6,11.6,Busan KT Sonicboom,14.9,300,0.463,2.1
40.3,60.5,6.8,12.5,Istanbulspor,18.5,350,0.383,1.8
40.1,62.5,8.2,16.3,FIATC Joventut Badalona,20.0,506,0.428,3.2
40.5,59.3,6.6,14.9,Zalakeramia-ZTE KK,21.2,136,0.473,1.1
48.0,86.8,8.8,22.5,The Island Storm,30.9,29,0.441,4.7
40.9,75.5,7.4,18.5,KFI,24.3,74,0.415,2.4
41.0,62.6,6.9,17.0,Lugano Tigers,23.0,69,0.486,1.9
40.0,65.3,5.3,10.3,Topsportschool VBL,14.7,690,0.495,5.3
40.2,64.0,7.4,11.6,CEBA Guadalajara,16.0,441,0.433,3.2
40.1,74.4,5.3,15.8,Super City Rangers,24.5,537,0.396,3.2
40.1,57.1,5.7,13.6,BC Souffelweyersheim,20.3,570,0.463,3.6
40.1,69.4,7.7,17.9,BK Lions Jindrichuv Hradec,24.1,562,0.418,1.8
40.6,58.7,4.4,20.7,Mavort Quito,26.3,127,0.458,2.7
40.4,65.6,5.4,13.8,Adelaide,20.1,265,0.422,2.7
40.2,60.1,6.9,11.5,Herbalife Gran Canaria,16.2,407,0.451,2.0
40.1,63.2,4.1,16.6,SLUNETA Usti nad Labem,23.6,522,0.432,2.6
40.1,59.0,7.3,13.7,s.Oliver Baskets,20.6,536,0.434,2.5
40.5,61.7,5.7,11.8,Angelico Biella,15.5,156,0.446,1.1
40.2,62.0,6.3,17.0,Stelmet Zielona Gora,21.7,466,0.477,2.3
40.6,64.6,5.4,12.8,Maccabi Rishon Lezion,20.8,131,0.459,3.9
48.4,82.0,6.8,18.0,Rain or Shine Elasto Painters,26.7,9,0.41,3.2
41.7,66.7,8.7,17.0,Azzurro Basket Napoli,20.0,58,0.445,0.7
40.2,57.1,7.3,17.3,Telenet BC Oostende,22.1,404,0.475,1.6
40.2,58.1,5.5,14.1,La Union de Formosa,21.2,401,0.462,1.8
39.9,63.8,5.2,12.9,Izmir Buyuksehir Belediyesi,20.9,757,0.387,1.5
40.2,58.8,6.9,16.9,ForexTime Apollon,24.6,435,0.464,3.1
46.8,78.2,11.3,15.6,Xinjiang Guanghui,20.9,45,0.492,2.5
40.0,58.6,6.6,12.1,STB Le Havre,17.2,650,0.495,2.6
40.4,60.7,7.3,15.6,ADA Blois Basket,22.1,213,0.447,4.1
40.1,60.9,6.1,11.5,Mitsubishi Diamond Dolphins,16.4,551,0.421,2.9
40.4,60.3,7.6,15.8,FMC Ferentino,20.1,263,0.471,2.9
40.0,59.6,7.1,14.2,JL Bourg-en-Bresse,19.4,655,0.469,1.5
40.8,61.8,9.4,14.8,Sigma Barcellona,18.9,85,0.477,1.9
39.9,61.4,6.8,15.3,PBC Lukoil Academic,21.2,760,0.53,2.6
40.1,64.2,7.6,15.2,Landstede Zwolle,20.1,526,0.444,2.3
40.0,61.4,6.0,11.9,Penas Huesca,16.7,681,0.431,2.3
40.0,61.6,7.5,13.2,Wakayama Trians,19.0,679,0.445,3.8
40.1,60.8,6.9,12.1,Baloncesto Sevilla,16.2,527,0.444,2.5
40.2,61.2,8.1,13.2,Laboral Kutxa,16.9,426,0.477,2.4
0.0,62.5,5.5,17.0,Lansing Capitals,25.5,814,0.528,2.0
40.2,57.8,5.4,15.0,Starwings Basket Regio Basel,21.9,437,0.47,4.6
40.0,65.1,6.1,12.0,KK Crvena Zvezda Junior Team,16.5,689,0.499,4.1
40.0,61.7,7.2,12.5,Best Balikesir Basketbol Kulubu,20.6,613,0.4,2.2
39.8,58.0,4.0,12.0,Maccabi Tel Aviv Junior Team,18.2,781,0.435,3.0
40.0,59.0,7.7,11.9,KK Tamis,16.7,664,0.462,1.9
40.2,62.7,7.5,17.7,Vila Velha,22.5,447,0.429,1.4
40.3,61.0,7.7,15.9,Redwell Gunners Oberwart,20.4,269,0.446,1.9
40.3,60.9,5.6,17.5,Eisbaren Bremerhaven,21.8,334,0.462,1.9
40.1,62.5,6.0,16.2,MIA Academy,23.0,501,0.47,2.6
40.3,59.3,7.2,13.8,KK Alkar,18.6,320,0.461,1.3
40.4,60.6,6.2,14.0,HKK Zrinjski,20.4,256,0.474,0.7
40.0,67.5,5.7,12.4,BK Iskra Svit,19.2,741,0.451,3.1
40.2,59.2,6.5,10.2,Fisica Desportiva,14.8,425,0.407,1.9
40.0,57.8,7.3,17.4,Medi Bayreuth,23.3,649,0.43,1.7
40.0,61.3,8.3,14.0,Malvin,20.3,691,0.478,3.0
40.1,68.5,6.0,13.4,Cheshire Phoenix,19.7,502,0.456,2.8
40.4,57.9,6.8,16.7,Union Olimpija,22.8,223,0.443,1.7
40.7,67.2,7.4,15.0,Vaqueros de Bayamon,20.4,107,0.444,3.0
40.0,57.4,5.3,12.8,KK Dubrovnik,19.1,658,0.457,1.2
