HBP,SO,SB,OBP,Team,SLG,CS,BB,OPS,R
2,43,2,0.236,PIT,0.314,0,3,0.55,13
1,37,1,0.254,CLE,0.363,1,9,0.617,22
1,64,2,0.358,TOR,0.496,0,16,0.854,40
0,7,0,0.307,LAA,0.315,0,2,0.622,9
0,20,4,0.297,MIN,0.415,3,7,0.712,13
0,14,0,0.305,LAA,0.312,2,5,0.617,9
1,7,0,0.341,NYY,0.513,0,1,0.854,5
1,12,0,0.234,CHC,0.349,0,3,0.583,5
2,3,1,0.48,TOR,0.6,0,3,1.08,8
1,74,2,0.314,MIN,0.456,0,32,0.77,50
0,48,0,0.277,MIN,0.365,0,7,0.642,17
2,52,3,0.316,NYY,0.483,1,18,0.799,40
0,6,0,0.273,LAA,0.238,0,1,0.511,5
0,75,12,0.314,CLE,0.295,5,29,0.609,29
3,39,2,0.369,SD,0.376,5,36,0.745,34
0,10,0,0.178,SF,0.311,0,0,0.489,3
0,15,0,0.208,STL,0.203,0,3,0.411,0
2,17,0,0.237,BOS,0.192,0,5,0.429,5
5,70,7,0.328,MIL,0.423,6,23,0.751,42
5,35,10,0.36,DET,0.403,6,18,0.763,33
2,17,0,0.26,BOS,0.182,0,8,0.442,6
0,1,0,0.125,WAS,0.125,0,0,0.25,0
1,53,0,0.315,DET,0.427,0,11,0.742,22
0,24,1,0.205,TB,0.25,0,6,0.455,8
6,70,2,0.373,NYY,0.585,0,55,0.958,53
0,5,2,0.357,ATL,0.425,0,2,0.782,2
5,44,2,0.409,STL,0.42,1,39,0.829,23
0,15,1,0.231,MIN,0.27,2,2,0.501,5
2,109,17,0.32,SD,0.43,1,40,0.75,53
2,39,3,0.298,TB,0.452,1,10,0.75,15
1,24,8,0.247,CLE,0.231,1,15,0.478,21
1,31,3,0.327,SD,0.459,2,10,0.786,30
0,4,0,0.091,PIT,0.0,0,1,0.091,1
0,1,1,0.417,MIN,0.3,0,2,0.717,1
1,27,1,0.2,CWS,0.195,4,2,0.395,5
0,26,0,0.327,NYY,0.398,0,7,0.725,13
0,69,0,0.286,PHI,0.367,2,15,0.653,25
1,61,5,0.341,COL,0.462,5,17,0.803,39
3,61,6,0.298,SEA,0.366,2,35,0.664,34
2,59,10,0.339,CHC,0.425,2,39,0.764,37
0,31,0,0.26,WAS,0.364,0,10,0.624,9
2,25,5,0.27,NYM,0.279,1,4,0.549,5
9,79,10,0.346,CWS,0.422,4,37,0.768,64
0,12,0,0.273,ARI,0.211,0,3,0.484,3
0,11,1,0.088,DET,0.061,0,1,0.149,1
0,3,0,0.143,BOS,0.143,0,0,0.286,1
2,55,0,0.276,MIA,0.313,0,12,0.589,8
2,94,16,0.334,CHC,0.382,6,52,0.716,66
0,35,0,0.346,COL,0.507,1,7,0.853,16
4,89,15,0.338,MIL,0.492,2,35,0.83,61
0,36,0,0.292,BAL,0.441,0,6,0.733,12
0,7,0,0.143,CLE,0.077,0,1,0.22,1
1,47,0,0.346,COL,0.505,2,16,0.851,26
6,26,0,0.342,MIA,0.49,0,9,0.832,17
1,38,1,0.308,MIL,0.34,0,22,0.648,31
5,49,2,0.319,NYM,0.339,1,21,0.658,24
2,31,0,0.282,WAS,0.276,0,13,0.558,18
2,102,5,0.353,SF,0.485,2,39,0.838,49
0,4,0,0.44,SEA,0.636,0,3,1.076,3
1,50,0,0.268,NYY,0.39,2,27,0.658,29
0,36,1,0.345,SF,0.497,1,13,0.842,23
0,12,0,0.182,MIA,0.207,0,4,0.389,3
1,1,0,0.5,LAA,0.333,0,1,0.833,0
1,21,3,0.292,PHI,0.341,1,8,0.633,14
2,39,1,0.319,SD,0.418,0,23,0.737,34
1,19,0,0.246,PIT,0.352,0,1,0.598,3
1,20,1,0.27,TEX,0.2,0,11,0.47,12
0,60,0,0.311,LAA,0.343,0,35,0.654,22
1,22,2,0.274,CLE,0.307,0,14,0.581,24
0,6,0,0.259,NYM,0.36,0,2,0.619,4
0,2,0,0.308,BAL,0.273,0,2,0.581,3
0,36,1,0.298,CHC,0.286,0,16,0.584,3
0,48,0,0.309,DET,0.26,1,25,0.569,17
8,128,2,0.345,LAD,0.454,6,59,0.799,51
0,12,2,0.306,KC,0.295,1,7,0.601,5
0,1,0,0.182,STL,0.182,0,0,0.364,0
5,83,3,0.346,TB,0.424,1,39,0.77,45
6,65,0,0.324,NYY,0.465,0,28,0.789,43
4,113,0,0.312,CWS,0.348,0,42,0.66,31
1,44,2,0.293,COL,0.426,1,4,0.719,19
2,71,4,0.372,KC,0.477,2,34,0.849,58
6,53,4,0.309,NYY,0.352,2,19,0.661,37
0,32,0,0.253,CWS,0.308,1,15,0.561,17
1,62,1,0.319,MIL,0.408,1,26,0.727,19
0,20,0,0.327,LAD,0.333,0,14,0.66,8
2,40,0,0.214,MIL,0.325,0,3,0.539,15
4,41,0,0.289,MIL,0.39,1,8,0.679,20
3,80,0,0.257,CWS,0.348,1,9,0.605,14
8,79,1,0.309,LAA,0.397,1,25,0.706,40
2,75,11,0.344,MIA,0.373,2,34,0.717,35
1,31,0,0.273,CLE,0.333,1,7,0.606,13
3,80,9,0.327,ATL,0.357,9,40,0.684,38
1,7,0,0.341,PIT,0.289,1,2,0.63,2
0,3,0,0.318,NYY,0.571,0,1,0.889,3
1,70,1,0.333,MIN,0.379,1,38,0.712,41
1,10,0,0.317,COL,0.45,0,3,0.767,10
0,11,1,0.258,NYM,0.185,0,4,0.443,2
0,1,0,0.25,DET,0.143,0,1,0.393,0
2,46,7,0.368,SF,0.412,4,27,0.78,35
0,80,16,0.309,DET,0.366,6,19,0.675,39
2,69,0,0.345,OAK,0.45,1,42,0.795,44
2,67,5,0.309,MIA,0.372,2,17,0.681,44
2,14,0,0.322,NYM,0.506,0,4,0.828,12
0,2,0,0.2,ATL,0.267,0,0,0.467,0
0,14,1,0.232,NYY,0.303,0,2,0.535,6
7,26,0,0.311,STL,0.265,2,15,0.576,19
0,10,0,0.271,DET,0.396,0,0,0.667,1
0,5,0,0.351,ATL,0.424,0,4,0.775,4
0,10,0,0.306,TOR,0.194,0,5,0.5,2
2,54,1,0.318,BAL,0.344,0,22,0.662,23
1,9,4,0.339,CWS,0.361,3,9,0.7,8
3,55,1,0.313,ATL,0.319,1,24,0.632,22
0,1,0,0.375,KC,1.0,1,1,1.375,4
0,3,0,0.444,PIT,0.375,0,1,0.819,2
0,10,0,0.219,ARI,0.2,0,2,0.419,0
0,64,0,0.26,WAS,0.362,0,12,0.622,30
4,65,4,0.36,TOR,0.497,2,69,0.857,66
1,36,2,0.31,TEX,0.414,0,12,0.724,10
2,132,0,0.325,BAL,0.508,1,45,0.833,55
1,56,1,0.257,KC,0.412,0,7,0.669,31
0,2,0,0.25,TOR,0.278,1,2,0.528,2
3,57,9,0.369,MIL,0.517,3,20,0.886,53
0,26,3,0.317,ARI,0.283,0,16,0.6,14
2,95,4,0.346,MIA,0.606,2,34,0.952,47
1,35,0,0.309,SF,0.411,0,10,0.72,14
4,70,1,0.343,TOR,0.454,2,52,0.797,54
6,79,3,0.328,PIT,0.422,0,26,0.75,49
2,49,1,0.322,LAD,0.421,2,21,0.743,21
0,89,17,0.454,ARI,0.586,4,83,1.04,67
0,21,2,0.29,CWS,0.36,2,6,0.65,15
0,28,6,0.306,SD,0.345,2,11,0.651,14
1,21,5,0.289,MIN,0.318,1,8,0.607,22
0,3,0,0.0,KC,0.0,0,0,0.0,0
2,42,0,0.266,LAD,0.488,0,5,0.754,21
5,121,1,0.297,HOU,0.382,1,48,0.679,39
3,75,1,0.341,STL,0.463,2,33,0.804,46
0,4,0,0.238,STL,0.158,0,2,0.396,1
9,46,5,0.327,TEX,0.459,3,15,0.786,30
0,2,0,0.167,NYY,0.417,0,0,0.584,1
2,60,2,0.373,ATL,0.372,0,48,0.745,45
0,28,0,0.275,SF,0.299,1,11,0.574,7
1,20,0,0.247,BOS,0.191,0,7,0.438,7
2,12,0,0.194,MIA,0.219,0,1,0.413,5
2,69,5,0.36,BOS,0.39,1,33,0.75,35
2,55,1,0.456,DET,0.578,1,53,1.034,43
8,50,0,0.399,TEX,0.498,0,40,0.897,52
5,99,5,0.31,CWS,0.36,6,19,0.67,39
