AB,SLG,3B,2B,R,H,SB,G,SF
240,.225,2,5,17,45,0,61,0
0,--,0,0,0,0,0,1,0
194,.619,1,22,47,63,0,53,6
3,.000,0,0,0,0,0,2,0
257,.335,4,8,22,70,3,75,2
0,--,0,0,0,0,0,1,0
364,.352,1,22,57,92,20,98,4
453,.382,2,23,48,107,1,126,3
277,.477,1,24,63,82,18,76,1
388,.356,2,19,30,103,11,108,3
227,.348,2,11,33,64,10,61,1
119,.395,1,9,20,33,10,36,2
44,.205,0,1,5,8,2,16,0
38,.526,0,4,7,13,0,10,0
147,.272,0,9,17,28,1,40,1
65,.138,0,1,6,8,0,20,1
448,.371,8,18,72,129,64,114,7
386,.358,2,21,44,92,6,106,3
124,.315,0,9,13,30,6,38,4
76,.355,1,4,10,21,3,21,0
304,.530,11,17,76,104,61,77,1
121,.248,0,7,8,23,0,36,0
435,.398,4,21,51,105,22,125,4
232,.280,0,9,27,50,11,75,0
447,.340,1,14,61,121,12,117,6
55,.436,0,6,6,18,0,15,0
229,.284,0,10,22,55,4,64,3
44,.136,0,0,6,6,0,16,0
207,.256,0,7,20,40,2,63,3
336,.339,1,18,42,79,1,96,5
103,.417,2,8,22,28,2,28,0
140,.286,1,5,8,33,0,42,3
325,.338,2,16,32,78,1,97,3
263,.338,2,11,29,65,2,67,3
199,.407,3,9,40,63,12,52,4
0,--,0,0,0,0,0,2,0
91,.363,0,6,12,24,1,26,0
75,.173,0,3,6,10,0,23,1
59,.458,0,4,11,17,1,16,2
264,.367,4,10,32,73,15,73,3
34,.235,0,1,0,7,0,11,0
