SO,RBI,SB,Gact,PA,G
63,95,16,152,660,160
2,0,0,3,3,3
27,4,0,35,90,37
1,0,0,4,4,4
15,45,3,121,489,127
4,0,0,19,10,20
28,35,25,124,528,130
23,17,3,64,312,67
21,30,3,128,444,135
5,13,1,54,105,57
11,5,0,49,64,52
45,56,3,118,409,124
2,0,0,26,26,27
28,40,7,96,417,101
14,25,2,78,180,82
5,1,0,21,35,22
8,7,0,33,83,35
9,8,0,49,94,52
13,17,4,77,248,81
21,28,16,117,495,123
7,3,0,24,59,25
0,0,0,5,3,5
4,0,0,12,5,13
1,4,0,6,10,6
29,17,3,62,179,65
7,16,0,30,90,32
0,0,0,8,5,8
11,0,0,37,24,39
24,44,11,129,519,136
3,2,0,16,23,17
1,1,0,8,11,8
13,11,0,35,117,37
2,0,0,11,11,12
17,39,8,92,336,97
13,3,1,37,54,39
2,0,1,6,15,6
0,0,0,3,2,3
18,74,19,114,482,120
16,56,3,153,607,161
0,0,0,1,1,1
17,4,0,33,95,35
7,3,0,36,71,38
6,8,0,36,83,38
31,48,8,145,666,153
48,60,4,107,455,113
1,2,0,9,13,9
0,0,0,4,7,4
0,0,0,10,1,11
52,85,7,148,645,156
2,2,0,17,38,18
33,4,0,42,100,44
7,11,0,45,126,47
6,7,1,23,98,24
11,1,0,28,25,29
14,7,1,40,140,42
26,73,6,133,608,140
37,116,5,137,613,144
15,3,0,36,87,38
19,29,6,100,335,105
2,0,0,5,3,5
14,10,1,40,125,42
2,1,0,6,12,6
11,4,3,52,94,55
16,10,1,46,119,48
0,0,0,2,1,2
45,48,2,114,432,120
5,22,3,67,246,70
6,0,0,22,14,23
20,16,3,80,294,84
3,0,0,16,17,17
1,2,0,22,15,23
1,0,0,3,2,3
12,3,0,33,56,35
13,4,0,36,98,38
3,0,0,7,19,7
55,142,7,144,659,151
35,46,14,156,754,164
60,36,5,137,618,144
22,44,8,87,405,92
63,46,1,110,471,116
13,13,0,38,91,40
0,0,0,4,5,4
4,0,0,7,8,7
0,0,0,2,1,2
9,7,0,40,67,42
3,0,0,15,14,16
24,38,1,96,369,101
20,13,4,53,210,56
15,11,6,60,167,63
1,0,0,4,17,4
8,1,0,15,32,16
1,0,0,2,5,2
4,0,1,13,14,14
4,0,0,26,16,27
22,95,6,138,612,145
4,5,0,33,35,35
0,0,0,4,2,4
0,0,0,4,1,4
2,0,0,4,2,4
1,2,0,11,2,12
0,0,0,3,1,3
0,0,0,3,3,3
12,7,0,35,98,37
1,0,0,10,24,11
19,7,0,32,70,34
1,1,0,4,19,4
11,19,7,84,308,88
0,0,0,1,4,1
11,11,1,57,188,60
24,7,0,40,87,42
1,0,0,6,9,6
3,0,0,14,10,15
15,5,0,36,62,38
1,0,0,9,3,9
12,74,18,121,543,127
4,4,0,24,35,25
9,0,0,30,29,32
21,51,9,115,435,121
8,9,1,50,86,53
20,71,0,140,560,147
34,93,2,128,559,135
25,57,11,113,452,119
5,5,0,16,28,17
13,23,1,72,229,76
2,4,0,34,70,36
0,0,0,6,9,6
8,11,1,58,98,61
19,7,0,37,103,39
1,0,0,1,2,1
0,1,0,7,11,7
24,32,1,90,255,95
2,6,0,41,79,43
15,2,0,41,93,43
9,14,4,46,140,48
24,2,0,37,88,39
0,0,0,3,1,3
16,32,1,115,336,121
9,18,1,66,138,69
1,0,0,2,1,2
27,82,24,142,621,149
13,13,6,72,250,76
31,65,18,151,696,159
3,0,0,5,11,5
20,18,7,47,214,49
1,0,0,3,1,3
0,1,1,4,8,4
5,1,0,21,21,22
13,15,15,89,333,94
38,33,12,101,365,106
1,0,0,3,2,3
14,3,0,24,38,25
0,0,0,3,1,3
2,4,0,9,10,9
3,0,0,3,6,3
5,15,0,38,83,40
1,0,0,10,33,11
7,2,0,37,49,39
