Row number,Facility Name,CMS Certification Number,Address 1,City,State,Zip Code,Network,Kt/V Adult Hemodialysis Performance Period Rate,Kt/V Adult Hemodialysis Measure Score,National Avg Kt/V Adult Hemodialysis Measure Score,Kt/V Adult Peritoneal Dialysis Performance Period Rate,National Avg Kt/V Adult Peritoneal Dialysis Measure Score,Kt/V Pediatric Hemodialysis Performance Period Rate,National Avg Kt/V Pediatric Hemodialysis Measure Score,Kt/V Dialysis Adequacy Combined Measure Score,National Avg Kt/V Dialysis Adequacy Combined Measure Score
368,DAVITA-ANTELOPE VALLEY DIALYSIS,52521,"1759 WEST AVENUE J, SUITE 102",LANCASTER,CA,93534,18,96%,9.0,7,99%,7,Insufficient data,8,9.0,7
369,"MOBILE DIALYSIS SERVICES, INC. (COMPTON)",52522,801 WEST COMPTON BOULEVARD,COMPTON,CA,90220,18,98%,10.0,7,Insufficient data,7,Insufficient data,8,10.0,7
370,FMC-LONG BEACH,52523,440 WEST OCEAN BOULEVARD,LONG BEACH,CA,90802,18,91%,5.0,7,Insufficient data,7,Insufficient data,8,5.0,7
371,BMA SANTA ROSA,52524,1020 SECOND STREET,SANTA ROSA,CA,95404,17,95%,8.0,7,Insufficient data,7,Insufficient data,8,8.0,7
372,ESCONDIDO DIALYSIS,52525,203 EAST SECOND AVENUE,ESCONDIDO,CA,92025,18,98%,10.0,7,Insufficient data,7,Insufficient data,8,10.0,7
373,SATELLITE DIALYSIS GREENBRAE,52526,565 SIR FRANCIS DRAKE BOULEVARD,GREENBRAE,CA,94904,17,94%,7.0,7,Insufficient data,7,Insufficient data,8,7.0,7
374,REDDING DIALYSIS CENTER,52528,1876 PARK MARINA DRIVE,REDDING,CA,96001,17,94%,7.0,7,87%,7,Insufficient data,8,7.0,7
375,SATELLITE DIALYSIS MODESTO,52531,3500 COFFEE ROAD #21,MODESTO,CA,95355,17,95%,8.0,7,Insufficient data,7,Insufficient data,8,8.0,7
376,DAVITA-RIVERSIDE DIALYSIS CENTER,52532,"4361 LATHAM STREET, SUITE 100",RIVERSIDE,CA,92501,18,90%,4.0,7,Insufficient data,7,Insufficient data,8,4.0,7
377,RAI - EAST BAY - OAKLAND,52534,"2628 INTERNATIONAL BOULEVARD, SUITE 100",OAKLAND,CA,94601,17,96%,9.0,7,Insufficient data,7,Insufficient data,8,9.0,7
378,FMC-NATIONAL CITY DIALYSIS CENTER,52536,303 WEST 26TH STREET,NATIONAL CITY,CA,91950,18,95%,8.0,7,Insufficient data,7,Insufficient data,8,8.0,7
379,INGLEWOOD DIALYSIS,52538,125 EAST ARBOR VITAE,INGLEWOOD,CA,90301,18,96%,9.0,7,Insufficient data,7,Insufficient data,8,9.0,7
380,DAVITA-LAKEWOOD DIALYSIS CENTER,52539,4611 SILVA STREET,LAKEWOOD,CA,90712,18,95%,8.0,7,Insufficient data,7,Insufficient data,8,8.0,7
381,PALM SPRINGS DIALYSIS,52541,1061 NORTH INDIAN CANYON DRIVE,PALM SPRINGS,CA,92262,18,94%,7.0,7,Insufficient data,7,Insufficient data,8,7.0,7
382,FMC EUREKA,52543,2765 TIMBER RIDGE LANE,EUREKA,CA,95503,17,84%,0.0,7,90%,7,Insufficient data,8,1.0,7
383,FMC-CULVER CITY DIALYSIS,52544,9432 VENICE BOULEVARD,CULVER CITY,CA,90230,18,93%,6.0,7,Insufficient data,7,Insufficient data,8,6.0,7
384,"INNOVATIVE DIALYSIS CENTER OF NORTHRIDGE, LLC",52545,"18546 ROSCOE BOULEVARD, SUITE 108",NORTHRIDGE,CA,91324,18,87%,1.0,7,Insufficient data,7,Insufficient data,8,1.0,7
385,DALY CITY DIALYSIS CENTER,52546,1498 SOUTHGATE AVENUE,DALY CITY,CA,94015,17,96%,9.0,7,99%,7,Insufficient data,8,9.0,7
386,FMC-BURBANK,52549,"2031 ALAMEDA AVENUE, SUITE 202",BURBANK,CA,91506,18,95%,8.0,7,Insufficient data,7,Insufficient data,8,8.0,7
387,LOMA LINDA UNIVERSITY KIDNEY CENTER,52550,11375 ANDERSON STREET,LOMA LINDA,CA,92354,18,96%,9.0,7,86%,7,Insufficient data,8,9.0,7
388,UPLAND DIALYSIS,52552,600 NORTH 13TH AVENUE,UPLAND,CA,91786,18,98%,10.0,7,91%,7,Insufficient data,8,10.0,7
389,CHICO DIALYSIS CENTER,52553,530 COHASSET ROAD,CHICO,CA,95926,17,97%,10.0,7,86%,7,Insufficient data,8,9.0,7
390,DAVITA-VALLEY DIALYSIS CENTER,52554,6840 SEPULVEDA BOULEVARD,VAN NUYS,CA,91405,18,97%,10.0,7,Insufficient data,7,Insufficient data,8,10.0,7
391,SATELLITE DIALYSIS SANTA CRUZ,52555,3801 CLARES STREET,CAPITOLA,CA,95010,17,89%,3.0,7,Insufficient data,7,Insufficient data,8,3.0,7
392,"PACIFIC SOUTH BAY DIALYSIS, LLC",52556,3295 SKYPARK DRIVE,TORRANCE,CA,90505,18,85%,0.0,7,Insufficient data,7,Insufficient data,8,0.0,7
393,HOLY CROSS RENAL CENTER,52558,"14901 RINALDI STREET, SUITE 100",MISSION HILLS,CA,91345,18,96%,9.0,7,Insufficient data,7,Insufficient data,8,9.0,7
394,SAN PABLO DIALYSIS CENTER,52560,14020 SAN PABLO AVENUE,SAN PABLO,CA,94806,17,96%,9.0,7,Insufficient data,7,Insufficient data,8,9.0,7
395,VICTOR VALLEY DIALYSIS,52561,16049 KAMANA ROAD,APPLE VALLEY,CA,92307,18,94%,7.0,7,93%,7,Insufficient data,8,7.0,7
396,YUBA CITY DIALYSIS CENTER,52563,1525 PLUMAS COURT SUITE A,YUBA CITY,CA,95991,17,99%,10.0,7,Insufficient data,7,Insufficient data,8,10.0,7
397,DAVITA-GARFIELD HEMODIALYSIS CENTER,52564,118 HILLIARD AVENUE,MONTEREY PARK,CA,91754,18,99%,10.0,7,Insufficient data,7,Insufficient data,8,10.0,7
398,SILVERADO DIALYSIS,52565,"1100 TRANCAS, SUITE 267",NAPA,CA,94558,17,93%,6.0,7,Insufficient data,7,Insufficient data,8,6.0,7
399,VALLEJO DIALYSIS CENTER,52567,121 HOSPITAL DRIVE,VALLEJO,CA,94589,17,96%,9.0,7,Insufficient data,7,Insufficient data,8,9.0,7
400,PLEASANTON DIALYSIS CENTER,52568,5720 STONERIDGE MALL ROAD #160,PLEASANTON,CA,94588,17,94%,7.0,7,96%,7,Insufficient data,8,8.0,7
