Row,Organism,Tax Group,NCBI Project ID,Replicons,Total Size (bp),Number of genes,5S rRNA count,16S rRNA count,23S rRNA count,tRNA count,% AT
15.0,Mycoplasma capricolum subsp. capricolum ATCC 27343,BFirm MM,16208.0,1.0,"1,010,023",812,2.0,2.0,2.0,30.0,76.2
16.0,Ureaplasma parvum serovar 3 str. ATCC 27815,BFirm MM,19087.0,1.0,"751,679",609,2.0,2.0,2.0,30.0,74.5
17.0,Mesoplasma florum L1,BFirm ME,10650.0,1.0,"793,224",683,2.0,2.0,2.0,29.0,73.0
18.0,Onion yellows phytoplasma OY-M,BFirm MA,9615.0,1.0,"860,631",754,2.0,2.0,2.0,32.0,72.3
19.0,Acholeplasma laidlawii PG-8A,BFirm MA,19259.0,1.0,"1,496,992","1,380",2.0,2.0,2.0,36.0,68.1
20.0,Streptococcus gordonii str. Challis substr. CH1,BFirm LS,66.0,1.0,"2,196,662","2,051",4.0,4.0,4.0,59.0,59.5
21.0,Lactococcus lactis subsp. lactis Il1403,BFirm LS,72.0,1.0,"2,365,589","2,266",7.0,6.0,6.0,62.0,64.7
22.0,Streptococcus pyogenes M1 GAS,BFirm LS,269.0,1.0,"1,852,441","1,696",6.0,6.0,6.0,60.0,61.5
23.0,Streptococcus pyogenes str. Manfredo,BFirm LS,270.0,1.0,"1,841,271","1,819",6.0,6.0,6.0,66.0,61.4
24.0,Streptococcus pneumoniae TIGR4,BFirm LS,277.0,1.0,"2,160,842","2,125",4.0,4.0,4.0,58.0,60.3
25.0,Streptococcus pneumoniae R6,BFirm LS,278.0,1.0,"2,038,615","2,043",4.0,4.0,4.0,58.0,60.3
26.0,Streptococcus pyogenes MGAS8232,BFirm LS,286.0,1.0,"1,895,017","1,845",6.0,6.0,6.0,67.0,61.4
27.0,Streptococcus pyogenes SSI-1,BFirm LS,301.0,1.0,"1,894,275","1,861",5.0,5.0,5.0,57.0,61.4
28.0,Streptococcus pyogenes MGAS315,BFirm LS,311.0,1.0,"1,900,521","1,865",6.0,6.0,6.0,67.0,61.4
29.0,Streptococcus agalactiae A909,BFirm LS,326.0,1.0,"2,127,839","1,996",7.0,7.0,7.0,80.0,64.4
30.0,Streptococcus agalactiae 2603V/R,BFirm LS,330.0,1.0,"2,160,267","2,124",7.0,7.0,7.0,80.0,64.3
31.0,Streptococcus mutans UA159,BFirm LS,333.0,1.0,"2,030,921","1,960",5.0,5.0,5.0,65.0,63.2
32.0,Streptococcus agalactiae NEM316,BFirm LS,334.0,1.0,"2,211,485","2,134",7.0,7.0,7.0,80.0,64.4
33.0,Streptococcus suis P1/7,BFirm LS,352.0,1.0,"2,007,491","1,908",4.0,4.0,4.0,56.0,58.7
34.0,Streptococcus uberis 0140J,BFirm LS,353.0,1.0,"1,852,352","1,825",5.0,5.0,5.0,59.0,63.4
35.0,Lactococcus lactis subsp. cremoris SK11,BFirm LS,401.0,6.0,"2,598,348","2,504",7.0,6.0,6.0,62.0,64.2
36.0,Streptococcus pyogenes MGAS10394,BFirm LS,12469.0,1.0,"1,899,877","1,886",6.0,6.0,6.0,67.0,61.3
37.0,Symbiobacterium thermophilum IAM 14863,BFirm LS,12994.0,1.0,"3,566,135","3,337",7.0,6.0,6.0,98.0,31.3
38.0,Streptococcus thermophilus LMG 18311,BFirm LS,13162.0,1.0,"1,796,846","1,889",6.0,6.0,6.0,67.0,60.9
39.0,Streptococcus thermophilus CNRZ1066,BFirm LS,13163.0,1.0,"1,796,226","1,915",6.0,6.0,6.0,67.0,60.9
40.0,Streptococcus thermophilus LMD-9,BFirm LS,13773.0,3.0,"1,864,178","1,716",6.0,6.0,6.0,67.0,60.9
41.0,Streptococcus pyogenes MGAS6180,BFirm LS,13887.0,1.0,"1,897,573","1,894",6.0,6.0,6.0,67.0,61.7
42.0,Streptococcus pyogenes MGAS5005,BFirm LS,13888.0,1.0,"1,838,554","1,865",6.0,6.0,6.0,67.0,61.5
43.0,Streptococcus sanguinis SK36,BFirm LS,13942.0,1.0,"2,388,435","2,270",4.0,4.0,4.0,61.0,56.6
44.0,Streptococcus mitis B6,BFirm LS,16302.0,1.0,"2,146,611","2,018",4.0,4.0,4.0,61.0,60.0
45.0,Streptococcus pyogenes MGAS9429,BFirm LS,16363.0,1.0,"1,836,467","1,877",6.0,6.0,6.0,67.0,61.5
46.0,Streptococcus pyogenes MGAS10270,BFirm LS,16364.0,1.0,"1,928,252","1,987",6.0,6.0,6.0,67.0,61.6
47.0,Streptococcus pyogenes MGAS2096,BFirm LS,16365.0,1.0,"1,860,355","1,898",6.0,6.0,6.0,67.0,61.3
48.0,Streptococcus pyogenes MGAS10750,BFirm LS,16366.0,1.0,"1,937,111","1,979",6.0,6.0,6.0,67.0,61.7
49.0,Streptococcus pneumoniae D39,BFirm LS,16374.0,1.0,"2,046,115","1,914",4.0,4.0,4.0,58.0,60.3
50.0,Streptococcus suis 05ZYH33,BFirm LS,17153.0,1.0,"2,096,309","2,186",4.0,4.0,4.0,56.0,58.9
51.0,Streptococcus suis 98HAH33,BFirm LS,17155.0,1.0,"2,095,698","2,189",4.0,4.0,4.0,56.0,58.9
52.0,Lactococcus lactis subsp. cremoris MG1363,BFirm LS,18797.0,1.0,"2,529,478","2,516",7.0,6.0,6.0,64.0,64.2
53.0,Streptococcus pyogenes NZ131,BFirm LS,20707.0,1.0,"1,815,785","1,703",6.0,6.0,6.0,66.0,61.4
54.0,Streptococcus dysgalactiae subsp. equisimilis GGS_124,BFirm LS,27849.0,1.0,"2,106,340","2,102",5.0,5.0,5.0,57.0,60.4
55.0,Streptococcus pneumoniae Hungary19A-6,BFirm LS,28035.0,1.0,"2,245,615","2,155",4.0,4.0,4.0,58.0,60.4
56.0,Streptococcus pneumoniae Taiwan19F-14,BFirm LS,28037.0,1.0,"2,112,148","2,044",4.0,4.0,4.0,58.0,60.2
57.0,Streptococcus pneumoniae JJA,BFirm LS,28039.0,1.0,"2,120,234","2,123",4.0,4.0,4.0,59.0,60.3
58.0,Streptococcus pneumoniae P1031,BFirm LS,28041.0,1.0,"2,111,882","2,073",4.0,4.0,4.0,58.0,60.3
59.0,Streptococcus pneumoniae 70585,BFirm LS,28043.0,1.0,"2,184,682","2,202",4.0,4.0,4.0,58.0,60.3
60.0,Streptococcus pneumoniae G54,BFirm LS,29047.0,1.0,"2,078,953","2,115",4.0,4.0,4.0,58.0,60.3
61.0,Streptococcus pneumoniae CGSP14,BFirm LS,29179.0,1.0,"2,209,198","2,206",4.0,4.0,4.0,58.0,60.5
62.0,Streptococcus equi subsp. equi 4047,BFirm LS,30765.0,1.0,"2,253,793","2,137",6.0,6.0,6.0,66.0,58.7
63.0,Streptococcus equi subsp. zooepidemicus,BFirm LS,30767.0,1.0,"2,149,868","1,960",5.0,5.0,5.0,57.0,58.5
64.0,Streptococcus equi subsp. zooepidemicus MGCS10565,BFirm LS,30781.0,1.0,"2,024,171","1,893",5.0,5.0,5.0,57.0,58.2
65.0,Streptococcus pneumoniae ATCC 700669,BFirm LS,31233.0,1.0,"2,221,315","2,135",4.0,4.0,4.0,58.0,60.5
66.0,Streptococcus suis BM407,BFirm LS,32237.0,2.0,"2,170,808","2,058",4.0,4.0,4.0,56.0,59.0
67.0,Streptococcus suis SC84,BFirm LS,32239.0,1.0,"2,095,898","1,985",4.0,4.0,4.0,56.0,58.9
68.0,Streptococcus pneumoniae TCH8431/19A,BFirm LS,34659.0,1.0,"2,088,772","2,275",4.0,4.0,4.0,58.0,60.2
69.0,Streptococcus gallolyticus UCN34,BFirm LS,34729.0,1.0,"2,350,911","2,261",6.0,6.0,6.0,71.0,62.4
70.0,Lactococcus lactis subsp. lactis KF147,BFirm LS,41115.0,2.0,"2,635,654","2,575",7.0,6.0,6.0,68.0,65.1
71.0,Oenococcus oeni PSU-1,BFirm LO,317.0,1.0,"1,780,517","1,691",2.0,2.0,2.0,43.0,62.1
72.0,Lactobacillus acidophilus NCFM,BFirm LL,82.0,1.0,"1,993,561","1,862",4.0,4.0,3.0,61.0,65.3
73.0,Lactobacillus gasseri ATCC 33323,BFirm LL,84.0,1.0,"1,894,360","1,755",6.0,6.0,6.0,78.0,64.7
74.0,Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293,BFirm LL,315.0,2.0,"2,075,763","2,005",4.0,4.0,4.0,71.0,62.3
75.0,Lactobacillus plantarum WCFS1,BFirm LL,356.0,4.0,"3,348,625","3,101",6.0,5.0,5.0,72.0,55.6
76.0,Pediococcus pentosaceus ATCC 25745,BFirm LL,398.0,1.0,"1,832,387","1,755",5.0,5.0,5.0,55.0,62.6
77.0,Lactobacillus casei ATCC 334,BFirm LL,402.0,2.0,"2,924,325","2,771",5.0,5.0,5.0,59.0,53.4
78.0,Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365,BFirm LL,403.0,1.0,"1,856,951","1,721",9.0,9.0,9.0,98.0,50.3
79.0,Lactobacillus brevis ATCC 367,BFirm LL,404.0,3.0,"2,340,228","2,218",5.0,5.0,5.0,65.0,53.9
80.0,Lactobacillus johnsonii NCC 533,BFirm LL,9638.0,1.0,"1,992,676","1,821",6.0,6.0,6.0,79.0,65.4
81.0,Lactobacillus salivarius UCC118,BFirm LL,13280.0,4.0,"2,133,977","2,017",7.0,7.0,7.0,78.0,67.0
82.0,Lactobacillus sakei subsp. sakei 23K,BFirm LL,13435.0,1.0,"1,884,661","1,885",7.0,7.0,7.0,63.0,58.7
83.0,Lactobacillus reuteri DSM 20016,BFirm LL,15766.0,1.0,"1,999,618","1,900",6.0,6.0,6.0,68.0,61.1
84.0,Leuconostoc citreum KM20,BFirm LL,16062.0,5.0,"1,896,614","1,823",4.0,4.0,4.0,70.0,61.1
85.0,Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842,BFirm LL,16871.0,1.0,"1,864,998","2,096",9.0,9.0,9.0,95.0,50.3
86.0,Lactobacillus helveticus DPC 4571,BFirm LL,17811.0,1.0,"2,080,931","1,610",4.0,4.0,4.0,61.0,62.9
87.0,Lactobacillus fermentum IFO 3956,BFirm LL,18979.0,1.0,"2,098,685","1,843",5.0,5.0,5.0,57.0,48.5
88.0,Lactobacillus reuteri JCM 1112,BFirm LL,19011.0,1.0,"2,039,414","1,820",6.0,6.0,6.0,65.0,61.1
89.0,Lactobacillus casei BL23,BFirm LL,30359.0,1.0,"3,079,196","3,044",5.0,5.0,5.0,60.0,53.7
90.0,Lactobacillus rhamnosus GG,BFirm LL,32195.0,1.0,"3,010,111","2,944",5.0,5.0,5.0,57.0,53.3
91.0,Lactobacillus rhamnosus Lc 705,BFirm LL,32197.0,2.0,"3,033,106","2,992",5.0,5.0,5.0,61.0,53.3
92.0,Lactobacillus plantarum JDM1,BFirm LL,32969.0,1.0,"3,197,759","2,948", , , , ,55.3
93.0,Lactobacillus johnsonii FI9785,BFirm LL,36575.0,3.0,"1,785,116","1,737",4.0,4.0,4.0,55.0,65.6
94.0,Lactobacillus rhamnosus GG,BFirm LL,40637.0,1.0,"3,005,051","2,834",5.0,5.0,5.0,59.0,53.3
95.0,Leuconostoc kimchii IMSNU 11154,BFirm LL,40837.0,6.0,"2,101,787","2,130",4.0,4.0,4.0,68.0,62.1
96.0,Lactobacillus fermentum CECT 5716,BFirm LL,43533.0,1.0,"2,100,449","1,051",5.0,5.0,5.0,57.0,48.4
97.0,Lactobacillus crispatus ST1,BFirm LL,46813.0,1.0,"2,043,161","2,024",4.0,4.0,4.0,64.0,63.1
98.0,Enterococcus faecalis V583,BFirm LE,70.0,4.0,"3,359,974","3,265",4.0,4.0,4.0,68.0,62.6
99.0,Thermoanaerobacter tengcongensis MB4,BFirm CT,249.0,1.0,"2,689,445","2,588",4.0,4.0,4.0,55.0,62.4
100.0,Moorella thermoacetica ATCC 39073,BFirm CT,10648.0,1.0,"2,628,784","2,463",1.0,1.0,1.0,51.0,44.2
101.0,Ammonifex degensii KC4,BFirm CT,12390.0,2.0,"2,157,067","2,080",2.0,2.0,2.0,48.0,40.5
102.0,Thermoanaerobacter pseudethanolicus ATCC 33223,BFirm CT,13901.0,1.0,"2,362,816","2,243",2.0,4.0,4.0,56.0,65.5
103.0,Thermoanaerobacter sp. X514,BFirm CT,16394.0,1.0,"2,457,259","2,349",0.0,4.0,4.0,54.0,65.5
104.0,Coprothermobacter proteolyticus DSM 5265,BFirm CT,30729.0,1.0,"1,424,912","1,482",2.0,2.0,2.0,47.0,55.2
105.0,Thermoanaerobacter italicus Ab9,BFirm CT,33157.0,1.0,"2,451,061","2,270",3.0,4.0,4.0,54.0,65.9
106.0,Thermoanaerobacter mathranii subsp. mathranii str. A3,BFirm CT,33329.0,1.0,"2,306,092","2,159",4.0,4.0,4.0,59.0,65.7
107.0,Natranaerobius thermophilus JW/NM-WN-LF,BFirm CN,20207.0,3.0,"3,191,453","2,906",4.0,4.0,4.0,51.0,63.7
108.0,Halothermothrix orenii H 168,BFirm CH,16377.0,1.0,"2,578,146","2,342",3.0,4.0,4.0,56.0,62.1
109.0,Clostridium acetobutylicum ATCC 824,BFirm CC,77.0,2.0,"4,132,880","3,848",11.0,11.0,11.0,73.0,69.1
110.0,Clostridium difficile 630,BFirm CC,78.0,2.0,"4,298,133","3,787",10.0,11.0,11.0,87.0,70.9
111.0,Clostridium perfringens str. 13,BFirm CC,79.0,2.0,"3,085,740","2,723",10.0,10.0,9.0,96.0,71.5
112.0,Clostridium tetani E88,BFirm CC,81.0,2.0,"2,873,333","2,432",6.0,6.0,6.0,54.0,71.4
113.0,Desulfitobacterium hafniense DCB-2,BFirm CC,205.0,1.0,"5,279,134","4,883",5.0,5.0,5.0,74.0,52.5
114.0,Carboxydothermus hydrogenoformans Z-2901,BFirm CC,253.0,1.0,"2,401,520","2,620",4.0,4.0,4.0,50.0,58.0
115.0,Clostridium perfringens ATCC 13124,BFirm CC,304.0,1.0,"3,256,683","2,876",8.0,8.0,8.0,93.0,71.6
116.0,Clostridium thermocellum ATCC 27405,BFirm CC,314.0,1.0,"3,843,301","3,191",4.0,4.0,4.0,56.0,61.0
117.0,Clostridium perfringens SM101,BFirm CC,12521.0,4.0,"2,960,088","2,631",10.0,10.0,10.0,95.0,71.8
118.0,Clostridium beijerinckii NCIMB 8052,BFirm CC,12637.0,1.0,"6,000,632","5,020",15.0,14.0,14.0,94.0,70.1
119.0,Alkaliphilus metalliredigens QYMF,BFirm CC,13006.0,1.0,"4,929,566","4,625",11.0,10.0,10.0,106.0,63.2
120.0,Desulfotomaculum reducens MI-1,BFirm CC,13424.0,1.0,"3,608,104","3,276",10.0,8.0,8.0,70.0,57.7
121.0,Heliobacterium modesticaldum Ice1,BFirm CC,13427.0,1.0,"3,075,407","3,000",10.0,10.0,10.0,109.0,43.0
122.0,Alkaliphilus oremlandii OhILAs,BFirm CC,16083.0,1.0,"3,123,558","2,836",9.0,8.0,8.0,86.0,63.7
123.0,Clostridium phytofermentans ISDg,BFirm CC,16184.0,1.0,"4,847,594","3,902",8.0,8.0,8.0,61.0,64.6
124.0,Desulfitobacterium hafniense Y51,BFirm CC,16639.0,1.0,"5,727,534","5,060",6.0,6.0,6.0,59.0,52.6
125.0,Clostridium novyi NT,BFirm CC,16820.0,1.0,"2,547,720","2,325",10.0,10.0,10.0,81.0,71.1
126.0,Clostridium cellulolyticum H10,BFirm CC,17419.0,1.0,"4,068,724","3,390",8.0,8.0,8.0,63.0,62.6
127.0,Finegoldia magna ATCC 29328,BFirm CC,18981.0,2.0,"1,986,740","1,813",4.0,4.0,4.0,48.0,67.9
128.0,Pelotomaculum thermopropionicum SI,BFirm CC,19023.0,1.0,"3,025,375","2,920",2.0,2.0,2.0,51.0,47.0
129.0,Clostridium kluyveri DSM 555,BFirm CC,19065.0,2.0,"4,023,800","3,913",6.0,7.0,7.0,61.0,68.0
130.0,Clostridium botulinum A str. ATCC 19397,BFirm CC,19517.0,1.0,"3,863,450","3,552",8.0,8.0,8.0,81.0,71.8
131.0,Clostridium botulinum F str. Langeland,BFirm CC,19519.0,2.0,"4,012,918","3,659",9.0,9.0,9.0,81.0,71.7
132.0,Clostridium botulinum A str. Hall,BFirm CC,19521.0,1.0,"3,760,560","3,404",8.0,8.0,8.0,81.0,71.8
133.0,Candidatus Desulforudis audaxviator MP104C,BFirm CC,21047.0,1.0,"2,349,476","2,157",2.0,2.0,2.0,45.0,39.1
134.0,Veillonella parvula DSM 2008,BFirm CC,21091.0,1.0,"2,132,142","1,844",4.0,4.0,4.0,48.0,61.4
135.0,Desulfotomaculum acetoxidans DSM 771,BFirm CC,27947.0,1.0,"4,545,624","4,068",9.0,10.0,10.0,68.0,58.5
136.0,Clostridium botulinum B1 str. Okra,BFirm CC,28505.0,2.0,"4,107,013","3,852",9.0,9.0,9.0,82.0,71.8
137.0,Clostridium botulinum A3 str. Loch Maree,BFirm CC,28507.0,2.0,"4,259,691","3,984",9.0,9.0,9.0,81.0,71.9
138.0,Clostridium botulinum E3 str. Alaska E43,BFirm CC,28855.0,1.0,"3,659,644","3,256",12.0,11.0,11.0,79.0,72.6
139.0,Clostridium botulinum B str. Eklund 17B,BFirm CC,28857.0,2.0,"3,847,969","3,527",12.0,11.0,11.0,77.0,72.5
140.0,Eubacterium rectale ATCC 33656,BFirm CC,29071.0,1.0,"3,449,685","3,626",5.0,5.0,5.0,60.0,58.5
141.0,Eubacterium eligens ATCC 27750,BFirm CC,29073.0,3.0,"2,831,389","2,765",5.0,5.0,5.0,48.0,62.4
142.0,Clostridium botulinum Ba4 str. 657,BFirm CC,29077.0,3.0,"4,257,769","4,097",9.0,9.0,9.0,82.0,72.0
143.0,Anaerocellum thermophilum DSM 6725,BFirm CC,29407.0,3.0,"2,931,662","2,666",3.0,3.0,3.0,47.0,64.8
144.0,Anaerococcus prevotii DSM 20548,BFirm CC,29533.0,2.0,"1,998,633","1,806",4.0,4.0,4.0,48.0,64.4
145.0,Clostridium botulinum A2 str. Kyoto,BFirm CC,29859.0,1.0,"4,155,278","3,878",9.0,9.0,9.0,81.0,71.8
146.0,Clostridium kluyveri NBRC 12016,BFirm CC,33271.0,2.0,"3,955,303","3,523",6.0,7.0,7.0,61.0,68.0
147.0,Acidaminococcus fermentans DSM 20731,BFirm CC,33685.0,1.0,"2,329,769","2,026",6.0,6.0,6.0,60.0,44.2
148.0,Syntrophothermus lipocalidus DSM 12680,BFirm CC,37873.0,1.0,"2,405,559","2,313",2.0,2.0,2.0,46.0,49.0
149.0,Clostridiales genomosp. BVAB3 str. UPII9-5,BFirm CC,42555.0,1.0,"1,810,248","1,526",2.0,2.0,2.0,45.0,55.8
150.0,Clostridium botulinum F str. 230613,BFirm CC,47575.0,2.0,"4,010,614","3,527",9.0,9.0,9.0,71.0,71.7
151.0,Staphylococcus aureus RF122,BFirm BS,63.0,1.0,"2,742,531","2,589",6.0,5.0,5.0,60.0,67.2
152.0,Staphylococcus epidermidis RP62A,BFirm BS,64.0,2.0,"2,643,840","2,526",7.0,6.0,6.0,61.0,67.9
153.0,Staphylococcus aureus subsp. aureus NCTC 8325,BFirm BS,237.0,1.0,"2,821,361","2,892",6.0,5.0,5.0,60.0,67.1
154.0,Staphylococcus aureus subsp. aureus COL,BFirm BS,238.0,2.0,"2,813,862","2,676",7.0,6.0,6.0,53.0,67.2
155.0,Staphylococcus aureus subsp. aureus Mu50,BFirm BS,263.0,2.0,"2,903,636","2,733",6.0,5.0,5.0,60.0,67.2
156.0,Staphylococcus aureus subsp. aureus N315,BFirm BS,264.0,2.0,"2,839,469","2,624",6.0,5.0,5.0,62.0,67.2
157.0,Staphylococcus aureus subsp. aureus MRSA252,BFirm BS,265.0,1.0,"2,902,619","2,744",6.0,5.0,5.0,60.0,67.2
158.0,Staphylococcus aureus subsp. aureus MSSA476,BFirm BS,266.0,2.0,"2,820,454","2,643",7.0,6.0,6.0,59.0,67.2
159.0,Staphylococcus epidermidis ATCC 12228,BFirm BS,279.0,7.0,"2,564,615","2,485",6.0,5.0,5.0,60.0,67.9
160.0,Staphylococcus aureus subsp. aureus MW2,BFirm BS,306.0,1.0,"2,820,462","2,632",7.0,6.0,6.0,60.0,67.2
161.0,Staphylococcus haemolyticus JCSC1435,BFirm BS,12508.0,4.0,"2,697,861","2,694",6.0,5.0,5.0,60.0,67.2
162.0,Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305,BFirm BS,15596.0,3.0,"2,577,899","2,514",7.0,6.0,6.0,60.0,66.8
163.0,Staphylococcus aureus subsp. aureus JH9,BFirm BS,15757.0,2.0,"2,937,129","2,726",7.0,6.0,6.0,59.0,67.1
164.0,Staphylococcus aureus subsp. aureus JH1,BFirm BS,15758.0,2.0,"2,936,936","2,780",7.0,6.0,6.0,60.0,67.1
165.0,Staphylococcus aureus subsp. aureus USA300_FPR3757,BFirm BS,16313.0,4.0,"2,917,469","2,604",6.0,5.0,5.0,53.0,67.3
166.0,Staphylococcus aureus subsp. aureus Mu3,BFirm BS,18509.0,1.0,"2,880,168","2,699",6.0,5.0,5.0,60.0,67.1
167.0,Staphylococcus aureus subsp. aureus str. Newman,BFirm BS,18801.0,1.0,"2,878,897","2,614",6.0,5.0,5.0,60.0,67.1
168.0,Staphylococcus aureus subsp. aureus USA300_TCH1516,BFirm BS,19489.0,3.0,"2,903,081","2,689",6.0,5.0,5.0,60.0,67.3
169.0,Staphylococcus aureus subsp. aureus ST398,BFirm BS,29427.0,4.0,"2,885,367","2,710",7.0,6.0,6.0,60.0,67.1
170.0,Staphylococcus aureus 04-02981,BFirm BS,34809.0,1.0,"2,821,452","2,650",7.0,5.0,6.0,62.0,67.1
171.0,Staphylococcus carnosus subsp. carnosus TM300,BFirm BS,34811.0,1.0,"2,566,424","2,462",5.0,5.0,5.0,60.0,65.4
172.0,Staphylococcus aureus ED98,BFirm BS,39547.0,4.0,"2,847,542","2,689",6.0,5.0,5.0,61.0,67.2
173.0,Staphylococcus aureus subsp. aureus ED133,BFirm BS,41277.0,1.0,"2,832,478","2,653",6.0,5.0,5.0,59.0,67.1
174.0,Staphylococcus lugdunensis HKU09-01,BFirm BS,42395.0,1.0,"2,658,366","2,490",7.0,6.0,6.0,61.0,66.1
175.0,Paenibacillus sp. JDR-2,BFirm BP,20399.0,1.0,"7,184,930","6,213",11.0,12.0,12.0,88.0,49.7
176.0,Brevibacillus brevis NBRC 100599,BFirm BP,29147.0,1.0,"6,296,436","5,949",14.0,15.0,15.0,127.0,52.7
177.0,Macrococcus caseolyticus JCSC5402,BFirm BM,20209.0,9.0,"2,219,737","2,059",5.0,4.0,4.0,48.0,63.4
178.0,Listeria monocytogenes str. 4b F2365,BFirm BL,85.0,1.0,"2,905,187","2,821",6.0,6.0,6.0,67.0,62.0
179.0,Listeria innocua Clip11262,BFirm BL,86.0,2.0,"3,093,113","3,061",6.0,6.0,6.0,66.0,62.6
180.0,Listeria monocytogenes EGD-e,BFirm BL,276.0,1.0,"2,944,528","2,855",6.0,6.0,6.0,67.0,62.0
181.0,Listeria welshimeri serovar 6b str. SLCC5334,BFirm BL,13443.0,1.0,"2,814,130","2,780",6.0,6.0,6.0,66.0,63.7
182.0,Listeria monocytogenes HCC23,BFirm BL,29409.0,1.0,"2,976,212","2,974",6.0,6.0,6.0,67.0,61.8
183.0,Listeria monocytogenes Clip80459,BFirm BL,32207.0,1.0,"2,912,690","2,790",6.0,6.0,6.0,67.0,61.9
184.0,Listeria monocytogenes,BFirm BL,36361.0,2.0,"3,109,342","3,088",5.0,5.0,5.0,58.0,62.1
185.0,Listeria monocytogenes 08-5923,BFirm BL,36363.0,1.0,"2,999,054","2,966",5.0,5.0,5.0,58.0,62.0
186.0,Listeria seeligeri serovar 1/2b str. SLCC3954,BFirm BL,41123.0,1.0,"2,797,636","2,722",6.0,6.0,6.0,67.0,62.6
187.0,Bacillus cereus ATCC 10987,BFirm BB,74.0,2.0,"5,432,652","5,844",12.0,12.0,12.0,98.0,64.5
188.0,Bacillus subtilis subsp. subtilis str. 168,BFirm BB,76.0,1.0,"4,214,630","4,106",10.0,10.0,10.0,86.0,56.5
189.0,Bacillus halodurans C-125,BFirm BB,235.0,1.0,"4,202,352","4,066",9.0,8.0,8.0,78.0,56.3
190.0,Oceanobacillus iheyensis HTE831,BFirm BB,284.0,1.0,"3,630,528","3,496",8.0,7.0,7.0,69.0,64.3
191.0,Bacillus anthracis str. Ames,BFirm BB,309.0,1.0,"5,227,293","5,311",11.0,11.0,11.0,95.0,64.6
192.0,Bacillus cereus ATCC 14579,BFirm BB,384.0,2.0,"5,427,083","5,255",13.0,13.0,13.0,108.0,64.7
193.0,Exiguobacterium sibiricum 255-15,BFirm BB,10649.0,3.0,"3,040,786","3,015",9.0,9.0,9.0,69.0,52.3
194.0,Bacillus anthracis str. 'Ames Ancestor',BFirm BB,10784.0,3.0,"5,503,926","5,617",11.0,11.0,11.0,95.0,64.8
195.0,Bacillus anthracis str. Sterne,BFirm BB,10878.0,1.0,"5,228,663","5,287",11.0,11.0,11.0,95.0,64.6
196.0,Bacillus cereus E33L,BFirm BB,12468.0,6.0,"5,843,235","5,641",13.0,13.0,13.0,96.0,64.9
197.0,Bacillus licheniformis ATCC 14580,BFirm BB,13082.0,1.0,"4,222,645","4,196",7.0,7.0,7.0,72.0,53.8
198.0,Geobacillus kaustophilus HTA426,BFirm BB,13233.0,2.0,"3,592,666","3,540",9.0,9.0,9.0,87.0,48.0
199.0,Bacillus clausii KSM-K16,BFirm BB,13291.0,1.0,"4,303,871","4,108",8.0,7.0,7.0,75.0,55.3
200.0,Bacillus selenitireducens MLS10,BFirm BB,13376.0,1.0,"3,592,487","3,255",8.0,7.0,7.0,68.0,51.3
201.0,Bacillus amyloliquefaciens FZB42,BFirm BB,13403.0,1.0,"3,918,589","3,693",10.0,9.0,10.0,89.0,53.5
