Type,#,Shipbuilder,Location,Hull #,FY,Keel Laid,Launched,Delivered,Days on Ways,Days in Water,Total Days,Disposition
LST,428.0,Beth-Fairfield,Baltimore MD,2200.0,1942.0,22-Nov-42,22-Dec-42,9-Feb-43,30.0,49.0,79.0,"To Britain, scrapped 1947"
LST,429.0,Beth-Fairfield,Baltimore MD,2201.0,1942.0,16-Nov-42,11-Jan-43,20-Feb-43,56.0,40.0,96.0,"To Britain, lost off Tunisia 1943"
LST,430.0,Beth-Fairfield,Baltimore MD,2202.0,1942.0,25-Nov-42,22-Dec-42,19-Feb-43,27.0,59.0,86.0,"To Britain, scrapped 1947"
LST,431.0,Beth-Fairfield,Baltimore MD, ,1942.0, , , , , , ,Cancelled 1942
LST,432.0,Beth-Fairfield,Baltimore MD, ,1942.0, , , , , , ,Cancelled 1942
LST,433.0,Beth-Fairfield,Baltimore MD, ,1942.0, , , , , , ,Cancelled 1942
LST,434.0,Beth-Fairfield,Baltimore MD, ,1942.0, , , , , , ,Cancelled 1942
LST,435.0,Beth-Fairfield,Baltimore MD, ,1942.0, , , , , , ,Cancelled 1942
LST,436.0,Beth-Fairfield,Baltimore MD, ,1942.0, , , , , , ,Cancelled 1942
LST,437.0,Beth-Fairfield,Baltimore MD, ,1942.0, , , , , , ,Cancelled 1942
LST,438.0,Beth-Fairfield,Baltimore MD, ,1942.0, , , , , , ,Cancelled 1942
LST,439.0,Beth-Fairfield,Baltimore MD, ,1942.0, , , , , , ,Cancelled 1942
LST,440.0,Beth-Fairfield,Baltimore MD, ,1942.0, , , , , , ,Cancelled 1942
LST,441.0,Beth-Fairfield,Baltimore MD, ,1942.0, , , , , , ,Cancelled 1942
LST,442.0,Beth-Fairfield,Baltimore MD, ,1942.0, , , , , , ,Cancelled 1942
LST,443.0,Beth-Fairfield,Baltimore MD, ,1942.0, , , , , , ,Cancelled 1942
LST,444.0,Beth-Fairfield,Baltimore MD, ,1942.0, , , , , , ,Cancelled 1942
LST,445.0,Beth-Fairfield,Baltimore MD, ,1942.0, , , , , , ,Cancelled 1942
LST,446.0,Kaiser Corp.,Vancouver WA,150.0,1942.0,15-Jun-42,18-Sep-42,30-Nov-42,95.0,73.0,168.0,"Sold 1947, scrapped 1964"
LST,447.0,Kaiser Corp.,Vancouver WA,151.0,1942.0,10-Jul-42,22-Sep-42,13-Dec-42,74.0,82.0,156.0,Kamikazied and lost off Okinawa 1945
LST,448.0,Kaiser Corp.,Vancouver WA,152.0,1942.0,10-Jul-42,26-Sep-42,23-Dec-42,78.0,88.0,166.0,Bombed and lost off Solomon Islands 1943
LST,449.0,Kaiser Corp.,Vancouver WA,153.0,1942.0,10-Jul-42,30-Sep-42,31-Dec-42,82.0,92.0,174.0,"Sold 1947, scrapped 1971"
LST,450.0,Kaiser Corp.,Vancouver WA,154.0,1942.0,10-Jul-42,4-Oct-42,6-Jan-43,86.0,94.0,180.0,Scrapped 1948
LST,451.0,Kaiser Corp.,Vancouver WA,155.0,1942.0,20-Jul-42,6-Oct-42,12-Jan-43,78.0,98.0,176.0,Scrapped 1947
LST,452.0,Kaiser Corp.,Vancouver WA,156.0,1942.0,20-Jul-42,10-Oct-42,16-Jan-43,82.0,98.0,180.0,Scrapped 1947
LST,453.0,Kaiser Corp.,Vancouver WA,157.0,1942.0,28-Jul-42,10-Oct-42,21-Jan-43,74.0,103.0,177.0,"Remus (ARL 40) 1944, scrapped 1947"
LST,454.0,Kaiser Corp.,Vancouver WA,158.0,1942.0,31-Jul-42,14-Oct-42,26-Jan-43,75.0,104.0,179.0,Scrapped 1947
LST,455.0,Kaiser Corp.,Vancouver WA,159.0,1942.0,3-Aug-42,17-Oct-42,30-Jan-43,75.0,105.0,180.0,"Achilles (ARL 41) 1944, to China 1947 as Hsing An (ARL 335)"
LST,456.0,Kaiser Corp.,Vancouver WA,160.0,1942.0,3-Aug-42,20-Oct-42,3-Feb-43,78.0,105.0,183.0,"To MSTS 1952, sold 1973"
LST,457.0,Kaiser Corp.,Vancouver WA,161.0,1942.0,3-Aug-42,23-Oct-42,6-Feb-43,81.0,105.0,186.0,Scrapped 1948
LST,458.0,Kaiser Corp.,Vancouver WA,162.0,1942.0,18-Sep-42,26-Oct-42,10-Feb-43,38.0,107.0,145.0,Scrapped 1947
LST,459.0,Kaiser Corp.,Vancouver WA,163.0,1942.0,22-Sep-42,29-Oct-42,13-Feb-43,37.0,107.0,144.0,Scrapped 1947
LST,460.0,Kaiser Corp.,Vancouver WA,164.0,1942.0,26-Sep-42,31-Oct-42,15-Feb-43,35.0,107.0,142.0,Kamikazied and lost off Mindoro 1944
LST,461.0,Kaiser Corp.,Vancouver WA,165.0,1942.0,30-Sep-42,3-Nov-42,18-Feb-43,34.0,107.0,141.0,Scrapped 1947
LST,462.0,Kaiser Corp.,Vancouver WA,166.0,1942.0,4-Oct-42,6-Nov-42,21-Feb-43,33.0,107.0,140.0,Scrapped 1946
LST,463.0,Kaiser Corp.,Vancouver WA,167.0,1942.0,6-Oct-42,9-Nov-42,23-Feb-43,34.0,106.0,140.0,Scrapped 1946
LST,464.0,Kaiser Corp.,Vancouver WA,168.0,1942.0,10-Oct-42,12-Nov-42,25-Feb-43,33.0,105.0,138.0,Scrapped 1948
LST,465.0,Kaiser Corp.,Vancouver WA,169.0,1942.0,17-Dec-42,9-Jan-43,27-Feb-43,23.0,49.0,72.0,Scrapped 1946
LST,466.0,Kaiser Corp.,Vancouver WA,170.0,1942.0,14-Oct-42,18-Nov-42,1-Mar-43,35.0,103.0,138.0,Scrapped 1946
LST,467.0,Kaiser Corp.,Vancouver WA,171.0,1942.0,17-Oct-42,21-Nov-42,3-Mar-43,35.0,102.0,137.0,"Sold for scrap 1948 but resold, sank 1979"
LST,468.0,Kaiser Corp.,Vancouver WA,172.0,1942.0,20-Oct-42,24-Nov-42,5-Mar-43,35.0,101.0,136.0,Scrapped 1946
LST,469.0,Kaiser Corp.,Vancouver WA,173.0,1942.0,23-Oct-42,27-Nov-42,8-Mar-43,35.0,101.0,136.0,Scrapped 1946
LST,470.0,Kaiser Corp.,Vancouver WA,174.0,1942.0,26-Oct-42,30-Nov-42,9-Mar-43,35.0,99.0,134.0,Scrapped 1946
LST,471.0,Kaiser Corp.,Vancouver WA,175.0,1942.0,29-Oct-42,3-Dec-42,11-Mar-43,35.0,98.0,133.0,Sold for scrap 1948 but sank en route
LST,472.0,Kaiser Corp.,Vancouver WA,176.0,1942.0,31-Oct-42,7-Dec-42,13-Mar-43,37.0,96.0,133.0,Kamikazied and lost off Mindoro 1944
LST,473.0,Kaiser Corp.,Vancouver WA,177.0,1942.0,4-Nov-42,9-Dec-42,16-Mar-43,35.0,97.0,132.0,Scrapped 1946
LST,474.0,Kaiser Corp.,Vancouver WA,178.0,1942.0,7-Nov-42,12-Dec-42,19-Mar-43,35.0,97.0,132.0,Scrapped 1946
LST,475.0,Kaiser Corp.,Vancouver WA,179.0,1942.0,11-Nov-42,16-Dec-42,20-Mar-43,35.0,100.0,135.0,"Sold 1946, scrapped 1971"
LST,476.0,Kaiser Corp.,Richmond CA,31.0,1942.0,5-Aug-42,10-Oct-42,4-Apr-43,66.0,176.0,242.0,Scrapped 1948
LST,477.0,Kaiser Corp.,Richmond CA,32.0,1942.0,12-Aug-42,29-Oct-42,19-Feb-43,78.0,113.0,191.0,Scrapped 1948
LST,478.0,Kaiser Corp.,Richmond CA,33.0,1942.0,17-Aug-42,7-Nov-42,13-Mar-43,82.0,126.0,208.0,Scrapped 1948
LST,479.0,Kaiser Corp.,Richmond CA,34.0,1942.0,25-Aug-42,4-Oct-42,19-Apr-43,101.0,197.0,298.0,Scrapped 1948
LST,480.0,Kaiser Corp.,Richmond CA,35.0,1942.0,31-Aug-42,29-Oct-42,3-May-43,120.0,186.0,306.0,Exploded and sank in Pearl Harbor 1944
LST,481.0,Kaiser Corp.,Richmond CA,36.0,1942.0,4-Sep-42,2-Dec-42,15-May-43,150.0,164.0,314.0,Scrapped 1948
LST,482.0,Kaiser Corp.,Richmond CA,37.0,1942.0,14-Sep-42,17-Dec-42,20-Mar-43,155.0,154.0,309.0,"Branch County 1955, sunk as target 1956"
LST,483.0,Kaiser Corp.,Richmond CA,38.0,1942.0,21-Sep-42,30-Dec-42,3-May-43,161.0,185.0,346.0,"Brewster County 1955, sunk as target 1955"
LST,484.0,Kaiser Corp.,Richmond CA,39.0,1942.0,28-Sep-42,2-Jan-43,23-Apr-43,157.0,172.0,329.0,Scrapped 1948
LST,485.0,Kaiser Corp.,Richmond CA,40.0,1942.0,17-Dec-42,9-Jan-43,19-May-43,115.0,191.0,306.0,Scrapped 1948
LST,486.0,Kaiser Corp.,Richmond CA,41.0,1942.0,31-Dec-42,16-Jan-43,29-May-43,108.0,194.0,302.0,Destroyed 1947
LST,487.0,Kaiser Corp.,Richmond CA,42.0,1942.0,2-Jan-43,23-Jan-43,27-Apr-43,113.0,155.0,268.0,"Sold 1948, disposition unknown"
LST,488.0,Kaiser Corp.,Richmond CA,43.0,1942.0,11-Jan-43,5-Mar-43,24-May-43,117.0,141.0,258.0,"To the Philippines 1972 as Surigao del Norte (LT 94), active"
LST,489.0,Kaiser Corp.,Richmond CA,44.0,1942.0,17-Jan-43,2-Apr-43,30-Jul-43,139.0,241.0,280.0,"Amycus (ARL 2) 1944, sold 1970 and converted to barge"
LST,490.0,Kaiser Corp.,Richmond CA,45.0,1942.0,24-Jan-43,3-Apr-43,20-Aug-43,133.0,261.0,294.0,"Agenor (ARL 3) 1944, to France 1951 as Vulcain, to Taiwan 1957 as Shung Shan (ARL 336), to Japan 1974 as Wu Tai (AP 520)"
LST,491.0,Mo. Valley Bridge,Evansville IN,46.0,1943.0,29-Jul-43,23-Sep-43,3-Dec-43,56.0,71.0,127.0,"To MSTS 1952, to Korea 1958 as An Tong, to the Philippines 1976 as Lanao del Sur (LT 503)"
LST,492.0,Mo. Valley Bridge,Evansville IN,47.0,1943.0,3-Aug-43,30-Sep-43,8-Dec-43,58.0,69.0,127.0,Scrapped 1947
LST,493.0,Mo. Valley Bridge,Evansville IN,48.0,1943.0,9-Aug-43,4-Oct-43,13-Dec-43,56.0,70.0,126.0,Wrecked near Plymouth 1945 and scrapped
LST,494.0,Mo. Valley Bridge,Evansville IN,49.0,1943.0,10-Aug-43,11-Oct-43,18-Dec-43,62.0,68.0,130.0,Scrapped 1947
LST,495.0,Mo. Valley Bridge,Evansville IN,50.0,1943.0,14-Aug-43,16-Oct-43,23-Dec-43,63.0,68.0,131.0,Scrapped 1947
LST,496.0,Mo. Valley Bridge,Evansville IN,51.0,1943.0,24-Aug-43,22-Oct-43,27-Dec-43,59.0,66.0,125.0,Mined and lost off Normandy 1944
LST,497.0,Mo. Valley Bridge,Evansville IN,52.0,1943.0,26-Aug-43,27-Oct-43,31-Dec-43,62.0,65.0,127.0,Scrapped 1947
LST,498.0,Mo. Valley Bridge,Evansville IN,53.0,1943.0,31-Aug-43,1-Nov-43,6-Jan-44,62.0,66.0,128.0,Scrapped 1947
LST,499.0,Mo. Valley Bridge,Evansville IN,54.0,1943.0,3-Sep-43,5-Nov-43,10-Jan-44,63.0,66.0,129.0,Sunk off Normandy 1944
LST,500.0,Mo. Valley Bridge,Evansville IN,55.0,1943.0,8-Sep-43,10-Nov-43,13-Jan-44,63.0,64.0,127.0,Scrapped 1947
LST,501.0,JeffBoat,Jeffersonville IN, ,1943.0,30-Jun-43,22-Sep-43,26-Nov-43,84.0,65.0,149.0,Scrapped 1948
LST,502.0,JeffBoat,Jeffersonville IN, ,1943.0,18-Jun-43,25-Sep-43,8-Dec-43,99.0,74.0,173.0,Scrapped 1948
LST,503.0,JeffBoat,Jeffersonville IN, ,1943.0,29-Jul-43,8-Oct-43,14-Dec-43,71.0,67.0,138.0,To Taiwan 1955 as Chung Kuang
LST,504.0,JeffBoat,Jeffersonville IN, ,1943.0,21-Jul-43,19-Oct-43,18-Dec-43,90.0,60.0,150.0,"Buchanan County 1955, sunk as target 1956"
LST,505.0,JeffBoat,Jeffersonville IN, ,1943.0,6-Aug-43,27-Oct-43,27-Dec-43,82.0,61.0,143.0,Scrapped 1948
LST,506.0,JeffBoat,Jeffersonville IN, ,1943.0,19-Aug-43,4-Nov-43,3-Jan-44,77.0,60.0,137.0,Scrapped 1948
LST,507.0,JeffBoat,Jeffersonville IN, ,1943.0,8-Sep-43,16-Nov-43,10-Jan-44,69.0,55.0,124.0,"Lost 1944, in the English Channel 1944"
LST,508.0,JeffBoat,Jeffersonville IN, ,1943.0,18-Sep-43,10-Nov-43,14-Jan-44,53.0,65.0,118.0,"To France 1947 as Orne (L 9002), scrapped 1957"
LST,509.0,JeffBoat,Jeffersonville IN, ,1943.0,7-Oct-43,23-Nov-43,20-Jan-44,47.0,58.0,105.0,"Bullock County 1955, to Vietnam 1970 as Qui Nhon (HQ 504), active"
LST,510.0,JeffBoat,Jeffersonville IN, ,1943.0,27-Sep-43,30-Nov-43,31-Jan-44,64.0,62.0,126.0,"Buncombe County 1955, scrapped 1959"
LST,511.0,Chicago Bridge,Seneca IL, ,1943.0,22-Jul-43,30-Nov-43,3-Jan-44,131.0,34.0,165.0,Scrapped 1947
LST,512.0,Chicago Bridge,Seneca IL, ,1943.0,22-Jul-43,10-Dec-43,8-Jan-44,141.0,29.0,170.0,"Burnett County 1955, to Peru as Paita (L 35) 1957, struck 1983"
LST,513.0,Chicago Bridge,Seneca IL, ,1943.0,23-Aug-43,17-Dec-43,9-May-44,54.0,144.0,198.0,"Endymion (ARL 9 ) 1944, scrapped 1973"
LST,514.0,Chicago Bridge,Seneca IL, ,1943.0,31-Aug-43,24-Dec-43,23-May-44,53.0,151.0,204.0,"Midas (ARB 5) 1944, scrapped 1980"
LST,515.0,Chicago Bridge,Seneca IL, ,1943.0,3-Sep-43,31-Dec-43,28-Jan-44,119.0,28.0,147.0,"Caddo Parish 1955, to the Philippines 1969 as Bataan"
LST,516.0,Chicago Bridge,Seneca IL, ,1943.0,6-Sep-43,7-Jan-44,31-Jan-44,123.0,24.0,147.0,"Calaveras County 1955, struck 1958"
LST,517.0,Chicago Bridge,Seneca IL, ,1943.0,10-Sep-43,15-Jan-44,7-Feb-44,127.0,23.0,150.0,Scrapped 1947
LST,518.0,Chicago Bridge,Seneca IL, ,1943.0,13-Sep-43,20-Jan-44,24-Feb-44,129.0,35.0,164.0,"Nestor (ARB 6) 1944, wrecked off Okinawa in a typhoon 1945, scrapped 1947"
LST,519.0,Chicago Bridge,Seneca IL, ,1943.0,17-Sep-43,25-Jan-44,17-Feb-44,130.0,23.0,153.0,"Calhoun County 1955, sunk as target 1962"
LST,520.0,Chicago Bridge,Seneca IL, ,1943.0,24-Sep-43,31-Jan-44,28-Feb-44,129.0,28.0,157.0,To Taiwan 1958 as Chung Shu
LST,521.0,Chicago Bridge,Seneca IL, ,1943.0,4-Oct-43,13-Dec-43,9-Mar-44,70.0,87.0,157.0,"Cape May County 1955, struck 1959"
LST,522.0,Chicago Bridge,Seneca IL, ,1943.0,2-Oct-43,11-Feb-44,1-Mar-44,132.0,19.0,151.0,Scrapped 1948
LST,523.0,JeffBoat,Jeffersonville IN, ,1943.0,15-Oct-43,6-Dec-43,3-Feb-44,52.0,59.0,111.0,Sunk by mine off Normandy 1944
LST,524.0,JeffBoat,Jeffersonville IN, ,1943.0,4-Oct-43,13-Dec-43,9-Feb-44,70.0,58.0,128.0,Scrapped 1948
LST,525.0,JeffBoat,Jeffersonville IN, ,1943.0,18-Oct-43,20-Dec-43,14-Feb-44,63.0,56.0,119.0,"Caroline County 1955, scrapped 1958"
LST,526.0,JeffBoat,Jeffersonville IN, ,1943.0,30-Oct-43,27-Dec-43,17-Feb-44,58.0,52.0,110.0,Scrapped 1948
LST,527.0,JeffBoat,Jeffersonville IN, ,1943.0,23-Oct-43,3-Jan-44,17-Feb-44,72.0,45.0,117.0,"Cassia County 1955, sunk as target 1958"
LST,528.0,JeffBoat,Jeffersonville IN, ,1943.0,13-Nov-43,11-Jan-44,29-Feb-44,59.0,49.0,108.0,"Catahoula County 1955, scrapped 1961"
LST,529.0,JeffBoat,Jeffersonville IN, ,1943.0,8-Nov-43,17-Jan-44,29-Feb-44,70.0,43.0,113.0,"Cayuga County 1955, to Vietnam 1963 as Thi Nai (HQ 502), active"
LST,530.0,JeffBoat,Jeffersonville IN, ,1943.0,23-Nov-43,25-Jan-44,6-Mar-44,63.0,41.0,104.0,"To MSTS 1952, scrapped 1973"
LST,531.0,Mo. Valley Bridge,Evansville IN,56.0,1943.0,22-Sep-43,24-Nov-43,17-Jan-44,63.0,54.0,117.0,Torpedoed and lost in Lyme Bay 1944
LST,532.0,Mo. Valley Bridge,Evansville IN,57.0,1943.0,24-Sep-43,28-Nov-43,20-Jan-44,65.0,53.0,118.0,"Chase County 1955, to Singapore 1974, sold commercially"
LST,533.0,Mo. Valley Bridge,Evansville IN,58.0,1943.0,29-Sep-43,1-Dec-43,27-Jan-44,63.0,57.0,120.0,"Cheboygan County 1955, struck 1974"
LST,534.0,Mo. Valley Bridge,Evansville IN,59.0,1943.0,4-Oct-43,8-Dec-43,31-Jan-44,65.0,54.0,119.0,Damaged by kamikaze and scuttled 1945
LST,535.0,Mo. Valley Bridge,Evansville IN,50.0,1943.0,19-Oct-43,21-Dec-43,4-Feb-44,63.0,45.0,108.0,To Taiwan 1946 as Chung Wan
LST,536.0,Mo. Valley Bridge,Evansville IN,61.0,1943.0,19-Oct-43,27-Dec-43,9-Feb-44,69.0,44.0,113.0,To Korea 1947
LST,537.0,Mo. Valley Bridge,Evansville IN,62.0,1943.0,27-Oct-43,31-Dec-43,9-Feb-44,65.0,40.0,105.0,To Taiwan 1946 as Chung Ting
LST,538.0,Mo. Valley Bridge,Evansville IN,63.0,1943.0,29-Oct-43,5-Jan-44,14-Feb-44,68.0,40.0,108.0,"To Britain 1944, scrapped 1947"
LST,539.0,Mo. Valley Bridge,Evansville IN,64.0,1943.0,9-Nov-43,10-Jan-44,17-Feb-44,62.0,38.0,100.0,Scrapped 1947
LST,540.0,Mo. Valley Bridge,Evansville IN,65.0,1943.0,13-Nov-43,14-Jan-44,22-Feb-44,62.0,39.0,101.0,Lost at sea 1947
LST,541.0,Mo. Valley Bridge,Evansville IN,66.0,1943.0,22-Nov-43,25-Jan-44,28-Feb-44,64.0,34.0,98.0,Scrapped 1947
LST,542.0,Mo. Valley Bridge,Evansville IN,67.0,1943.0,29-Nov-43,28-Jan-44,29-Feb-44,60.0,32.0,92.0,"Chelan County 1955, scrapped 1959"
LST,543.0,Mo. Valley Bridge,Evansville IN,68.0,1943.0,6-Dec-43,1-Feb-44,6-Mar-44,57.0,34.0,91.0,Scrapped 1947
LST,544.0,Mo. Valley Bridge,Evansville IN,69.0,1943.0,8-Dec-43,4-Feb-44,16-Mar-44,58.0,41.0,99.0,Scrapped 1947
LST,545.0,Mo. Valley Bridge,Evansville IN,70.0,1943.0,13-Dec-43,12-Feb-44,23-Mar-44,61.0,40.0,101.0,Sunk at Bikini 1948
LST,546.0,Mo. Valley Bridge,Evansville IN,71.0,1943.0,20-Dec-43,16-Feb-44,27-Mar-44,58.0,40.0,98.0,"To MSTS 1952, to the Philippines 1972 as Surigao del Sur (LT 95)"
LST,547.0,Mo. Valley Bridge,Evansville IN,72.0,1943.0,24-Dec-43,19-Feb-44,30-Mar-44,57.0,40.0,97.0,Scrapped 1947
LST,548.0,Mo. Valley Bridge,Evansville IN,73.0,1943.0,30-Dec-43,22-Feb-44,3-Apr-44,54.0,41.0,95.0,"To MSTS 1952, scrapped 1960"
LST,549.0,Mo. Valley Bridge,Evansville IN,74.0,1943.0,4-Jan-44,25-Feb-44,5-Apr-44,52.0,40.0,92.0,Scrapped 1947
LST,550.0,Mo. Valley Bridge,Evansville IN,75.0,1943.0,13-Jan-44,9-Mar-44,10-Apr-44,56.0,32.0,88.0,"To MSTS 1952, scrapped 1973"
LST,551.0,Mo. Valley Bridge,Evansville IN,76.0,1943.0,15-Jan-44,11-Mar-44,14-Apr-44,56.0,34.0,90.0,"Chesterfield County 1955, scrapped 1970"
LST,552.0,Mo. Valley Bridge,Evansville IN,77.0,1943.0,19-Jan-44,14-Mar-44,19-Apr-44,55.0,36.0,91.0,Scrapped 1947
LST,553.0,Mo. Valley Bridge,Evansville IN,78.0,1943.0,24-Jan-44,16-Mar-44,22-Apr-44,52.0,37.0,89.0,To US Army 1947
LST,554.0,Mo. Valley Bridge,Evansville IN,79.0,1943.0,30-Jan-44,18-Mar-44,27-Apr-44,48.0,40.0,88.0,Scrapped 1947
LST,555.0,Mo. Valley Bridge,Evansville IN,80.0,1943.0,5-Feb-44,22-Mar-44,28-Apr-44,46.0,37.0,83.0,Sunk as target 1946
LST,556.0,Mo. Valley Bridge,Evansville IN,81.0,1943.0,4-Feb-44,7-Apr-44,1-May-44,63.0,24.0,87.0,Scrapped 1947
LST,557.0,Mo. Valley Bridge,Evansville IN,82.0,1943.0,8-Feb-44,11-Apr-44,5-May-44,63.0,24.0,87.0,To Taiwan 1946 as Chung Hsing
LST,558.0,Mo. Valley Bridge,Evansville IN,83.0,1943.0,11-Feb-44,14-Apr-44,8-May-44,63.0,24.0,87.0,Scrapped 1947
LST,559.0,Mo. Valley Bridge,Evansville IN,84.0,1943.0,14-Feb-44,18-Apr-44,9-May-44,64.0,21.0,85.0,Scrapped 1947
LST,560.0,Mo. Valley Bridge,Evansville IN,85.0,1943.0,22-Feb-44,21-Apr-44,2-May-44,59.0,11.0,70.0,Scrapped 1947
LST,561.0,Mo. Valley Bridge,Evansville IN,86.0,1943.0,24-Feb-44,25-Apr-44,15-May-44,61.0,20.0,81.0,"Chittenden County 1955, sunk as target 1958"
LST,562.0,Mo. Valley Bridge,Evansville IN,87.0,1943.0,28-Feb-44,28-Apr-44,18-May-44,60.0,20.0,80.0,"To Indonesia 1970 as Teluk Kau (L 504), active"
LST,563.0,Mo. Valley Bridge,Evansville IN,88.0,1943.0,4-Mar-44,1-May-44,20-May-44,58.0,19.0,77.0,Wrecked on Clipperton Island 1944 and abandoned 1945
LST,564.0,Mo. Valley Bridge,Evansville IN,89.0,1943.0,5-Mar-44,4-May-44,25-May-44,60.0,21.0,81.0,Scrapped 1947
LST,565.0,Mo. Valley Bridge,Evansville IN,90.0,1943.0,16-Mar-44,8-May-44,25-May-44,53.0,17.0,70.0,Scrapped 1947
LST,566.0,Mo. Valley Bridge,Evansville IN,91.0,1943.0,17-Mar-44,11-May-44,29-May-44,55.0,18.0,73.0,"To MSTS 1952, to the Philippines 1976 as Lanao del Norte (LT 504)"
LST, , , , , , , , , , , , 
