Location,County/Zone,St.,Date,Time,T.Z.,Type,Mag,Dth,Inj,PrD,CrD
COLLEGEVILLE,STEARNS CO.,MN,07/01/2011,16:32,CST-6,Hail,1.75 in.,0,0,0.00K,0.00K
HUTCHINSON,MCLEOD CO.,MN,07/01/2011,16:34,CST-6,Thunderstorm Wind,50 kts. MG,0,0,0.00K,0.00K
HUTCHINSON ARPT,MCLEOD CO.,MN,07/01/2011,16:34,CST-6,Thunderstorm Wind,56 kts. EG,0,0,50.00K,0.00K
ANNANDALE,WRIGHT CO.,MN,07/01/2011,16:39,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
DARWIN,MEEKER CO.,MN,07/01/2011,16:40,CST-6,Hail,1.75 in.,0,0,0.00K,0.00K
DASSEL,MEEKER CO.,MN,07/01/2011,16:40,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
HUTCHINSON,MCLEOD CO.,MN,07/01/2011,16:40,CST-6,Hail,1.25 in.,0,0,0.00K,0.00K
SILVER LAKE ARPT,MCLEOD CO.,MN,07/01/2011,16:40,CST-6,Thunderstorm Wind,56 kts. EG,0,0,0.00K,0.00K
GROVE CITY,MEEKER CO.,MN,07/01/2011,16:41,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
BUFFALO,WRIGHT CO.,MN,07/01/2011,16:43,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
RONNEBY,BENTON CO.,MN,07/01/2011,16:44,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
SARTELL,STEARNS CO.,MN,07/01/2011,16:44,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
ST STEPHEN,STEARNS CO.,MN,07/01/2011,16:44,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
KINGSTON,MEEKER CO.,MN,07/01/2011,16:45,CST-6,Thunderstorm Wind,56 kts. EG,0,0,0.00K,0.00K
LAMSON,MEEKER CO.,MN,07/01/2011,16:45,CST-6,Hail,2.00 in.,0,0,0.00K,0.00K
NORTH BENTON,BENTON CO.,MN,07/01/2011,16:45,CST-6,Hail,3.50 in.,0,0,0.00K,0.00K
SARTELL,STEARNS CO.,MN,07/01/2011,16:45,CST-6,Hail,1.75 in.,0,0,0.00K,0.00K
SARTELL,BENTON CO.,MN,07/01/2011,16:45,CST-6,Hail,1.25 in.,0,0,0.00K,0.00K
BIG LAKE,SHERBURNE CO.,MN,07/01/2011,16:46,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
MONTICELLO,WRIGHT CO.,MN,07/01/2011,16:46,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
MONTICELLO,WRIGHT CO.,MN,07/01/2011,16:50,CST-6,Hail,2.75 in.,0,0,0.00K,0.00K
LESTER PRAIRIE,MCLEOD CO.,MN,07/01/2011,16:52,CST-6,Thunderstorm Wind,55 kts. MG,0,0,0.00K,0.00K
MONTICELLO,WRIGHT CO.,MN,07/01/2011,16:52,CST-6,Thunderstorm Wind,56 kts. EG,0,0,0.00K,0.00K
RICE,BENTON CO.,MN,07/01/2011,16:52,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
NEW GERMANY,CARVER CO.,MN,07/01/2011,16:55,CST-6,Thunderstorm Wind,56 kts. EG,0,0,250.00K,0.00K
BIG LAKE,SHERBURNE CO.,MN,07/01/2011,16:56,CST-6,Hail,2.75 in.,0,0,50.00K,0.00K
DARWIN,MEEKER CO.,MN,07/01/2011,17:00,CST-6,Thunderstorm Wind,56 kts. EG,0,0,0.00K,0.00K
SOUTH HAVEN,WRIGHT CO.,MN,07/01/2011,17:00,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
BIG LAKE,SHERBURNE CO.,MN,07/01/2011,17:02,CST-6,Thunderstorm Wind,61 kts. MG,0,0,0.00K,0.00K
LUXEMBURG,STEARNS CO.,MN,07/01/2011,17:08,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
NORTH BRANCH,CHISAGO CO.,MN,07/01/2011,17:08,CST-6,Hail,0.88 in.,0,0,0.00K,0.00K
ST AUGUSTA,STEARNS CO.,MN,07/01/2011,17:08,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
ORROCK,SHERBURNE CO.,MN,07/01/2011,17:10,CST-6,Hail,1.25 in.,0,0,0.00K,0.00K
ZIMMERMAN,SHERBURNE CO.,MN,07/01/2011,17:10,CST-6,Thunderstorm Wind,50 kts. EG,0,0,0.00K,0.00K
BUFFALO MUNI ARPT,WRIGHT CO.,MN,07/01/2011,17:14,CST-6,Thunderstorm Wind,51 kts. MG,0,0,0.00K,0.00K
ISANTI,ISANTI CO.,MN,07/01/2011,17:17,CST-6,Hail,0.88 in.,0,0,0.00K,0.00K
ORROCK,SHERBURNE CO.,MN,07/01/2011,17:17,CST-6,Thunderstorm Wind,61 kts. ES,0,0,50.00K,0.00K
PAGE,MILLE LACS CO.,MN,07/01/2011,17:17,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
ROCKVILLE,STEARNS CO.,MN,07/01/2011,17:20,CST-6,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
PRINCETON,MILLE LACS CO.,MN,07/01/2011,17:22,CST-6,Thunderstorm Wind,54 kts. MG,0,0,0.00K,0.00K
PLEASANT LAKE,STEARNS CO.,MN,07/01/2011,17:23,CST-6,Tornado,EF0,0,0,100.00K,0.00K
ST CLOUD,STEARNS CO.,MN,07/01/2011,17:23,CST-6,Thunderstorm Wind,56 kts. EG,0,0,0.00K,0.00K
ZIMMERMAN,SHERBURNE CO.,MN,07/01/2011,17:23,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
ANNANDALE,WRIGHT CO.,MN,07/01/2011,17:25,CST-6,Thunderstorm Wind,56 kts. EG,0,0,15.00K,0.00K
ELK RIVER,SHERBURNE CO.,MN,07/01/2011,17:25,CST-6,Thunderstorm Wind,50 kts. EG,0,0,0.00K,0.00K
SAUK RAPIDS,BENTON CO.,MN,07/01/2011,17:25,CST-6,Thunderstorm Wind,61 kts. ES,0,0,1.500M,0.00K
CAMBRIDGE,ISANTI CO.,MN,07/01/2011,17:29,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
FORESTON,MILLE LACS CO.,MN,07/01/2011,17:29,CST-6,Thunderstorm Wind,56 kts. EG,0,0,15.00K,0.00K
ISANTI,ISANTI CO.,MN,07/01/2011,17:30,CST-6,Thunderstorm Wind,50 kts. EG,0,0,0.00K,0.00K
MORA,KANABEC CO.,MN,07/01/2011,17:30,CST-6,Thunderstorm Wind,50 kts. EG,0,0,0.00K,0.00K
NOWTHEN,ANOKA CO.,MN,07/01/2011,17:30,CST-6,Thunderstorm Wind,56 kts. EG,0,1,500.00K,0.00K
ISANTI,ISANTI CO.,MN,07/01/2011,17:31,CST-6,Hail,1.50 in.,0,0,0.00K,0.00K
MAPLE LAKE,WRIGHT CO.,MN,07/01/2011,17:32,CST-6,Thunderstorm Wind,51 kts. MG,0,0,0.00K,0.00K
WARMAN,KANABEC CO.,MN,07/01/2011,17:32,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
CAMBRIDGE,ISANTI CO.,MN,07/01/2011,17:35,CST-6,Hail,1.75 in.,0,0,0.00K,0.00K
CAMBRIDGE,ISANTI CO.,MN,07/01/2011,17:36,CST-6,Hail,1.25 in.,0,0,0.00K,0.00K
CAMBRIDGE MUNI ARPT,ISANTI CO.,MN,07/01/2011,17:40,CST-6,Thunderstorm Wind,61 kts. EG,0,0,0.00K,0.00K
CAMBRIDGE,ISANTI CO.,MN,07/01/2011,17:41,CST-6,Thunderstorm Wind,52 kts. MG,0,0,0.00K,0.00K
MORA ARPT,KANABEC CO.,MN,07/01/2011,17:41,CST-6,Thunderstorm Wind,56 kts. EG,0,0,0.00K,0.00K
BUFFALO,WRIGHT CO.,MN,07/01/2011,17:45,CST-6,Thunderstorm Wind,63 kts. MG,0,0,0.00K,0.00K
WEBER,ISANTI CO.,MN,07/01/2011,17:45,CST-6,Thunderstorm Wind,56 kts. EG,0,0,0.00K,0.00K
EAST BETHEL,ANOKA CO.,MN,07/01/2011,17:50,CST-6,Thunderstorm Wind,60 kts. EG,0,3,500.00K,0.00K
ST LOUIS PARK,HENNEPIN CO.,MN,07/01/2011,17:50,CST-6,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
SHERBURN,MARTIN CO.,MN,07/01/2011,17:52,CST-6,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
FOREST LAKE,WASHINGTON CO.,MN,07/01/2011,17:55,CST-6,Thunderstorm Wind,52 kts. EG,0,0,5.00K,0.00K
HARRIS,CHISAGO CO.,MN,07/01/2011,17:55,CST-6,Thunderstorm Wind,50 kts. EG,0,0,250.00K,0.00K
RUSH PT,CHISAGO CO.,MN,07/01/2011,17:55,CST-6,Thunderstorm Wind,61 kts. EG,0,0,250.00K,0.00K
CENTERVILLE,ANOKA CO.,MN,07/01/2011,18:00,CST-6,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
LEWISVILLE,WATONWAN CO.,MN,07/01/2011,18:00,CST-6,Thunderstorm Wind,50 kts. EG,0,0,0.00K,0.00K
LEWISVILLE,WATONWAN CO.,MN,07/01/2011,18:00,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
NEW ULM,BROWN CO.,MN,07/01/2011,18:00,CST-6,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
STACY,CHISAGO CO.,MN,07/01/2011,18:05,CST-6,Thunderstorm Wind,50 kts. EG,0,0,250.00K,0.00K
SUMTER,MCLEOD CO.,MN,07/01/2011,18:13,CST-6,Funnel Cloud, ,0,0,0.00K,0.00K
GLENCOE,MCLEOD CO.,MN,07/01/2011,18:25,CST-6,Thunderstorm Wind,56 kts. EG,0,0,0.00K,0.00K
GLENCOE,MCLEOD CO.,MN,07/01/2011,18:30,CST-6,Hail,1.25 in.,0,0,0.00K,0.00K
FAIRMONT,MARTIN CO.,MN,07/01/2011,18:34,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
JORDAN,SCOTT CO.,MN,07/01/2011,18:42,CST-6,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
WASECA,WASECA CO.,MN,07/01/2011,18:58,CST-6,Thunderstorm Wind,56 kts. EG,0,0,0.00K,0.00K
WASECA MUNI ARPT,WASECA CO.,MN,07/01/2011,19:00,CST-6,Thunderstorm Wind,54 kts. MG,0,0,0.00K,0.00K
FARIBAULT,RICE CO.,MN,07/01/2011,19:02,CST-6,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
ELLENDALE,STEELE CO.,MN,07/01/2011,19:03,CST-6,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
MORRISTOWN,RICE CO.,MN,07/01/2011,19:07,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
DUNDAS,RICE CO.,MN,07/01/2011,19:08,CST-6,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
BROOKLYN CENTER,HENNEPIN CO.,MN,07/01/2011,19:15,CST-6,Hail,1.25 in.,0,0,0.00K,0.00K
MINNEAPOLIS,HENNEPIN CO.,MN,07/01/2011,19:15,CST-6,Hail,0.88 in.,0,0,0.00K,0.00K
CRYSTAL ARPT,HENNEPIN CO.,MN,07/01/2011,19:23,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
ARDEN HILLS,RAMSEY CO.,MN,07/01/2011,19:25,CST-6,Hail,0.88 in.,0,0,0.00K,0.00K
WHITE BEAR LAKE,RAMSEY CO.,MN,07/01/2011,19:31,CST-6,Thunderstorm Wind,50 kts. EG,0,0,0.00K,0.00K
ALMELUND,CHISAGO CO.,MN,07/01/2011,19:50,CST-6,Thunderstorm Wind,55 kts. EG,0,0,0.00K,0.00K
EMMONS,FREEBORN CO.,MN,07/01/2011,20:03,CST-6,Thunderstorm Wind,56 kts. EG,0,0,0.00K,0.00K
GLENVILLE,FREEBORN CO.,MN,07/01/2011,20:12,CST-6,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
Totals:, , , , , , , ,0,7,8.801M,3.500M
