CS,2B,H,SF,G,Player,AVG
1,4,15,0,22,J Tarnow,.221
0,1,5,1,5,W Vazquez,.294
0,3,9,0,9,J Tucker,.257
0,2,4,0,4,P Dalton,.333
2,5,11,1,11,T Bohn,.355
3,4,31,2,44,J Guzman,.205
2,9,40,3,36,S Welch,.288
3,5,40,0,32,J Reed,.310
0,2,5,0,12,D Vaughn,.167
4,0,9,1,24,K Roque,.145
0,1,10,2,23,C House,.179
3,0,20,0,45,D Berres,.169
5,7,47,0,47,P Cuello,.283
4,0,23,0,35,C Blackwood,.225
0,1,8,0,9,N Papasan,.286
0,0,2,0,3,C Iorg,.182
1,1,18,1,20,A Guzman,.310
0,1,2,1,6,J Guzman,.095
0,0,3,0,10,J Paquette,.136
1,1,13,0,20,B Lawler,.250
0,2,6,0,12,G Haran,.194
1,9,50,3,50,R Escalona,.276
2,2,14,1,17,R Nolan,.255
1,10,53,0,57,K Bolt,.256
0,4,10,0,11,D Hernandez,.323
0,1,3,0,6,S McGill,.273
1,2,13,0,21,J Wideman,.213
0,2,8,1,19,P Maat,.190
0,3,9,0,14,R Del Campo,.300
0,0,6,0,12,J Centeno,.146
2,1,10,0,15,S Roof,.250
1,1,7,0,17,L Taylor,.156
0,8,47,1,49,G Zavala,.285
1,4,21,0,13,A Molina,.412
1,6,24,0,25,A Vargas,.300
1,6,25,1,37,D Norris,.203
0,0,1,0,4,K Rochelle,.333
1,0,3,0,10,L Castillo,.120
0,0,1,0,5,D Cox,.167
0,3,19,0,19,C Silva,.284
1,7,38,1,51,E Eiland,.216
1,6,32,1,38,Y Garcia,.252
0,4,29,2,31,J Peley,.252
1,7,36,0,48,K Orr,.228
2,6,20,0,32,G Rodriguez,.233
0,1,15,1,14,B Clevlen,.313
2,15,62,3,54,A Lambo,.343
1,4,29,0,34,L Rincon,.228
0,1,4,0,3,K Peter,.500
1,3,8,0,12,P Cech,.308
2,2,40,0,45,J Beresford,.288
1,6,42,2,50,A De Castro,.237
8,7,61,2,51,J Brito,.290
1,0,5,0,6,D Mailman,.227
0,1,3,0,6,J Smith,.167
2,2,6,0,4,A De Aza,.667
1,4,20,0,34,J Sanchez,.208
0,4,22,1,21,A Bonevacia,.272
2,8,46,2,55,L Ellis,.219
2,2,14,1,43,K Miles,.128
2,2,23,0,21,C Dunn,.277
0,2,14,0,26,R Arias,.219
1,5,45,2,49,J Tolisano,.246
0,1,8,1,19,S Martinez,.154
0,5,31,2,48,B Fuenmayor,.174
2,6,40,1,42,S King,.248
1,3,17,0,25,J Talley,.227
1,3,18,0,27,L Fernandez,.269
0,0,7,0,15,M Mayer,.212
0,4,23,0,39,M Kennelly,.215
0,1,17,0,30,B Hiraldo,.202
0,0,0,0,1,R Gonzalez,--
0,2,11,0,14,S Deluca,.282
4,4,33,0,35,C Rosero,.292
1,7,30,1,30,R Wehrle,.280
2,15,64,5,56,S Sime,.295
1,2,14,0,20,P Gilardo,.255
1,4,18,0,32,J Villegas,.184
0,1,6,0,16,C Schonenberg,.143
1,5,27,0,26,E Gonzalez,.262
2,0,13,0,20,C Bradley,.265
2,8,32,0,28,J Smolinski,.305
0,0,1,0,1,J Jay,.500
1,3,24,1,39,F Parejo,.203
0,2,8,0,8,A Acevedo,.444
2,12,45,3,40,R Cardona,.283
3,3,26,1,34,E Beltre,.208
1,0,8,1,18,G Erickson,.163
9,6,62,2,50,B Revere,.325
0,4,22,0,26,M Willard,.244
2,12,53,1,50,J Chavez,.301
4,5,32,0,32,O Rodriguez,.283
7,9,40,0,51,C Lester,.209
4,1,18,1,26,G Manzanillo,.254
1,5,36,0,44,M McBratney,.313
5,6,31,2,38,A Morales,.256
2,6,23,1,32,L Bernardo,.225
0,0,3,0,4,J Poppert,.250
0,1,5,0,5,M Alou,.333
1,9,19,3,36,K Noel,.176
1,1,1,0,2,L Milledge,.143
1,1,6,0,24,F Cruz,.111
1,8,56,1,52,R Lucas,.264
0,0,6,0,12,J Martin,.207
1,16,43,3,51,F Murillo,.242
0,2,7,0,8,M Stanton,.269
0,0,0,0,1,J Gomez,.000
3,1,23,0,39,J Spiers,.225
0,3,20,0,32,W Lamont,.189
1,0,13,0,25,J Guzman,.232
0,5,12,1,7,T Cruz,.375
2,1,4,0,11,M Alcantara,.138
0,6,30,1,39,M McDade,.221
0,0,0,0,1,T Grote,.000
0,3,8,1,12,J Martin,.216
5,5,44,0,53,G Toribio,.257
0,0,0,0,1,C Angelini,.000
1,10,49,0,49,K Castro,.277
2,0,6,1,12,J Bert,.214
0,0,2,0,2,D Martin,.500
5,8,44,3,52,N Ray,.246
0,6,25,1,35,J Smit,.214
2,8,42,1,51,T Brown,.246
0,3,16,0,34,R Shimabukuro,.198
0,0,7,0,21,T Waller,.146
1,1,3,0,6,A Schoenberger,.167
0,0,3,2,9,C Kingrey,.150
1,2,18,0,41,C Rice,.159
0,1,10,0,10,S Thomas,.385
1,5,23,2,40,J Sucre,.221
2,7,36,3,51,R Hernandez,.221
