SO,CS,RBI,R,G,AVG,SB,Player,H
22,3,18,26,47,.288,12,J Briceno,46
14,3,17,17,37,.292,10,J Rivero,35
11,1,14,15,41,.219,2,Y Mendoza,25
22,2,9,11,26,.200,1,J Figueroa,14
11,0,7,12,18,.339,5,J Javier,19
27,7,22,29,66,.281,28,J Peraza,66
6,0,0,0,5,.000,0,E Lara,0
17,0,18,17,54,.196,3,W Petit,31
34,3,23,19,49,.226,6,R Adolfo,38
77,10,16,21,60,.212,9,S Crafort,42
0,0,0,1,1,1.000,0,E Barrera,1
44,11,20,28,59,.235,15,A Reyes,54
44,4,17,24,46,.216,5,A Soriano,30
18,1,3,13,41,.225,0,L Ortega,18
4,0,2,0,10,.083,0,J Aleman,1
16,4,4,19,49,.210,11,J Montesino,17
11,0,3,4,14,.214,1,N Gonzalez,6
32,0,19,18,54,.209,2,J Orozco,38
0,0,0,0,1,.000,0,V Chavez,0
10,2,7,7,34,.182,0,R Polonia,12
39,8,27,35,57,.256,11,J Rodriguez,44
42,3,16,17,45,.150,5,G Jimenez,17
43,6,16,17,49,.204,5,F Santana,29
25,0,8,5,32,.175,0,J Gomez,14
3,1,0,1,3,.000,0,E Martinez,0
0,0,0,0,2,.000,0,A Santana,0
31,3,7,14,32,.189,5,V Liriano,20
36,1,16,18,44,.246,2,E de Oleo,35
23,3,22,9,30,.271,0,S Mateo,23
42,4,35,41,65,.274,16,T Hernandez,62
18,1,7,5,27,.181,0,H Marte,13
48,3,11,15,34,.125,4,L Jolly,11
35,5,16,28,54,.234,12,G Arias,37
34,3,14,19,52,.255,6,J Acevedo,39
31,9,18,28,61,.282,29,D Hinojosa,50
36,2,4,15,41,.137,4,J Guzman,18
59,2,23,20,43,.207,1,J Pena,31
25,3,17,31,59,.201,11,J Giron,30
26,3,9,12,32,.200,2,B Valdez,16
43,2,29,25,61,.262,2,M Buda,51
40,0,27,29,50,.256,2,A Araiza,45
15,0,3,9,22,.119,0,E Familia,5
20,1,20,20,42,.283,4,J Cordero,39
55,10,36,57,68,.282,32,J Baez,74
31,4,17,26,58,.277,19,Y Olmo,53
28,3,46,53,68,.350,15,D Goris,93
5,0,1,3,8,.286,0,A Castellon,6
41,2,18,15,39,.217,6,C Obispo,26
42,5,12,16,55,.184,10,J Romero,26
49,2,21,22,50,.218,5,R Astacio,37
2,0,0,1,4,.125,0,G Mendez,1
25,2,10,18,41,.245,4,A Hernandez,27
3,0,0,0,3,.000,0,P Chevez,0
6,1,6,12,25,.254,1,O Pirela,18
47,2,38,26,61,.262,15,P Perez,55
26,2,14,17,43,.240,1,F Ramirez,30
12,2,12,8,18,.254,0,J Geraldo,15
55,3,34,35,60,.284,3,G Quintana,60
48,6,34,43,61,.250,17,D Lopez,55
72,3,15,28,55,.189,5,F Perez,35
15,5,17,18,50,.233,11,R Galindez,38
22,9,8,14,35,.272,5,P Miranda,25
60,6,42,48,67,.276,16,L Tejada,60
2,0,3,4,5,.250,1,L Mendez,3
15,1,6,9,22,.215,4,M Alamanzar,14
27,0,3,9,27,.131,3,C Cuevas,11
29,2,13,14,49,.170,2,W Martinez,25
3,0,1,4,5,.167,0,C Tejeda,2
11,0,3,6,19,.208,1,G Cenas,11
44,2,5,23,52,.139,4,A Sosa,19
