Rk,Year,G#,Date,Tm,Opp,Result,Quarter,Type,Dist,Quarterback,Score Before,Score After
35,1978,13,1978-11-27,PIT,SFO,W 24-7,2,Receiving,25,Terry Bradshaw*,Lead 10-0,Lead 17-0
36,1979,8,1979-10-22,PIT,DEN,W 42-7,1,Receiving,11,Terry Bradshaw*,Tied 0-0,Lead 7-0*
37,1979,11,1979-11-11,PIT,KAN,W 30-3,2,Receiving,16,Terry Bradshaw*,Lead 10-0,Lead 17-0
38,1979,14,1979-12-02,PIT,CIN,W 37-17,1,Receiving,58,Terry Bradshaw*,Lead 3-0,Lead 10-0
39,1979,14,1979-12-02,PIT,CIN,W 37-17,3,Receiving,42,Terry Bradshaw*,Lead 24-17,Lead 31-17
40,1979,15,1979-12-10,PIT,HOU,L 17-20,4,Rushing,9, ,Trail 3-13,Trail 10-13
41,1979,16,1979-12-16,PIT,BUF,W 28-0,1,Receiving,20,Terry Bradshaw*,Tied 0-0,Lead 7-0*
42,1980,3,1980-09-21,PIT,CIN,L 28-30,2,Receiving,14,Terry Bradshaw*,Trail 7-10,Lead 14-10*
43,1980,3,1980-09-21,PIT,CIN,L 28-30,3,Receiving,68,Terry Bradshaw*,Lead 14-13,Lead 21-13
44,1980,9,1980-11-02,PIT,GNB,W 22-20,2,Receiving,7,Terry Bradshaw*,Trail 2-7,Lead 9-7*
45,1980,10,1980-11-09,PIT,TAM,W 24-21,2,Receiving,20,Terry Bradshaw*,Lead 17-14,Lead 24-14
46,1980,11,1980-11-16,PIT,CLE,W 16-13,4,Receiving,3,Terry Bradshaw*,Trail 9-13,Lead 16-13*
47,1980,13,1980-11-30,PIT,MIA,W 23-10,2,Receiving,30,Terry Bradshaw*,Lead 3-0,Lead 10-0
48,1980,15,1980-12-14,PIT,KAN,W 21-16,1,Receiving,9,Terry Bradshaw*,Tied 0-0,Lead 7-0*
49,1981,1,1981-09-06,PIT,KAN,L 33-37,1,Receiving,18,Terry Bradshaw*,Tied 0-0,Lead 6-0*
50,1981,4,1981-09-27,PIT,NWE,W 27-21,5,Receiving,24,Terry Bradshaw*,Tied 21-21,Lead 27-21*
51,1981,5,1981-10-04,PIT,NOR,W 20-6,1,Receiving,16,Terry Bradshaw*,Tied 0-0,Lead 7-0*
52,1981,11,1981-11-15,PIT,ATL,W 34-20,4,Receiving,22,Terry Bradshaw*,Lead 27-17,Lead 34-17
53,1981,13,1981-11-29,PIT,RAM,W 24-0,2,Receiving,9,Terry Bradshaw*,Lead 7-0,Lead 14-0
