SLG,BB,SO,Player,HR,3B,CS,SH,G,2B
.000,0,1,J De Jesus,0,0,0,0,1,0
.279,6,17,V Moscote,2,1,1,2,29,1
.440,17,56,E Leonora,8,1,4,1,58,15
.279,10,38,R Guillen,0,3,6,2,40,4
.182,2,6,J Fledi,0,0,0,0,6,0
.231,16,46,C Cartagena,2,1,4,0,43,4
.293,16,16,A Bolivar,0,0,1,2,38,7
.357,17,25,V Feliz,0,2,2,1,37,4
.363,28,22,J Santana,3,1,3,3,68,11
.260,8,22,S Guerrero,0,0,1,2,37,6
.333,2,1,V Trinidad,0,0,0,0,3,0
.213,7,8,N Ramos,0,0,1,3,28,4
.364,21,22,P Gonzalez,1,0,0,3,52,8
.253,7,27,A Feliz,0,1,0,0,31,2
.247,12,17,J Delgado,0,0,2,0,35,3
.226,23,34,J Cipriota,0,0,5,1,50,3
.216,12,41,J Rivas,1,1,0,0,54,1
.228,16,50,J Calderon,0,1,3,3,48,6
--,0,0,F Ramirez,0,0,0,0,2,0
.349,28,39,V Cruzado,1,1,5,1,46,10
.426,35,35,K Encarnacion,1,11,8,0,66,4
.361,6,44,A Jesus,0,3,1,2,48,11
.341,16,39,E De La Rosa,3,1,0,0,48,4
.366,21,23,D Francisco,0,1,6,0,44,7
.363,18,65,W Romero,5,3,4,0,57,8
.252,36,67,M Medina,4,0,2,0,53,4
.375,24,47,M Rivera,7,2,9,8,64,7
.380,16,44,R Mondesi,5,1,8,0,54,4
.196,22,50,J Pena,0,0,2,0,38,6
.244,25,25,V Martinez,0,0,2,4,54,4
.304,2,5,F Rios,0,0,0,0,16,2
.184,5,12,J Herrera,0,1,1,0,17,0
.344,25,28,M Santana,0,4,3,5,56,11
.358,23,34,A Gonzalez,0,0,6,1,52,9
.311,11,47,E Guerrero,0,1,1,2,53,11
.323,18,12,L Urena,0,1,3,3,31,2
.190,5,23,J De La Cruz,0,0,0,0,28,2
.086,4,26,Y Del Rosario,0,0,0,0,14,0
.367,5,14,R Guzman,1,3,3,1,62,11
.298,14,29,G Guerrero,1,0,3,1,57,9
.167,12,27,C Cuevas,0,1,0,0,27,1
.330,14,24,L Blanco,0,0,6,3,37,8
.244,22,41,C Martinez,0,1,3,1,40,5
.327,30,40,O Lartiguez,1,2,10,5,64,6
.261,14,10,M Boscan,0,2,3,6,44,4
.083,2,4,J Aleman,0,0,0,3,10,0
.368,4,12,J Moreno,1,0,0,0,21,4
.373,14,40,N Berro,4,2,3,2,46,4
.206,17,27,A Roso,0,0,5,2,32,4
.328,16,41,J De La Cruz,1,2,2,4,63,16
.121,7,15,F Moreno,0,0,0,0,13,0
.000,0,0,V Chavez,0,0,0,0,1,0
.332,18,66,J Suero,2,4,5,6,62,7
.461,35,60,L Tejada,8,2,6,1,67,12
.314,26,42,D Diaz,1,2,0,0,52,8
.245,22,35,R Cordova,0,0,2,0,46,2
.161,5,8,S Duinkerk,0,0,2,0,9,1
.286,7,17,D Maldonado,0,0,2,2,18,2
.226,9,11,G Cenas,0,0,0,0,19,1
.379,12,23,A Gonzalez,1,0,0,2,36,5
.165,9,26,M Avea,0,0,1,0,37,0
.302,18,17,M Leal,0,0,1,3,54,4
.421,19,22,F Baez,5,5,2,1,50,3
.279,8,19,F Duran,1,1,1,0,28,0
.438,16,13,J Jimenez,1,0,2,2,38,5
.349,14,31,F Marine,2,0,2,3,56,11
.214,4,23,A Castillo,0,0,0,0,32,3
.184,17,26,F Martinez,0,1,3,0,36,2
.176,7,13,L Otano,0,0,2,0,15,1
.300,2,1,Y De Jesus,0,0,0,0,3,0
.182,25,44,A Sosa,0,0,2,4,52,6
.399,32,19,A Robles,0,1,6,8,55,8
.283,20,28,Y Silfa,2,0,4,3,68,9
.324,11,21,A Triunfel,0,1,2,5,43,8
.392,21,25,J Rosario,2,0,1,1,52,10
.203,11,23,L Cruz,0,0,2,1,36,2
.000,0,2,F Lopez,0,0,0,1,3,0
.313,14,50,H Mercedes,3,2,3,1,53,6
.333,11,6,R Valenzuela,0,0,2,0,31,6
.089,10,13,N Parra,0,0,3,0,20,1
.281,1,2,M Pestana,0,1,1,0,15,1
.340,11,15,A Ramirez,1,0,1,0,17,4
.351,27,37,S Ortiz,1,5,10,5,63,5
.309,15,25,A Hernandez,0,0,2,0,41,7
.123,11,17,F Gallardo,0,0,2,0,22,1
.286,9,11,E Salmeron,0,0,4,0,27,1
.333,1,1,J Perez,0,0,1,0,2,0
.267,5,10,J Soto,0,0,0,1,17,2
.217,2,9,R Lorenzo,0,0,1,1,16,3
.323,26,41,R Tapia,1,3,8,5,67,6
.345,12,43,F Santana,3,2,6,0,49,7
.343,13,22,J Figueroa,1,1,2,2,26,5
.397,26,36,R Torres,2,3,5,8,60,16
.244,17,24,R Duncan,0,0,2,1,38,3
.292,8,18,H Marte,0,0,1,1,27,8
.507,37,68,M Bernal,11,5,11,1,67,7
.369,23,43,M Buda,3,0,2,1,61,12
.416,16,35,M Grance,3,2,2,2,45,8
.420,11,20,J Cordero,2,2,1,0,42,9
.302,17,40,M Perez,1,1,1,0,47,6
.277,68,42,A Garcia,0,1,16,3,69,5
.239,8,18,Y Polanco,0,0,2,0,27,1
.198,7,7,P Coa,0,0,0,1,39,1
.255,19,34,A Amaya,0,1,2,0,47,8
.347,16,46,F Lora,3,0,4,0,60,16
.277,16,14,E Castillo,0,1,2,0,37,3
.364,13,20,R De Castro,2,0,1,0,24,6
.345,4,11,J Lopez,1,0,0,0,13,2
.259,25,16,J Montesino,0,1,4,1,49,2
.315,25,14,E Salcedo,0,2,4,3,38,4
.200,1,12,C Palacios,0,1,1,0,12,0
.298,14,18,M Del Castillo,0,0,1,0,47,9
.239,43,50,C Rondon,2,1,1,6,62,6
.336,26,35,K Marte,2,3,6,3,62,5
.260,6,9,J Tillero,0,0,1,0,20,0
.316,12,18,F Castillo,0,3,11,7,48,5
.500,3,2,J Linares,0,0,0,2,7,4
.275,7,11,R Ledesma,1,0,2,1,24,2
.286,8,27,R Valdez,1,0,3,2,45,3
.269,9,24,H Peralta,1,1,1,2,39,4
.422,18,15,R Martini,3,1,0,0,46,15
.352,20,46,J Casilla,2,3,2,0,42,6
.276,9,22,J Rosario,0,0,2,0,37,5
.404,19,43,J Bogaerts,2,2,0,0,47,8
.226,10,15,A Raga,0,0,3,3,47,4
.304,14,22,P Miranda,0,1,9,1,35,1
.316,4,7,H Mejia,0,0,0,1,8,1
.246,12,31,J Zarraga,0,2,6,0,34,1
.197,9,16,S De La Cruz,0,0,0,1,32,2
.538,3,12,D Rivera,1,0,0,0,12,5
.368,9,23,F Polanco,2,0,4,2,58,7
.266,24,48,V De Jesus,1,0,4,2,65,6
.396,6,20,F Filpo,1,2,0,0,26,4
.306,2,7,R Bello,0,0,0,0,10,2
.393,12,43,T Perez,3,3,1,0,44,9
.369,37,48,Y Hernandez,1,8,9,3,61,3
.208,7,7,J Rojas,0,0,1,0,19,1
.250,5,7,D De La Cruz,0,0,0,1,9,1
.414,20,25,J Javier,2,2,1,2,46,9
.376,3,26,R Herrera,3,0,1,0,26,3
.386,11,11,W Marcelino,2,1,0,0,30,3
.458,12,14,J Rivero,0,6,3,1,37,8
.213,22,37,Y Ramirez,0,0,0,1,44,6
.152,7,5,J Martinez,0,0,2,1,15,0
.400,27,39,M De La Cruz,0,1,12,3,73,19
.245,21,16,E Felipe,0,1,7,3,34,3
.410,13,12,F Soto,1,0,3,2,32,2
.324,16,73,R Arno,2,0,1,0,62,12
.226,16,30,E Concepcion,0,0,3,0,41,4
.481,27,30,A Capellan,5,1,3,2,47,10
.239,51,43,A Peralta,1,0,1,1,64,8
.327,17,59,J Pena,4,0,2,0,43,6
.312,13,22,J Caraballo,1,1,0,1,35,4
.343,31,54,Y Gerald,4,1,9,4,62,10
.371,21,11,F Castillo,2,0,0,0,42,9
.148,6,10,A Almanza,0,0,0,0,15,0
.261,18,92,L Martin,1,2,3,1,54,7
.286,39,45,A Suarez,2,0,1,4,62,7
.412,36,28,J Boni,1,8,6,4,62,9
.542,8,12,J Geraldo,3,0,2,0,18,8
.222,62,73,E Sanchez,3,0,3,0,70,4
.303,20,26,L Vasquez,0,0,4,1,45,6
.360,9,9,E Gonzalez,0,0,2,0,29,7
.354,3,6,J Infante,0,0,0,0,21,2
.304,12,26,F Ramirez,0,2,2,3,43,4
.282,19,15,R Galindez,0,2,5,3,50,4
--,0,0,A German,0,0,0,0,1,0
.312,9,12,L Polanco,0,1,1,0,29,3
.339,11,9,J Pimentel,0,0,0,0,16,5
.424,35,25,M Reyes,3,3,13,1,55,5
.305,6,26,G Parra,0,3,0,0,24,1
.195,19,20,F Betemit,0,1,3,2,32,2
.379,23,59,V Lupo,5,1,0,0,49,7
.262,35,47,A Gonzalez,0,2,10,3,59,4
.250,1,16,C Acevedo,0,0,0,0,18,2
.394,11,32,S Mendez,4,0,2,0,58,10
.333,7,9,C Torres,1,0,0,0,29,3
.227,4,9,M Rivero,0,0,1,0,15,2
.206,8,28,M Lendor,0,0,4,0,25,1
.478,50,42,J Candelario,5,2,4,0,72,16
.386,15,34,L Osorio,0,2,5,2,48,9
.188,24,38,R Pena,0,0,5,6,55,2
.368,4,5,J Gomez,0,0,0,0,6,2
.377,18,24,W Rodriguez,2,1,5,2,51,7
.360,17,17,M Sanchez,2,0,1,0,32,6
.315,17,61,C Quintin,3,3,0,2,50,4
.594,24,37,J Zorrilla,12,2,5,1,66,21
--,0,0,W Telles,0,0,0,0,1,0
.336,15,18,K Santiago,1,1,0,1,43,4
.279,20,19,H Suarez,0,0,0,0,27,3
.185,24,45,R Rijkhof,0,0,0,1,45,3
.374,9,31,J Pimentel,2,2,1,0,25,4
.335,21,23,L Rodriguez,1,0,6,4,63,9
.256,18,12,O Caraballo,0,1,5,1,49,2
.229,26,44,A Reyes,1,1,6,5,52,2
--,0,0,Y Perdomo,0,0,0,0,9,0
.269,17,62,D De La Cruz,1,1,6,3,62,8
.000,1,6,E Lara,0,0,0,0,5,0
.074,3,8,J Romero,0,0,0,1,18,0
.261,19,25,N Ortega,0,1,8,5,53,3
.216,3,20,O Oses,0,0,0,1,29,1
.324,9,8,F Rosario,0,0,0,1,28,4
.342,23,54,J Solano,3,1,2,0,50,8
.333,3,7,N Aguida,0,0,0,1,17,2
.441,15,28,D Mejia,3,1,0,0,56,14
.299,12,25,A Sierra,1,1,5,0,48,4
.121,10,13,R Rodriguez,0,0,3,2,34,0
.415,14,28,E Moreno,7,2,3,0,49,5
.421,1,4,F Noguera,0,0,1,0,21,3
.322,37,62,H Veloz,2,0,6,2,67,16
.246,4,9,Y De La Cruz,0,0,0,3,21,2
.454,15,40,E Moronta,5,1,2,0,47,10
.232,7,22,R Gonzalez,0,0,0,0,21,3
.235,35,42,R Mejias,1,1,3,4,55,5
.208,2,8,R Sosa,0,0,2,1,11,1
.406,9,29,E Abreu,3,2,2,0,35,5
.305,23,25,D Dominguez,0,3,5,4,42,3
.105,3,4,J Sotelo,0,0,0,0,9,0
.315,17,14,A Machillanada,0,0,3,1,45,4
.305,15,42,R Jimenez,0,0,7,7,52,7
.222,5,15,J De Los Santos,0,0,0,0,14,1
.000,0,0,A Santana,0,0,0,0,2,0
.300,36,39,M Ramos,2,0,3,7,60,8
.300,10,29,F Bido,1,1,4,1,48,9
.327,15,16,J Medina,1,0,2,0,36,8
.000,0,1,J Alonzo,0,0,0,1,1,0
.667,1,1,A Nina,0,0,0,0,1,1
.309,21,20,E Morales,1,2,4,3,54,6
