Acquired,Tm,G,Rrep,oRAR,Rbaser,oWAR
Free Agency,BAL,26,0,0,0,0.0
Amateur Draft,ANA,9,0,0,-0,0.0
Free Agency,TEX,20,0,-0,0,-0.0
Traded,DET,154,25,27,1,2.7
Traded,TOR,22,0,1,0,0.1
Amateur Draft,MIN,103,16,24,1,2.3
Waivers,ANA,56,0,0,0,0.0
Amateur Draft,CLE,9,0,0,0,0.0
Amateur Draft,DET,46,4,1,-2,0.1
Amateur Draft,TOR,155,25,38,-1,3.7
Free Agency,CLE,124,19,34,2,3.3
Traded,BAL,139,22,31,-3,3.0
Waivers,CLE,12,0,0,0,0.0
Amateur Draft,BOS,20,3,-0,-0,-0.0
Free Agency,BAL,58,8,1,3,0.0
Traded,BOS,18,0,0,0,0.0
Traded,TBD,85,11,20,-1,1.9
Amateur Draft,NYY,1,0,-0,0,-0.0
Traded,TOR,146,21,10,3,1.0
Traded,CHW,7,0,0,-0,0.0
Free Agency,BAL,46,0,0,0,0.1
Waivers,CHW,92,12,5,-2,0.5
Traded,NYY,26,0,-0,0,-0.0
Free Agency,SEA,158,25,79,1,7.6
Free Agency,2TM,17,2,-1,-0,-0.1
Amateur Draft,SEA,10,0,0,0,0.0
Purchased,2TM,14,1,-4,-0,-0.4
Amateur Draft,CHW,11,0,0,0,0.0
Free Agency,ANA,53,6,-5,-2,-0.5
Traded,CLE,32,0,0,0,0.0
Amateur Draft,TOR,8,1,-1,0,-0.1
Amateur Draft,TBD,2,0,0,0,0.0
Traded,TOR,80,0,0,0,0.0
Amateur Draft,CHW,83,10,8,-1,0.8
Amateur Draft,TBD,39,6,-2,1,-0.2
Waivers,ANA,24,0,0,0,0.0
Traded,DET,56,0,0,0,0.0
Waivers,ANA,153,25,46,13,4.5
Free Agency,2TM,100,11,-5,-1,-0.6
Free Agency,NYY,35,4,-4,-1,-0.4
Traded,TEX,3,0,0,0,0.0
Traded,TEX,18,0,0,0,0.0
Conditional Deal,BAL,4,0,0,-0,0.0
Amateur Free Agent,CHW,160,25,47,0,4.6
Waivers,DET,136,19,33,1,3.2
Amateur Draft,CHW,152,24,37,3,3.6
Traded,OAK,65,0,0,0,0.0
Traded,TBD,154,24,20,-0,2.0
Waivers,BOS,104,14,-1,-1,-0.2
Traded,NYY,10,0,0,0,0.0
Amateur Draft,CHW,20,3,1,-0,0.1
Traded,NYY,137,22,11,6,1.1
Traded,DET,18,0,0,0,-0.0
Traded,NYY,39,3,-8,-0,-0.8
Amateur Draft,TOR,34,0,0,0,0.0
Amateur Draft,TBD,49,7,9,-1,0.9
Free Agency,TBD,58,8,17,0,1.6
Traded,MIN,69,8,9,0,0.9
Traded,TBD,39,0,0,0,0.0
Amateur Free Agent,NYY,8,0,1,0,0.1
Amateur Free Agent,DET,4,0,2,-0,0.2
Free Agency,TOR,154,25,9,-1,0.9
Amateur Draft,CHW,32,0,0,0,0.0
Amateur Free Agent,NYY,3,0,-1,0,-0.1
Amateur Draft,TEX,22,3,4,-0,0.4
Amateur Draft,TBD,49,0,0,0,0.0
Traded,SEA,34,0,-0,-0,-0.0
Traded,CHW,140,16,12,-2,1.1
Amateur Draft,CLE,113,14,14,0,1.4
Traded,SEA,150,24,49,6,4.8
Traded,CLE,98,14,1,-2,0.1
