CS,G,H,Player,OPS,R,GIDP
0,93,84,A Lavisky,0.718,44,8
3,48,30,M Brisker,0.574,23,3
2,71,75,C Perez,0.804,48,8
2,81,71,P Maynard,0.67,34,6
12,131,141,M Williams,0.716,89,7
6,117,118,K Waldrop,0.767,59,14
0,6,3,T DeMello,0.451,2,0
1,23,14,R Davis,0.814,12,2
2,130,133,T Belza,0.722,76,7
12,102,107,B Myles,0.734,40,7
7,71,62,J Sierra,0.541,33,4
3,23,30,N Longmire,0.847,15,0
0,68,61,P Leyland,0.55,18,5
6,86,108,K Pillar,0.841,49,10
1,67,69,B Vollmuth,0.748,37,10
5,51,44,K Taylor,0.6,22,7
5,65,70,Y Rodriguez,0.737,35,3
2,73,75,A Monsalve,0.73,36,9
0,10,6,P Rankin,0.475,6,2
0,39,28,J Caminero,0.504,12,4
5,79,78,Z Borenstein,0.824,42,6
6,129,105,K Gaedele,0.749,59,9
0,74,55,N O'Shea,0.529,24,8
1,55,46,A Fermin,0.711,31,4
1,16,15,J Rogers,0.913,13,0
13,117,127,J Peterson,0.77,78,4
0,1,1,J Dominguez,2.0,0,0
0,39,34,J Lowery,0.862,25,3
1,66,67,C Garfield,0.91,33,8
0,3,1,J Votto,0.644,1,0
1,23,17,R Pineda,0.578,5,0
1,17,13,E Gonzalez,0.665,6,2
4,134,120,B Loy,0.616,71,4
10,70,65,T Easterling,0.681,29,11
1,90,86,J King,0.707,43,9
2,93,79,A Pettersen,0.632,51,3
2,63,49,R Garcia,0.607,24,3
0,44,30,H Moreno,0.532,10,4
0,123,132,C Hawkins,0.663,67,13
2,30,23,D Shines,0.63,12,4
3,127,115,Y Rivera,0.692,61,12
3,129,118,M Sano,0.893,75,10
3,60,55,R Navarro,0.615,32,5
1,64,63,M Muncy,0.816,34,2
11,132,139,D Vettleson,0.772,80,14
0,14,14,M Haniger,0.808,9,0
0,13,8,P Tolentino,0.689,4,1
12,110,127,J Austin,0.667,72,5
0,64,57,J Rodriguez,0.678,20,7
0,55,62,S Piscotty,0.823,29,9
1,40,34,N Cuevas,0.609,14,3
1,18,9,F Cabrera,0.57,4,2
0,40,30,J Holm,0.693,15,4
0,1,1,C Santana,1.25,1,0
6,77,62,R Dixon,0.777,53,3
2,114,96,J Winker,0.674,57,1
0,3,0,M Cairo,0.0,0,0
5,79,57,L Orr,0.718,41,6
7,76,70,G Pierre,0.716,35,8
8,100,117,R Brett,0.741,77,9
0,34,25,A Munoz,0.563,11,1
5,62,55,O Calixte,0.768,31,5
2,21,16,Y Espinal,0.64,9,4
1,87,74,G Mitchell,0.789,50,9
7,97,75,J Arias,0.568,52,6
1,24,21,B Zapenas,0.696,13,0
7,83,82,J Terry,0.693,44,5
2,18,9,B Brito,0.448,10,1
9,130,128,N Martini,0.705,82,10
12,118,103,J Silva,0.794,58,5
0,5,2,J Wooten,0.393,1,0
4,58,61,R Jones,0.816,30,3
1,42,32,J Hunt,0.718,17,2
2,34,19,G Purroy,0.472,5,2
0,1,1,R Linares,1.0,1,0
0,1,0,D Baxendale,0.0,0,0
0,6,4,C Ramirez,0.51,3,1
1,64,60,S Baron,0.657,29,5
0,28,18,C Schaeffer,0.666,14,1
2,38,17,D Morales,0.453,12,3
8,94,88,K Wilson,0.718,68,6
9,86,85,J Goncalves,0.746,42,5
2,105,80,T Hairgrove,0.561,36,7
3,83,72,C Pan,0.625,36,5
0,38,23,E Escobar,0.471,8,4
0,12,12,J Zamarripa,0.645,7,1
