RBI,Gact,PA,SLG,BB,H,Rk,RC
16,50,167,.293,5,32,494,11
28,71,230,.335,31,45,341,22
12,35,132,.205,11,17,458,5
0,6,14,.000,1,0,372,0
54,133,555,.427,52,144,466,76
30,72,204,.492,20,60,421,36
0,7,19,.333,1,3,127,1
35,124,528,.360,35,137,422,58
10,46,119,.404,7,32,404,15
0,22,3,.667,0,2,290,1
3,31,85,.207,2,13,252,3
8,49,94,.253,14,16,410,6
2,25,54,.255,3,10,111,3
4,55,150,.279,9,34,84,12
22,67,246,.373,22,58,141,27
10,37,128,.198,10,19,151,5
13,24,78,.371,11,18,430,9
2,23,47,.150,2,5,359,1
0,1,1,3.000,0,1,6,3
38,94,341,.332,33,75,427,33
28,86,315,.356,39,78,192,36
0,7,17,.000,1,0,258,0
56,153,607,.302,21,135,399,45
65,120,501,.430,27,121,283,60
0,8,4,.000,0,0,65,0
13,72,250,.454,28,77,322,42
0,37,24,.316,4,5,390,2
11,57,188,.258,21,30,395,12
1,21,65,.143,7,8,133,2
45,110,448,.348,20,107,240,42
0,2,2,.000,0,0,12,0
0,14,10,.300,0,3,434,1
3,33,56,.089,9,4,155,1
7,40,140,.321,5,39,183,14
46,110,471,.404,37,124,119,60
39,92,336,.363,20,82,327,35
15,38,83,.437,7,22,405,12
0,4,3,.000,0,0,491,0
7,33,83,.297,5,21,506,7
9,51,138,.362,5,31,451,13
57,113,452,.439,12,132,312,61
0,6,8,.000,0,0,294,0
6,25,49,.356,2,14,288,5
67,105,391,.491,32,113,331,65
39,106,407,.298,37,81,276,32
99,146,680,.396,94,170,408,89
3,36,71,.270,3,14,21,4
47,118,469,.422,45,124,326,64
0,4,17,.000,2,0,499,0
4,42,100,.178,5,13,256,3
6,41,79,.315,4,20,415,7
0,3,8,.000,0,0,104,0
46,117,478,.337,38,111,43,46
0,44,55,.245,1,12,81,3
4,10,12,.545,1,5,161,3
7,35,98,.287,4,18,379,6
46,156,754,.339,53,172,468,70
0,5,11,.300,0,3,130,1
0,34,25,.000,1,0,242,0
4,9,10,.900,0,5,92,4
4,34,70,.281,5,15,388,5
5,40,101,.258,3,18,423,5
34,98,370,.450,31,98,193,54
4,10,38,.324,2,8,102,3
0,1,1,.000,0,0,249,0
0,1,1,.000,0,0,109,0
1,3,5,.400,0,2,412,1
0,26,26,.000,1,0,307,0
2,37,49,.116,4,5,55,1
0,30,41,.139,3,4,30,1
1,8,24,.238,3,3,187,1
1,21,21,.286,0,3,429,1
30,128,444,.296,30,93,354,34
32,90,255,.442,11,76,167,37
0,20,24,.250,0,5,442,1
41,149,678,.402,76,169,142,87
0,1,1,.000,0,0,215,0
0,4,6,.000,0,0,260,0
1,1,5,.000,0,0,93,0
0,4,2,.000,0,0,32,0
1,32,47,.163,2,5,502,1
5,30,84,.208,2,13,320,3
14,46,140,.229,5,28,123,7
0,2,1, ,0,0,8,0
15,43,136,.285,3,27,332,8
0,7,16,.000,0,0,73,0
7,44,88,.195,2,15,369,3
1,17,13,.333,0,4,251,1
2,40,46,.150,4,5,100,1
0,30,29,.296,2,6,384,2
54,119,461,.340,30,109,17,44
50,108,488,.410,63,121,42,65
4,35,90,.175,6,14,15,3
0,9,17,.000,1,0,315,0
16,61,254,.282,24,54,483,20
9,37,104,.245,1,20,14,5
43,114,502,.349,34,126,94,53
97,153,699,.407,65,182,401,90
10,62,191,.227,12,28,217,8
12,22,39,.541,2,10,470,6
4,6,10,1.000,0,6,264,5
63,146,645,.361,16,180,295,69
2,23,40,.316,1,10,348,3
0,5,2,.000,0,0,145,0
8,30,58,.321,4,14,328,5
115,143,645,.471,31,183,309,96
75,140,610,.432,52,165,243,85
7,40,67,.383,3,17,338,7
24,24,105,.406,4,24,188,12
50,135,628,.345,38,156,432,63
0,5,3,.000,0,0,121,0
0,1,1,.000,0,0,178,0
0,2,1,.000,0,0,486,0
1,7,11,.375,2,3,308,1
9,26,80,.316,2,19,446,6
16,30,90,.300,3,18,413,6
13,53,210,.365,17,50,114,22
13,54,105,.319,6,24,373,9
85,152,651,.489,33,173,232,96
2,49,82,.236,7,17,298,5
42,137,509,.372,34,126,400,55
0,4,4,.000,0,0,237,0
25,70,227,.404,12,65,455,29
20,58,202,.292,13,44,397,16
54,137,568,.452,50,138,196,77
0,10,24,.000,1,0,122,0
3,37,54,.314,1,10,87,3
34,93,389,.340,30,90,56,38
13,52,114,.387,6,26,454,12
23,37,159,.345,15,38,473,17
98,143,671,.694,93,237,225,197
2,22,15,.538,2,5,22,3
0,12,5,.000,0,0,269,0
13,38,91,.437,4,25,292,13
4,26,36,.387,4,6,96,3
83,152,695,.439,89,193,76,107
0,19,10,.300,0,3,360,1
0,8,5,.750,1,1,464,1
49,145,592,.339,26,140,144,54
74,121,543,.497,23,174,385,94
4,35,55,.154,0,7,168,1
2,37,88,.163,1,12,78,2
17,77,248,.276,23,50,131,18
47,100,397,.377,19,92,44,40
31,113,453,.388,29,125,205,56
0,10,8,.375,0,3,334,1
12,47,181,.312,4,37,440,13
18,59,115,.391,4,32,457,14
6,15,49,.233,6,9,138,3
44,129,519,.324,22,125,157,45
