AB,POS,SH,SB,SLG,HR,H,2B,OPS,OBP
52,CF,0,1,.154,0,5,1,.357,.203
17,SS,0,1,.235,0,3,1,.535,.300
20,OF,0,0,.150,0,3,0,.358,.208
210,2B,4,8,.376,1,61,7,.705,.329
127,C,0,2,.488,7,31,10,.833,.345
41,C,0,0,.146,0,6,0,.369,.222
12,SS,0,0,.750,1,4,2,1.083,.333
95,3B,0,0,.242,0,20,3,.528,.286
0,P,0,0,--,0,0,0,--,--
177,SS,3,6,.384,1,49,10,.692,.308
113,3B,0,2,.425,2,29,13,.798,.373
190,OF,1,2,.432,3,48,17,.747,.316
77,3B,0,1,.208,1,12,1,.490,.283
7,OF,0,0,.571,0,4,0,1.238,.667
20,3B,0,0,.500,1,5,2,.786,.286
131,1B,1,2,.542,8,38,9,.926,.384
10,1B,0,0,.400,0,3,1,.764,.364
67,1B,0,1,.373,1,19,3,.687,.314
178,3B,0,0,.242,1,31,5,.485,.244
17,1B,0,1,.235,0,4,0,.644,.409
115,OF,4,4,.417,1,36,5,.832,.415
113,OF,1,3,.381,2,32,5,.700,.319
4,P,0,0,.000,0,0,0,.000,.000
13,SS,0,0,.154,0,2,0,.421,.267
177,SS,1,5,.299,1,42,6,.653,.354
22,1B,0,0,.455,0,9,1,.973,.519
102,SS,3,2,.304,0,26,5,.631,.327
8,OF,0,0,.625,0,5,0,1.225,.600
56,SS,5,3,.268,0,13,0,.585,.317
100,SS,2,2,.190,0,18,1,.470,.280
168,3B,1,0,.577,8,57,14,.945,.367
40,3B,0,1,.275,0,10,1,.709,.434
18,SS,0,0,.222,0,3,1,.597,.375
151,SS,4,5,.285,2,31,4,.545,.261
122,OF,1,1,.484,2,42,7,.925,.441
30,C,0,1,.600,2,9,3,.982,.382
96,OF,1,4,.333,1,21,4,.640,.306
190,CF,3,2,.395,3,51,11,.702,.307
179,OF,2,16,.436,1,61,8,.866,.430
212,3B,0,2,.349,2,56,8,.669,.320
176,OF,0,16,.284,1,38,7,.599,.315
21,SS,0,0,.143,0,2,1,.234,.091
58,SS,0,1,.172,1,6,1,.354,.182
217,1B,0,3,.470,5,69,18,.837,.367
175,2B,10,7,.377,1,53,4,.719,.342
52,P,0,1,.212,0,8,1,.519,.308
15,OF,1,1,.600,0,7,2,1.179,.579
29,3B,0,0,.448,0,11,0,.886,.438
118,OF,0,3,.229,0,24,3,.515,.286
107,SS,0,0,.430,3,30,7,.791,.361
1,CF,0,0,.000,0,0,0,.500,.500
26,OF,0,0,.346,0,7,2,.668,.321
152,SS,1,2,.454,2,46,7,.809,.355
183,OF,2,15,.399,3,51,9,.755,.356
17,3B,0,1,.118,0,2,0,.284,.167
80,1B,1,2,.500,2,24,6,.841,.341
106,SS,0,4,.311,0,26,3,.693,.382
160,2B,2,8,.406,3,46,4,.778,.372
165,OF,0,3,.479,6,47,8,.842,.364
176,OF,0,11,.375,1,53,8,.747,.372
207,1B,1,1,.459,8,53,10,.795,.336
58,OF,0,0,.466,2,18,1,.863,.397
19,C,0,1,.053,0,1,0,.270,.217
35,SS,1,3,.343,0,10,2,.648,.306
121,OF,0,11,.405,2,31,6,.762,.357
