RC,HR,BB,3B,PA,AB,H
3,0,2,0,15,13,5
66,1,61,3,467,390,129
1,0,0,0,5,5,2
3,0,1,0,55,53,12
1,0,2,0,8,6,2
3,0,3,0,42,36,9
5,1,3,0,101,93,18
4,0,2,0,63,57,13
13,1,3,0,123,117,32
55,3,25,1,455,422,124
4,0,0,3,87,85,16
65,8,32,7,391,350,113
0,0,1,0,24,21,0
3,0,0,1,1,1,1
36,4,20,1,204,179,60
7,1,3,2,65,60,15
14,1,4,1,115,110,32
49,1,41,5,495,438,121
86,11,22,8,665,626,188
6,2,2,2,39,37,10
2,0,0,0,37,35,8
4,1,0,0,10,10,5
1,0,0,1,71,61,7
58,2,35,6,528,483,137
12,1,7,1,83,71,22
1,0,3,0,42,38,5
0,0,0,0,2,2,0
25,4,8,1,149,137,45
55,5,31,3,409,372,112
4,0,1,1,76,71,15
14,1,3,3,102,95,29
6,0,9,1,103,93,19
0,0,0,0,1,1,0
2,0,3,0,95,79,11
0,0,2,0,8,6,0
0,0,0,0,8,8,0
0,0,0,0,2,2,0
32,0,37,3,407,352,81
29,1,12,3,227,208,65
76,5,52,11,555,489,144
1,0,0,0,9,9,3
4,0,3,0,28,25,9
84,12,56,6,562,490,152
58,7,17,5,405,376,117
64,4,45,5,469,398,124
96,12,31,11,645,594,183
0,0,0,0,1,1,0
47,8,39,10,479,414,99
0,0,0,0,16,16,0
1,0,0,0,11,10,3
7,0,3,0,63,60,18
4,0,4,2,89,79,13
94,3,23,22,543,505,174
32,0,32,5,345,299,75
55,3,32,2,481,430,127
36,2,17,2,294,268,81
60,9,27,8,501,437,121
0,0,0,0,1,1,0
22,1,21,2,180,156,43
6,2,4,0,86,81,16
1,0,0,0,10,10,3
114,7,59,16,709,633,207
0,0,2,0,18,16,0
2,0,0,0,28,28,8
0,0,0,0,12,11,0
1,0,3,0,41,36,4
3,0,6,0,90,80,14
58,1,40,10,579,530,137
4,0,2,1,36,33,9
37,4,29,3,256,223,68
32,0,62,1,387,318,72
2,0,4,0,24,19,5
80,9,29,9,696,649,184
25,3,21,3,257,230,56
3,0,2,0,88,82,15
73,2,36,20,668,620,161
1,0,4,0,38,33,5
8,1,10,0,67,55,16
2,0,7,0,96,85,10
2,0,7,0,65,56,8
0,0,0,0,5,5,0
5,0,7,0,82,72,17
88,9,50,19,681,607,170
35,5,22,1,335,305,80
19,2,12,2,125,110,35
77,16,50,6,568,500,138
107,6,89,7,695,574,193
0,0,0,0,2,2,0
0,0,0,0,7,7,0
0,0,0,0,16,15,0
0,0,0,0,1,1,0
29,1,39,0,312,256,68
2,0,4,0,55,51,9
5,0,5,1,91,81,18
0,0,4,0,14,9,0
3,2,1,0,54,51,10
55,4,34,2,509,441,126
84,6,35,9,634,577,178
1,0,0,0,13,12,3
0,0,0,0,5,5,0
14,0,5,0,140,131,39
5,0,2,0,49,45,14
7,1,2,2,67,64,16
24,0,22,4,282,250,61
0,0,2,0,15,13,0
2,0,3,0,72,63,10
0,0,0,0,2,2,0
87,5,76,7,678,577,169
0,0,0,0,2,2,0
6,0,19,0,97,68,14
0,0,2,0,7,5,0
1,0,9,0,56,45,4
0,0,0,0,1,1,0
2,0,1,0,23,22,6
17,0,15,1,159,139,38
53,6,24,1,569,533,140
0,0,0,0,3,3,0
54,5,47,7,432,367,102
63,1,56,9,676,565,146
0,0,0,0,7,7,0
70,0,53,5,754,658,172
3,0,6,0,49,43,9
3,0,3,0,41,38,9
67,3,20,15,465,433,138
0,0,0,0,1,1,0
3,0,2,1,85,82,13
0,0,0,0,3,2,0
103,1,46,14,733,666,214
3,0,2,1,20,17,5
100,6,47,8,612,543,184
1,0,0,0,43,41,6
112,4,84,10,745,644,208
2,0,2,0,100,90,12
0,0,0,0,12,12,0
6,0,2,1,80,76,19
45,2,22,4,519,478,125
0,0,0,0,1,1,0
11,1,13,0,179,160,31
5,2,11,0,132,112,17
44,2,30,5,461,420,109
0,0,5,0,38,33,0
3,0,1,0,63,61,13
77,5,38,13,621,568,163
1,0,0,0,47,47,6
0,0,0,0,2,2,0
3,0,1,0,81,75,14
2,0,1,0,37,34,7
0,0,0,0,2,1,0
38,7,29,1,417,376,91
42,0,20,4,448,408,107
35,2,20,6,336,311,82
2,0,3,0,33,28,6
6,1,3,0,48,45,12
5,0,1,1,98,94,19
8,1,12,1,191,172,28
9,1,11,0,78,62,18
0,0,0,0,4,4,0
7,0,3,0,67,60,17
25,0,5,6,199,185,59
12,1,6,2,114,106,26
1,0,0,1,21,21,3
20,0,12,2,214,188,50
0,0,0,0,20,20,0
20,3,26,1,138,110,29
75,3,30,7,689,628,180
7,0,5,0,83,74,21
23,1,23,1,226,199,53
0,0,0,0,3,3,0
46,2,38,4,478,415,111
65,4,28,5,542,475,139
23,0,21,2,195,170,50
3,0,1,1,34,32,9
1,0,6,0,50,44,5
45,4,21,6,607,567,135
2,0,2,1,14,11,3
0,0,0,0,14,14,0
58,0,62,2,619,519,141
3,2,1,0,44,42,8
72,2,54,3,666,587,164
34,0,8,4,329,308,90
96,18,33,11,651,589,173
